"reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"2008-3","0140","T2G","September 30, 2008","CALGARY",2643,30,88.1,4.93333333333333
"2008-3","0140","T2R","September 30, 2008","CALGARY",624,4,156,11.5
"2008-4","0140","T2Y","December 31, 2008","CALGARY",328,15,21.8666666666667,0
"2008-4","0140","T2S","December 31, 2008","CALGARY",20,19,1.05263157894737,0
"2008-4","0140","T3K","December 31, 2008","CALGARY",20,1,20,0
"2008-4","0140","T2J","December 31, 2008","CALGARY",2,2,1,0
"2008-4","0140","T4C","December 31, 2008","CALGARY",465,156,2.98076923076923,0
"2008-4","0140","T3G","December 31, 2008","CALGARY",56,1,56,0
"2008-4","0140","T0M","December 31, 2008","CALGARY",2,2,1,0
"2008-4","0140","T2H","December 31, 2008","CALGARY",375,5,75,0
"2008-4","0140","T2A","December 31, 2008","CALGARY",96,3,32,0
