"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"526","2007-4","0140","T2E","December 31, 2007","CALGARY",253,93,2.72043010752688,0
"527","2007-4","0140","T2G","December 31, 2007","CALGARY",1450,30,48.3333333333333,3.2
"528","2007-4","0140","T2H","December 31, 2007","CALGARY",746,10,74.6,2.1
"529","2007-4","0140","T2J","December 31, 2007","CALGARY",386,8,48.25,0
"530","2007-4","0140","T2K","December 31, 2007","CALGARY",55,10,5.5,0
"531","2007-4","0140","T2L","December 31, 2007","CALGARY",21,17,1.23529411764706,0
"532","2007-4","0140","T2M","December 31, 2007","CALGARY",82,53,1.54716981132075,0
"533","2007-4","0140","T2N","December 31, 2007","CALGARY",257,137,1.87591240875912,0
"534","2007-4","0140","T2P","December 31, 2007","CALGARY",255,3,85,9.33333333333333
"535","2007-4","0140","T2R","December 31, 2007","CALGARY",435,3,145,6.33333333333333
"536","2007-4","0140","T2S","December 31, 2007","CALGARY",33,33,1,0
"537","2007-4","0140","T2T","December 31, 2007","CALGARY",342,170,2.01176470588235,0.0352941176470588
"538","2007-4","0140","T2V","December 31, 2007","CALGARY",49,38,1.28947368421053,0
"539","2007-4","0140","T2X","December 31, 2007","CALGARY",67,4,16.75,0
"540","2007-4","0140","T2Y","December 31, 2007","CALGARY",185,27,6.85185185185185,0
"541","2007-4","0140","T3A","December 31, 2007","CALGARY",1,1,1,0
"542","2007-4","0140","T3B","December 31, 2007","CALGARY",71,50,1.42,0
"543","2007-4","0140","T3C","December 31, 2007","CALGARY",370,36,10.2777777777778,0
"544","2007-4","0140","T3E","December 31, 2007","CALGARY",315,160,1.96875,0.0375
"545","2007-4","0140","T3H","December 31, 2007","CALGARY",5,2,2.5,0
"546","2007-4","0140","T3J","December 31, 2007","CALGARY",15,15,1,0
"547","2007-4","0140","T4C","December 31, 2007","CALGARY",134,120,1.11666666666667,0
"548","2007-4","0140","nan","December 31, 2007","CALGARY",8722,4719,1.84827293918203,0.00296673023945751
"549","2008-1","0140","T0L","March 31, 2008","CALGARY",3,3,1,0
"550","2008-1","0140","T0M","March 31, 2008","CALGARY",1,1,1,0
"551","2008-1","0140","T1Y","March 31, 2008","CALGARY",60,1,60,0
"552","2008-1","0140","T2A","March 31, 2008","CALGARY",165,8,20.625,0
"553","2008-1","0140","T2B","March 31, 2008","CALGARY",39,38,1.02631578947368,0
"554","2008-1","0140","T2C","March 31, 2008","CALGARY",185,113,1.63716814159292,0
"555","2008-1","0140","T2E","March 31, 2008","CALGARY",223,79,2.82278481012658,0
"556","2008-1","0140","T2G","March 31, 2008","CALGARY",2338,32,73.0625,3
"557","2008-1","0140","T2H","March 31, 2008","CALGARY",733,7,104.714285714286,3
"558","2008-1","0140","T2J","March 31, 2008","CALGARY",385,7,55,0
"559","2008-1","0140","T2K","March 31, 2008","CALGARY",55,10,5.5,0
"560","2008-1","0140","T2L","March 31, 2008","CALGARY",19,15,1.26666666666667,0
"561","2008-1","0140","T2M","March 31, 2008","CALGARY",90,51,1.76470588235294,0
"562","2008-1","0140","T2N","March 31, 2008","CALGARY",242,119,2.03361344537815,0
"563","2008-1","0140","T2P","March 31, 2008","CALGARY",779,4,194.75,0
"564","2008-1","0140","T2R","March 31, 2008","CALGARY",624,4,156,11.5
"565","2008-1","0140","T2S","March 31, 2008","CALGARY",24,24,1,0
"566","2008-1","0140","T2T","March 31, 2008","CALGARY",311,129,2.41085271317829,0.0852713178294574
"567","2008-1","0140","T2V","March 31, 2008","CALGARY",46,36,1.27777777777778,0
"568","2008-1","0140","T2X","March 31, 2008","CALGARY",65,2,32.5,0
"569","2008-1","0140","T2Y","March 31, 2008","CALGARY",479,8,59.875,0
"570","2008-1","0140","T3A","March 31, 2008","CALGARY",1,1,1,0
"571","2008-1","0140","T3B","March 31, 2008","CALGARY",53,35,1.51428571428571,0
"572","2008-1","0140","T3C","March 31, 2008","CALGARY",539,33,16.3333333333333,0.96969696969697
"573","2008-1","0140","T3E","March 31, 2008","CALGARY",277,119,2.32773109243697,0.0336134453781513
"574","2008-1","0140","T3H","March 31, 2008","CALGARY",5,2,2.5,0
"575","2008-1","0140","T3J","March 31, 2008","CALGARY",24,24,1,0
"576","2008-1","0140","T4C","March 31, 2008","CALGARY",255,153,1.66666666666667,0
"577","2008-1","0140","nan","March 31, 2008","CALGARY",7238,3593,2.01447258558308,0.00612301697745616
"578","2008-2","0140","T0L","June 30, 2008","CALGARY",1,1,1,0
"579","2008-2","0140","T0M","June 30, 2008","CALGARY",1,1,1,0
"580","2008-2","0140","T1Y","June 30, 2008","CALGARY",60,1,60,0
"581","2008-2","0140","T2A","June 30, 2008","CALGARY",98,5,19.6,0
"582","2008-2","0140","T2B","June 30, 2008","CALGARY",158,16,9.875,0.1875
"583","2008-2","0140","T2C","June 30, 2008","CALGARY",110,73,1.50684931506849,0
