"","reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_yy","ref_qq","population","comp_per_10kpop"
"28","1988-4","1700",2,3,"December 31, 1988","SASKATOON",2,NA,NA,1,2,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,"216113.54",0.0925439470382096
"29","1988-4","2270",4,4,"December 31, 1988","TORONTO",205,NA,NA,7,29.2857142857143,0,11.8571428571429,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,"3917164.25",0.523337769152774
"30","1988-4","2270",5,4,"December 31, 1988","TORONTO",24,NA,NA,1,24,3,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,"3917164.25",0.0612688119983736
"31","1988-4","2410",2,3,"December 31, 1988","VANCOUVER",114,NA,NA,57,2,0,5.70175438596491,0.947368421052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,"1562206",0.729737307371755
"32","1989-1","0140",1,1,"March 31, 1989","CALGARY",682,NA,NA,682,1,0,4.73333333333333,0.573313782991202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"729550.383",9.34822345230679
"33","1989-1","0340",4,1,"March 31, 1989","EDMONTON",47,NA,NA,13,3.61538461538462,0,4.15384615384615,0.153846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"825528.509",0.569332245798915
"34","1989-1","0580",5,4,"March 31, 1989",NA,60,NA,NA,5,12,0,6.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"328282.119",1.82769625658472
"35","1989-1","1060",1,1,"March 31, 1989",NA,1319,NA,NA,1319,1,0,5.272921108742,0.678300455235205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"3362909.6599999997",3.92219873072653
"36","1989-1","1060",4,1,"March 31, 1989",NA,27,NA,NA,6,4.5,0.666666666666667,3.33333333333333,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"3362909.6599999997",0.0802876161710511
"37","1989-1","1060",5,1,"March 31, 1989",NA,17,NA,NA,5,3.4,1.6,3,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"3362909.6599999997",0.0505514620336248
"38","1989-1","1265",2,1,"March 31, 1989",NA,18,NA,NA,9,2,0,6,-0.444444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"699010.174594525",0.257506981360339
"39","1989-1","1265",4,2,"March 31, 1989",NA,94,NA,NA,12,7.83333333333333,0,5.75,0.0833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"699010.174594525",1.34475868043733
"40","1989-1","1265",4,3,"March 31, 1989",NA,153,NA,NA,32,4.78125,0,4.5625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"699010.174594525",2.18880934156289
"41","1989-1","1400",2,1,"March 31, 1989",NA,30,NA,NA,15,2,0,6,0.933333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"649245.201",0.462075036577744
"42","1989-1","1490",2,3,"March 31, 1989","REGINA",4,NA,NA,2,2,0,13.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"195512.96099999998",0.20459001692476
"43","1989-1","1490",4,2,"March 31, 1989","REGINA",6,NA,NA,1,6,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"195512.96099999998",0.30688502538714
"44","1989-1","2270",1,1,"March 31, 1989","TORONTO",4773,NA,NA,4773,1,0,6.84437527790129,0.831761994552692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"3940479.77",12.1127382415162
"45","1989-1","2270",2,4,"March 31, 1989","TORONTO",2,NA,NA,1,2,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"3940479.77",0.00507552409030639
"46","1989-1","2270",4,2,"March 31, 1989","TORONTO",15,NA,NA,2,7.5,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"3940479.77",0.038066430677298
"47","1989-1","2270",4,3,"March 31, 1989","TORONTO",358,NA,NA,50,7.16,0,6.12,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"3940479.77",0.908518812164845
"48","1989-1","2410",2,3,"March 31, 1989","VANCOUVER",65,NA,NA,33,1.96969696969697,0,7.03030303030303,1.03030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"1573306.47",0.41314264728092
"49","1989-1","2410",4,2,"March 31, 1989","VANCOUVER",34,NA,NA,9,3.77777777777778,0,8.55555555555556,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"1573306.47",0.216105384731558
"50","1989-1","2410",5,3,"March 31, 1989","VANCOUVER",890,NA,NA,43,20.6976744186047,4.16279069767442,7.97619047619048,0.476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"1573306.47",5.65687624738491
"51","1989-1","2440",2,1,"March 31, 1989",NA,12,NA,NA,6,2,0,4.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"284989.582",0.421068023461995
"52","1989-1","2440",4,2,"March 31, 1989",NA,62,NA,NA,9,6.88888888888889,2,7.44444444444444,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,"284989.582",2.1755181212203
"53","1989-2","0340",1,1,"June 30, 1989","EDMONTON",701,NA,NA,701,1,0,4.59119496855346,0.199714693295292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"829815.445",8.44766151586875
"54","1989-2","0340",2,1,"June 30, 1989","EDMONTON",32,NA,NA,16,2,0,5.6875,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"829815.445",0.385627915132382
"55","1989-2","0580",2,4,"June 30, 1989",NA,6,NA,NA,3,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"329593.642",0.182042346557158
"56","1989-2","1060",1,1,"June 30, 1989",NA,2674,NA,NA,2674,1,0,4.67119565217391,0.619065561416729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"3372389.72",7.92909545460244
"57","1989-2","1265",2,2,"June 30, 1989",NA,8,NA,NA,4,2,0,5.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"703566.8941991241",0.113706316570032
"58","1989-2","1490",1,3,"June 30, 1989","REGINA",2,NA,NA,2,1,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"195452.703",0.102326545977724
"59","1989-2","2270",1,1,"June 30, 1989","TORONTO",4301,NA,NA,4301,1,0,6.74480860645484,0.495200187309764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"3960001.03",10.8611082861259
"60","1989-2","2270",4,3,"June 30, 1989","TORONTO",173,NA,NA,32,5.40625,0,9.15625,0.03125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"3960001.03",0.43686857323873
"61","1989-2","2410",2,2,"June 30, 1989","VANCOUVER",2,NA,NA,1,2,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"1583847.45",0.0126274787385616
"62","1989-2","2410",4,3,"June 30, 1989","VANCOUVER",439,NA,NA,86,5.1046511627907,0.0232558139534884,6.40476190476191,0.209302325581395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"1583847.45",2.77173158311427
"63","1989-2","2410",5,2,"June 30, 1989","VANCOUVER",329,NA,NA,13,25.3076923076923,2.92307692307692,7.61538461538461,0.416666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"1583847.45",2.07722025249338
"64","1989-2","2440",1,1,"June 30, 1989","VICTORIA",263,NA,NA,263,1,0,4.32642487046632,0.212927756653992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"286673.05",9.17421431836721
"65","1989-2","2440",2,2,"June 30, 1989",NA,3,NA,NA,2,1.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"286673.05",0.104648832528904
"66","1989-2","2440",5,3,"June 30, 1989","VICTORIA",117,NA,NA,6,19.5,3.33333333333333,6.83333333333333,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,"286673.05",4.08130446862724
"67","1989-3","0140",2,2,"September 30, 1989","CALGARY",6,NA,NA,3,2,0,5.66666666666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"742152.045",0.0808459673516092
"68","1989-3","0140",5,1,"September 30, 1989","CALGARY",4,NA,NA,1,4,0,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"742152.045",0.0538973115677395
"69","1989-3","0340",4,3,"September 30, 1989","EDMONTON",22,NA,NA,7,3.14285714285714,0,4.85714285714286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"835354.741",0.263361167659908
"70","1989-3","0580",1,1,"September 30, 1989",NA,335,NA,NA,335,1,0,5.57333333333333,0.301492537313433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"330878.62",10.1245586674654
"71","1989-3","0580",2,1,"September 30, 1989",NA,142,NA,NA,71,2,0,4.08,0.225352112676056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"330878.62",4.29160397247788
"72","1989-3","0580",2,4,"September 30, 1989",NA,10,NA,NA,5,2,0,6.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"330878.62",0.30222563186464
"73","1989-3","1060",2,1,"September 30, 1989",NA,246,NA,NA,124,1.98387096774194,0,8.6984126984127,0.951219512195122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"3377050.8",0.728446252570438
"74","1989-3","1265",2,1,"September 30, 1989",NA,22,NA,NA,12,1.83333333333333,0,5.16666666666667,0.916666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"708194.6448610859",0.31064905897891
"75","1989-3","1400",5,1,"September 30, 1989",NA,6,NA,NA,3,2,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"654547.726",0.0916663485589743
"76","1989-3","1400",5,3,"September 30, 1989",NA,91,NA,NA,6,15.1666666666667,0,6.66666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"654547.726",1.39027295314444
"77","1989-3","1490",4,2,"September 30, 1989","REGINA",12,NA,NA,3,4,0,5.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"195303.28600000002",0.614428986105231
"78","1989-3","1490",4,3,"September 30, 1989","REGINA",32,NA,NA,2,16,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"195303.28600000002",1.63847729628062
"79","1989-3","1700",5,2,"September 30, 1989","SASKATOON",10,NA,NA,1,10,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"215762.614",0.463472323337721
"80","1989-3","2410",1,3,"September 30, 1989","VANCOUVER",29,NA,NA,29,1,0,5.5,0.206896551724138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"1592647.7400000002",0.182086718058571
"81","1989-3","2410",4,2,"September 30, 1989","VANCOUVER",35,NA,NA,7,5,0,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"1592647.7400000002",0.219759832139654
"82","1989-3","2410",5,3,"September 30, 1989","VANCOUVER",636,NA,NA,37,17.1891891891892,0.648648648648649,7,0.222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"1592647.7400000002",3.99335009259486
"83","1989-3","2440",2,1,"September 30, 1989","VICTORIA",14,NA,NA,8,1.75,0,6.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"288427.03599999996",0.485391390285618
"84","1989-3","2440",2,2,"September 30, 1989",NA,27,NA,NA,15,1.8,0,4.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"288427.03599999996",0.936111966979406
"85","1989-3","2440",2,3,"September 30, 1989","VICTORIA",2,NA,NA,1,2,0,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"288427.03599999996",0.0693416271836597
"86","1989-3","2440",5,2,"September 30, 1989",NA,138,NA,NA,1,138,4,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"288427.03599999996",4.78457227567252
"87","1989-3","2440",5,3,"September 30, 1989","VICTORIA",168,NA,NA,8,21,3.25,3.875,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"288427.03599999996",5.82469668342742
"88","1989-3","2680",2,3,"September 30, 1989","WINNIPEG",2,NA,NA,1,2,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"669288.159",0.0298824949030661
