"reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","ref_yy","population","starts_per_10kpop"
"1998-3","0140",5,2,"September 30, 1998","CALGARY",44,NA,NA,2,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","2440",1,1,"September 30, 1998",NA,152,NA,NA,152,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",320093.69,4.74860969611741
"1998-3","1265",5,2,"September 30, 1998",NA,5,NA,NA,2,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",785862.2655,0.0636243807535253
"1998-3","0340",4,1,"September 30, 1998","EDMONTON",6,NA,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","1265",1,1,"September 30, 1998",NA,696,NA,NA,696,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",785862.2655,8.85651380089072
"1998-3","2270",2,3,"September 30, 1998","TORONTO",2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",4621142.46,0.00432793409273083
"1998-3","1265",4,1,"September 30, 1998",NA,406,NA,NA,79,5.13924050632911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",785862.2655,5.16629971718626
"1998-3","2680",1,1,"September 30, 1998","WINNIPEG",391,NA,NA,391,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",686857.254,5.69259475273737
"1998-3","0340",4,3,"September 30, 1998","EDMONTON",47,NA,NA,11,4.27272727272727,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","2270",4,3,"September 30, 1998","TORONTO",378,NA,NA,57,6.63157894736842,0.491228070175439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",4621142.46,0.817979543526126
"1998-3","0610",1,1,"September 30, 1998","HAMILTON",481,NA,NA,481,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","1265",2,1,"September 30, 1998",NA,38,NA,NA,19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",785862.2655,0.483545293726792
"1998-3","1490",2,3,"September 30, 1998","REGINA",2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",199961.381,0.100019313229288
"1998-3","1700",4,3,"September 30, 1998","SASKATOON",49,NA,NA,9,5.44444444444444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",232086.328,2.11128334970253
"1998-3","1700",2,1,"September 30, 1998","SASKATOON",12,NA,NA,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",232086.328,0.517048983600619
"1998-3","0580",5,2,"September 30, 1998",NA,157,NA,NA,6,26.1666666666667,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","1700",5,3,"September 30, 1998","SASKATOON",54,NA,NA,2,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",232086.328,2.32672042620279
"1998-3","1060",5,3,"September 30, 1998","MONTRÉAL",404,NA,NA,73,5.53424657534247,0.657534246575342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",3551212.73,1.13763953532573
"1998-3","2270",1,1,"September 30, 1998","TORONTO",2787,NA,NA,2787,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",4621142.46,6.03097615822041
"1998-3","2410",1,3,"September 30, 1998","VANCOUVER",7,NA,NA,7,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",2003029.82,0.0349470583518322
"1998-3","0340",1,1,"September 30, 1998","EDMONTON",1140,NA,NA,1140,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","2440",4,1,"September 30, 1998","VICTORIA",3,NA,NA,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",320093.69,0.093722559791791
"1998-3","2680",2,3,"September 30, 1998","WINNIPEG",16,NA,NA,8,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",686857.254,0.232945053820455
"1998-3","1700",2,2,"September 30, 1998","SASKATOON",8,NA,NA,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",232086.328,0.344699322400413
"1998-3","1400",5,2,"September 30, 1998","QUÉBEC",45,NA,NA,8,5.625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",696919.876,0.645698329889504
"1998-3","1060",2,1,"September 30, 1998","MONTRÉAL",130,NA,NA,65,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",3551212.73,0.366072127703822
"1998-3","2680",4,3,"September 30, 1998","WINNIPEG",6,NA,NA,1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",686857.254,0.0873543951826707
"1998-3","0580",2,1,"September 30, 1998",NA,45,NA,NA,23,1.95652173913043,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","2410",1,2,"September 30, 1998","VANCOUVER",9,NA,NA,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",2003029.82,0.0449319321666414
"1998-3","0610",5,2,"September 30, 1998",NA,15,NA,NA,1,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","2410",2,1,"September 30, 1998","VANCOUVER",110,NA,NA,55,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",2003029.82,0.549168059814506
"1998-3","1400",5,3,"September 30, 1998","QUÉBEC",6,NA,NA,1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",696919.876,0.0860931106519338
"1998-3","0340",5,3,"September 30, 1998","EDMONTON",140,NA,NA,1,140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","0610",4,1,"September 30, 1998",NA,81,NA,NA,17,4.76470588235294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
