"reference_period_qq","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","ref_qq","ref_yy","population","comp_per_10kpop"
"1989-4","1700","December 31, 1989","SASKATOON",167,NA,NA,134,1.24626865671642,0.0149253731343284,4.20149253731343,"4","1989",215816.647,7.73804997535709
"1989-4","2440","December 31, 1989",NA,604,NA,NA,398,1.51758793969849,0.14070351758794,3.83668341708543,"4","1989",289992.005,20.8281604177329
"1989-4","2270","December 31, 1989","TORONTO",7825,NA,NA,4318,1.8121815655396,0.0407596109309866,7.28554886521538,"4","1989",3983955.18,19.6412852214869
"1989-4","2680","December 31, 1989","WINNIPEG",957,NA,NA,757,1.26420079260238,0.00924702774108322,4.50198150594452,"4","1989",670512.153,14.2726719525992
"1989-4","0610","December 31, 1989","HAMILTON",1271,NA,NA,694,1.8314121037464,0,3.37896253602305,NA,NA,NA,NA
"1989-4","0140","December 31, 1989","CALGARY",1361,NA,NA,1310,1.03893129770992,0.00152671755725191,3.33206106870229,NA,NA,NA,NA
"1989-4","1400","December 31, 1989",NA,918,NA,NA,691,1.32850940665702,0,2.06512301013025,"4","1989",657101.771,13.9704386826253
"1989-4","0340","December 31, 1989","EDMONTON",1230,NA,NA,1153,1.06678230702515,0,4.13703382480486,NA,NA,NA,NA
"1990-1","2270","March 31, 1990","TORONTO",8259,NA,NA,3341,2.472014366956,0.0613588745884466,7.79048189164921,"1","1990",3997034.52,20.6628187939693
"1990-1","0340","March 31, 1990","EDMONTON",987,NA,NA,928,1.0635775862069,0,4.40301724137931,NA,NA,NA,NA
"1990-1","1400","March 31, 1990",NA,751,NA,NA,356,2.10955056179775,0,2.81460674157303,"1","1990",659630.535,11.3851612402995
"1990-1","1490","March 31, 1990","REGINA",172,NA,NA,77,2.23376623376623,0.038961038961039,4.25974025974026,"1","1990",195363.544,8.80409909025811
"1990-1","1060","March 31, 1990",NA,3552,NA,NA,1928,1.84232365145228,0.0778008298755187,2.83039419087137,"1","1990",3391074.04,10.4745574944745
"1990-1","0140","March 31, 1990","CALGARY",1615,NA,NA,1516,1.06530343007916,0,3.59300791556728,NA,NA,NA,NA
"1990-1","2680","March 31, 1990","WINNIPEG",600,NA,NA,481,1.24740124740125,0.0353430353430353,7.01039501039501,"1","1990",671782.527,8.93146183303455
"1990-1","1265","March 31, 1990",NA,1229,NA,NA,612,2.00816993464052,0.0196078431372549,5.30882352941176,"1","1990",704990.8601,17.4328501198678
"1990-1","0610","March 31, 1990",NA,926,NA,NA,605,1.53057851239669,0,5.83471074380165,NA,NA,NA,NA
"1990-1","1700","March 31, 1990","SASKATOON",55,NA,NA,54,1.01851851851852,0,3.66666666666667,"1","1990",215969.104,2.54666056307758
"1990-1","2440","March 31, 1990","VICTORIA",557,NA,NA,290,1.92068965517241,0.217241379310345,4.06551724137931,"1","1990",291476.097,19.1096287391278
