"reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr"
"2006-1","1400","G3A","March 31, 2006","QUÉBEC",24,NA,NA,14,1.71428571428571,0,4.71428571428571
"2006-1","0340","T5B","March 31, 2006","EDMONTON",1,NA,NA,1,1,0,5
"2006-1","1060","H8P","March 31, 2006","MONTRÉAL",8,NA,NA,3,2.66666666666667,1,12
"2006-1","2270","M1N","March 31, 2006","TORONTO",6,NA,NA,6,1,0,6
"2006-1","2410","V5P","March 31, 2006","VANCOUVER",5,NA,NA,5,1,0,3.2
"2006-1","2410","V6M","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0,14.6666666666667
"2006-1","1400","G3K","March 31, 2006","QUÉBEC",4,NA,NA,1,4,0,7
"2006-1","2270","L9W","March 31, 2006","TORONTO",23,NA,NA,23,1,0,5.39130434782609
"2006-1","2680","R4A","March 31, 2006","WINNIPEG",2,NA,NA,2,1,0,8.5
"2006-1","0340","T5Y","March 31, 2006","EDMONTON",55,NA,NA,16,3.4375,0.25,5.8125
"2006-1","0340","T6G","March 31, 2006","EDMONTON",9,NA,NA,8,1.125,0,7.25
"2006-1","1060","H2R","March 31, 2006","MONTRÉAL",44,NA,NA,2,22,2,12
"2006-1","1060","J5B","March 31, 2006","MONTRÉAL",16,NA,NA,15,1.06666666666667,0,4.33333333333333
"2006-1","2270","M4L","March 31, 2006","TORONTO",70,NA,NA,2,35,0,9.5
"2006-1","2270","M2M","March 31, 2006","TORONTO",80,NA,NA,6,13.3333333333333,0,14.6666666666667
"2006-1","2440","V9B","March 31, 2006","VICTORIA",59,NA,NA,19,3.10526315789474,0.210526315789474,7.47368421052632
"2006-1","2680","R3R","March 31, 2006","WINNIPEG",3,NA,NA,3,1,0,7.33333333333333
"2006-1","1060","H1X","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,5
"2006-1","2270","L1Z","March 31, 2006","TORONTO",28,NA,NA,10,2.8,0,8.1
"2006-1","2270","L4C","March 31, 2006","TORONTO",6,NA,NA,6,1,0,12.6666666666667
"2006-1","2410","V7M","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,10
"2006-1","2270","M5T","March 31, 2006","TORONTO",65,NA,NA,3,21.6666666666667,1,15
"2006-1","1060","H1T","March 31, 2006","MONTRÉAL",8,NA,NA,1,8,3,17
"2006-1","2410","V4B","March 31, 2006","VANCOUVER",2,NA,NA,2,1,0,9
"2006-1","2410","V7L","March 31, 2006","VANCOUVER",14,NA,NA,6,2.33333333333333,0.333333333333333,6
"2006-1","1265","K4P","March 31, 2006","OTTAWA",11,NA,NA,11,1,0,6.09090909090909
"2006-1","2270","M1B","March 31, 2006","TORONTO",6,NA,NA,1,6,0,19
"2006-1","2270","M4A","March 31, 2006","TORONTO",2,NA,NA,1,2,0,4
"2006-1","1060","H9E","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,10
"2006-1","1400","G2N","March 31, 2006","QUÉBEC",14,NA,NA,14,1,0,3.14285714285714
"2006-1","2410","V3W","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0,6.8
"2006-1","1400","G2M","March 31, 2006","QUÉBEC",9,NA,NA,7,1.28571428571429,0,7
"2006-1","1060","H1S","March 31, 2006","MONTRÉAL",29,NA,NA,1,29,6,9
"2006-1","1700","S7N","March 31, 2006","SASKATOON",12,NA,NA,9,1.33333333333333,0,7
"2006-1","1060","H7P","March 31, 2006","MONTRÉAL",23,NA,NA,13,1.76923076923077,0,6.30769230769231
"2006-1","1400","G2C","March 31, 2006","QUÉBEC",23,NA,NA,15,1.53333333333333,0.2,4.4
"2006-1","1400","G6W","March 31, 2006","QUÉBEC",12,NA,NA,4,3,0,9.5
"2006-1","0140","T2H","March 31, 2006","CALGARY",55,NA,NA,1,55,0,12
"2006-1","1060","J0L","March 31, 2006","MONTRÉAL",45,NA,NA,44,1.02272727272727,0,3.5
"2006-1","1060","J3G","March 31, 2006","MONTRÉAL",30,NA,NA,28,1.07142857142857,0.0714285714285714,4.21428571428571
"2006-1","2410","V5E","March 31, 2006","VANCOUVER",10,NA,NA,9,1.11111111111111,0,9.55555555555556
"2006-1","0610","L9G","March 31, 2006","HAMILTON",17,NA,NA,17,1,0,8.76470588235294
"2006-1","1060","J7T","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,1
"2006-1","0580","B3N","March 31, 2006","HALIFAX",14,NA,NA,14,1,0,3.14285714285714
"2006-1","1400","nan","March 31, 2006","QUÉBEC",331,NA,NA,255,1.29803921568627,0,3.71372549019608
"2006-1","2410","V4C","March 31, 2006","VANCOUVER",11,NA,NA,11,1,0,6.27272727272727
"2006-1","0340","T5H","March 31, 2006","EDMONTON",67,NA,NA,6,11.1666666666667,0,6.66666666666667
"2006-1","1060","J5L","March 31, 2006","MONTRÉAL",39,NA,NA,22,1.77272727272727,0,4.31818181818182
"2006-1","1265","K4M","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,6
"2006-1","1400","G6V","March 31, 2006","QUÉBEC",58,NA,NA,15,3.86666666666667,0,3.46666666666667
"2006-1","2270","M9B","March 31, 2006","TORONTO",7,NA,NA,7,1,0,8.71428571428571
"2006-1","1060","H7T","March 31, 2006","MONTRÉAL",36,NA,NA,14,2.57142857142857,0.142857142857143,5.57142857142857
"2006-1","0580","B2R","March 31, 2006","HALIFAX",8,NA,NA,8,1,0,3.375
"2006-1","2410","V7W","March 31, 2006","VANCOUVER",19,NA,NA,10,1.9,0,16.2
"2006-1","2440","V8R","March 31, 2006","VICTORIA",3,NA,NA,3,1,0,9.66666666666667
"2006-1","2680","R3T","March 31, 2006","WINNIPEG",3,NA,NA,3,1,0,6
"2006-1","0140","T2E","March 31, 2006","CALGARY",139,NA,NA,21,6.61904761904762,0,14
"2006-1","1265","K2E","March 31, 2006","OTTAWA",4,NA,NA,4,1,0,8
"2006-1","2270","M1R","March 31, 2006","TORONTO",1,NA,NA,1,1,0,6
"2006-1","2410","V4M","March 31, 2006","VANCOUVER",2,NA,NA,2,1,0,9
"2006-1","1060","J3Y","March 31, 2006","MONTRÉAL",44,NA,NA,17,2.58823529411765,0.176470588235294,4.05882352941176
"2006-1","1060","J5Y","March 31, 2006","MONTRÉAL",47,NA,NA,38,1.23684210526316,0.105263157894737,3.26315789473684
"2006-1","2270","M1K","March 31, 2006","TORONTO",1,NA,NA,1,1,0,6
"2006-1","2410","V3E","March 31, 2006","VANCOUVER",3,NA,NA,2,1.5,1,8.5
"2006-1","0610","L8G","March 31, 2006","HAMILTON",7,NA,NA,7,1,0,6.85714285714286
"2006-1","1060","H2C","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,6
"2006-1","1060","J6K","March 31, 2006","MONTRÉAL",9,NA,NA,4,2.25,0.75,5.5
"2006-1","2680","R3M","March 31, 2006","WINNIPEG",2,NA,NA,1,2,0,3
"2006-1","1400","G3B","March 31, 2006","QUÉBEC",18,NA,NA,18,1,0,2.11111111111111
"2006-1","0580","B4E","March 31, 2006","HALIFAX",6,NA,NA,6,1,0,3.66666666666667
"2006-1","2270","L3R","March 31, 2006","TORONTO",60,NA,NA,18,3.33333333333333,0,5.38888888888889
"2006-1","2410","V5W","March 31, 2006","VANCOUVER",32,NA,NA,16,2,0.25,3.875
"2006-1","1060","H1A","March 31, 2006","MONTRÉAL",26,NA,NA,5,5.2,1.8,14.8
"2006-1","1400","G0R","March 31, 2006","QUÉBEC",3,NA,NA,3,1,0,3
"2006-1","1400","G1S","March 31, 2006","QUÉBEC",1,NA,NA,1,1,0,0
"2006-1","1700","nan","March 31, 2006","SASKATOON",149,NA,NA,103,1.44660194174757,0,5.99029126213592
"2006-1","2410","V6R","March 31, 2006","VANCOUVER",11,NA,NA,9,1.22222222222222,0,15.5555555555556
"2006-1","1060","H9W","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,6
"2006-1","1060","J7C","March 31, 2006","MONTRÉAL",17,NA,NA,15,1.13333333333333,0,2.6
"2006-1","1060","J5R","March 31, 2006","MONTRÉAL",50,NA,NA,29,1.72413793103448,0.0689655172413793,3.89655172413793
"2006-1","0610","L7L","March 31, 2006","HAMILTON",5,NA,NA,5,1,0,10.6
"2006-1","1060","H2V","March 31, 2006","MONTRÉAL",64,NA,NA,1,64,0,15
"2006-1","2270","nan","March 31, 2006","TORONTO",7237,NA,NA,3290,2.19969604863222,0.0395136778115502,7.11094224924012
"2006-1","0610","L9H","March 31, 2006","HAMILTON",2,NA,NA,2,1,0,18
"2006-1","2270","L4L","March 31, 2006","TORONTO",6,NA,NA,6,1,0,10.1666666666667
"2006-1","2270","L4T","March 31, 2006","TORONTO",1,NA,NA,1,1,0,8
"2006-1","1060","J4X","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,4
"2006-1","1490","nan","March 31, 2006","REGINA",29,NA,NA,29,1,0,12.1724137931034
"2006-1","0140","T2C","March 31, 2006","CALGARY",153,NA,NA,30,5.1,0,6.1
"2006-1","1060","J6Y","March 31, 2006","MONTRÉAL",78,NA,NA,24,3.25,0.166666666666667,4
"2006-1","1265","K1V","March 31, 2006","OTTAWA",17,NA,NA,6,2.83333333333333,0,5.16666666666667
"2006-1","1400","G1E","March 31, 2006","QUÉBEC",3,NA,NA,1,3,0,3
"2006-1","1400","G1X","March 31, 2006","QUÉBEC",23,NA,NA,7,3.28571428571429,0,6.71428571428571
"2006-1","2270","M3K","March 31, 2006","TORONTO",2,NA,NA,2,1,0,12.5
"2006-1","2680","R3N","March 31, 2006","WINNIPEG",94,NA,NA,1,94,4,10
"2006-1","1060","H1B","March 31, 2006","MONTRÉAL",8,NA,NA,1,8,3,5
"2006-1","1060","J3L","March 31, 2006","MONTRÉAL",61,NA,NA,50,1.22,0.2,4.72
"2006-1","2680","R2N","March 31, 2006","WINNIPEG",17,NA,NA,17,1,0,3.29411764705882
"2006-1","1060","H9X","March 31, 2006","MONTRÉAL",3,NA,NA,3,1,0,4
"2006-1","2680","R2G","March 31, 2006","WINNIPEG",1,NA,NA,1,1,0,10
"2006-1","2270","M5V","March 31, 2006","TORONTO",284,NA,NA,3,94.6666666666667,0,13.3333333333333
"2006-1","2270","M6L","March 31, 2006","TORONTO",1,NA,NA,1,1,0,9
"2006-1","0580","B4A","March 31, 2006","HALIFAX",24,NA,NA,19,1.26315789473684,0,4.94736842105263
"2006-1","1060","H9J","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,7
"2006-1","1265","K2A","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,9
"2006-1","1060","H4C","March 31, 2006","MONTRÉAL",44,NA,NA,7,6.28571428571429,2.57142857142857,9.71428571428571
"2006-1","1700","S7L","March 31, 2006","SASKATOON",22,NA,NA,21,1.04761904761905,0,7.23809523809524
"2006-1","2270","L3T","March 31, 2006","TORONTO",4,NA,NA,4,1,0,5.75
"2006-1","2410","V3N","March 31, 2006","VANCOUVER",16,NA,NA,13,1.23076923076923,0,10.6153846153846
"2006-1","1060","H9R","March 31, 2006","MONTRÉAL",63,NA,NA,3,21,3.33333333333333,11.3333333333333
"2006-1","0140","T2G","March 31, 2006","CALGARY",6,NA,NA,6,1,0,9
"2006-1","2440","nan","March 31, 2006","VICTORIA",100,NA,NA,91,1.0989010989011,0,6.54945054945055
"2006-1","2270","L1V","March 31, 2006","TORONTO",3,NA,NA,3,1,0,5.33333333333333
"2006-1","2440","V8X","March 31, 2006","VICTORIA",136,NA,NA,8,17,1.25,9.125
"2006-1","1060","J6N","March 31, 2006","MONTRÉAL",5,NA,NA,3,1.66666666666667,0.666666666666667,3.66666666666667
"2006-1","1265","K1C","March 31, 2006","OTTAWA",28,NA,NA,7,4,0,6.42857142857143
"2006-1","2270","L6K","March 31, 2006","TORONTO",5,NA,NA,5,1,0,10.2
"2006-1","2440","V8Z","March 31, 2006","VICTORIA",25,NA,NA,14,1.78571428571429,0.285714285714286,5.28571428571429
"2006-1","2440","V9Z","March 31, 2006","VICTORIA",2,NA,NA,2,1,0,8
"2006-1","2270","M5N","March 31, 2006","TORONTO",2,NA,NA,2,1,0,12
"2006-1","2270","M9M","March 31, 2006","TORONTO",69,NA,NA,6,11.5,0,10.1666666666667
"2006-1","2410","V3C","March 31, 2006","VANCOUVER",2,NA,NA,2,1,0,11.5
"2006-1","2410","V5T","March 31, 2006","VANCOUVER",3,NA,NA,2,1.5,0,14
"2006-1","0610","L8R","March 31, 2006","HAMILTON",4,NA,NA,4,1,0,4
"2006-1","2410","V5C","March 31, 2006","VANCOUVER",9,NA,NA,9,1,0,13.2222222222222
"2006-1","2270","M1E","March 31, 2006","TORONTO",6,NA,NA,6,1,0,6
"2006-1","2270","M4C","March 31, 2006","TORONTO",3,NA,NA,3,1,0,7.66666666666667
"2006-1","1060","H7L","March 31, 2006","MONTRÉAL",25,NA,NA,20,1.25,0,3.8
"2006-1","1700","S7K","March 31, 2006","SASKATOON",4,NA,NA,2,2,0,5.5
"2006-1","2410","V4N","March 31, 2006","VANCOUVER",32,NA,NA,32,1,0,7.03125
"2006-1","0140","T2Y","March 31, 2006","CALGARY",43,NA,NA,33,1.3030303030303,0,8.27272727272727
"2006-1","1265","K2T","March 31, 2006","OTTAWA",6,NA,NA,1,6,0,7
"2006-1","2270","M6H","March 31, 2006","TORONTO",1,NA,NA,1,1,0,6
"2006-1","2410","V5G","March 31, 2006","VANCOUVER",582,NA,NA,19,30.6315789473684,4.15789473684211,11.2105263157895
"2006-1","1060","J0P","March 31, 2006","MONTRÉAL",5,NA,NA,5,1,0,5.2
"2006-1","2410","V6S","March 31, 2006","VANCOUVER",4,NA,NA,4,1,0,12.75
"2006-1","0340","T9E","March 31, 2006","EDMONTON",43,NA,NA,9,4.77777777777778,0.333333333333333,6
"2006-1","0580","B3A","March 31, 2006","HALIFAX",37,NA,NA,2,18.5,0,7
"2006-1","2680","R2W","March 31, 2006","WINNIPEG",4,NA,NA,4,1,0,4
"2006-1","1060","H7H","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,14
"2006-1","2680","R2X","March 31, 2006","WINNIPEG",2,NA,NA,2,1,0,2.5
"2006-1","1400","G7A","March 31, 2006","QUÉBEC",5,NA,NA,5,1,0,2.6
"2006-1","1060","J4Y","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,7
"2006-1","1400","G1B","March 31, 2006","QUÉBEC",30,NA,NA,21,1.42857142857143,0,3.0952380952381
"2006-1","2410","V3R","March 31, 2006","VANCOUVER",61,NA,NA,22,2.77272727272727,0,7.54545454545455
"2006-1","0610","L3M","March 31, 2006","HAMILTON",33,NA,NA,15,2.2,0,4.8
"2006-1","2270","L6J","March 31, 2006","TORONTO",9,NA,NA,9,1,0,13
"2006-1","2410","V4L","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,5
"2006-1","1060","H8T","March 31, 2006","MONTRÉAL",13,NA,NA,3,4.33333333333333,1.66666666666667,9.66666666666667
"2006-1","2680","nan","March 31, 2006","WINNIPEG",80,NA,NA,79,1.0126582278481,0,4.54430379746835
"2006-1","1060","H1W","March 31, 2006","MONTRÉAL",67,NA,NA,5,13.4,3,7.4
"2006-1","1060","J7J","March 31, 2006","MONTRÉAL",13,NA,NA,10,1.3,0,5.3
"2006-1","2270","L0G","March 31, 2006","TORONTO",10,NA,NA,10,1,0,9.3
"2006-1","0340","T6E","March 31, 2006","EDMONTON",4,NA,NA,4,1,0,6
"2006-1","2680","R1A","March 31, 2006","WINNIPEG",12,NA,NA,12,1,0,4.66666666666667
"2006-1","1060","H8Z","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,14
"2006-1","2680","R3W","March 31, 2006","WINNIPEG",2,NA,NA,2,1,0,5
"2006-1","1400","G1P","March 31, 2006","QUÉBEC",2,NA,NA,1,2,0,1
"2006-1","2410","V5N","March 31, 2006","VANCOUVER",58,NA,NA,19,3.05263157894737,0.736842105263158,5.78947368421053
"2006-1","1060","H1L","March 31, 2006","MONTRÉAL",99,NA,NA,4,24.75,0.75,6.5
"2006-1","1060","H9B","March 31, 2006","MONTRÉAL",3,NA,NA,3,1,0,5
"2006-1","2680","R2R","March 31, 2006","WINNIPEG",3,NA,NA,3,1,0,3.33333333333333
"2006-1","1400","G3J","March 31, 2006","QUÉBEC",11,NA,NA,9,1.22222222222222,0,2.88888888888889
"2006-1","0340","T0B","March 31, 2006","EDMONTON",1,NA,NA,1,1,0,0
"2006-1","2680","R0H","March 31, 2006","WINNIPEG",1,NA,NA,1,1,0,5
"2006-1","0340","T5N","March 31, 2006","EDMONTON",5,NA,NA,5,1,0,7.8
"2006-1","2440","V8N","March 31, 2006","VICTORIA",2,NA,NA,2,1,0,13
"2006-1","0580","B3P","March 31, 2006","HALIFAX",11,NA,NA,7,1.57142857142857,0,3.71428571428571
"2006-1","1060","J7Y","March 31, 2006","MONTRÉAL",25,NA,NA,15,1.66666666666667,0.2,5.53333333333333
"2006-1","1265","K1K","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,15
"2006-1","2270","L4A","March 31, 2006","TORONTO",15,NA,NA,15,1,0,3.2
"2006-1","2680","R2C","March 31, 2006","WINNIPEG",8,NA,NA,8,1,0,3.25
"2006-1","1060","H7X","March 31, 2006","MONTRÉAL",29,NA,NA,11,2.63636363636364,0.272727272727273,7.90909090909091
"2006-1","1060","H9K","March 31, 2006","MONTRÉAL",13,NA,NA,7,1.85714285714286,0.428571428571429,9.42857142857143
"2006-1","1400","G2J","March 31, 2006","QUÉBEC",2,NA,NA,2,1,0,2.5
"2006-1","2680","R3E","March 31, 2006","WINNIPEG",8,NA,NA,8,1,0,3.75
"2006-1","2440","V8S","March 31, 2006","VICTORIA",14,NA,NA,14,1,0,7.14285714285714
"2006-1","2270","L7J","March 31, 2006","TORONTO",7,NA,NA,7,1,0,7.85714285714286
"2006-1","1265","K2L","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,7
"2006-1","1400","G2A","March 31, 2006","QUÉBEC",11,NA,NA,6,1.83333333333333,0,4.33333333333333
"2006-1","1490","S4N","March 31, 2006","REGINA",18,NA,NA,17,1.05882352941176,0,6.05882352941176
"2006-1","1490","S4V","March 31, 2006","REGINA",65,NA,NA,53,1.22641509433962,0,6.13207547169811
"2006-1","0580","B0J","March 31, 2006","HALIFAX",21,NA,NA,21,1,0,3.66666666666667
"2006-1","0140","T2A","March 31, 2006","CALGARY",10,NA,NA,1,10,0,6
"2006-1","0610","L8S","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,16
"2006-1","1490","S4X","March 31, 2006","REGINA",30,NA,NA,30,1,0,6.53333333333333
