"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time"
"19","2006-1","0610","L0R","March 31, 2006","HAMILTON",7,NA,NA,7,1,0,12.5,0.142857142857143
"20","2006-1","0610","L3M","March 31, 2006","HAMILTON",33,NA,NA,15,2.2,0,6.7,0.583333333333333
"21","2006-1","0610","L7L","March 31, 2006","HAMILTON",5,NA,NA,5,1,0,10.6,0
"22","2006-1","0610","L7N","March 31, 2006","HAMILTON",7,NA,NA,7,1,0,12.4285714285714,0.285714285714286
"23","2006-1","0610","L7R","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,3,0
"24","2006-1","0610","L7T","March 31, 2006","HAMILTON",10,NA,NA,2,5,0,8.5,1
"25","2006-1","0610","L8E","March 31, 2006","HAMILTON",33,NA,NA,22,1.5,0,6.15789473684211,1.04545454545455
"26","2006-1","0610","L8G","March 31, 2006","HAMILTON",7,NA,NA,7,1,0,6.85714285714286,0.285714285714286
"27","2006-1","0610","L8H","March 31, 2006","HAMILTON",2,NA,NA,2,1,0,6,0
"28","2006-1","0610","L8J","March 31, 2006","HAMILTON",19,NA,NA,16,1.1875,0,3,0
"29","2006-1","0610","L8K","March 31, 2006","HAMILTON",3,NA,NA,3,1,0,12.6666666666667,0
"30","2006-1","0610","L8P","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,6,0
"31","2006-1","0610","L8R","March 31, 2006","HAMILTON",4,NA,NA,4,1,0,4,0
"32","2006-1","0610","L8S","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,16,0
"33","2006-1","0610","L8T","March 31, 2006","HAMILTON",13,NA,NA,13,1,0,5.58333333333333,0
"34","2006-1","0610","L8W","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,7,0
"35","2006-1","0610","L9A","March 31, 2006","HAMILTON",8,NA,NA,8,1,0,7.625,0
"36","2006-1","0610","L9B","March 31, 2006","HAMILTON",12,NA,NA,7,1.71428571428571,0,8,1.71428571428571
"37","2006-1","0610","L9C","March 31, 2006","HAMILTON",9,NA,NA,9,1,0,7.33333333333333,0.555555555555556
"38","2006-1","0610","L9G","March 31, 2006","HAMILTON",17,NA,NA,17,1,0,10.2142857142857,0.235294117647059
"39","2006-1","0610","L9H","March 31, 2006","HAMILTON",2,NA,NA,2,1,0,18,0
"40","2006-1","0610","N1R","March 31, 2006","HAMILTON",4,NA,NA,4,1,0,12.25,0
"41","2006-1","0610","nan","March 31, 2006","HAMILTON",527,NA,NA,249,2.11646586345382,0,6.77314814814815,0.969827586206897
"42","2006-1","1265","K0A","March 31, 2006","OTTAWA",101,NA,NA,96,1.05208333333333,0,5.63529411764706,0.59375
"43","2006-1","1265","K1C","March 31, 2006","OTTAWA",28,NA,NA,7,4,0,6.42857142857143,5.57142857142857
"44","2006-1","1265","K1E","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,5,0
"45","2006-1","1265","K1H","March 31, 2006","OTTAWA",8,NA,NA,1,8,0,7,0
"46","2006-1","1265","K1J","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,8,9
"47","2006-1","1265","K1K","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,15,2
"48","2006-1","1265","K1L","March 31, 2006","OTTAWA",4,NA,NA,2,2,0,10,0
"49","2006-1","1265","K1R","March 31, 2006","OTTAWA",33,NA,NA,1,33,0,15,2
"50","2006-1","1265","K1S","March 31, 2006","OTTAWA",3,NA,NA,2,1.5,0,6,0.5
"51","2006-1","1265","K1T","March 31, 2006","OTTAWA",10,NA,NA,7,1.42857142857143,0,4.85714285714286,2.14285714285714
"52","2006-1","1265","K1V","March 31, 2006","OTTAWA",17,NA,NA,6,2.83333333333333,0,6,0.833333333333333
"53","2006-1","1265","K1W","March 31, 2006","OTTAWA",5,NA,NA,5,1,0,10.4,0.8
"54","2006-1","1265","K1Y","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,6,4
"55","2006-1","1265","K1Z","March 31, 2006","OTTAWA",3,NA,NA,2,1.5,0,5,0.5
"56","2006-1","1265","K2A","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,9,0
"57","2006-1","1265","K2B","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,16,0
"58","2006-1","1265","K2C","March 31, 2006","OTTAWA",3,NA,NA,3,1,0,6,0
"59","2006-1","1265","K2E","March 31, 2006","OTTAWA",4,NA,NA,4,1,0,8,0.75
"60","2006-1","1265","K2G","March 31, 2006","OTTAWA",3,NA,NA,3,1,0,5.66666666666667,0
"61","2006-1","1265","K2H","March 31, 2006","OTTAWA",13,NA,NA,2,6.5,0,9,2
"62","2006-1","1265","K2K","March 31, 2006","OTTAWA",10,NA,NA,10,1,0,6.88888888888889,0.6
"63","2006-1","1265","K2L","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,7,0
"64","2006-1","1265","K2M","March 31, 2006","OTTAWA",5,NA,NA,5,1,0,4.5,1.2
"65","2006-1","1265","K2S","March 31, 2006","OTTAWA",17,NA,NA,17,1,0,5.64705882352941,0.117647058823529
"66","2006-1","1265","K2T","March 31, 2006","OTTAWA",6,NA,NA,1,6,0,7,0
"67","2006-1","1265","K4M","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,6,0
"68","2006-1","1265","K4P","March 31, 2006","OTTAWA",11,NA,NA,11,1,0,6.09090909090909,1
"69","2006-1","1265","nan","March 31, 2006","OTTAWA",596,NA,NA,395,1.50886075949367,0,6.04736842105263,0.746835443037975
"70","2006-1","1060","H1A","March 31, 2006","MONTRÉAL",26,NA,NA,5,5.2,1.8,18,0
"71","2006-1","1060","H1B","March 31, 2006","MONTRÉAL",8,NA,NA,1,8,3,5,0
"72","2006-1","1060","H1C","March 31, 2006","MONTRÉAL",6,NA,NA,4,1.5,0,6,0
"73","2006-1","1060","H1E","March 31, 2006","MONTRÉAL",13,NA,NA,8,1.625,0.25,5,0
"74","2006-1","1060","H1J","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,6.5,0
"75","2006-1","1060","H1L","March 31, 2006","MONTRÉAL",99,NA,NA,4,24.75,0.75,6.5,0
"76","2006-1","1060","H1N","March 31, 2006","MONTRÉAL",6,NA,NA,2,3,0,7,0
"77","2006-1","1060","H1R","March 31, 2006","MONTRÉAL",5,NA,NA,5,1,0,5.25,0
"78","2006-1","1060","H1S","March 31, 2006","MONTRÉAL",29,NA,NA,1,29,6,9,0
"79","2006-1","1060","H1T","March 31, 2006","MONTRÉAL",8,NA,NA,1,8,3,17,0
"80","2006-1","1060","H1V","March 31, 2006","MONTRÉAL",14,NA,NA,2,7,1.5,6.5,0
"81","2006-1","1060","H1W","March 31, 2006","MONTRÉAL",67,NA,NA,5,13.4,3,7.4,0.2
"82","2006-1","1060","H1X","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,5,0
"83","2006-1","1060","H2C","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,6,0
"84","2006-1","1060","H2G","March 31, 2006","MONTRÉAL",7,NA,NA,1,7,3,9,0
"85","2006-1","1060","H2L","March 31, 2006","MONTRÉAL",4,NA,NA,1,4,3,6,0
"86","2006-1","1060","H2P","March 31, 2006","MONTRÉAL",4,NA,NA,1,4,3,4,0
"87","2006-1","1060","H2R","March 31, 2006","MONTRÉAL",44,NA,NA,2,22,2,12,0
"88","2006-1","1060","H2V","March 31, 2006","MONTRÉAL",64,NA,NA,1,64,0,15,0
"89","2006-1","1060","H2X","March 31, 2006","MONTRÉAL",70,NA,NA,3,23.3333333333333,2.33333333333333,16.3333333333333,0
"90","2006-1","1060","H3P","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,7,0
"91","2006-1","1060","H3X","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,8,0
"92","2006-1","1060","H4B","March 31, 2006","MONTRÉAL",16,NA,NA,2,8,3,5,0
"93","2006-1","1060","H4C","March 31, 2006","MONTRÉAL",44,NA,NA,7,6.28571428571429,2.57142857142857,9.71428571428571,0
"94","2006-1","1060","H4E","March 31, 2006","MONTRÉAL",2,NA,NA,1,2,0,5,0
"95","2006-1","1060","H4G","March 31, 2006","MONTRÉAL",32,NA,NA,4,8,0.75,4,0
"96","2006-1","1060","H4K","March 31, 2006","MONTRÉAL",62,NA,NA,3,20.6666666666667,0,20.5,0
"97","2006-1","1060","H4L","March 31, 2006","MONTRÉAL",55,NA,NA,1,55,0,8,0
"98","2006-1","1060","H4N","March 31, 2006","MONTRÉAL",4,NA,NA,3,1.33333333333333,0,10.3333333333333,0
"99","2006-1","1060","H4V","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,3,0
"100","2006-1","1060","H7A","March 31, 2006","MONTRÉAL",35,NA,NA,23,1.52173913043478,0.130434782608696,5.25,0
"101","2006-1","1060","H7E","March 31, 2006","MONTRÉAL",16,NA,NA,12,1.33333333333333,0,10.25,0
"102","2006-1","1060","H7H","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,14,0
"103","2006-1","1060","H7K","March 31, 2006","MONTRÉAL",3,NA,NA,3,1,0,5.33333333333333,0
"104","2006-1","1060","H7L","March 31, 2006","MONTRÉAL",25,NA,NA,20,1.25,0,4.78571428571429,0
"105","2006-1","1060","H7M","March 31, 2006","MONTRÉAL",17,NA,NA,13,1.30769230769231,0.153846153846154,9.66666666666667,0
"106","2006-1","1060","H7P","March 31, 2006","MONTRÉAL",23,NA,NA,13,1.76923076923077,0,6.75,0
"107","2006-1","1060","H7R","March 31, 2006","MONTRÉAL",18,NA,NA,11,1.63636363636364,0,5.8,0
"108","2006-1","1060","H7T","March 31, 2006","MONTRÉAL",36,NA,NA,14,2.57142857142857,0.142857142857143,5.57142857142857,0
"109","2006-1","1060","H7V","March 31, 2006","MONTRÉAL",158,NA,NA,3,52.6666666666667,6.66666666666667,15.6666666666667,0
"110","2006-1","1060","H7W","March 31, 2006","MONTRÉAL",4,NA,NA,3,1.33333333333333,0,9.33333333333333,0
"111","2006-1","1060","H7X","March 31, 2006","MONTRÉAL",29,NA,NA,11,2.63636363636364,0.272727272727273,8.5,0
"112","2006-1","1060","H8P","March 31, 2006","MONTRÉAL",8,NA,NA,3,2.66666666666667,1,12,0
"113","2006-1","1060","H8R","March 31, 2006","MONTRÉAL",14,NA,NA,1,14,3,14,0
"114","2006-1","1060","H8S","March 31, 2006","MONTRÉAL",14,NA,NA,3,4.66666666666667,0,5,0
"115","2006-1","1060","H8T","March 31, 2006","MONTRÉAL",13,NA,NA,3,4.33333333333333,1.66666666666667,9.66666666666667,0
"116","2006-1","1060","H8Y","March 31, 2006","MONTRÉAL",4,NA,NA,4,1,0,4.25,0
"117","2006-1","1060","H8Z","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,14,0
"118","2006-1","1060","H9A","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,22,0
"119","2006-1","1060","H9B","March 31, 2006","MONTRÉAL",3,NA,NA,3,1,0,5,0
"120","2006-1","1060","H9C","March 31, 2006","MONTRÉAL",17,NA,NA,17,1,0,3.3125,0
"121","2006-1","1060","H9E","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,10,0
"122","2006-1","1060","H9G","March 31, 2006","MONTRÉAL",110,NA,NA,1,110,0,11,0
"123","2006-1","1060","H9H","March 31, 2006","MONTRÉAL",24,NA,NA,2,12,3,9.5,3
"124","2006-1","1060","H9J","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,7,0
"125","2006-1","1060","H9K","March 31, 2006","MONTRÉAL",13,NA,NA,7,1.85714285714286,0.428571428571429,10.6666666666667,0
"126","2006-1","1060","H9R","March 31, 2006","MONTRÉAL",63,NA,NA,3,21,3.33333333333333,11.3333333333333,0
"127","2006-1","1060","H9S","March 31, 2006","MONTRÉAL",78,NA,NA,3,26,0,7,0
"128","2006-1","1060","H9W","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,6,0
"129","2006-1","1060","H9X","March 31, 2006","MONTRÉAL",3,NA,NA,3,1,0,5.5,0
"130","2006-1","1060","J0L","March 31, 2006","MONTRÉAL",45,NA,NA,44,1.02272727272727,0,4.39285714285714,0
"131","2006-1","1060","J0N","March 31, 2006","MONTRÉAL",78,NA,NA,49,1.59183673469388,0.0408163265306122,4.90909090909091,0
"132","2006-1","1060","J0P","March 31, 2006","MONTRÉAL",5,NA,NA,5,1,0,5.2,0
"133","2006-1","1060","J3G","March 31, 2006","MONTRÉAL",30,NA,NA,28,1.07142857142857,0.0714285714285714,5.25,0
"134","2006-1","1060","J3H","March 31, 2006","MONTRÉAL",44,NA,NA,27,1.62962962962963,0.148148148148148,4.74074074074074,0
"135","2006-1","1060","J3L","March 31, 2006","MONTRÉAL",61,NA,NA,50,1.22,0.2,5.39024390243902,0
"136","2006-1","1060","J3N","March 31, 2006","MONTRÉAL",9,NA,NA,9,1,0,5.57142857142857,0
"137","2006-1","1060","J3V","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,5,0
"138","2006-1","1060","J3X","March 31, 2006","MONTRÉAL",14,NA,NA,3,4.66666666666667,2.33333333333333,6.33333333333333,0
"139","2006-1","1060","J3Y","March 31, 2006","MONTRÉAL",44,NA,NA,17,2.58823529411765,0.176470588235294,4.1875,0
"140","2006-1","1060","J4M","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,3,0
"141","2006-1","1060","J4N","March 31, 2006","MONTRÉAL",25,NA,NA,9,2.77777777777778,0.333333333333333,6.57142857142857,0
"142","2006-1","1060","J4R","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,3,0
"143","2006-1","1060","J4T","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,4.5,0
"144","2006-1","1060","J4V","March 31, 2006","MONTRÉAL",6,NA,NA,2,3,2,6,0
"145","2006-1","1060","J4W","March 31, 2006","MONTRÉAL",7,NA,NA,2,3.5,0,8,0
"146","2006-1","1060","J4X","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,4,0
"147","2006-1","1060","J4Y","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,7,0
"148","2006-1","1060","J4Z","March 31, 2006","MONTRÉAL",12,NA,NA,4,3,1,6.5,0
"149","2006-1","1060","J5A","March 31, 2006","MONTRÉAL",24,NA,NA,1,24,0,6,0
"150","2006-1","1060","J5B","March 31, 2006","MONTRÉAL",16,NA,NA,15,1.06666666666667,0,5.18181818181818,0
"151","2006-1","1060","J5L","March 31, 2006","MONTRÉAL",39,NA,NA,22,1.77272727272727,0,5.4375,0
"152","2006-1","1060","J5R","March 31, 2006","MONTRÉAL",50,NA,NA,29,1.72413793103448,0.0689655172413793,4.29166666666667,0
"153","2006-1","1060","J5T","March 31, 2006","MONTRÉAL",22,NA,NA,15,1.46666666666667,0.133333333333333,4,0
"154","2006-1","1060","J5W","March 31, 2006","MONTRÉAL",35,NA,NA,25,1.4,0.16,4.3125,0
"155","2006-1","1060","J5Y","March 31, 2006","MONTRÉAL",47,NA,NA,38,1.23684210526316,0.105263157894737,3.92307692307692,0
"156","2006-1","1060","J5Z","March 31, 2006","MONTRÉAL",95,NA,NA,44,2.15909090909091,0.477272727272727,4.67647058823529,0
"157","2006-1","1060","J6A","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,NA,0
"158","2006-1","1060","J6J","March 31, 2006","MONTRÉAL",23,NA,NA,23,1,0,4.19047619047619,0
"159","2006-1","1060","J6K","March 31, 2006","MONTRÉAL",9,NA,NA,4,2.25,0.75,5.5,0
"160","2006-1","1060","J6N","March 31, 2006","MONTRÉAL",5,NA,NA,3,1.66666666666667,0.666666666666667,4.5,0
"161","2006-1","1060","J6R","March 31, 2006","MONTRÉAL",33,NA,NA,16,2.0625,0.1875,3.83333333333333,0
"162","2006-1","1060","J6W","March 31, 2006","MONTRÉAL",9,NA,NA,5,1.8,0,5.6,0
"163","2006-1","1060","J6X","March 31, 2006","MONTRÉAL",9,NA,NA,9,1,0,4.11111111111111,0
"164","2006-1","1060","J6Y","March 31, 2006","MONTRÉAL",78,NA,NA,24,3.25,0.166666666666667,4.36363636363636,0
"165","2006-1","1060","J7A","March 31, 2006","MONTRÉAL",3,NA,NA,3,1,0,8.33333333333333,0
"166","2006-1","1060","J7C","March 31, 2006","MONTRÉAL",17,NA,NA,15,1.13333333333333,0,4.11111111111111,0
"167","2006-1","1060","J7E","March 31, 2006","MONTRÉAL",19,NA,NA,3,6.33333333333333,0,10,0
"168","2006-1","1060","J7J","March 31, 2006","MONTRÉAL",13,NA,NA,10,1.3,0,5.77777777777778,0
"169","2006-1","1060","J7K","March 31, 2006","MONTRÉAL",52,NA,NA,52,1,0,4.32558139534884,0
"170","2006-1","1060","J7L","March 31, 2006","MONTRÉAL",3,NA,NA,3,1,0,5.66666666666667,0
"171","2006-1","1060","J7M","March 31, 2006","MONTRÉAL",97,NA,NA,62,1.56451612903226,0.0806451612903226,5.16981132075472,0
"172","2006-1","1060","J7R","March 31, 2006","MONTRÉAL",102,NA,NA,8,12.75,0.75,8.25,0
"173","2006-1","1060","J7T","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,NA,0
"174","2006-1","1060","J7V","March 31, 2006","MONTRÉAL",84,NA,NA,54,1.55555555555556,0.111111111111111,6.08333333333333,0
"175","2006-1","1060","J7Y","March 31, 2006","MONTRÉAL",25,NA,NA,15,1.66666666666667,0.2,6.66666666666667,0
"176","2006-1","1060","J7Z","March 31, 2006","MONTRÉAL",18,NA,NA,6,3,1,7,0
"177","2006-1","1060","nan","March 31, 2006","MONTRÉAL",976,NA,NA,681,1.43318649045521,0.136563876651982,5.56462585034014,0.00147058823529412
"178","2006-1","1700","S7H","March 31, 2006","SASKATOON",4,NA,NA,4,1,0,5.25,0
"179","2006-1","1700","S7J","March 31, 2006","SASKATOON",15,NA,NA,10,1.5,0,6.7,0
"180","2006-1","1700","S7K","March 31, 2006","SASKATOON",4,NA,NA,2,2,0,5.5,0
"181","2006-1","1700","S7L","March 31, 2006","SASKATOON",22,NA,NA,21,1.04761904761905,0,7.5,0
"182","2006-1","1700","S7M","March 31, 2006","SASKATOON",6,NA,NA,5,1.2,0,6.4,0
"183","2006-1","1700","S7N","March 31, 2006","SASKATOON",12,NA,NA,9,1.33333333333333,0,7,0
"184","2006-1","1700","nan","March 31, 2006","SASKATOON",149,NA,NA,103,1.44660194174757,0,6.25773195876289,0.0970873786407767
"185","2006-1","2410","V0N","March 31, 2006","VANCOUVER",25,NA,NA,25,1,0,18.6190476190476,0.52
"186","2006-1","2410","V1M","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,5,0
"187","2006-1","2410","V2X","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0,16.1,0.2
"188","2006-1","2410","V2Z","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0,4,0.333333333333333
"189","2006-1","2410","V3B","March 31, 2006","VANCOUVER",5,NA,NA,4,1.25,0.5,6.75,0
"190","2006-1","2410","V3C","March 31, 2006","VANCOUVER",2,NA,NA,2,1,0,11.5,0.5
"191","2006-1","2410","V3E","March 31, 2006","VANCOUVER",3,NA,NA,2,1.5,1,8.5,0
"192","2006-1","2410","V3H","March 31, 2006","VANCOUVER",54,NA,NA,29,1.86206896551724,0,7.13793103448276,0.724137931034483
"193","2006-1","2410","V3J","March 31, 2006","VANCOUVER",19,NA,NA,12,1.58333333333333,1,12.4166666666667,0.25
"194","2006-1","2410","V3K","March 31, 2006","VANCOUVER",14,NA,NA,7,2,1.14285714285714,6.42857142857143,0.571428571428571
"195","2006-1","2410","V3L","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,60,2
"196","2006-1","2410","V3M","March 31, 2006","VANCOUVER",160,NA,NA,33,4.84848484848485,1.6969696969697,18.2727272727273,12.969696969697
"197","2006-1","2410","V3N","March 31, 2006","VANCOUVER",16,NA,NA,13,1.23076923076923,0,10.6153846153846,0
"198","2006-1","2410","V3R","March 31, 2006","VANCOUVER",61,NA,NA,22,2.77272727272727,0,7.54545454545455,0.272727272727273
"199","2006-1","2410","V3S","March 31, 2006","VANCOUVER",143,NA,NA,123,1.16260162601626,0,6.53658536585366,0.59349593495935
"200","2006-1","2410","V3T","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0,4.66666666666667,0.333333333333333
"201","2006-1","2410","V3V","March 31, 2006","VANCOUVER",17,NA,NA,17,1,0,5.41176470588235,0.0588235294117647
"202","2006-1","2410","V3W","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0,6.8,0.2
"203","2006-1","2410","V3X","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0,9.4,1.2
"204","2006-1","2410","V3Y","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0,4,0
"205","2006-1","2410","V4A","March 31, 2006","VANCOUVER",66,NA,NA,10,6.6,0.4,10,0.1
"206","2006-1","2410","V4B","March 31, 2006","VANCOUVER",2,NA,NA,2,1,0,9,0
"207","2006-1","2410","V4C","March 31, 2006","VANCOUVER",11,NA,NA,11,1,0,6.27272727272727,0.0909090909090909
"208","2006-1","2410","V4K","March 31, 2006","VANCOUVER",30,NA,NA,17,1.76470588235294,0,6.82352941176471,2.17647058823529
"209","2006-1","2410","V4L","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,5,0
"210","2006-1","2410","V4M","March 31, 2006","VANCOUVER",2,NA,NA,2,1,0,9,0
"211","2006-1","2410","V4N","March 31, 2006","VANCOUVER",32,NA,NA,32,1,0,7.03125,0.1875
"212","2006-1","2410","V4R","March 31, 2006","VANCOUVER",2,NA,NA,2,1,0,22,0
"213","2006-1","2410","V4W","March 31, 2006","VANCOUVER",6,NA,NA,6,1,0,5.2,0.666666666666667
"214","2006-1","2410","V5A","March 31, 2006","VANCOUVER",251,NA,NA,12,20.9166666666667,3.58333333333333,12.4166666666667,1.08333333333333
"215","2006-1","2410","V5B","March 31, 2006","VANCOUVER",23,NA,NA,21,1.0952380952381,0,9.95238095238095,0.0476190476190476
"216","2006-1","2410","V5C","March 31, 2006","VANCOUVER",9,NA,NA,9,1,0,13.2222222222222,3.55555555555556
"217","2006-1","2410","V5E","March 31, 2006","VANCOUVER",10,NA,NA,9,1.11111111111111,0,9.55555555555556,0
"218","2006-1","2410","V5G","March 31, 2006","VANCOUVER",582,NA,NA,19,30.6315789473684,4.15789473684211,11.2105263157895,2.10526315789474
"219","2006-1","2410","V5H","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,6,0
"220","2006-1","2410","V5J","March 31, 2006","VANCOUVER",74,NA,NA,7,10.5714285714286,1.42857142857143,6,0.714285714285714
"221","2006-1","2410","V5K","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0,5.4,1.6
"222","2006-1","2410","V5L","March 31, 2006","VANCOUVER",14,NA,NA,10,1.4,0,8.1,0.3
"223","2006-1","2410","V5M","March 31, 2006","VANCOUVER",130,NA,NA,35,3.71428571428571,0.114285714285714,6.94117647058824,2.14285714285714
"224","2006-1","2410","V5N","March 31, 2006","VANCOUVER",58,NA,NA,19,3.05263157894737,0.736842105263158,7.26666666666667,1.73684210526316
"225","2006-1","2410","V5P","March 31, 2006","VANCOUVER",5,NA,NA,5,1,0,14,3.4
"226","2006-1","2410","V5R","March 31, 2006","VANCOUVER",27,NA,NA,26,1.03846153846154,0,7.07692307692308,1.53846153846154
"227","2006-1","2410","V5S","March 31, 2006","VANCOUVER",123,NA,NA,19,6.47368421052632,0.578947368421053,7.89473684210526,1.15789473684211
"228","2006-1","2410","V5T","March 31, 2006","VANCOUVER",3,NA,NA,2,1.5,0,14,0
"229","2006-1","2410","V5V","March 31, 2006","VANCOUVER",15,NA,NA,12,1.25,0.166666666666667,7.09090909090909,1.08333333333333
"230","2006-1","2410","V5W","March 31, 2006","VANCOUVER",32,NA,NA,16,2,0.25,6.25,2.4375
"231","2006-1","2410","V5X","March 31, 2006","VANCOUVER",21,NA,NA,10,2.1,0,6.42857142857143,2.7
"232","2006-1","2410","V5Y","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,6,0
"233","2006-1","2410","V5Z","March 31, 2006","VANCOUVER",5,NA,NA,4,1.25,0.5,11.25,1
"234","2006-1","2410","V6A","March 31, 2006","VANCOUVER",291,NA,NA,3,97,11,17.6666666666667,3.33333333333333
"235","2006-1","2410","V6E","March 31, 2006","VANCOUVER",140,NA,NA,1,140,24,25,9
"236","2006-1","2410","V6H","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0,13,0.666666666666667
"237","2006-1","2410","V6J","March 31, 2006","VANCOUVER",3,NA,NA,2,1.5,0,14,0
"238","2006-1","2410","V6K","March 31, 2006","VANCOUVER",9,NA,NA,7,1.28571428571429,0,13.8571428571429,0
"239","2006-1","2410","V6L","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0,18,0
"240","2006-1","2410","V6M","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0,14.6666666666667,1
"241","2006-1","2410","V6N","March 31, 2006","VANCOUVER",8,NA,NA,8,1,0,9.75,0
"242","2006-1","2410","V6P","March 31, 2006","VANCOUVER",25,NA,NA,21,1.19047619047619,0,13.2857142857143,0
"243","2006-1","2410","V6R","March 31, 2006","VANCOUVER",11,NA,NA,9,1.22222222222222,0,15.5555555555556,0.111111111111111
"244","2006-1","2410","V6S","March 31, 2006","VANCOUVER",4,NA,NA,4,1,0,12.75,0
"245","2006-1","2410","V6V","March 31, 2006","VANCOUVER",6,NA,NA,6,1,0,5.33333333333333,0
