"reference_period_qq","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","inventory_per_10kpop"
"1991-4","4806019","December 31, 1991","0140","CALGARY","COCHRANE T",7,18,0.388888888888889,0,NA,NA,NA,NA
"1991-4","4806021","December 31, 1991","0140","CALGARY","AIRDRIE CY",38,32,1.1875,0.09375,NA,NA,NA,NA
"1991-4","4806024","December 31, 1991","0140","CALGARY","BEISEKER VL",1,1,1,0,NA,NA,NA,NA
"1992-1","4806024","March 31, 1992","0140","CALGARY","BEISEKER VL",0,1,0,0,NA,NA,NA,NA
"1992-1","4806019","March 31, 1992","0140","CALGARY","COCHRANE T",14,19,0.736842105263158,0,NA,NA,NA,NA
"1992-1","4806021","March 31, 1992","0140","CALGARY","AIRDRIE CY",43,43,1,0.0697674418604651,NA,NA,NA,NA
"1992-1","4806026","March 31, 1992","0140","CALGARY","CROSSFIELD T",1,1,1,0,NA,NA,NA,NA
"1992-1","4806016","March 31, 1992","0140","CALGARY","CALGARY CY",556,818,0.679706601466993,0,NA,NA,NA,NA
"1992-1","4806014","March 31, 1992","0140","CALGARY","ROCKY VIEW COUNTY MD",0,43,0,0,NA,NA,NA,NA
"1992-2","4806021","June 30, 1992","0140","CALGARY","AIRDRIE CY",28,46,0.608695652173913,0,NA,NA,NA,NA
"1992-2","4806016","June 30, 1992","0140","CALGARY","CALGARY CY",568,1006,0.564612326043738,0,NA,NA,NA,NA
"1992-2","4806022","June 30, 1992","0140","CALGARY","IRRICANA T",0,1,0,0,NA,NA,NA,NA
"1992-2","4806026","June 30, 1992","0140","CALGARY","CROSSFIELD T",1,2,0.5,0,NA,NA,NA,NA
"1992-2","4806014","June 30, 1992","0140","CALGARY","ROCKY VIEW COUNTY MD",0,22,0,0,NA,NA,NA,NA
"1992-2","4806017","June 30, 1992","0140","CALGARY","CHESTERMERE CY",0,1,0,0,NA,NA,NA,NA
"1992-2","4806019","June 30, 1992","0140","CALGARY","COCHRANE T",17,28,0.607142857142857,0,NA,NA,NA,NA
"1992-3","4806021","September 30, 1992","0140","CALGARY","AIRDRIE CY",22,42,0.523809523809524,0,NA,NA,NA,NA
"1992-3","4806026","September 30, 1992","0140","CALGARY","CROSSFIELD T",4,5,0.8,0,NA,NA,NA,NA
"1992-3","4806014","September 30, 1992","0140","CALGARY","ROCKY VIEW COUNTY MD",0,38,0,0,NA,NA,NA,NA
"1992-3","4806016","September 30, 1992","0140","CALGARY","CALGARY CY",474,944,0.502118644067797,0,NA,NA,NA,NA
"1992-3","4806019","September 30, 1992","0140","CALGARY","COCHRANE T",14,28,0.5,0,NA,NA,NA,NA
"1992-3","4806017","September 30, 1992","0140","CALGARY","CHESTERMERE CY",2,29,0.0689655172413793,0,NA,NA,NA,NA
"1992-3","4806022","September 30, 1992","0140","CALGARY","IRRICANA T",0,1,0,0,NA,NA,NA,NA
"1992-4","4806017","December 31, 1992","0140","CALGARY","CHESTERMERE CY",3,10,0.3,0,NA,NA,NA,NA
"1992-4","4806021","December 31, 1992","0140","CALGARY","AIRDRIE CY",29,34,0.852941176470588,0,NA,NA,NA,NA
"1992-4","4806016","December 31, 1992","0140","CALGARY","CALGARY CY",503,807,0.623296158612144,0,NA,NA,NA,NA
"1992-4","4806014","December 31, 1992","0140","CALGARY","ROCKY VIEW COUNTY MD",1,33,0.0303030303030303,0,NA,NA,NA,NA
"1992-4","4806019","December 31, 1992","0140","CALGARY","COCHRANE T",15,29,0.517241379310345,0,NA,NA,NA,NA
"1992-4","4806026","December 31, 1992","0140","CALGARY","CROSSFIELD T",3,3,1,0,NA,NA,NA,NA
"1993-1","4806024","March 31, 1993","0140","CALGARY","BEISEKER VL",0,1,0,0,NA,NA,NA,NA
"1993-1","4806019","March 31, 1993","0140","CALGARY","COCHRANE T",15,20,0.75,0,NA,NA,NA,NA
"1993-1","4806021","March 31, 1993","0140","CALGARY","AIRDRIE CY",27,37,0.72972972972973,0,NA,NA,NA,NA
"1993-1","4806026","March 31, 1993","0140","CALGARY","CROSSFIELD T",2,2,1,0,NA,NA,NA,NA
"1993-1","4806016","March 31, 1993","0140","CALGARY","CALGARY CY",532,730,0.728767123287671,0,NA,NA,NA,NA
"1993-1","4806017","March 31, 1993","0140","CALGARY","CHESTERMERE CY",2,2,1,0,NA,NA,NA,NA
"1993-1","4806014","March 31, 1993","0140","CALGARY","ROCKY VIEW COUNTY MD",3,23,0.130434782608696,0,NA,NA,NA,NA
"1993-2","4806019","June 30, 1993","0140","CALGARY","COCHRANE T",29,36,0.805555555555556,0,NA,NA,NA,NA
"1993-2","4806026","June 30, 1993","0140","CALGARY","CROSSFIELD T",1,2,0.5,0,NA,NA,NA,NA
"1993-2","4806017","June 30, 1993","0140","CALGARY","CHESTERMERE CY",1,8,0.125,0,NA,NA,NA,NA
"1993-2","4806022","June 30, 1993","0140","CALGARY","IRRICANA T",1,1,1,0,NA,NA,NA,NA
"1993-2","4806014","June 30, 1993","0140","CALGARY","ROCKY VIEW COUNTY MD",2,51,0.0392156862745098,0,NA,NA,NA,NA
"1993-2","4806016","June 30, 1993","0140","CALGARY","CALGARY CY",645,941,0.685441020191286,0,NA,NA,NA,NA
"1993-2","4806021","June 30, 1993","0140","CALGARY","AIRDRIE CY",37,49,0.755102040816326,0,NA,NA,NA,NA
"1993-3","4806014","September 30, 1993","0140","CALGARY","ROCKY VIEW COUNTY MD",1,28,0.0357142857142857,0,NA,NA,NA,NA
"1993-3","4806024","September 30, 1993","0140","CALGARY","BEISEKER VL",1,1,1,0,NA,NA,NA,NA
"1993-3","4806021","September 30, 1993","0140","CALGARY","AIRDRIE CY",32,54,0.592592592592593,0,NA,NA,NA,NA
"1993-3","4806019","September 30, 1993","0140","CALGARY","COCHRANE T",18,32,0.5625,0,NA,NA,NA,NA
"1993-3","4806017","September 30, 1993","0140","CALGARY","CHESTERMERE CY",6,17,0.352941176470588,0,NA,NA,NA,NA
"1993-3","4806026","September 30, 1993","0140","CALGARY","CROSSFIELD T",0,3,0,0,NA,NA,NA,NA
"1993-3","4806016","September 30, 1993","0140","CALGARY","CALGARY CY",625,990,0.631313131313131,0,NA,NA,NA,NA
"1993-4","4806024","December 31, 1993","0140","CALGARY","BEISEKER VL",0,1,0,0,NA,NA,NA,NA
"1993-4","4806021","December 31, 1993","0140","CALGARY","AIRDRIE CY",35,61,0.573770491803279,0,NA,NA,NA,NA
"1993-4","4806017","December 31, 1993","0140","CALGARY","CHESTERMERE CY",2,7,0.285714285714286,0,NA,NA,NA,NA
