"","ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"26","1999","0140","nan","December 31, 1999","CALGARY",6521,2697,2.41787170930664,0.0389321468298109
"27","2000","0140",NA,"December 31, 2000","CALGARY",9,9,1,0
"28","2000","0140","T2E","December 31, 2000","CALGARY",1,1,1,0
"29","2000","0140","T2T","December 31, 2000","CALGARY",10,1,10,0
"30","2000","0140","nan","December 31, 2000","CALGARY",6868,2678,2.56460044809559,0.0522778192681105
"31","2001","0140",NA,"December 31, 2001","CALGARY",8,8,1,0
"32","2001","0140","T2E","December 31, 2001","CALGARY",1,1,1,0
"33","2001","0140","T2T","December 31, 2001","CALGARY",10,1,10,0
"34","2001","0140","nan","December 31, 2001","CALGARY",7145,3427,2.08491391887949,0.0166326232856726
"35","2002","0140",NA,"December 31, 2002","CALGARY",4,4,1,0
"36","2002","0140","T2E","December 31, 2002","CALGARY",1,1,1,0
"37","2002","0140","T2N","December 31, 2002","CALGARY",1,1,1,0
"38","2002","0140","T2V","December 31, 2002","CALGARY",1,1,1,0
"39","2002","0140","nan","December 31, 2002","CALGARY",8654,4467,1.93731811058876,0.000671591672263264
"40","2003","0140",NA,"December 31, 2003","CALGARY",5,3,1.66666666666667,0
"41","2003","0140","T2E","December 31, 2003","CALGARY",9,2,4.5,0
"42","2003","0140","T2N","December 31, 2003","CALGARY",1,1,1,0
"43","2003","0140","T2S","December 31, 2003","CALGARY",1,1,1,0
"44","2003","0140","T2T","December 31, 2003","CALGARY",3,2,1.5,0
"45","2003","0140","T2V","December 31, 2003","CALGARY",1,1,1,0
"46","2003","0140","nan","December 31, 2003","CALGARY",8145,4025,2.02360248447205,0
"47","2004","0140",NA,"December 31, 2004","CALGARY",51,7,7.28571428571429,0
"48","2004","0140","T2B","December 31, 2004","CALGARY",8,2,4,0
"49","2004","0140","T2C","December 31, 2004","CALGARY",154,3,51.3333333333333,0
"50","2004","0140","T2E","December 31, 2004","CALGARY",148,8,18.5,0
"51","2004","0140","T2G","December 31, 2004","CALGARY",366,3,122,0
"52","2004","0140","T2H","December 31, 2004","CALGARY",1,1,1,0
"53","2004","0140","T2L","December 31, 2004","CALGARY",1,1,1,0
"54","2004","0140","T2M","December 31, 2004","CALGARY",2,2,1,0
"55","2004","0140","T2N","December 31, 2004","CALGARY",22,14,1.57142857142857,0
"56","2004","0140","T2P","December 31, 2004","CALGARY",201,3,67,0
"57","2004","0140","T2R","December 31, 2004","CALGARY",351,1,351,0
"58","2004","0140","T2S","December 31, 2004","CALGARY",4,4,1,0
"59","2004","0140","T2T","December 31, 2004","CALGARY",22,11,2,0
"60","2004","0140","T2V","December 31, 2004","CALGARY",3,3,1,0
"61","2004","0140","T2W","December 31, 2004","CALGARY",6,1,6,0
"62","2004","0140","T2Y","December 31, 2004","CALGARY",7,4,1.75,0
"63","2004","0140","T3B","December 31, 2004","CALGARY",3,2,1.5,0
"64","2004","0140","T3C","December 31, 2004","CALGARY",2,2,1,0
"65","2004","0140","T3E","December 31, 2004","CALGARY",250,1,250,0
"66","2004","0140","T3H","December 31, 2004","CALGARY",2,2,1,0
"67","2004","0140","nan","December 31, 2004","CALGARY",7578,3909,1.93860322333078,0
"68","2005","0140",NA,"December 31, 2005","CALGARY",53,10,5.3,0
"69","2005","0140","T2A","December 31, 2005","CALGARY",12,2,6,0
"70","2005","0140","T2B","December 31, 2005","CALGARY",32,8,4,0
"71","2005","0140","T2C","December 31, 2005","CALGARY",435,66,6.59090909090909,0
"72","2005","0140","T2E","December 31, 2005","CALGARY",349,75,4.65333333333333,0
"73","2005","0140","T2G","December 31, 2005","CALGARY",554,15,36.9333333333333,0
"74","2005","0140","T2H","December 31, 2005","CALGARY",72,13,5.53846153846154,0
"75","2005","0140","T2J","December 31, 2005","CALGARY",263,5,52.6,0
"76","2005","0140","T2K","December 31, 2005","CALGARY",8,6,1.33333333333333,0
"77","2005","0140","T2L","December 31, 2005","CALGARY",5,5,1,0
"78","2005","0140","T2M","December 31, 2005","CALGARY",61,41,1.48780487804878,0
"79","2005","0140","T2N","December 31, 2005","CALGARY",167,109,1.53211009174312,0
"80","2005","0140","T2P","December 31, 2005","CALGARY",245,4,61.25,0
"81","2005","0140","T2R","December 31, 2005","CALGARY",519,3,173,0
"82","2005","0140","T2S","December 31, 2005","CALGARY",23,23,1,0
"83","2005","0140","T2T","December 31, 2005","CALGARY",288,116,2.48275862068966,0
"84","2005","0140","T2V","December 31, 2005","CALGARY",35,28,1.25,0
"85","2005","0140","T2W","December 31, 2005","CALGARY",18,3,6,0
"86","2005","0140","T2X","December 31, 2005","CALGARY",7,1,7,0
"87","2005","0140","T2Y","December 31, 2005","CALGARY",74,60,1.23333333333333,0
"88","2005","0140","T3A","December 31, 2005","CALGARY",2,2,1,0
"89","2005","0140","T3B","December 31, 2005","CALGARY",13,9,1.44444444444444,0
"90","2005","0140","T3C","December 31, 2005","CALGARY",204,17,12,0
"91","2005","0140","T3E","December 31, 2005","CALGARY",468,83,5.63855421686747,0
"92","2005","0140","T3H","December 31, 2005","CALGARY",6,6,1,0
"93","2005","0140","T4C","December 31, 2005","CALGARY",1,1,1,0
"94","2005","0140","nan","December 31, 2005","CALGARY",6113,4090,1.49462102689487,0
"95","2006","0140",NA,"December 31, 2006","CALGARY",1,1,1,0
"96","2006","0140","T2B","December 31, 2006","CALGARY",27,10,2.7,0
"97","2006","0140","T2C","December 31, 2006","CALGARY",504,249,2.02409638554217,0
"98","2006","0140","T2E","December 31, 2006","CALGARY",228,100,2.28,0.05
"99","2006","0140","T2G","December 31, 2006","CALGARY",743,19,39.1052631578947,3.68421052631579
"100","2006","0140","T2H","December 31, 2006","CALGARY",380,11,34.5454545454545,1.90909090909091
"101","2006","0140","T2J","December 31, 2006","CALGARY",503,6,83.8333333333333,0.666666666666667
"102","2006","0140","T2K","December 31, 2006","CALGARY",96,13,7.38461538461539,0.230769230769231
"103","2006","0140","T2L","December 31, 2006","CALGARY",9,9,1,0
"104","2006","0140","T2M","December 31, 2006","CALGARY",87,52,1.67307692307692,0
"105","2006","0140","T2N","December 31, 2006","CALGARY",267,132,2.02272727272727,0
"106","2006","0140","T2P","December 31, 2006","CALGARY",302,4,75.5,12.75
"107","2006","0140","T2R","December 31, 2006","CALGARY",301,3,100.333333333333,6.33333333333333
"108","2006","0140","T2S","December 31, 2006","CALGARY",31,31,1,0
"109","2006","0140","T2T","December 31, 2006","CALGARY",336,135,2.48888888888889,0.0222222222222222
"110","2006","0140","T2V","December 31, 2006","CALGARY",72,45,1.6,0
"111","2006","0140","T2X","December 31, 2006","CALGARY",9,3,3,0
"112","2006","0140","T2Y","December 31, 2006","CALGARY",68,62,1.09677419354839,0
"113","2006","0140","T3A","December 31, 2006","CALGARY",5,5,1,0
"114","2006","0140","T3B","December 31, 2006","CALGARY",16,12,1.33333333333333,0
"115","2006","0140","T3C","December 31, 2006","CALGARY",469,28,16.75,0.785714285714286
"116","2006","0140","T3E","December 31, 2006","CALGARY",226,116,1.94827586206897,0.0517241379310345
"117","2006","0140","T3H","December 31, 2006","CALGARY",5,5,1,0
"118","2006","0140","T4C","December 31, 2006","CALGARY",1,1,1,0
"119","2006","0140","nan","December 31, 2006","CALGARY",9638,6202,1.55401483392454,0.00419219606578523
"120","2007","0140","T0L","December 31, 2007","CALGARY",3,3,1,0
"121","2007","0140","T0M","December 31, 2007","CALGARY",2,2,1,0
"122","2007","0140","T1Y","December 31, 2007","CALGARY",60,1,60,0
"123","2007","0140","T2A","December 31, 2007","CALGARY",78,10,7.8,0
"124","2007","0140","T2B","December 31, 2007","CALGARY",36,36,1,0
"125","2007","0140","T2C","December 31, 2007","CALGARY",292,168,1.73809523809524,0
"126","2007","0140","T2E","December 31, 2007","CALGARY",253,93,2.72043010752688,0
"127","2007","0140","T2G","December 31, 2007","CALGARY",1450,30,48.3333333333333,3.2
"128","2007","0140","T2H","December 31, 2007","CALGARY",746,10,74.6,2.1
"129","2007","0140","T2J","December 31, 2007","CALGARY",386,8,48.25,0
"130","2007","0140","T2K","December 31, 2007","CALGARY",55,10,5.5,0
"131","2007","0140","T2L","December 31, 2007","CALGARY",21,17,1.23529411764706,0
"132","2007","0140","T2M","December 31, 2007","CALGARY",82,53,1.54716981132075,0
"133","2007","0140","T2N","December 31, 2007","CALGARY",257,137,1.87591240875912,0
"134","2007","0140","T2P","December 31, 2007","CALGARY",255,3,85,9.33333333333333
"135","2007","0140","T2R","December 31, 2007","CALGARY",435,3,145,6.33333333333333
"136","2007","0140","T2S","December 31, 2007","CALGARY",33,33,1,0
"137","2007","0140","T2T","December 31, 2007","CALGARY",342,170,2.01176470588235,0.0352941176470588
"138","2007","0140","T2V","December 31, 2007","CALGARY",49,38,1.28947368421053,0
"139","2007","0140","T2X","December 31, 2007","CALGARY",67,4,16.75,0
"140","2007","0140","T2Y","December 31, 2007","CALGARY",185,27,6.85185185185185,0
"141","2007","0140","T3A","December 31, 2007","CALGARY",1,1,1,0
"142","2007","0140","T3B","December 31, 2007","CALGARY",71,50,1.42,0
"143","2007","0140","T3C","December 31, 2007","CALGARY",370,36,10.2777777777778,0
"144","2007","0140","T3E","December 31, 2007","CALGARY",315,160,1.96875,0.0375
"145","2007","0140","T3H","December 31, 2007","CALGARY",5,2,2.5,0
"146","2007","0140","T3J","December 31, 2007","CALGARY",15,15,1,0
"147","2007","0140","T4C","December 31, 2007","CALGARY",134,120,1.11666666666667,0
"148","2007","0140","nan","December 31, 2007","CALGARY",8722,4719,1.84827293918203,0.00296673023945751
"149","2008","0140","T0L","December 31, 2008","CALGARY",1,1,1,0
"150","2008","0140","T0M","December 31, 2008","CALGARY",2,2,1,0
"151","2008","0140","T2A","December 31, 2008","CALGARY",96,3,32,0
"152","2008","0140","T2B","December 31, 2008","CALGARY",156,11,14.1818181818182,0.272727272727273
"153","2008","0140","T2C","December 31, 2008","CALGARY",86,50,1.72,0
"154","2008","0140","T2E","December 31, 2008","CALGARY",271,61,4.44262295081967,0
"155","2008","0140","T2G","December 31, 2008","CALGARY",2333,27,86.4074074074074,4.22222222222222
"156","2008","0140","T2H","December 31, 2008","CALGARY",375,5,75,0
"157","2008","0140","T2J","December 31, 2008","CALGARY",2,2,1,0
"158","2008","0140","T2K","December 31, 2008","CALGARY",20,12,1.66666666666667,0
"159","2008","0140","T2L","December 31, 2008","CALGARY",8,8,1,0
"160","2008","0140","T2M","December 31, 2008","CALGARY",91,48,1.89583333333333,0
"161","2008","0140","T2N","December 31, 2008","CALGARY",252,100,2.52,0
"162","2008","0140","T2P","December 31, 2008","CALGARY",1145,7,163.571428571429,16.1428571428571
"163","2008","0140","T2R","December 31, 2008","CALGARY",189,1,189,27
"164","2008","0140","T2S","December 31, 2008","CALGARY",20,19,1.05263157894737,0
"165","2008","0140","T2T","December 31, 2008","CALGARY",284,107,2.65420560747664,0.102803738317757
"166","2008","0140","T2V","December 31, 2008","CALGARY",52,41,1.26829268292683,0
"167","2008","0140","T2W","December 31, 2008","CALGARY",1,1,1,0
"168","2008","0140","T2Y","December 31, 2008","CALGARY",328,15,21.8666666666667,0
"169","2008","0140","T3A","December 31, 2008","CALGARY",7,2,3.5,0
"170","2008","0140","T3B","December 31, 2008","CALGARY",102,26,3.92307692307692,0.115384615384615
"171","2008","0140","T3C","December 31, 2008","CALGARY",307,24,12.7916666666667,1.33333333333333
"172","2008","0140","T3E","December 31, 2008","CALGARY",188,100,1.88,0
"173","2008","0140","T3G","December 31, 2008","CALGARY",56,1,56,0
"174","2008","0140","T3H","December 31, 2008","CALGARY",5,2,2.5,0
"175","2008","0140","T3J","December 31, 2008","CALGARY",38,38,1,0
"176","2008","0140","T3K","December 31, 2008","CALGARY",20,1,20,0
"177","2008","0140","T4C","December 31, 2008","CALGARY",465,156,2.98076923076923,0
"178","2008","0140","nan","December 31, 2008","CALGARY",4316,2268,1.90299823633157,0.0132275132275132
"179","2009","0140","T0L","December 31, 2009","CALGARY",7,7,1,0
"180","2009","0140","T0M","December 31, 2009","CALGARY",3,3,1,0
"181","2009","0140","T2A","December 31, 2009","CALGARY",3,2,1.5,0
"182","2009","0140","T2B","December 31, 2009","CALGARY",150,9,16.6666666666667,0.333333333333333
"183","2009","0140","T2C","December 31, 2009","CALGARY",154,104,1.48076923076923,0
"184","2009","0140","T2E","December 31, 2009","CALGARY",249,43,5.7906976744186,0
"185","2009","0140","T2G","December 31, 2009","CALGARY",1707,21,81.2857142857143,4.85714285714286
"186","2009","0140","T2H","December 31, 2009","CALGARY",376,8,47,0
"187","2009","0140","T2J","December 31, 2009","CALGARY",2,2,1,0
"188","2009","0140","T2K","December 31, 2009","CALGARY",15,8,1.875,0
"189","2009","0140","T2L","December 31, 2009","CALGARY",1,1,1,0
"190","2009","0140","T2M","December 31, 2009","CALGARY",51,28,1.82142857142857,0
"191","2009","0140","T2N","December 31, 2009","CALGARY",180,63,2.85714285714286,0
"192","2009","0140","T2P","December 31, 2009","CALGARY",1222,7,174.571428571429,19.8571428571429
"193","2009","0140","T2R","December 31, 2009","CALGARY",189,1,189,27
"194","2009","0140","T2S","December 31, 2009","CALGARY",17,17,1,0
"195","2009","0140","T2T","December 31, 2009","CALGARY",153,76,2.01315789473684,0.0657894736842105
"196","2009","0140","T2V","December 31, 2009","CALGARY",31,30,1.03333333333333,0
"197","2009","0140","T2W","December 31, 2009","CALGARY",6,6,1,0
"198","2009","0140","T2Y","December 31, 2009","CALGARY",169,14,12.0714285714286,0
"199","2009","0140","T3A","December 31, 2009","CALGARY",6,1,6,0
"200","2009","0140","T3B","December 31, 2009","CALGARY",78,16,4.875,0.1875
"201","2009","0140","T3C","December 31, 2009","CALGARY",188,13,14.4615384615385,2.46153846153846
"202","2009","0140","T3E","December 31, 2009","CALGARY",113,40,2.825,0
"203","2009","0140","T3J","December 31, 2009","CALGARY",29,29,1,0
"204","2009","0140","T3R","December 31, 2009","CALGARY",54,1,54,0
"205","2009","0140","T4B","December 31, 2009","CALGARY",1,1,1,0
"206","2009","0140","T4C","December 31, 2009","CALGARY",405,187,2.16577540106952,0
"207","2009","0140","nan","December 31, 2009","CALGARY",3631,2673,1.35839880284325,0.00598578376356154
"208","2010","0140","T0L","December 31, 2010","CALGARY",14,14,1,0
"209","2010","0140","T0M","December 31, 2010","CALGARY",5,5,1,0
"210","2010","0140","T2A","December 31, 2010","CALGARY",10,4,2.5,0
"211","2010","0140","T2B","December 31, 2010","CALGARY",10,10,1,0
"212","2010","0140","T2C","December 31, 2010","CALGARY",228,76,3,0
"213","2010","0140","T2E","December 31, 2010","CALGARY",142,60,2.36666666666667,0
"214","2010","0140","T2G","December 31, 2010","CALGARY",620,27,22.962962962963,2.88888888888889
"215","2010","0140","T2H","December 31, 2010","CALGARY",326,10,32.6,1.4
"216","2010","0140","T2J","December 31, 2010","CALGARY",1,1,1,0
"217","2010","0140","T2K","December 31, 2010","CALGARY",10,6,1.66666666666667,0
"218","2010","0140","T2L","December 31, 2010","CALGARY",5,5,1,0
"219","2010","0140","T2M","December 31, 2010","CALGARY",77,62,1.24193548387097,0
"220","2010","0140","T2N","December 31, 2010","CALGARY",231,108,2.13888888888889,0.0277777777777778
"221","2010","0140","T2P","December 31, 2010","CALGARY",792,3,264,26.6666666666667
"222","2010","0140","T2R","December 31, 2010","CALGARY",214,1,214,28
"223","2010","0140","T2S","December 31, 2010","CALGARY",16,16,1,0
"224","2010","0140","T2T","December 31, 2010","CALGARY",218,122,1.78688524590164,0.0655737704918033
"225","2010","0140","T2V","December 31, 2010","CALGARY",35,32,1.09375,0
"226","2010","0140","T2W","December 31, 2010","CALGARY",1,1,1,0
"227","2010","0140","T2Y","December 31, 2010","CALGARY",98,12,8.16666666666667,0
"228","2010","0140","T3A","December 31, 2010","CALGARY",15,15,1,0
"229","2010","0140","T3B","December 31, 2010","CALGARY",45,25,1.8,0
"230","2010","0140","T3C","December 31, 2010","CALGARY",50,25,2,0
"231","2010","0140","T3E","December 31, 2010","CALGARY",214,68,3.14705882352941,0.0441176470588235
"232","2010","0140","T3J","December 31, 2010","CALGARY",12,12,1,0
"233","2010","0140","T3R","December 31, 2010","CALGARY",54,1,54,0
"234","2010","0140","T4B","December 31, 2010","CALGARY",5,5,1,0
"235","2010","0140","T4C","December 31, 2010","CALGARY",312,156,2,0
"236","2010","0140","nan","December 31, 2010","CALGARY",3439,2050,1.67756097560976,0.0126829268292683
"237","2011","0140","T0L","December 31, 2011","CALGARY",6,6,1,0
"238","2011","0140","T0M","December 31, 2011","CALGARY",4,4,1,0
"239","2011","0140","T1X","December 31, 2011","CALGARY",41,41,1,0
"240","2011","0140","T2A","December 31, 2011","CALGARY",2,1,2,0
"241","2011","0140","T2B","December 31, 2011","CALGARY",1,1,1,0
"242","2011","0140","T2C","December 31, 2011","CALGARY",434,166,2.6144578313253,0.0240963855421687
"243","2011","0140","T2E","December 31, 2011","CALGARY",496,68,7.29411764705882,0.0882352941176471
"244","2011","0140","T2G","December 31, 2011","CALGARY",695,24,28.9583333333333,3.25
"245","2011","0140","T2H","December 31, 2011","CALGARY",329,14,23.5,1
"246","2011","0140","T2J","December 31, 2011","CALGARY",2,2,1,0
"247","2011","0140","T2K","December 31, 2011","CALGARY",15,11,1.36363636363636,0
"248","2011","0140","T2L","December 31, 2011","CALGARY",5,5,1,0
"249","2011","0140","T2M","December 31, 2011","CALGARY",125,52,2.40384615384615,0
"250","2011","0140","T2N","December 31, 2011","CALGARY",335,117,2.86324786324786,0
"251","2011","0140","T2P","December 31, 2011","CALGARY",792,3,264,26.6666666666667
"252","2011","0140","T2R","December 31, 2011","CALGARY",218,2,109,14
"253","2011","0140","T2S","December 31, 2011","CALGARY",30,30,1,0
"254","2011","0140","T2T","December 31, 2011","CALGARY",236,150,1.57333333333333,0.02
"255","2011","0140","T2V","December 31, 2011","CALGARY",59,46,1.28260869565217,0.0434782608695652
"256","2011","0140","T2W","December 31, 2011","CALGARY",1,1,1,0
"257","2011","0140","T2Y","December 31, 2011","CALGARY",91,5,18.2,0
"258","2011","0140","T2Z","December 31, 2011","CALGARY",1,1,1,0
"259","2011","0140","T3A","December 31, 2011","CALGARY",19,19,1,0
"260","2011","0140","T3B","December 31, 2011","CALGARY",48,26,1.84615384615385,0
"261","2011","0140","T3C","December 31, 2011","CALGARY",33,25,1.32,0
"262","2011","0140","T3E","December 31, 2011","CALGARY",155,90,1.72222222222222,0.0222222222222222
"263","2011","0140","T3G","December 31, 2011","CALGARY",4,4,1,0
"264","2011","0140","T3H","December 31, 2011","CALGARY",1,1,1,0
"265","2011","0140","T3J","December 31, 2011","CALGARY",7,7,1,0
"266","2011","0140","T3R","December 31, 2011","CALGARY",63,10,6.3,0
"267","2011","0140","T4B","December 31, 2011","CALGARY",14,14,1,0
"268","2011","0140","T4C","December 31, 2011","CALGARY",192,128,1.5,0
"269","2011","0140","nan","December 31, 2011","CALGARY",4237,2166,1.95614035087719,0.00923361034164358
"270","2012","0140","T0L","December 31, 2012","CALGARY",35,35,1,0
"271","2012","0140","T0M","December 31, 2012","CALGARY",8,8,1,0
"272","2012","0140","T1X","December 31, 2012","CALGARY",284,156,1.82051282051282,0.0769230769230769
"273","2012","0140","T2A","December 31, 2012","CALGARY",132,2,66,0
"274","2012","0140","T2B","December 31, 2012","CALGARY",141,3,47,1.33333333333333
"275","2012","0140","T2C","December 31, 2012","CALGARY",135,14,9.64285714285714,0.928571428571429
"276","2012","0140","T2E","December 31, 2012","CALGARY",680,119,5.71428571428571,0.168067226890756
"277","2012","0140","T2G","December 31, 2012","CALGARY",384,17,22.5882352941176,2.35294117647059
"278","2012","0140","T2H","December 31, 2012","CALGARY",127,16,7.9375,0
"279","2012","0140","T2J","December 31, 2012","CALGARY",123,68,1.80882352941176,0
"280","2012","0140","T2K","December 31, 2012","CALGARY",20,16,1.25,0
"281","2012","0140","T2L","December 31, 2012","CALGARY",441,11,40.0909090909091,0
"282","2012","0140","T2M","December 31, 2012","CALGARY",92,56,1.64285714285714,0
"283","2012","0140","T2N","December 31, 2012","CALGARY",376,133,2.82706766917293,0.18796992481203
"284","2012","0140","T2P","December 31, 2012","CALGARY",392,2,196,12
"285","2012","0140","T2R","December 31, 2012","CALGARY",385,2,192.5,23
"286","2012","0140","T2S","December 31, 2012","CALGARY",29,29,1,0
"287","2012","0140","T2T","December 31, 2012","CALGARY",352,155,2.27096774193548,0.0709677419354839
"288","2012","0140","T2V","December 31, 2012","CALGARY",187,48,3.89583333333333,0
"289","2012","0140","T2X","December 31, 2012","CALGARY",175,143,1.22377622377622,0
"290","2012","0140","T2Y","December 31, 2012","CALGARY",44,34,1.29411764705882,0
"291","2012","0140","T2Z","December 31, 2012","CALGARY",893,297,3.00673400673401,0.063973063973064
"292","2012","0140","T3A","December 31, 2012","CALGARY",25,25,1,0
"293","2012","0140","T3B","December 31, 2012","CALGARY",291,81,3.59259259259259,0.185185185185185
"294","2012","0140","T3C","December 31, 2012","CALGARY",146,29,5.03448275862069,0
"295","2012","0140","T3E","December 31, 2012","CALGARY",178,107,1.66355140186916,0.0186915887850467
"296","2012","0140","T3G","December 31, 2012","CALGARY",58,37,1.56756756756757,0
"297","2012","0140","T3H","December 31, 2012","CALGARY",390,296,1.31756756756757,0
"298","2012","0140","T3J","December 31, 2012","CALGARY",118,7,16.8571428571429,0.571428571428571
"299","2012","0140","T3K","December 31, 2012","CALGARY",231,110,2.1,0.0363636363636364
"300","2012","0140","T3L","December 31, 2012","CALGARY",4,2,2,0
"301","2012","0140","T3M","December 31, 2012","CALGARY",886,584,1.51712328767123,0.0205479452054795
"302","2012","0140","T3N","December 31, 2012","CALGARY",608,222,2.73873873873874,0.0720720720720721
"303","2012","0140","T3P","December 31, 2012","CALGARY",304,177,1.71751412429379,0
"304","2012","0140","T3R","December 31, 2012","CALGARY",233,193,1.20725388601036,0
"305","2012","0140","T3S","December 31, 2012","CALGARY",1,1,1,0
"306","2012","0140","T3Z","December 31, 2012","CALGARY",37,37,1,0
"307","2012","0140","T4A","December 31, 2012","CALGARY",74,1,74,4
"308","2012","0140","T4B","December 31, 2012","CALGARY",273,12,22.75,0.333333333333333
"309","2012","0140","T4C","December 31, 2012","CALGARY",291,192,1.515625,0
"310","2012","0140","nan","December 31, 2012","CALGARY",1333,534,2.49625468164794,0.052434456928839
"311","2013","0140","T0L","December 31, 2013","CALGARY",29,29,1,0
"312","2013","0140","T0M","December 31, 2013","CALGARY",13,13,1,0
"313","2013","0140","T1X","December 31, 2013","CALGARY",302,233,1.29613733905579,0
"314","2013","0140","T1Y","December 31, 2013","CALGARY",1,1,1,0
"315","2013","0140","T2A","December 31, 2013","CALGARY",51,28,1.82142857142857,0
"316","2013","0140","T2B","December 31, 2013","CALGARY",140,2,70,2
"317","2013","0140","T2C","December 31, 2013","CALGARY",229,23,9.95652173913044,0.652173913043478
"318","2013","0140","T2E","December 31, 2013","CALGARY",340,115,2.95652173913043,0.104347826086957
"319","2013","0140","T2G","December 31, 2013","CALGARY",1235,28,44.1071428571429,5.42857142857143
"320","2013","0140","T2H","December 31, 2013","CALGARY",135,17,7.94117647058824,0
"321","2013","0140","T2J","December 31, 2013","CALGARY",154,54,2.85185185185185,0
"322","2013","0140","T2K","December 31, 2013","CALGARY",11,8,1.375,0
"323","2013","0140","T2L","December 31, 2013","CALGARY",434,4,108.5,0
"324","2013","0140","T2M","December 31, 2013","CALGARY",159,82,1.9390243902439,0
"325","2013","0140","T2N","December 31, 2013","CALGARY",380,148,2.56756756756757,0.155405405405405
"326","2013","0140","T2P","December 31, 2013","CALGARY",392,2,196,12
"327","2013","0140","T2R","December 31, 2013","CALGARY",575,4,143.75,13
"328","2013","0140","T2S","December 31, 2013","CALGARY",37,37,1,0
"329","2013","0140","T2T","December 31, 2013","CALGARY",383,160,2.39375,0.06875
"330","2013","0140","T2V","December 31, 2013","CALGARY",182,43,4.23255813953488,0
"331","2013","0140","T2W","December 31, 2013","CALGARY",1,1,1,0
"332","2013","0140","T2X","December 31, 2013","CALGARY",489,301,1.62458471760797,0
"333","2013","0140","T2Y","December 31, 2013","CALGARY",37,37,1,0
"334","2013","0140","T2Z","December 31, 2013","CALGARY",602,206,2.92233009708738,0.0388349514563107
"335","2013","0140","T3A","December 31, 2013","CALGARY",33,22,1.5,0
"336","2013","0140","T3B","December 31, 2013","CALGARY",359,81,4.4320987654321,0.283950617283951
"337","2013","0140","T3C","December 31, 2013","CALGARY",153,33,4.63636363636364,0
"338","2013","0140","T3E","December 31, 2013","CALGARY",199,114,1.74561403508772,0
"339","2013","0140","T3G","December 31, 2013","CALGARY",45,33,1.36363636363636,0
"340","2013","0140","T3H","December 31, 2013","CALGARY",329,197,1.67005076142132,0
"341","2013","0140","T3J","December 31, 2013","CALGARY",50,25,2,0
"342","2013","0140","T3K","December 31, 2013","CALGARY",236,86,2.74418604651163,0.0465116279069767
"343","2013","0140","T3L","December 31, 2013","CALGARY",13,7,1.85714285714286,0
"344","2013","0140","T3M","December 31, 2013","CALGARY",1025,615,1.66666666666667,0.0260162601626016
"345","2013","0140","T3N","December 31, 2013","CALGARY",450,239,1.88284518828452,0.0167364016736402
"346","2013","0140","T3P","December 31, 2013","CALGARY",353,252,1.40079365079365,0
"347","2013","0140","T3R","December 31, 2013","CALGARY",648,319,2.03134796238245,0.0125391849529781
"348","2013","0140","T3S","December 31, 2013","CALGARY",1,1,1,0
"349","2013","0140","T3Z","December 31, 2013","CALGARY",25,25,1,0
"350","2013","0140","T4B","December 31, 2013","CALGARY",155,10,15.5,0
"351","2013","0140","T4C","December 31, 2013","CALGARY",446,301,1.48172757475083,0
