"","ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","population","comp_per_10kpop"
"41","1988","2680",4,3,"December 31, 1988","WINNIPEG",63,NA,NA,7,9,2.14285714285714,7.57142857142857,-2.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"665928.947",0.946046876079108
"42","1988","2680",5,2,"September 30, 1988","WINNIPEG",413,NA,NA,5,82.6,3.6,10,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"665928.947",6.20186285429638
"43","1988","2680",5,3,"December 31, 1988","WINNIPEG",137,NA,NA,6,22.8333333333333,5.66666666666667,9.66666666666667,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"665928.947",2.05727654004504
"44","1988","2680",5,4,"December 31, 1988","WINNIPEG",120,NA,NA,2,60,7,7.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"665928.947",1.80199404967449
"45","1989","0140",1,1,"March 31, 1989","CALGARY",4497,NA,NA,4497,1,0,4.46063257065949,0.40916166333111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"747414.603",60.1674088511219
"46","1989","0340",1,1,"June 30, 1989","EDMONTON",3471,NA,NA,3471,1,0,4.49923722349352,0.177470469605301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"839681.228",41.3371156131169
"47","1989","0340",2,4,"June 30, 1989","EDMONTON",4,NA,NA,2,2,0,3.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"839681.228",0.0476371254544707
"48","1989","0340",4,3,"June 30, 1989","EDMONTON",101,NA,NA,26,3.88461538461538,0,5.61538461538461,0.423076923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"839681.228",1.20283741772538
"49","1989","0340",5,2,"September 30, 1989","EDMONTON",210,NA,NA,2,105,6,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"839681.228",2.50094908635971
"50","1989","0340",5,3,"September 30, 1989","EDMONTON",31,NA,NA,1,31,4,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"839681.228",0.369187722272148
