"","ref_yy","CSDuid","dweltype","mkttycd","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"82","1988","2421340",1,1,"December 31, 1988","1400",NA,NA,3,7,0.428571428571429,0,4,"646773.4430000001",0.0463840937266189
"83","1988","2421340",2,1,"December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"84","1988","2421420",1,1,"December 31, 1988","1400",NA,NA,7,13,0.538461538461538,0,4,"646773.4430000001",0.108229552028777
"85","1988","2421420",2,1,"December 31, 1988","1400",NA,NA,5,4,1.25,0,4,"646773.4430000001",0.0773068228776981
"86","1988","2421420",4,3,"December 31, 1988","1400",NA,NA,2,1,2,0,4,"646773.4430000001",0.0309227291510793
"87","1988","2421460",1,1,"December 31, 1988","1400",NA,NA,6,10,0.6,0,4,"646773.4430000001",0.0927681874532378
"88","1988","2421460",2,1,"December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"89","1988","2421460",4,1,"December 31, 1988","1400",NA,NA,2,1,2,0,4,"646773.4430000001",0.0309227291510793
"90","1988","2421460",5,3,"December 31, 1988","1400",NA,NA,52,7,7.42857142857143,0,4,"646773.4430000001",0.803990957928061
"91","1988","2421500",1,1,"December 31, 1988","1400",NA,NA,9,11,0.818181818181818,0,4,"646773.4430000001",0.139152281179857
"92","1988","2421500",2,1,"December 31, 1988","1400",NA,NA,6,3,2,0,4,"646773.4430000001",0.0927681874532378
"93","1988","2421550",1,1,"December 31, 1988","1400",NA,NA,1,4,0.25,0,4,"646773.4430000001",0.0154613645755396
"94","1988","2421550",2,1,"December 31, 1988","1400",NA,NA,7,7,1,0,4,"646773.4430000001",0.108229552028777
"95","1988","2421600",1,1,"December 31, 1988","1400",NA,NA,3,5,0.6,0,4,"646773.4430000001",0.0463840937266189
"96","1988","2421600",4,1,"December 31, 1988","1400",NA,NA,2,1,2,0,4,"646773.4430000001",0.0309227291510793
"97","1988","2421600",5,3,"December 31, 1988","1400",NA,NA,10,3,3.33333333333333,0,4,"646773.4430000001",0.154613645755396
"98","1988","2421650",1,1,"December 31, 1988","1400",NA,NA,9,10,0.9,0,4,"646773.4430000001",0.139152281179857
"99","1988","2421650",2,1,"December 31, 1988","1400",NA,NA,4,4,1,0,4,"646773.4430000001",0.0618454583021585
"100","1988","2421700",1,1,"December 31, 1988","1400",NA,NA,3,6,0.5,0,4,"646773.4430000001",0.0463840937266189
"101","1988","2421700",2,1,"December 31, 1988","1400",NA,NA,5,3,1.66666666666667,0,4,"646773.4430000001",0.0773068228776981
"102","1988","2421780",1,1,"December 31, 1988","1400",NA,NA,7,13,0.538461538461538,0,4,"646773.4430000001",0.108229552028777
"103","1988","2429110",1,1,"December 31, 1988","1400",NA,NA,13,19,0.684210526315789,0,4,"646773.4430000001",0.200997739482015
"104","1988","2429110",2,1,"December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"105","1988","2429130",1,1,"December 31, 1988","1400",NA,NA,3,6,0.5,0,4,"646773.4430000001",0.0463840937266189
"106","1988","2429130",2,1,"December 31, 1988","1400",NA,NA,2,1,2,0,4,"646773.4430000001",0.0309227291510793
"107","1988","2429140",4,3,"December 31, 1988","1400",NA,NA,12,1,12,0,4,"646773.4430000001",0.185536374906476
"108","1988","2429160",1,1,"December 31, 1988","1400",NA,NA,1,3,0.333333333333333,0,4,"646773.4430000001",0.0154613645755396
"109","1988","2452440",1,1,"December 31, 1988","1060",NA,NA,2,4,0.5,0,4,"3351700.63",0.00596712004078956
"110","1988","2452550",1,1,"December 31, 1988","1060",NA,NA,2,8,0.25,0,4,"3351700.63",0.00596712004078956
"111","1988","2452700",1,1,"December 31, 1988","1060",NA,NA,11,26,0.423076923076923,0,4,"3351700.63",0.0328191602243426
"112","1988","2452780",1,1,"December 31, 1988","1060",NA,NA,19,49,0.387755102040816,0,4,"3351700.63",0.0566876403875008
"113","1988","2456120",1,1,"December 31, 1988","1060",NA,NA,37,55,0.672727272727273,0,4,"3351700.63",0.110391720754607
"114","1988","2456120",2,1,"December 31, 1988","1060",NA,NA,0,1,0,0,4,"3351700.63",0
"115","1988","2456120",5,3,"December 31, 1988","1060",NA,NA,3,2,1.5,0,4,"3351700.63",0.00895068006118434
"116","1988","2456200",1,1,"December 31, 1988","1060",NA,NA,5,7,0.714285714285714,0,4,"3351700.63",0.0149178001019739
"117","1988","2456280",1,1,"December 31, 1988","1060",NA,NA,14,38,0.368421052631579,0,4,"3351700.63",0.0417698402855269
"118","1988","2456310",1,1,"December 31, 1988","1060",NA,NA,15,20,0.75,0,4,"3351700.63",0.0447534003059217
"119","1988","2456310",2,1,"December 31, 1988","1060",NA,NA,2,2,1,0,4,"3351700.63",0.00596712004078956
"120","1988","2456310",5,3,"December 31, 1988","1060",NA,NA,24,8,3,2.125,4,"3351700.63",0.0716054404894747
"121","1988","2456400",1,1,"December 31, 1988","1060",NA,NA,76,86,0.883720930232558,0,4,"3351700.63",0.226750561550003
