"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","inventory_per_10kpop"
"1988","2463220","December 31, 1988","1060",NA,NA,71,78,0.91025641025641,0,709,4,"Montreal",3351700.63,462,0.211832761448029
"1988","2463250","December 31, 1988","1060",NA,NA,14,14,1,0,709,4,"Montreal",3351700.63,462,0.0417698402855269
"1988","2464500","December 31, 1988","1060",NA,NA,480,387,1.24031007751938,0,709,4,"Montreal",3351700.63,462,1.43210880978949
"1988","2465180","December 31, 1988","1060",NA,NA,46,11,4.18181818181818,2.27272727272727,709,4,"Montreal",3351700.63,462,0.13724376093816
"1988","2465200","December 31, 1988","1060",NA,NA,3,3,1,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2465220","December 31, 1988","1060",NA,NA,8,3,2.66666666666667,0,709,4,"Montreal",3351700.63,462,0.0238684801631582
"1988","2465260","December 31, 1988","1060",NA,NA,676,208,3.25,0.894230769230769,709,4,"Montreal",3351700.63,462,2.01688657378687
"1988","2465280","December 31, 1988","1060",NA,NA,7,2,3.5,0,709,4,"Montreal",3351700.63,462,0.0208849201427635
"1988","2465300","December 31, 1988","1060",NA,NA,52,3,17.3333333333333,5,709,4,"Montreal",3351700.63,462,0.155145121060529
"1988","2465320","December 31, 1988","1060",NA,NA,92,16,5.75,5.625,709,4,"Montreal",3351700.63,462,0.27448752187632
"1988","2465340","December 31, 1988","1060",NA,NA,40,18,2.22222222222222,0.5,709,4,"Montreal",3351700.63,462,0.119342400815791
"1988","2465420","December 31, 1988","1060",NA,NA,80,31,2.58064516129032,0.483870967741935,709,4,"Montreal",3351700.63,462,0.238684801631582
"1988","2465440","December 31, 1988","1060",NA,NA,38,8,4.75,1,709,4,"Montreal",3351700.63,462,0.113375280775002
"1988","2465480","December 31, 1988","1060",NA,NA,182,15,12.1333333333333,3.73333333333333,709,4,"Montreal",3351700.63,462,0.54300792371185
"1988","2465500","December 31, 1988","1060",NA,NA,50,15,3.33333333333333,0.6,709,4,"Montreal",3351700.63,462,0.149178001019739
"1988","2465540","December 31, 1988","1060",NA,NA,19,11,1.72727272727273,0,709,4,"Montreal",3351700.63,462,0.0566876403875008
"1988","2465580","December 31, 1988","1060",NA,NA,60,55,1.09090909090909,0.163636363636364,709,4,"Montreal",3351700.63,462,0.179013601223687
"1988","2465600","December 31, 1988","1060",NA,NA,13,25,0.52,0,709,4,"Montreal",3351700.63,462,0.0387862802651322
"1988","2465620","December 31, 1988","1060",NA,NA,36,13,2.76923076923077,0.0769230769230769,709,4,"Montreal",3351700.63,462,0.107408160734212
"1988","2465640","December 31, 1988","1060",NA,NA,5,5,1,0.6,709,4,"Montreal",3351700.63,462,0.0149178001019739
"1988","2465700","December 31, 1988","1060",NA,NA,226,125,1.808,0.384,709,4,"Montreal",3351700.63,462,0.67428456460922
"1988","2465720","December 31, 1988","1060",NA,NA,8,12,0.666666666666667,0,709,4,"Montreal",3351700.63,462,0.0238684801631582
"1988","2465740","December 31, 1988","1060",NA,NA,27,5,5.4,2.4,709,4,"Montreal",3351700.63,462,0.0805561205506591
"1988","2466300","December 31, 1988","1060",NA,NA,101,53,1.90566037735849,0.283018867924528,709,4,"Montreal",3351700.63,462,0.301339562059873
"1988","2466380","December 31, 1988","1060",NA,NA,411,136,3.02205882352941,0.544117647058823,709,4,"Montreal",3351700.63,462,1.22624316838225
"1988","2466420","December 31, 1988","1060",NA,NA,69,50,1.38,0.14,709,4,"Montreal",3351700.63,462,0.20586564140724
"1988","2466500","December 31, 1988","1060",NA,NA,15,18,0.833333333333333,0,709,4,"Montreal",3351700.63,462,0.0447534003059217
"1988","2466600","December 31, 1988","1060",NA,NA,3,3,1,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2466700","December 31, 1988","1060",NA,NA,74,91,0.813186813186813,0,709,4,"Montreal",3351700.63,462,0.220783441509214
"1988","2466780","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2469480","December 31, 1988","1060",NA,NA,8,20,0.4,0,709,4,"Montreal",3351700.63,462,0.0238684801631582
"1988","2469540","December 31, 1988","1060",NA,NA,5,4,1.25,0,709,4,"Montreal",3351700.63,462,0.0149178001019739
"1988","2469600","December 31, 1988","1060",NA,NA,43,48,0.895833333333333,0.104166666666667,709,4,"Montreal",3351700.63,462,0.128293080876976
"1988","2470110","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2470180","December 31, 1988","1060",NA,NA,5,4,1.25,0.75,709,4,"Montreal",3351700.63,462,0.0149178001019739
"1988","2470460","December 31, 1988","1060",NA,NA,3,3,1,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2472150","December 31, 1988","1060",NA,NA,4,4,1,0,709,4,"Montreal",3351700.63,462,0.0119342400815791
"1988","2472180","December 31, 1988","1060",NA,NA,4,5,0.8,0,709,4,"Montreal",3351700.63,462,0.0119342400815791
"1988","2472230","December 31, 1988","1060",NA,NA,7,5,1.4,0.8,709,4,"Montreal",3351700.63,462,0.0208849201427635
"1988","2472260","December 31, 1988","1060",NA,NA,11,22,0.5,0,709,4,"Montreal",3351700.63,462,0.0328191602243426
"1988","2472360","December 31, 1988","1060",NA,NA,3,6,0.5,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2472400","December 31, 1988","1060",NA,NA,17,39,0.435897435897436,0,709,4,"Montreal",3351700.63,462,0.0507205203467113
"1988","2473120","December 31, 1988","1060",NA,NA,37,61,0.60655737704918,0,709,4,"Montreal",3351700.63,462,0.110391720754607
"1988","2473180","December 31, 1988","1060",NA,NA,15,15,1,0,709,4,"Montreal",3351700.63,462,0.0447534003059217
"1988","2473200","December 31, 1988","1060",NA,NA,5,13,0.384615384615385,0,709,4,"Montreal",3351700.63,462,0.0149178001019739
"1988","2473240","December 31, 1988","1060",NA,NA,3,7,0.428571428571429,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2473300","December 31, 1988","1060",NA,NA,5,13,0.384615384615385,0,709,4,"Montreal",3351700.63,462,0.0149178001019739
"1988","2473380","December 31, 1988","1060",NA,NA,4,4,1,0,709,4,"Montreal",3351700.63,462,0.0119342400815791
"1988","2473580","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2473650","December 31, 1988","1060",NA,NA,13,30,0.433333333333333,0,709,4,"Montreal",3351700.63,462,0.0387862802651322
"1988","3503016","December 31, 1988","1265",NA,NA,1,7,0.142857142857143,0,883,4,"Ottawa",934282.964,505,0.0107033954222888
"1988","3503021","December 31, 1988","1265",NA,NA,11,12,0.916666666666667,0,883,4,"Ottawa",934282.964,505,0.117737349645177
"1988","3506001","December 31, 1988","1265",NA,NA,10,25,0.4,0,883,4,"Ottawa",934282.964,505,0.107033954222888
"1988","3506004","December 31, 1988","1265",NA,NA,30,102,0.294117647058824,0,883,4,"Ottawa",934282.964,505,0.321101862668664
"1988","3506006","December 31, 1988","1265",NA,NA,54,63,0.857142857142857,0,883,4,"Ottawa",934282.964,505,0.577983352803594
"1988","3506009","December 31, 1988","1265",NA,NA,14,9,1.55555555555556,0.888888888888889,883,4,"Ottawa",934282.964,505,0.149847535912043
"1988","3506012","December 31, 1988","1265",NA,NA,90,113,0.79646017699115,0.0176991150442478,883,4,"Ottawa",934282.964,505,0.963305588005991
"1988","3506014","December 31, 1988","1265",NA,NA,164,77,2.12987012987013,0.519480519480519,883,4,"Ottawa",934282.964,505,1.75535684925536
"1988","3506018","December 31, 1988","1265",NA,NA,6,15,0.4,0,883,4,"Ottawa",934282.964,505,0.0642203725337327
"1988","3506027","December 31, 1988","1265",NA,NA,21,51,0.411764705882353,0,883,4,"Ottawa",934282.964,505,0.224771303868065
"1988","3506030","December 31, 1988","1265","OTTAWA","MISSISSIPPI MILLS T",39,70,0.557142857142857,0,883,4,"Ottawa",934282.964,505,0.417432421469263
"1988","3506042","December 31, 1988","1265",NA,NA,4,31,0.129032258064516,0,883,4,"Ottawa",934282.964,505,0.0428135816891551
"1988","3518001","December 31, 1988","2270","TORONTO","PICKERING CY",3,165,0.0181818181818182,0,1405,4,"Toronto",3917164.25,535,0.0076586014997967
"1988","3518005","December 31, 1988","2270","TORONTO","TORONTO C",0,132,0,0,1405,4,"Toronto",3917164.25,535,0
"1988","3518029","December 31, 1988","2270","TORONTO","UXBRIDGE TP",10,9,1.11111111111111,0,1405,4,"Toronto",3917164.25,535,0.025528671665989
"1988","3519028","December 31, 1988","2270","TORONTO","VAUGHAN CY",95,303,0.313531353135314,0.0594059405940594,1405,4,"Toronto",3917164.25,535,0.242522380826895
"1988","3519036","December 31, 1988","2270","TORONTO","MARKHAM CY",81,47,1.72340425531915,0,1405,4,"Toronto",3917164.25,535,0.206782240494511
"1988","3519038","December 31, 1988","2270","TORONTO","RICHMOND HILL T",79,272,0.290441176470588,0,1405,4,"Toronto",3917164.25,535,0.201676506161313
"1988","3519044","December 31, 1988","2270","TORONTO","WHITCHURCH-STOUFFVILLE T",1,2,0.5,0,1405,4,"Toronto",3917164.25,535,0.0025528671665989
"1988","3519046","December 31, 1988","2270","TORONTO","AURORA T",14,30,0.466666666666667,0,1405,4,"Toronto",3917164.25,535,0.0357401403323846
"1988","3519048","December 31, 1988","2270","TORONTO","NEWMARKET T",1,13,0.0769230769230769,0,1405,4,"Toronto",3917164.25,535,0.0025528671665989
"1988","3519049","December 31, 1988","2270","TORONTO","KING TP",2,4,0.5,0,1405,4,"Toronto",3917164.25,535,0.0051057343331978
"1988","3519054","December 31, 1988","2270","TORONTO","EAST GWILLIMBURY T",2,13,0.153846153846154,0,1405,4,"Toronto",3917164.25,535,0.0051057343331978
"1988","3519070","December 31, 1988","2270","TORONTO","GEORGINA T",5,130,0.0384615384615385,0,1405,4,"Toronto",3917164.25,535,0.0127643358329945
"1988","3520001","December 31, 1988","2270","TORONTO","PICKERING CY",159,13,12.2307692307692,0,1405,4,"Toronto",3917164.25,535,0.405905879489225
"1988","3520004","December 31, 1988","2270",NA,NA,103,2,51.5,5,1405,4,"Toronto",3917164.25,535,0.262945318159687
"1988","3520006","December 31, 1988","2270",NA,NA,2,2,1,0,1405,4,"Toronto",3917164.25,535,0.0051057343331978
"1988","3520008","December 31, 1988","2270",NA,NA,2,6,0.333333333333333,0,1405,4,"Toronto",3917164.25,535,0.0051057343331978
"1988","3520014","December 31, 1988","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",3,4,0.75,0,1405,4,"Toronto",3917164.25,535,0.0076586014997967
"1988","3520019","December 31, 1988","2270",NA,NA,0,21,0,0,1405,4,"Toronto",3917164.25,535,0
"1988","3521005","December 31, 1988","2270","TORONTO","TORONTO C",263,523,0.502868068833652,0,1405,4,"Toronto",3917164.25,535,0.67140406481551
"1988","3521010","December 31, 1988","2270","TORONTO","BRAMPTON CY",127,200,0.635,0,1405,4,"Toronto",3917164.25,535,0.32421413015806
"1988","3521024","December 31, 1988","2270","TORONTO","CALEDON T",0,52,0,0,1405,4,"Toronto",3917164.25,535,0
"1988","3524001","December 31, 1988","2270","TORONTO","PICKERING CY",112,188,0.595744680851064,0,1405,4,"Toronto",3917164.25,535,0.285921122659077
