"ref_yy","metcode","censustr","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","1060","0903.06","December 31, 2006","MONTRÉAL","462",3,10,0.3,0,"4620903.06"
"2006","1060","0903.09","December 31, 2006","MONTRÉAL","462",1,7,0.142857142857143,0,"4620903.09"
"2006","1060","0903.10","December 31, 2006","MONTRÉAL","462",2,12,0.166666666666667,0,"4620903.10"
"2006","1060","0904.05","December 31, 2006","MONTRÉAL","462",4,1,4,3,"4620904.05"
"2006","1060","0926.02","December 31, 2006","MONTRÉAL","462",0,1,0,0,"4620926.02"
"2006","1060","0929.00","December 31, 2006","MONTRÉAL","462",3,4,0.75,0,"4620929.00"
"2006","1060","0930.02","December 31, 2006","MONTRÉAL","462",18,19,0.947368421052632,0.631578947368421,"4620930.02"
"2006","1060","0930.03","December 31, 2006","MONTRÉAL","462",0,2,0,0,"4620930.03"
"2006","1060","0930.04","December 31, 2006","MONTRÉAL","462",2,3,0.666666666666667,0,"4620930.04"
"2006","1265","0001.01","December 31, 2006","OTTAWA","505",7,2,3.5,0,"5050001.01"
"2006","1265","0001.05","December 31, 2006","OTTAWA","505",1,1,1,0,"5050001.05"
"2006","1265","0002.04","December 31, 2006","OTTAWA","505",2,1,2,0,"5050002.04"
"2006","1265","0007.02","December 31, 2006","OTTAWA","505",3,5,0.6,0,"5050007.02"
"2006","1265","0013.00","December 31, 2006","OTTAWA","505",1,1,1,0,"5050013.00"
"2006","1265","0015.00","December 31, 2006","OTTAWA","505",2,1,2,0,"5050015.00"
"2006","1265","0020.01","December 31, 2006","OTTAWA","505",0,1,0,0,"5050020.01"
"2006","1265","0020.02","December 31, 2006","OTTAWA","505",3,5,0.6,0,"5050020.02"
"2006","1265","0023.00","December 31, 2006","OTTAWA","505",4,5,0.8,0,"5050023.00"
"2006","1265","0031.00","December 31, 2006","OTTAWA","505",2,1,2,0,"5050031.00"
