"ref_yy","metcode","censustr","dweltype","mkttycd","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","0140","%07.2f206.01",2,1,"December 31, 2006","CALGARY","825",1,2,0.5,0,"825%07.2f206.01"
"2006","0140","%07.2f206.02999999999997",1,1,"December 31, 2006","CALGARY","825",23,52,0.442307692307692,0,"825%07.2f206.02999999999997"
"2006","0140","%07.2f206.02999999999997",4,3,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f206.02999999999997"
"2006","0140","%07.2f207.0",1,1,"December 31, 2006","CALGARY","825",13,23,0.565217391304348,0,"825%07.2f207.0"
"2006","0140","%07.2f207.0",4,3,"December 31, 2006","CALGARY","825",2,1,2,0,"825%07.2f207.0"
"2006","0340","%07.2f0.0",1,1,"December 31, 2006","EDMONTON","835",3,3,1,0,"835%07.2f0.0"
"2006","0340","%07.2f0.0",2,1,"December 31, 2006","EDMONTON","835",3,3,1,0,"835%07.2f0.0"
"2006","0340","%07.2f0.0",2,3,"December 31, 2006","EDMONTON","835",2,2,1,0,"835%07.2f0.0"
"2006","0340","%07.2f1.0699999999999998",2,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f1.0699999999999998"
"2006","0340","%07.2f5.039999999999999",1,1,"December 31, 2006","EDMONTON","835",11,16,0.6875,0,"835%07.2f5.039999999999999"
"2006","0340","%07.2f5.039999999999999",2,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f5.039999999999999"
"2006","0340","%07.2f5.039999999999999",2,3,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f5.039999999999999"
"2006","0340","%07.2f5.05",1,1,"December 31, 2006","EDMONTON","835",3,10,0.3,0,"835%07.2f5.05"
"2006","0340","%07.2f5.05",2,3,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f5.05"
"2006","0340","%07.2f6.119999999999999",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f6.119999999999999"
"2006","0340","%07.2f6.119999999999999",2,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f6.119999999999999"
"2006","0340","%07.2f7.02",1,1,"December 31, 2006","EDMONTON","835",2,3,0.666666666666667,0,"835%07.2f7.02"
"2006","0340","%07.2f13.0",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f13.0"
"2006","0340","%07.2f13.0",2,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f13.0"
"2006","0340","%07.2f14.0",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f14.0"
"2006","0340","%07.2f16.02",5,3,"December 31, 2006","EDMONTON","835",12,1,12,4,"835%07.2f16.02"
"2006","0340","%07.2f17.0",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f17.0"
"2006","0340","%07.2f17.0",2,1,"December 31, 2006","EDMONTON","835",2,2,1,0,"835%07.2f17.0"
"2006","0340","%07.2f21.0",5,3,"December 31, 2006","EDMONTON","835",1,1,1,21,"835%07.2f21.0"
"2006","0340","%07.2f24.0",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f24.0"
"2006","0340","%07.2f28.0",2,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f28.0"
"2006","0340","%07.2f29.0",1,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f29.0"
"2006","0340","%07.2f31.0",2,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f31.0"
"2006","0340","%07.2f32.01",5,3,"December 31, 2006","EDMONTON","835",3,1,3,12,"835%07.2f32.01"
"2006","0340","%07.2f34.0",1,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f34.0"
