"","ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","ref_qq","population","starts_per_10kpop"
"149","2001","1060","September 30, 2001","MONTRÉAL",13300,NA,NA,8069,1.64828355434378,0,0.0975738396624473,4,"3666625.51",36.2731344221734
"150","2001","1490","September 30, 2001","REGINA",626,NA,NA,424,1.47641509433962,0.00943396226415094,0.0707547169811321,4,"197793.239",31.6492112250611
"151","2002","0580","September 30, 2002","HALIFAX",3310,NA,NA,2004,1.65169660678643,0.00998003992015968,0.630598892803221,4,"377718.902",87.6313041913905
"152","2002","1060","September 30, 2002","MONTRÉAL",20554,NA,NA,12020,1.70998336106489,0.0663893510815308,0.0309278350515464,4,"3697581.32",55.5876888733308
"153","2002","1490","September 30, 2002","REGINA",651,NA,NA,521,1.24952015355086,0,0.0671785028790787,4,"198866.753",32.7354869619659
"154","2003","0580","September 30, 2003","HALIFAX",3066,NA,NA,1664,1.84254807692308,0,0.290577507598784,4,"380503.52400000003",80.5774403287787
"155","2003","1060","September 30, 2003","MONTRÉAL",24321,NA,NA,12165,1.99926017262639,0.019317714755446,0.0185064228173307,4,"3726893.8899999997",65.2580961997821
"156","2003","1490","June 30, 2003","REGINA",889,NA,NA,574,1.54878048780488,0,0.240418118466899,4,"200026.833",44.4440371657537
"157","2004","0580","June 30, 2004","HALIFAX",2627,NA,NA,1635,1.60672782874618,0,0.215782983970407,4,"381569.226",68.8472712419423
"158","2004","1060","June 30, 2004","MONTRÉAL",28673,NA,NA,12755,2.24798118384947,0.0243041944335555,0.0115846440047353,4,"3753837.1",76.383176030734
"159","2004","1490","September 30, 2004","REGINA",1242,NA,NA,722,1.7202216066482,0,0.268698060941828,4,"200305.777",62.005201177997
"160","2005","0580","June 30, 2005","HALIFAX",2451,NA,NA,1348,1.81824925816024,0.0029673590504451,0.145724907063197,4,"384407.296",63.7604963668536
"161","2005","1060","June 30, 2005","MONTRÉAL",25317,NA,NA,10480,2.41574427480916,0.016793893129771,0.0198473282442748,4,"3783400.33",66.9159956435274
"162","2005","1490","June 30, 2005","REGINA",888,NA,NA,638,1.39184952978056,0,0.175548589341693,4,"200878.489",44.2058283303794
"163","2006","0580","June 30, 2006","HALIFAX",2511,NA,NA,1179,2.12977099236641,0,0.141886151231946,4,"386017.781",65.0488170129137
