"","ref_yy","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"67","2004","1060","December 31, 2004","MONTRÉAL",17852,4932,3.61962692619627,0.19566098945661,4,"3753837.1",47.5566720782849
"68","2004","1265","December 31, 2004","OTTAWA",4705,1888,2.49205508474576,0.00635593220338983,4,"884435",53.1978042479097
"69","2005","0140","December 31, 2005","CALGARY",10027,4801,2.08852322432826,0,4,"1120692.72",89.4714476239303
"70","2005","0610","December 31, 2005","HAMILTON",2910,1036,2.80888030888031,0.0154440154440154,4,"719003.332",40.4726914394883
"71","2005","1060","December 31, 2005","MONTRÉAL",17436,4091,4.26203862136397,0.239061354192129,4,"3783400.33",46.0855275127599
"72","2005","1265","December 31, 2005","OTTAWA",3618,1532,2.36161879895561,0.0417754569190601,4,"891423",40.5867921289893
"73","2006","0140","December 31, 2006","CALGARY",14324,7254,1.9746346843121,0.0317066446098704,4,"1151604.22",124.383010684
"74","2006","0610","December 31, 2006","HAMILTON",2598,1178,2.20543293718166,0.00848896434634975,4,"720910",36.037785576563
"75","2006","1060","December 31, 2006","MONTRÉAL",16107,3434,4.69044845661037,0.316831683168317,4,"3815961.34",42.2095471229276
"76","2006","1265","December 31, 2006","OTTAWA",4173,1704,2.44894366197183,0.011150234741784,4,"896678",46.5384452389821
"77","2007","0140","December 31, 2007","CALGARY",14720,5959,2.47021312300722,0.0318845443866421,4,"1183363.8800000001",124.391155153392
"78","2007","0610","December 31, 2007","HAMILTON",2293,1122,2.04367201426025,0.0053475935828877,4,"725091.375",31.6236005427592
"79","2007","1060","December 31, 2007","MONTRÉAL",15015,3858,3.89191290824261,0.149040953862105,4,"3853599.75",38.9635690629262
"80","2007","1265","December 31, 2007","OTTAWA",5013,2245,2.23296213808463,0.0120267260579065,4,"907573",55.2352262572818
"81","2008","0140","December 31, 2008","CALGARY",11216,3139,3.57311245619624,0.106084740363173,4,"1217803.5299999998",92.1002421466129
"82","2008","0610","December 31, 2008","HAMILTON",3102,1111,2.79207920792079,0.0081008100810081,4,"729596.125",42.5166731799734
"83","2008","1060","December 31, 2008","MONTRÉAL",13142,3148,4.17471410419314,0.159466327827192,4,"3901759.78",33.68223760818
