"ref_yy","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","reference_period_qq","ref_qq","population","comp_per_10kpop"
"1994","2410","March 31, 1994","VANCOUVER",20387,NA,NA,7684,2.65317542946382,0.18141592920354,5.85045662100457,"1994-4","4",1837066.61,110.975834458175
"1994","2440","September 30, 1994","VICTORIA",2557,NA,NA,991,2.58022199798184,0.402623612512614,5.68532338308458,"1994-4","4",313054.515,81.679064746918
"1994","0610","June 30, 1994",NA,3519,NA,NA,2006,1.75423728813559,0,5.54061371841155,"1994-4","4",636110.572,55.320570902255
"1994","1490","December 31, 1994","REGINA",519,NA,NA,398,1.30402010050251,0.0251256281407035,5.25347222222222,"1994-4","4",199410.542,26.0267082569787
"1994","0140","March 31, 1994","CALGARY",6823,NA,NA,5903,1.155852956124,0,4.76132024004364,"1994-4","4",820531.899,83.1533790254265
"1994","2270","June 30, 1994","TORONTO",17375,NA,NA,10323,1.68313474765088,0.039426523297491,6.25519848771267,"1994-4","4",4300396.52,40.4032510006775
"1994","0340","March 31, 1994","EDMONTON",6007,NA,NA,3927,1.52966641201935,0.00483829895594601,4.99888101454681,"1994-4","4",878697.77,68.3625269698818
"1994","1700","September 30, 1994","SASKATOON",541,NA,NA,370,1.46216216216216,0.0405405405405405,3.74524714828897,"1994-4","4",226066.799,23.930979798586
"1994","1060","March 31, 1994",NA,14645,NA,NA,8256,1.77386143410853,0.216812015503876,5.24590747330961,"1994-4","4",3484017.36,42.0348077714515
"1994","1265","June 30, 1994",NA,4655,NA,NA,2266,2.05428067078553,0.0123565754633716,5.6424778761062,"1994-4","4",762992.3301,61.0097876002227
"1994","2680","March 31, 1994","WINNIPEG",1572,NA,NA,1280,1.228125,0.0046875,5.14086146682189,"1994-4","4",685224.256,22.9413945323033
"1994","0580","March 31, 1994",NA,2520,NA,NA,1718,1.46682188591385,0,4.65509761388286,"1994-4","4",347835.397,72.4480608280358
"1995","1700","June 30, 1995","SASKATOON",615,NA,NA,464,1.32543103448276,0.0711206896551724,4.18006430868167,"1995-4","4",228510.699,26.9134006718871
"1995","1060","September 30, 1995","MONTRÉAL",8274,NA,NA,5056,1.63647151898734,0.173852848101266,5.1364161849711,"1995-4","4",3499470.29,23.6435783542543
"1995","0140","March 31, 1995","CALGARY",5674,NA,NA,4493,1.26285332739818,0,5.18486795146324,"1995-4","4",839716.198,67.570448367128
"1995","1400","March 31, 1995","QUÉBEC",2678,NA,NA,1398,1.91559370529328,0,4.79901356350185,"1995-4","4",691391.677,38.7334717655272
"1995","2410","March 31, 1995","VANCOUVER",19837,NA,NA,6489,3.05701957158268,0.224842040376021,6.09875702366763,"1995-4","4",1898778.65,104.472419678829
"1995","0340","December 31, 1995","EDMONTON",3103,NA,NA,2271,1.36635843240863,0,5.00203804347826,"1995-4","4",884326.841,35.0888365719072
"1995","2680","June 30, 1995","WINNIPEG",1265,NA,NA,1027,1.2317429406037,0.00876338851022395,6.94230769230769,"1995-4","4",684295.371,18.4861691838041
"1995","0580","June 30, 1995",NA,2253,NA,NA,1335,1.6876404494382,0.00299625468164794,4.74206349206349,"1995-4","4",351381.4,64.1183625541933
"1995","1265","March 31, 1995",NA,2316,NA,NA,1078,2.14842300556586,0.0269016697588126,5.68965517241379,"1995-4","4",769300.5402,30.105269384029
"1995","1490","September 30, 1995","REGINA",385,NA,NA,352,1.09375,0,4.86666666666667,"1995-4","4",200658.281,19.1868483115332
"1995","2270","December 31, 1995","TORONTO",15835,NA,NA,9237,1.71430118003681,0.0617083468658655,6.84916676803309,"1995-4","4",4382926.91,36.1288251553344
"1995","0610","June 30, 1995",NA,1950,NA,NA,1283,1.51987529228371,0,6.01881720430108,"1995-4","4",642266.482,30.3612294063323
"1995","2440","March 31, 1995","VICTORIA",1908,NA,NA,702,2.71794871794872,0.294871794871795,5.98204667863555,"1995-4","4",316577.318,60.2696368790388
"1996","1060","September 30, 1996","MONTRÉAL",7123,NA,NA,4575,1.55693989071038,0.159344262295082,5.52420382165605,"1996-4","4",3516176.53,20.2577997413571
"1996","2680","March 31, 1996","WINNIPEG",678,NA,NA,502,1.35059760956175,0,4.88353413654619,"1996-4","4",683795.775,9.91524114052913
"1996","1400","September 30, 1996","QUÉBEC",2322,NA,NA,1288,1.8027950310559,0,5.54216867469879,"1996-4","4",693506.376,33.4820281450448
"1996","0610","June 30, 1996",NA,2421,NA,NA,1538,1.574122236671,0,5.97929354445798,"1996-4","4",650534.64,37.2155432030491
"1996","1265","June 30, 1996",NA,2644,NA,NA,1461,1.80971937029432,0.0328542094455852,4.88650693568726,"1996-4","4",772422.8697,34.229954908338
"1996","0580","March 31, 1996",NA,2229,NA,NA,1669,1.3355302576393,0.00239664469742361,4.84897959183674,"1996-4","4",355184.127,62.7561827952971
"1996","1490","December 31, 1996","REGINA",385,NA,NA,341,1.12903225806452,0.0146627565982405,5.28625954198473,"1996-4","4",199991.75,19.2507940952564
"1996","2270","March 31, 1996","TORONTO",18422,NA,NA,9787,1.88229283743742,0.0534382343925616,6.88292740322391,"1996-4","4",4475011.36,41.1663759441272
"1996","2440","June 30, 1996","VICTORIA",1106,NA,NA,625,1.7696,0.0672,6.02620087336245,"1996-4","4",318620.251,34.7121690014612
"1996","2410","March 31, 1996","VANCOUVER",13917,NA,NA,5589,2.49006977992485,0.185721953837896,6.18641525605314,"1996-4","4",1953821.83,71.229626910249
"1996","0140","March 31, 1996","CALGARY",6781,NA,NA,5636,1.20315826827537,0,5.1600871222434,"1996-4","4",867371.684,78.1787107544083
"1996","0340","March 31, 1996","EDMONTON",3619,NA,NA,2980,1.21442953020134,0,4.87518072289157,"1996-4","4",896539.384,40.3663248328642
"1996","1700","June 30, 1996","SASKATOON",922,NA,NA,653,1.41194486983155,0.0566615620214395,4.62173913043478,"1996-4","4",229608.608,40.1552889515362
"1997","2410","December 31, 1997","VANCOUVER",16041,NA,NA,5861,2.73690496502303,0.18938747653984,5.9302095689996,"1997-4","4",1982404.87,80.9168714360553
"1997","0340","June 30, 1997","EDMONTON",4143,NA,NA,3576,1.15855704697987,0,4.54853620955316,"1997-4","4",915045.897,45.2764174298024
"1997","1400","September 30, 1997","QUÉBEC",2524,NA,NA,1461,1.72758384668036,0,4.6535552193646,"1997-4","4",695174.357,36.3074381928043
"1997","2680","September 30, 1997","WINNIPEG",1750,NA,NA,1405,1.24555160142349,0,5.77526753864447,"1997-4","4",684487.557,25.5665714022614
"1997","2440","June 30, 1997","VICTORIA",1245,NA,NA,745,1.67114093959732,0.0630872483221477,6.20812182741117,"1997-4","4",319103.393,39.0155675969262
"1997","1700","June 30, 1997","SASKATOON",1126,NA,NA,759,1.48353096179183,0.0171277997364954,5.08547008547009,"1997-4","4",231285.444,48.6844299635216
"1997","0580","September 30, 1997",NA,1849,NA,NA,1562,1.18373879641485,0,4.92507645259939,"1997-4","4",358718.75,51.5445596306298
"1997","0140","March 31, 1997","CALGARY",9185,NA,NA,7970,1.15244667503137,0,4.58130081300813,"1997-4","4",899742.314,102.084784244125
"1997","2270","March 31, 1997","TORONTO",23342,NA,NA,14234,1.63987635239567,0.0345651257552339,6.01873894161171,"1997-4","4",4562392.82,51.1617498118016
"1997","0610","June 30, 1997",NA,3409,NA,NA,2238,1.52323503127793,0,5.07415902140673,"1997-4","4",658022.646,51.806727636544
"1997","1060","March 31, 1997","MONTRÉAL",10097,NA,NA,6275,1.60908366533865,0.192988047808765,4.70680628272251,"1997-4","4",3532106.29,28.5863424568687
"1997","1490","September 30, 1997","REGINA",383,NA,NA,375,1.02133333333333,0,5.35922330097087,"1997-4","4",199684.114,19.1802939316445
"1997","1265","June 30, 1997",NA,3512,NA,NA,2225,1.57842696629213,0.00134831460674157,4.09754163362411,"1997-4","4",778863.3907,45.0913477502596
"1998","0610","March 31, 1998",NA,3222,NA,NA,2115,1.52340425531915,0.00803782505910165,5.528,"1998-4","4",665324.812,48.4274739478677
"1998","1265","March 31, 1998",NA,3460,NA,NA,2456,1.40879478827362,0.00285016286644951,4.14707655213984,"1998-4","4",788559.594,43.8774700901046
"1998","0140","March 31, 1998","CALGARY",12111,NA,NA,9972,1.21450060168472,0.00270758122743682,4.48112527049772,"1998-4","4",925463.089,130.86421429391
"1998","0340","March 31, 1998","EDMONTON",5359,NA,NA,4263,1.25709594182501,0.00164203612479475,4.69284414796847,"1998-4","4",930636.07,57.5842713682911
"1998","2270","March 31, 1998","TORONTO",21482,NA,NA,13930,1.54213926776741,0.0368987796123475,6.38058053320713,"1998-4","4",4642956.2,46.2679359327146
"1998","2410","December 31, 1998","VANCOUVER",13927,NA,NA,4857,2.8674078649372,0.223800700020589,6.1258975586405,"1998-4","4",2009927.38,69.2910606551367
"1998","1490","June 30, 1998","REGINA",561,NA,NA,459,1.22222222222222,0.0196078431372549,6.14641744548287,"1998-4","4",199958.691,28.0557947841337
"1998","1700","June 30, 1998","SASKATOON",1315,NA,NA,805,1.63354037267081,0.0260869565217391,5.57096247960848,"1998-4","4",232227.483,56.6255114602435
"1998","1060","March 31, 1998","MONTRÉAL",9862,NA,NA,6333,1.5572398547292,0.129954208116217,4.59066808059385,"1998-4","4",3558502.17,27.7139075062022
"1998","1400","June 30, 1998","QUÉBEC",1838,NA,NA,1278,1.43818466353678,0.00469483568075117,4.8,"1998-4","4",697579.086,26.3482669834514
"1998","2680","March 31, 1998","WINNIPEG",1531,NA,NA,1187,1.28980623420388,0.0008424599831508,4.90275761973875,"1998-4","4",687770.691,22.2603262982022
"1998","2440","June 30, 1998","VICTORIA",1140,NA,NA,720,1.58333333333333,0.0138888888888889,6.33333333333333,"1998-4","4",320423.967,35.5778630004915
"1998","0580","June 30, 1998",NA,1816,NA,NA,1265,1.43557312252964,0.0102766798418972,5.62796208530806,"1998-4","4",362651.652,50.0756025785318
"1999","0580","March 31, 1999","HALIFAX",2257,NA,NA,1692,1.3339243498818,0.033096926713948,5.67136150234742,"1999-4","4",365659.113,61.7241556345404
"1999","1400","June 30, 1999","QUÉBEC",1771,NA,NA,1247,1.42020850040096,0,4.93177737881508,"1999-4","4",700541.788,25.2804333779443
"1999","1700","June 30, 1999","SASKATOON",981,NA,NA,749,1.30974632843792,0.00400534045393859,4.61648745519713,"1999-4","4",232000.601,42.2843732202228
"1999","0140","March 31, 1999","CALGARY",9655,NA,NA,7571,1.27526086382248,0.0141328754457799,4.63546218487395,"1999-4","4",949842.56,101.648424766311
"1999","2270","March 31, 1999","TORONTO",29847,NA,NA,18318,1.62938093678349,0.0211267605633803,6.5797709206985,"1999-4","4",4742345.3,62.9372137874482
"1999","0610","June 30, 1999",NA,3451,NA,NA,2151,1.60437006043701,0.0288238028823803,5.31336405529954,"1999-4","4",674016.069,51.2005597302755
"1999","2680","March 31, 1999","WINNIPEG",1485,NA,NA,1078,1.37755102040816,0.00278293135435993,5.86215235792019,"1999-4","4",692120.877,21.455789723274
"1999","0340","March 31, 1999","EDMONTON",5639,NA,NA,4132,1.36471442400774,0.00193610842207164,4.3755988502076,"1999-4","4",946094.383,59.6029328714448
"1999","1265","March 31, 1999",NA,4144,NA,NA,2953,1.40331865899086,0,3.90547263681592,"1999-4","4",801690.6723,51.6907598302363
"1999","1060","September 30, 1999","MONTRÉAL",11276,NA,NA,7438,1.51599892444205,0.089809088464641,5.12292562999385,"1999-4","4",3592721.83,31.3856750774384
"1999","2440","June 30, 1999",NA,896,NA,NA,563,1.59147424511545,0.019538188277087,5.87914691943128,"1999-4","4",321445.882,27.874054395259
"1999","2410","March 31, 1999","VANCOUVER",11102,NA,NA,4139,2.68229040831119,0.232906499154385,5.65183098591549,"1999-4","4",2037155.74,54.4975515715848
"1999","1490","September 30, 1999","REGINA",521,NA,NA,369,1.41192411924119,0.018970189701897,5.67300380228137,"1999-4","4",199378.229,26.1312382306295
"2000","1700","June 30, 2000","SASKATOON",1251,NA,NA,738,1.69512195121951,0.0176151761517615,5.10843373493976,"2000-4","4",232228.601,53.8693336915895
"2000","2270","March 31, 2000","TORONTO",33740,NA,NA,19007,1.77513547640343,0.0324617246277687,6.67732727484563,"2000-4","4",4867120.12,69.3223079934999
"2000","0580","June 30, 2000","HALIFAX",2300,NA,NA,1554,1.48005148005148,0.0167310167310167,4.47174447174447,"2000-4","4",368750.313,62.3728284130297
"2000","1060","March 31, 2000","MONTRÉAL",11497,NA,NA,7224,1.59150055370986,0.0305924695459579,4.9917055469155,"2000-4","4",3627104.42,31.6974607530047
"2000","0140","March 31, 2000","CALGARY",10729,NA,NA,7311,1.46751470387088,0.0276295992340309,5.04171822520771,"2000-4","4",974556.104,110.091147712928
"2000","2680","March 31, 2000","WINNIPEG",1487,NA,NA,1366,1.08857979502196,0,6.03984819734345,"2000-4","4",695482.826,21.380829898451
"2000","2410","June 30, 2000","VANCOUVER",9106,NA,NA,3862,2.35784567581564,0.229932677369239,5.97632058287796,"2000-4","4",2071193.06,43.9649986080969
