"ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1988","1490",5,4,"September 30, 1988","REGINA",50,NA,NA,1,50,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,2.55643170889704
"1988","1060",2,2,"December 31, 1988",NA,14,NA,NA,7,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.0417698402855269
"1988","1265",4,2,"September 30, 1988",NA,216,NA,NA,21,10.2857142857143,0,0.0476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,3.1621736325553
"1988","0580",2,2,"September 30, 1988",NA,6,NA,NA,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.183521059267894
"1988","1400",4,1,"September 30, 1988",NA,102,NA,NA,23,4.43478260869565,0,0.130434782608696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,1.57705918670504
"1988","2410",2,2,"June 30, 1988","VANCOUVER",14,NA,NA,7,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,0.089616862308812
"1988","2410",2,3,"September 30, 1988","VANCOUVER",226,NA,NA,113,2,0,0.0176991150442478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,1.44667220584225
"1988","2440",4,3,"December 31, 1988",NA,154,NA,NA,25,6.16,0.08,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,5.43653827902611
"1988","0340",4,3,"September 30, 1988","EDMONTON",45,NA,NA,9,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.547800606797271
"1988","1490",5,2,"December 31, 1988","REGINA",10,NA,NA,2,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,0.511286341779407
"1988","1700",2,3,"September 30, 1988","SASKATOON",2,NA,NA,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,0.0925439470382096
"1988","2270",2,4,"September 30, 1988","TORONTO",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.0051057343331978
"1988","1060",1,1,"June 30, 1988",NA,6622,NA,NA,6622,1,0,0.336304577730775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,19.7571344550542
"1988","2410",5,2,"December 31, 1988","VANCOUVER",623,NA,NA,16,38.9375,0.25,0.214285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,3.98795037274214
"1988","2680",4,2,"September 30, 1988","WINNIPEG",52,NA,NA,3,17.3333333333333,0.666666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,0.78086408819228
"1988","1700",5,2,"September 30, 1988","SASKATOON",32,NA,NA,8,4,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,1.48070315261135
"1988","0340",2,3,"June 30, 1988","EDMONTON",4,NA,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.0486933872708686
"1988","2440",5,3,"September 30, 1988",NA,189,NA,NA,11,17.1818181818182,0,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,6.67211516062295
"1988","0610",5,4,"December 31, 1988",NA,51,NA,NA,1,51,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,0.839394195581237
"1988","0610",4,3,"December 31, 1988","HAMILTON",254,NA,NA,31,8.19354838709677,0,0.161290322580645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,4.18051226818891
"1988","0610",5,3,"September 30, 1988",NA,259,NA,NA,4,64.75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,4.2628058167753
"1988","1700",2,1,"December 31, 1988","SASKATOON",40,NA,NA,20,2,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,1.85087894076419
"1988","1060",4,1,"September 30, 1988",NA,242,NA,NA,55,4.4,0,0.442307692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.722021524935537
"1988","0580",5,2,"September 30, 1988",NA,314,NA,NA,12,26.1666666666667,0,1.41666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,9.6042687683531
"1988","0340",1,3,"June 30, 1988","EDMONTON",15,NA,NA,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.182600202265757
"1988","1265",4,0,"December 31, 1988",NA,26,NA,NA,2,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.380632011326101
"1988","2410",4,3,"September 30, 1988","VANCOUVER",1247,NA,NA,250,4.988,0,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,7.9823019499349
"1988","0580",4,1,"September 30, 1988",NA,16,NA,NA,2,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.48938949138105
"1988","1400",2,1,"September 30, 1988",NA,184,NA,NA,95,1.93684210526316,0,0.315789473684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,2.84489108189929
"1988","2440",2,1,"December 31, 1988","VICTORIA",27,NA,NA,14,1.92857142857143,0,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,0.953159308660421
"1988","2440",5,0,"September 30, 1988","VICTORIA",18,NA,NA,1,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,0.635439539106947
"1988","1490",4,2,"December 31, 1988","REGINA",4,NA,NA,1,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,0.204514536711763
"1988","1265",5,0,"December 31, 1988",NA,8,NA,NA,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.117117541946493
"1988","2270",4,4,"September 30, 1988","TORONTO",76,NA,NA,11,6.90909090909091,0.181818181818182,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.194017904661516
"1988","2270",2,1,"September 30, 1988","TORONTO",125,NA,NA,63,1.98412698412698,0,0.317460317460317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.319108395824862
"1988","0580",5,3,"December 31, 1988",NA,22,NA,NA,2,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.672910550648943
"1988","0340",2,1,"September 30, 1988","EDMONTON",112,NA,NA,56,2,0,0.0178571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,1.36341484358432
"1988","0140",4,2,"December 31, 1988","CALGARY",76,NA,NA,3,25.3333333333333,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,1.04907190506551
"1988","2680",5,1,"December 31, 1988","WINNIPEG",4,NA,NA,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,0.0600664683224831
"1989","0610",4,1,"September 30, 1989","HAMILTON",40,NA,NA,8,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-4","4",615293.795,0.650095943190846
