"ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1993","0340","March 31, 1993","EDMONTON",6720,NA,NA,4665,1.44051446945338,0,0.239901256732496,"1993-4","4",877513.385,76.5800284630416
"1993","2440","June 30, 1993","VICTORIA",2633,NA,NA,1137,2.31574318381706,0.040457343887423,0.506596306068602,"1993-4","4",309247.321,85.1422088794748
"1993","2270","March 31, 1993","TORONTO",15637,NA,NA,8839,1.76909152619075,0.0397103744767508,2.31115169501199,"1993-4","4",4218289.04,37.0695318687787
"1993","0580","March 31, 1993",NA,2127,NA,NA,1442,1.4750346740638,0,0.138792505204719,"1993-4","4",345205.223,61.6155219644519
"1994","1400","March 31, 1994","QUÉBEC",4677,NA,NA,2348,1.99190800681431,0,0.27129471890971,"1994-4","4",688133.017,67.9665106085151
"1994","2410","March 31, 1994","VANCOUVER",20473,NA,NA,7590,2.69736495388669,0.153359683794466,0.511661615496113,"1994-4","4",1837066.61,111.443972083299
"1994","1490","June 30, 1994","REGINA",462,NA,NA,413,1.11864406779661,0,0.242424242424242,"1994-4","4",199410.542,23.1682836507209
"1994","2680","June 30, 1994","WINNIPEG",1529,NA,NA,1214,1.25947281713344,0.00247116968698517,0.346787479406919,"1994-4","4",685224.256,22.3138627480227
"1994","0140","March 31, 1994","CALGARY",6877,NA,NA,5540,1.2413357400722,0,0.331407942238267,"1994-4","4",820531.899,83.8114887231215
"1994","2270","March 31, 1994","TORONTO",18443,NA,NA,12055,1.5299046038988,0.0434674408958938,1.46738211931722,"1994-4","4",4300396.52,42.8867429183019
"1994","0340","March 31, 1994","EDMONTON",5006,NA,NA,3484,1.43685419058553,0,0.311684460260973,"1994-4","4",878697.77,56.9706692211134
"1994","1700","September 30, 1994","SASKATOON",682,NA,NA,397,1.71788413098237,0.035264483627204,0.146095717884131,"1994-4","4",226066.799,30.1680743486796
"1994","1060","March 31, 1994","MONTRÉAL",13157,NA,NA,7893,1.6669200557456,0.0941340428227543,0.325457613916656,"1994-4","4",3484017.36,37.7638761248882
"1994","2440","March 31, 1994","VICTORIA",2303,NA,NA,929,2.47900968783638,0,0.867599569429494,"1994-4","4",313054.515,73.565461913239
