"","ref_yy","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"1","1988","1209001","December 31, 1988","0580",NA,NA,19,25,0.76,0,4,"326937.956",0.581150021014996
"2","1988","1209008","December 31, 1988","0580","HALIFAX","EAST HANTS MD",42,56,0.75,0,4,"326937.956",1.28464741487526
"3","1988","1209012","December 31, 1988","0580",NA,NA,45,60,0.75,0,4,"326937.956",1.3764079445092
"4","1988","1209018","December 31, 1988","0580",NA,NA,45,47,0.957446808510638,0,4,"326937.956",1.3764079445092
"5","1988","1209021","December 31, 1988","0580",NA,NA,197,60,3.28333333333333,0,4,"326937.956",6.02560811262917
"6","1988","1209022","December 31, 1988","0580",NA,NA,77,41,1.8780487804878,0,4,"326937.956",2.3551869272713
"7","1988","1209024","December 31, 1988","0580",NA,NA,61,70,0.871428571428571,0,4,"326937.956",1.86579743589025
"8","1988","1209026","December 31, 1988","0580",NA,NA,29,46,0.630434782608696,0,4,"326937.956",0.887018453128153
"9","1988","2416500","December 31, 1988","1400",NA,NA,0,1,0,0,4,"646773.4430000001",0
"10","1988","2416600","December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"11","1988","2416700","December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"12","1988","2417360","December 31, 1988","1400",NA,NA,0,4,0,0,4,"646773.4430000001",0
"13","1988","2417400","December 31, 1988","1400",NA,NA,2,5,0.4,0,4,"646773.4430000001",0.0309227291510793
"14","1988","2417460","December 31, 1988","1400",NA,NA,0,1,0,0,4,"646773.4430000001",0
"15","1988","2420110","December 31, 1988","1400",NA,NA,34,61,0.557377049180328,0,4,"646773.4430000001",0.525686395568347
"16","1988","2420140","December 31, 1988","1400",NA,NA,164,61,2.68852459016393,0,4,"646773.4430000001",2.5356637903885
"17","1988","2420150","December 31, 1988","1400",NA,NA,2,8,0.25,0,4,"646773.4430000001",0.0309227291510793
"18","1988","2420170","December 31, 1988","1400",NA,NA,2,12,0.166666666666667,0,4,"646773.4430000001",0.0309227291510793
"19","1988","2420200","December 31, 1988","1400",NA,NA,7,9,0.777777777777778,0,4,"646773.4430000001",0.108229552028777
"20","1988","2420230","December 31, 1988","1400",NA,NA,340,106,3.20754716981132,0,4,"646773.4430000001",5.25686395568347
"21","1988","2420260","December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"22","1988","2420270","December 31, 1988","1400",NA,NA,0,1,0,0,4,"646773.4430000001",0
"23","1988","2420290","December 31, 1988","1400",NA,NA,19,25,0.76,0,4,"646773.4430000001",0.293765926935253
"24","1988","2420320","December 31, 1988","1400",NA,NA,23,14,1.64285714285714,0,4,"646773.4430000001",0.355611385237411
"25","1988","2420350","December 31, 1988","1400",NA,NA,29,31,0.935483870967742,0,4,"646773.4430000001",0.448379572690649
"26","1988","2420400","December 31, 1988","1400",NA,NA,199,45,4.42222222222222,0,4,"646773.4430000001",3.07681155053239
"27","1988","2420430","December 31, 1988","1400",NA,NA,29,48,0.604166666666667,0,4,"646773.4430000001",0.448379572690649
"28","1988","2420470","December 31, 1988","1400",NA,NA,0,4,0,0,4,"646773.4430000001",0
"29","1988","2420490","December 31, 1988","1400",NA,NA,0,1,0,0,4,"646773.4430000001",0
"30","1988","2420530","December 31, 1988","1400",NA,NA,0,3,0,0,4,"646773.4430000001",0
"31","1988","2420560","December 31, 1988","1400",NA,NA,4,7,0.571428571428571,0,4,"646773.4430000001",0.0618454583021585
"32","1988","2421170","December 31, 1988","1400",NA,NA,2,4,0.5,0,4,"646773.4430000001",0.0309227291510793
"33","1988","2421220","December 31, 1988","1400",NA,NA,10,14,0.714285714285714,0,4,"646773.4430000001",0.154613645755396
"34","1988","2421260","December 31, 1988","1400",NA,NA,11,9,1.22222222222222,0,4,"646773.4430000001",0.170075010330936
"35","1988","2421300","December 31, 1988","1400",NA,NA,23,30,0.766666666666667,0,4,"646773.4430000001",0.355611385237411
"36","1988","2421340","December 31, 1988","1400",NA,NA,4,8,0.5,0,4,"646773.4430000001",0.0618454583021585
"37","1988","2421420","December 31, 1988","1400",NA,NA,14,18,0.777777777777778,0,4,"646773.4430000001",0.216459104057555
"38","1988","2421460","December 31, 1988","1400",NA,NA,61,19,3.21052631578947,0,4,"646773.4430000001",0.943143239107917
"39","1988","2421500","December 31, 1988","1400",NA,NA,15,14,1.07142857142857,0,4,"646773.4430000001",0.231920468633094
"40","1988","2421550","December 31, 1988","1400",NA,NA,8,11,0.727272727272727,0,4,"646773.4430000001",0.123690916604317
"41","1988","2421600","December 31, 1988","1400",NA,NA,15,9,1.66666666666667,0,4,"646773.4430000001",0.231920468633094
"42","1988","2421650","December 31, 1988","1400",NA,NA,13,14,0.928571428571429,0,4,"646773.4430000001",0.200997739482015
"43","1988","2421700","December 31, 1988","1400",NA,NA,8,9,0.888888888888889,0,4,"646773.4430000001",0.123690916604317
"44","1988","2421780","December 31, 1988","1400",NA,NA,7,13,0.538461538461538,0,4,"646773.4430000001",0.108229552028777
"45","1988","2429110","December 31, 1988","1400",NA,NA,14,20,0.7,0,4,"646773.4430000001",0.216459104057555
"46","1988","2429130","December 31, 1988","1400",NA,NA,5,7,0.714285714285714,0,4,"646773.4430000001",0.0773068228776981
"47","1988","2429140","December 31, 1988","1400",NA,NA,12,1,12,0,4,"646773.4430000001",0.185536374906476
"48","1988","2429160","December 31, 1988","1400",NA,NA,1,3,0.333333333333333,0,4,"646773.4430000001",0.0154613645755396
"49","1988","2452440","December 31, 1988","1060",NA,NA,2,4,0.5,0,4,"3351700.63",0.00596712004078956
"50","1988","2452550","December 31, 1988","1060",NA,NA,2,8,0.25,0,4,"3351700.63",0.00596712004078956
"51","1988","2452700","December 31, 1988","1060",NA,NA,11,26,0.423076923076923,0,4,"3351700.63",0.0328191602243426
"52","1988","2452780","December 31, 1988","1060",NA,NA,19,49,0.387755102040816,0,4,"3351700.63",0.0566876403875008
"53","1988","2456120","December 31, 1988","1060",NA,NA,40,58,0.689655172413793,0,4,"3351700.63",0.119342400815791
"54","1988","2456200","December 31, 1988","1060",NA,NA,5,7,0.714285714285714,0,4,"3351700.63",0.0149178001019739
"55","1988","2456280","December 31, 1988","1060",NA,NA,14,38,0.368421052631579,0,4,"3351700.63",0.0417698402855269
"56","1988","2456310","December 31, 1988","1060",NA,NA,41,30,1.36666666666667,0.566666666666667,4,"3351700.63",0.122325960836186
"57","1988","2456400","December 31, 1988","1060",NA,NA,134,97,1.38144329896907,0.185567010309278,4,"3351700.63",0.399797042732901
"58","1988","2456450","December 31, 1988","1060",NA,NA,7,2,3.5,1.5,4,"3351700.63",0.0208849201427635
"59","1988","2456580","December 31, 1988","1060",NA,NA,139,12,11.5833333333333,3.16666666666667,4,"3351700.63",0.414714842834875
"60","1988","2456650","December 31, 1988","1060",NA,NA,211,148,1.42567567567568,0.297297297297297,4,"3351700.63",0.629531164303299
"61","1988","2456750","December 31, 1988","1060",NA,NA,51,99,0.515151515151515,0.0404040404040404,4,"3351700.63",0.152161561040134
"62","1988","2457110","December 31, 1988","1060",NA,NA,2,3,0.666666666666667,0,4,"3351700.63",0.00596712004078956
"63","1988","2457150","December 31, 1988","1060",NA,NA,10,30,0.333333333333333,0,4,"3351700.63",0.0298356002039478
"64","1988","2457200","December 31, 1988","1060",NA,NA,0,3,0,0,4,"3351700.63",0
"65","1988","2457280","December 31, 1988","1060",NA,NA,33,104,0.317307692307692,0,4,"3351700.63",0.0984574806730278
"66","1988","2457320","December 31, 1988","1060",NA,NA,38,45,0.844444444444444,0.0444444444444444,4,"3351700.63",0.113375280775002
"67","1988","2457400","December 31, 1988","1060",NA,NA,2,9,0.222222222222222,0,4,"3351700.63",0.00596712004078956
"68","1988","2462110","December 31, 1988","1060",NA,NA,1,3,0.333333333333333,0,4,"3351700.63",0.00298356002039478
"69","1988","2462200","December 31, 1988","1060",NA,NA,53,55,0.963636363636364,0.218181818181818,4,"3351700.63",0.158128681080923
"70","1988","2462240","December 31, 1988","1060",NA,NA,16,42,0.380952380952381,0.0952380952380952,4,"3351700.63",0.0477369603263165
"71","1988","2462260","December 31, 1988","1060",NA,NA,0,1,0,0,4,"3351700.63",0
"72","1988","2462280","December 31, 1988","1060",NA,NA,39,54,0.722222222222222,0,4,"3351700.63",0.116358840795396
"73","1988","2462310","December 31, 1988","1060",NA,NA,51,73,0.698630136986301,0,4,"3351700.63",0.152161561040134
"74","1988","2462510","December 31, 1988","1060",NA,NA,18,52,0.346153846153846,0,4,"3351700.63",0.0537040803671061
"75","1988","2463110","December 31, 1988","1060",NA,NA,34,50,0.68,0,4,"3351700.63",0.101441040693423
"76","1988","2463130","December 31, 1988","1060",NA,NA,41,57,0.719298245614035,0,4,"3351700.63",0.122325960836186
"77","1988","2463150","December 31, 1988","1060",NA,NA,63,56,1.125,0.0357142857142857,4,"3351700.63",0.187964281284871
"78","1988","2463170","December 31, 1988","1060",NA,NA,16,19,0.842105263157895,0,4,"3351700.63",0.0477369603263165
"79","1988","2463190","December 31, 1988","1060",NA,NA,77,98,0.785714285714286,0,4,"3351700.63",0.229734121570398
"80","1988","2463200","December 31, 1988","1060",NA,NA,7,11,0.636363636363636,0,4,"3351700.63",0.0208849201427635
"81","1988","2463220","December 31, 1988","1060",NA,NA,71,78,0.91025641025641,0,4,"3351700.63",0.211832761448029
"82","1988","2463250","December 31, 1988","1060",NA,NA,14,14,1,0,4,"3351700.63",0.0417698402855269
"83","1988","2464500","December 31, 1988","1060",NA,NA,480,387,1.24031007751938,0,4,"3351700.63",1.43210880978949
"84","1988","2465180","December 31, 1988","1060",NA,NA,46,11,4.18181818181818,2.27272727272727,4,"3351700.63",0.13724376093816
"85","1988","2465200","December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"86","1988","2465220","December 31, 1988","1060",NA,NA,8,3,2.66666666666667,0,4,"3351700.63",0.0238684801631582
"87","1988","2465260","December 31, 1988","1060",NA,NA,676,208,3.25,0.894230769230769,4,"3351700.63",2.01688657378687
"88","1988","2465280","December 31, 1988","1060",NA,NA,7,2,3.5,0,4,"3351700.63",0.0208849201427635
"89","1988","2465300","December 31, 1988","1060",NA,NA,52,3,17.3333333333333,5,4,"3351700.63",0.155145121060529
"90","1988","2465320","December 31, 1988","1060",NA,NA,92,16,5.75,5.625,4,"3351700.63",0.27448752187632
"91","1988","2465340","December 31, 1988","1060",NA,NA,40,18,2.22222222222222,0.5,4,"3351700.63",0.119342400815791
"92","1988","2465420","December 31, 1988","1060",NA,NA,80,31,2.58064516129032,0.483870967741935,4,"3351700.63",0.238684801631582
"93","1988","2465440","December 31, 1988","1060",NA,NA,38,8,4.75,1,4,"3351700.63",0.113375280775002
"94","1988","2465480","December 31, 1988","1060",NA,NA,182,15,12.1333333333333,3.73333333333333,4,"3351700.63",0.54300792371185
"95","1988","2465500","December 31, 1988","1060",NA,NA,50,15,3.33333333333333,0.6,4,"3351700.63",0.149178001019739
"96","1988","2465540","December 31, 1988","1060",NA,NA,19,11,1.72727272727273,0,4,"3351700.63",0.0566876403875008
"97","1988","2465580","December 31, 1988","1060",NA,NA,60,55,1.09090909090909,0.163636363636364,4,"3351700.63",0.179013601223687
"98","1988","2465600","December 31, 1988","1060",NA,NA,13,25,0.52,0,4,"3351700.63",0.0387862802651322
"99","1988","2465620","December 31, 1988","1060",NA,NA,36,13,2.76923076923077,0.0769230769230769,4,"3351700.63",0.107408160734212
"100","1988","2465640","December 31, 1988","1060",NA,NA,5,5,1,0.6,4,"3351700.63",0.0149178001019739
"101","1988","2465700","December 31, 1988","1060",NA,NA,226,125,1.808,0.384,4,"3351700.63",0.67428456460922
"102","1988","2465720","December 31, 1988","1060",NA,NA,8,12,0.666666666666667,0,4,"3351700.63",0.0238684801631582
"103","1988","2465740","December 31, 1988","1060",NA,NA,27,5,5.4,2.4,4,"3351700.63",0.0805561205506591
"104","1988","2466300","December 31, 1988","1060",NA,NA,101,53,1.90566037735849,0.283018867924528,4,"3351700.63",0.301339562059873
