"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","reference_period_qq","ref_qq","population","comp_per_10kpop"
"1988","4811012","December 31, 1988","0340","EDMONTON","LEDUC COUNTY MD",15,NA,NA,12,1.25,0,4.63636363636364,"1988-4","4",821466.779,0.182600202265757
"1988","2465400","September 30, 1988","1060",NA,NA,68,NA,NA,2,34,0,10,"1988-4","4",3351700.63,0.202882081386845
"1988","2466780","December 31, 1988","1060",NA,NA,10,NA,NA,10,1,0,7.5,"1988-4","4",3351700.63,0.0298356002039478
"1988","3503016","December 31, 1988","1265",NA,NA,79,NA,NA,78,1.01282051282051,0,8.16666666666667,"1988-4","4",683074.4453,1.15653572672162
"1988","3524015","June 30, 1988","2270","TORONTO","HALTON HILLS T",66,NA,NA,65,1.01538461538462,0,7.28070175438596,"1988-4","4",3917164.25,0.168489232995527
"1988","4613037","September 30, 1988","2680","WINNIPEG","WEST ST. PAUL RM",29,NA,NA,29,1,0,8.18518518518519,"1988-4","4",665928.947,0.435481895338002
"1988","2466700","December 31, 1988","1060",NA,NA,283,NA,NA,243,1.16460905349794,0,4.81578947368421,"1988-4","4",3351700.63,0.844347485771723
"1988","2470460","September 30, 1988","1060",NA,NA,38,NA,NA,20,1.9,0,5.25,"1988-4","4",3351700.63,0.113375280775002
"1988","3506001","September 30, 1988","1265",NA,NA,144,NA,NA,144,1,0,4.1530612244898,"1988-4","4",683074.4453,2.10811575503687
"1988","2457110","December 31, 1988","1060",NA,NA,29,NA,NA,9,3.22222222222222,0,6.5,"1988-4","4",3351700.63,0.0865232405914486
"1988","3506011","September 30, 1988","1265",NA,NA,4,NA,NA,4,1,0,7.25,"1988-4","4",683074.4453,0.0585587709732464
"1988","3519070","September 30, 1988","2270","TORONTO","GEORGINA T",339,NA,NA,235,1.44255319148936,0.0382978723404255,4.79856115107914,"1988-4","4",3917164.25,0.865421969477027
"1988","5917040","December 31, 1988","2440","VICTORIA","ESQUIMALT DM",3,NA,NA,3,1,0,4,"1988-4","4",283268.492,0.105906589851158
"1988","2462310","September 30, 1988","1060",NA,NA,297,NA,NA,234,1.26923076923077,0,6.07042253521127,"1988-4","4",3351700.63,0.88611732605725
"1988","2472150","June 30, 1988","1060",NA,NA,76,NA,NA,48,1.58333333333333,0.208333333333333,5.31578947368421,"1988-4","4",3351700.63,0.226750561550003
"1988","5917021","December 31, 1988","2440","VICTORIA","SAANICH DM",590,NA,NA,413,1.42857142857143,0.0653753026634383,4.63636363636364,"1988-4","4",283268.492,20.8282960040611
"1988","4806022","September 30, 1988","0140","CALGARY","IRRICANA T",1,NA,NA,1,1,0,3,"1988-4","4",724449.865,0.0138035776982304
"1988","2463190","September 30, 1988","1060",NA,NA,448,NA,NA,374,1.19786096256684,0.0053475935828877,4.51948051948052,"1988-4","4",3351700.63,1.33663488913686
"1988","3521010","September 30, 1988","2270","TORONTO","BRAMPTON CY",1636,NA,NA,1276,1.28213166144201,0,6.78565799842396,"1988-4","4",3917164.25,4.1764906845558
"1988","1209001","September 30, 1988","0580",NA,NA,95,NA,NA,88,1.07954545454545,0,6.46808510638298,"1988-4","4",326937.956,2.90575010507498
"1988","2456650","June 30, 1988","1060",NA,NA,545,NA,NA,268,2.03358208955224,0.0746268656716418,5.76315789473684,"1988-4","4",3351700.63,1.62604021111516
"1988","2429140","December 31, 1988","1400",NA,NA,5,NA,NA,5,1,0,8.5,"1988-4","4",646773.443,0.0773068228776981
"1988","2420560","September 30, 1988","1400",NA,NA,48,NA,NA,47,1.02127659574468,0,8.7,"1988-4","4",646773.443,0.742145499625902
"1988","2465340","June 30, 1988","1060",NA,NA,365,NA,NA,63,5.79365079365079,0.555555555555556,6.64516129032258,"1988-4","4",3351700.63,1.0889994074441
"1988","2466300","June 30, 1988","1060",NA,NA,156,NA,NA,97,1.60824742268041,0,4.76744186046512,"1988-4","4",3351700.63,0.465435363181586
"1988","2462110","September 30, 1988","1060",NA,NA,41,NA,NA,41,1,0,3.66666666666667,"1988-4","4",3351700.63,0.122325960836186
"1988","4712054","September 30, 1988","1700","SASKATOON","VANSCOY NO. 345 RM",4,NA,NA,4,1,0,3,"1988-4","4",216113.54,0.185087894076419
"1988","2420350","September 30, 1988","1400",NA,NA,98,NA,NA,70,1.4,0,5.66666666666667,"1988-4","4",646773.443,1.51521372840288
"1988","5917041","December 31, 1988","2440","VICTORIA","COLWOOD CY",78,NA,NA,78,1,0,4.56363636363636,"1988-4","4",283268.492,2.75357133613011
"1988","2465260","December 31, 1988","1060",NA,NA,3916,NA,NA,725,5.40137931034483,0.742068965517241,6.97346600331675,"1988-4","4",3351700.63,11.683621039866
"1988","2472310","September 30, 1988","1060",NA,NA,2,NA,NA,2,1,0,5,"1988-4","4",3351700.63,0.00596712004078956
"1988","3524002","December 31, 1988","0610","HAMILTON","BURLINGTON CY",1256,NA,NA,945,1.32910052910053,0.0285714285714286,5.23027375201288,"1988-4","4",607581.042,20.6721394049026
"1988","2421340","September 30, 1988","1400",NA,NA,40,NA,NA,38,1.05263157894737,0,6.06666666666667,"1988-4","4",646773.443,0.618454583021585
"1988","2465280","December 31, 1988","1060",NA,NA,48,NA,NA,10,4.8,0,6.5,"1988-4","4",3351700.63,0.143210880978949
"1988","4806026","December 31, 1988","0140","CALGARY","CROSSFIELD T",7,NA,NA,7,1,0,4.33333333333333,"1988-4","4",724449.865,0.0966250438876126
"1988","5917055","December 31, 1988","2440",NA,NA,237,NA,NA,28,8.46428571428571,0.678571428571429,5.40909090909091,"1988-4","4",283268.492,8.36662059824148
"1988","2465700","June 30, 1988","1060",NA,NA,1050,NA,NA,403,2.60545905707196,0.233250620347395,5.91701244813278,"1988-4","4",3351700.63,3.13273802141452
"1988","2473420","September 30, 1988","1060",NA,NA,11,NA,NA,11,1,0,5.22222222222222,"1988-4","4",3351700.63,0.0328191602243426
"1988","4711068","June 30, 1988","1700","SASKATOON","WARMAN CY",25,NA,NA,20,1.25,0,5.5,"1988-4","4",216113.54,1.15679933797762
"1988","4811026","June 30, 1988","0340",NA,NA,2,NA,NA,2,1,0,6.5,"1988-4","4",821466.779,0.0243466936354343
"1988","5915046","September 30, 1988","2410","VANCOUVER","NORTH VANCOUVER DM",322,NA,NA,233,1.38197424892704,0.0472103004291846,4.55778894472362,"1988-4","4",1562206,2.06118783310268
