"","ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"370","2006","1265","K4M",1,1,"December 31, 2006","OTTAWA",1,2,0.5,0
"371","2006","1265","K4P",1,1,"December 31, 2006","OTTAWA",7,10,0.7,0
"372","2006","1265","K4R",1,1,"December 31, 2006","OTTAWA",0,1,0,0
"373","2006","1265","nan",1,1,"December 31, 2006","OTTAWA",36,200,0.18,0
"374","2006","1265","nan",2,1,"December 31, 2006","OTTAWA",9,17,0.529411764705882,0
"375","2006","1265","nan",4,1,"December 31, 2006","OTTAWA",52,32,1.625,0
"376","2006","1265","nan",4,3,"December 31, 2006","OTTAWA",6,5,1.2,0
"377","2006","1265","nan",5,3,"December 31, 2006","OTTAWA",22,8,2.75,0
"378","2006","1400","G0A",1,1,"December 31, 2006","QUÉBEC",10,43,0.232558139534884,0
"379","2006","1400","G0A",2,1,"December 31, 2006","QUÉBEC",2,1,2,0
"380","2006","1400","G0A",5,3,"December 31, 2006","QUÉBEC",3,1,3,4
"381","2006","1400","G1B",1,1,"December 31, 2006","QUÉBEC",2,8,0.25,0
"382","2006","1400","G1B",2,1,"December 31, 2006","QUÉBEC",1,2,0.5,0
"383","2006","1400","G1B",5,1,"December 31, 2006","QUÉBEC",3,3,1,2
"384","2006","1400","G1C",1,1,"December 31, 2006","QUÉBEC",5,6,0.833333333333333,0
"385","2006","1400","G1C",5,1,"December 31, 2006","QUÉBEC",9,8,1.125,1.875
"386","2006","1400","G1C",5,3,"December 31, 2006","QUÉBEC",5,2,2.5,3
"387","2006","1400","G1E",5,3,"December 31, 2006","QUÉBEC",1,1,1,4
"388","2006","1400","G1G",5,3,"December 31, 2006","QUÉBEC",54,5,10.8,3.6
"389","2006","1400","G1H",5,1,"December 31, 2006","QUÉBEC",1,1,1,2
"390","2006","1400","G1K",5,3,"December 31, 2006","QUÉBEC",24,1,24,0
"391","2006","1400","G1L",5,3,"December 31, 2006","QUÉBEC",18,1,18,3
"392","2006","1400","G1T",1,1,"December 31, 2006","QUÉBEC",0,1,0,0
"393","2006","1400","G1W",1,1,"December 31, 2006","QUÉBEC",1,2,0.5,0
"394","2006","1400","G1W",2,1,"December 31, 2006","QUÉBEC",1,3,0.333333333333333,0
"395","2006","1400","G1W",4,1,"December 31, 2006","QUÉBEC",1,1,1,2
"396","2006","1400","G1W",5,3,"December 31, 2006","QUÉBEC",6,1,6,7
"397","2006","1400","G1X",1,1,"December 31, 2006","QUÉBEC",1,7,0.142857142857143,0
"398","2006","1400","G1X",5,3,"December 31, 2006","QUÉBEC",11,2,5.5,5
"399","2006","1400","G1Y",2,1,"December 31, 2006","QUÉBEC",1,1,1,0
"400","2006","1400","G2A",5,3,"December 31, 2006","QUÉBEC",9,4,2.25,3
"401","2006","1400","G2B",1,1,"December 31, 2006","QUÉBEC",5,17,0.294117647058824,0
"402","2006","1400","G2C",1,1,"December 31, 2006","QUÉBEC",5,17,0.294117647058824,0
"403","2006","1400","G2C",5,3,"December 31, 2006","QUÉBEC",45,11,4.09090909090909,2.18181818181818
"404","2006","1400","G2E",1,1,"December 31, 2006","QUÉBEC",1,2,0.5,0
