"","ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price"
"24","2006","0580","B3L",2,1,"September 30, 2006","HALIFAX",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2006","0580","B3R",2,1,"September 30, 2006","HALIFAX",6,NA,NA,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2006","0610","L7L",1,1,"March 31, 2006","HAMILTON",31,NA,NA,31,1,0,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2006","0610","L7R",4,1,"March 31, 2006","HAMILTON",5,NA,NA,1,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2006","0610","L7R",4,3,"March 31, 2006","HAMILTON",52,NA,NA,8,6.5,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2006","0610","L8R",2,1,"March 31, 2006","HAMILTON",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2006","0610","L9H",1,1,"June 30, 2006","HAMILTON",11,NA,NA,11,1,0,0.181818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2006","0610","nan",2,1,"March 31, 2006","HAMILTON",118,NA,NA,59,2,0,0.53448275862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2006","1060","H1E",4,1,"September 30, 2006","MONTRÉAL",13,NA,NA,4,3.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2006","1060","H1H",5,3,"September 30, 2006","MONTRÉAL",29,NA,NA,4,7.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2006","1060","H1N",2,1,"June 30, 2006","MONTRÉAL",14,NA,NA,7,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2006","1060","H1N",4,1,"September 30, 2006","MONTRÉAL",17,NA,NA,3,5.66666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2006","1060","H1P",1,1,"June 30, 2006","MONTRÉAL",3,NA,NA,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2006","1060","H1R",4,1,"March 31, 2006","MONTRÉAL",25,NA,NA,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2006","1060","H2M",5,3,"December 31, 2006","MONTRÉAL",87,NA,NA,2,43.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2006","1060","H2P",5,2,"December 31, 2006","MONTRÉAL",3,NA,NA,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2006","1060","H2S",5,2,"December 31, 2006","MONTRÉAL",12,NA,NA,1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2006","1060","H2T",5,3,"June 30, 2006","MONTRÉAL",39,NA,NA,1,39,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2006","1060","H2V",5,3,"June 30, 2006","MONTRÉAL",22,NA,NA,2,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2006","1060","H3K",5,3,"December 31, 2006","MONTRÉAL",72,NA,NA,9,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2006","1060","H3X",1,1,"June 30, 2006","MONTRÉAL",7,NA,NA,7,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2006","1060","H3Y",1,1,"December 31, 2006","MONTRÉAL",4,NA,NA,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2006","1060","H4B",5,3,"March 31, 2006","MONTRÉAL",92,NA,NA,18,5.11111111111111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2006","1060","H4C",5,2,"March 31, 2006","MONTRÉAL",8,NA,NA,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2006","1060","H4E",4,3,"December 31, 2006","MONTRÉAL",72,NA,NA,9,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2006","1060","H4J",1,1,"December 31, 2006","MONTRÉAL",6,NA,NA,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2006","1060","H7P",5,2,"December 31, 2006","MONTRÉAL",25,NA,NA,3,8.33333333333333,1.33333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2006","1060","H7P",5,3,"March 31, 2006","MONTRÉAL",11,NA,NA,1,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2006","1060","H7T",5,1,"December 31, 2006","MONTRÉAL",2,NA,NA,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2006","1060","H7W",1,1,"December 31, 2006","MONTRÉAL",3,NA,NA,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2006","1060","H8P",4,3,"December 31, 2006","MONTRÉAL",12,NA,NA,2,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2006","1060","H8T",5,3,"June 30, 2006","MONTRÉAL",40,NA,NA,5,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2006","1060","H9C",5,3,"June 30, 2006","MONTRÉAL",6,NA,NA,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2006","1060","H9G",5,3,"March 31, 2006","MONTRÉAL",82,NA,NA,2,41,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2006","1060","H9H",1,1,"December 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2006","1060","H9H",5,3,"December 31, 2006","MONTRÉAL",69,NA,NA,2,34.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2006","1060","H9J",5,3,"March 31, 2006","MONTRÉAL",15,NA,NA,3,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2006","1060","H9K",2,1,"December 31, 2006","MONTRÉAL",10,NA,NA,5,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2006","1060","J0L",5,1,"June 30, 2006","MONTRÉAL",18,NA,NA,9,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2006","1060","J0N",5,1,"June 30, 2006","MONTRÉAL",12,NA,NA,6,2,0.833333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2006","1060","J3E",1,1,"June 30, 2006","MONTRÉAL",4,NA,NA,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2006","1060","J3G",2,1,"September 30, 2006","MONTRÉAL",22,NA,NA,11,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2006","1060","J3Y",5,2,"June 30, 2006","MONTRÉAL",78,NA,NA,12,6.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2006","1060","J4B",2,1,"September 30, 2006","MONTRÉAL",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2006","1060","J4J",5,4,"September 30, 2006","MONTRÉAL",86,NA,NA,1,86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2006","1060","J4K",1,1,"December 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2006","1060","J4K",2,1,"June 30, 2006","MONTRÉAL",4,NA,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2006","1060","J4W",4,3,"September 30, 2006","MONTRÉAL",4,NA,NA,1,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2006","1060","J5B",4,1,"September 30, 2006","MONTRÉAL",3,NA,NA,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2006","1060","J5T",1,1,"March 31, 2006","MONTRÉAL",107,NA,NA,107,1,0,0.0560747663551402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2006","1060","J5T",5,2,"December 31, 2006","MONTRÉAL",28,NA,NA,6,4.66666666666667,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2006","1060","J5W",1,1,"March 31, 2006","MONTRÉAL",188,NA,NA,188,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2006","1060","J6K",2,1,"June 30, 2006","MONTRÉAL",6,NA,NA,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2006","1060","J6R",5,2,"March 31, 2006","MONTRÉAL",6,NA,NA,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2006","1060","J6W",1,1,"March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2006","1060","J6X",5,1,"June 30, 2006","MONTRÉAL",8,NA,NA,4,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2006","1060","J7G",1,1,"December 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2006","1060","J7J",5,1,"June 30, 2006","MONTRÉAL",48,NA,NA,24,2,0.625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2006","1060","J7J",5,2,"December 31, 2006","MONTRÉAL",13,NA,NA,4,3.25,2.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2006","1060","J7K",5,1,"September 30, 2006","MONTRÉAL",4,NA,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2006","1060","J7P",1,1,"June 30, 2006","MONTRÉAL",2,NA,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2006","1060","J7V",5,3,"June 30, 2006","MONTRÉAL",49,NA,NA,6,8.16666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2006","1060","J7Y",4,3,"September 30, 2006","MONTRÉAL",4,NA,NA,1,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2006","1060","J7Z",2,1,"March 31, 2006","MONTRÉAL",8,NA,NA,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2006","1060","nan",4,1,"June 30, 2006","MONTRÉAL",51,NA,NA,11,4.63636363636364,0.545454545454545,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2006","1060","nan",5,3,"March 31, 2006","MONTRÉAL",1634,NA,NA,248,6.58870967741935,0.721774193548387,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2006","1265","K1M",4,1,"December 31, 2006","OTTAWA",6,NA,NA,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2006","1265","K1R",5,3,"June 30, 2006","OTTAWA",70,NA,NA,2,35,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2006","1265","K1S",4,1,"March 31, 2006","OTTAWA",17,NA,NA,3,5.66666666666667,0,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2006","1265","K1W",1,1,"June 30, 2006","OTTAWA",6,NA,NA,6,1,0,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","2006","1265","K1Z",2,1,"December 31, 2006","OTTAWA",10,NA,NA,5,2,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2006","1265","K2A",1,1,"September 30, 2006","OTTAWA",3,NA,NA,3,1,0,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","2006","1265","K2B",2,1,"June 30, 2006","OTTAWA",14,NA,NA,7,2,0,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","2006","1265","K2G",1,1,"March 31, 2006","OTTAWA",7,NA,NA,7,1,0,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2006","1265","K2G",5,2,"March 31, 2006","OTTAWA",2,NA,NA,1,2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","2006","1265","K2H",1,1,"September 30, 2006","OTTAWA",7,NA,NA,7,1,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2006","1265","K2M",1,1,"March 31, 2006","OTTAWA",24,NA,NA,24,1,0,0.541666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2006","1265","K2S",1,1,"March 31, 2006","OTTAWA",123,NA,NA,123,1,0,0.447154471544715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","2006","1265","nan",1,1,"March 31, 2006","OTTAWA",1568,NA,NA,1568,1,0,0.642219387755102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2006","1265","nan",5,3,"December 31, 2006","OTTAWA",397,NA,NA,23,17.2608695652174,0.434782608695652,2.43478260869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","2006","1400","G0A",2,1,"March 31, 2006","QUÉBEC",6,NA,NA,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","2006","1400","G1E",5,2,"March 31, 2006","QUÉBEC",42,NA,NA,7,6,0.571428571428571,1.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","2006","1400","G1E",5,4,"September 30, 2006","QUÉBEC",24,NA,NA,1,24,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2006","1400","G1G",5,2,"June 30, 2006","QUÉBEC",33,NA,NA,2,16.5,3.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2006","1400","G1H",5,2,"September 30, 2006","QUÉBEC",24,NA,NA,1,24,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2006","1400","G1M",5,2,"December 31, 2006","QUÉBEC",3,NA,NA,1,3,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2006","1400","G1P",5,1,"December 31, 2006","QUÉBEC",2,NA,NA,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","2006","1400","G1S",1,1,"March 31, 2006","QUÉBEC",1,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","2006","1400","G1W",2,1,"December 31, 2006","QUÉBEC",18,NA,NA,9,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","2006","1400","G1W",5,3,"March 31, 2006","QUÉBEC",73,NA,NA,1,73,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2006","1400","G2C",5,2,"June 30, 2006","QUÉBEC",4,NA,NA,1,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","2006","1400","G2E",5,1,"June 30, 2006","QUÉBEC",2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","2006","1400","G3G",1,1,"June 30, 2006","QUÉBEC",58,NA,NA,58,1,0,0.241379310344828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2006","1400","G3K",5,1,"September 30, 2006","QUÉBEC",2,NA,NA,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2006","1400","G6V",4,1,"September 30, 2006","QUÉBEC",8,NA,NA,1,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2006","1400","G6W",2,1,"June 30, 2006","QUÉBEC",6,NA,NA,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2006","1400","nan",1,1,"June 30, 2006","QUÉBEC",704,NA,NA,704,1,0,0.229018492176387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2006","1490","S4P",2,3,"December 31, 2006","REGINA",4,NA,NA,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2006","1490","S4R",1,1,"March 31, 2006","REGINA",31,NA,NA,31,1,0,0.129032258064516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2006","1490","S4V",4,3,"December 31, 2006","REGINA",35,NA,NA,9,3.88888888888889,0,3.44444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2006","1700","S7H",1,1,"September 30, 2006","SASKATOON",6,NA,NA,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","2006","1700","S7J",1,3,"June 30, 2006","SASKATOON",12,NA,NA,12,1,0,0.0833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","2006","1700","S7K",1,1,"March 31, 2006","SASKATOON",3,NA,NA,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","2006","1700","S7K",5,2,"September 30, 2006","SASKATOON",20,NA,NA,1,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","2006","1700","S7K",5,3,"September 30, 2006","SASKATOON",25,NA,NA,1,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2006","1700","S7N",1,1,"December 31, 2006","SASKATOON",17,NA,NA,17,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","2006","1700","nan",1,1,"March 31, 2006","SASKATOON",580,NA,NA,580,1,0,0.0362068965517241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","2006","1700","nan",4,2,"September 30, 2006","SASKATOON",4,NA,NA,1,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","2006","2270","L1V",2,1,"September 30, 2006","TORONTO",6,NA,NA,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","2006","2270","L1Y",1,1,"June 30, 2006","TORONTO",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","2006","2270","L3R",1,1,"September 30, 2006","TORONTO",13,NA,NA,13,1,0,2.38461538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2006","2270","L3T",1,1,"September 30, 2006","TORONTO",22,NA,NA,22,1,0,5.72727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","2006","2270","L3T",4,1,"September 30, 2006","TORONTO",28,NA,NA,5,5.6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","2006","2270","L4J",1,1,"March 31, 2006","TORONTO",37,NA,NA,37,1,0,1.18918918918919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","2006","2270","L4L",1,1,"March 31, 2006","TORONTO",115,NA,NA,115,1,0,0.156521739130435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","2006","2270","L4L",2,1,"June 30, 2006","TORONTO",66,NA,NA,33,2,0,0.121212121212121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","2006","2270","L4W",1,1,"December 31, 2006","TORONTO",13,NA,NA,13,1,0,0.384615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","2006","2270","L5B",1,1,"December 31, 2006","TORONTO",16,NA,NA,16,1,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","2006","2270","L5C",1,1,"June 30, 2006","TORONTO",7,NA,NA,7,1,0,4.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","2006","2270","L5L",4,3,"December 31, 2006","TORONTO",19,NA,NA,5,3.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","2006","2270","L6H",2,1,"March 31, 2006","TORONTO",4,NA,NA,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2006","2270","L6R",1,1,"June 30, 2006","TORONTO",33,NA,NA,33,1,0,0.121212121212121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","2006","2270","L6R",1,3,"June 30, 2006","TORONTO",9,NA,NA,9,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","2006","2270","L7K",1,1,"March 31, 2006","TORONTO",46,NA,NA,46,1,0,2.04347826086957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","2006","2270","L9P",1,1,"March 31, 2006","TORONTO",184,NA,NA,184,1,0,0.0597826086956522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","2006","2270","M1E",4,1,"June 30, 2006","TORONTO",9,NA,NA,1,9,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","2006","2270","M1M",4,3,"September 30, 2006","TORONTO",37,NA,NA,5,7.4,0,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","2006","2270","M1P",4,3,"March 31, 2006","TORONTO",66,NA,NA,10,6.6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","2006","2270","M3H",1,1,"March 31, 2006","TORONTO",26,NA,NA,26,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","2006","2270","M4C",5,2,"March 31, 2006","TORONTO",25,NA,NA,1,25,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","2006","2270","M4E",5,3,"December 31, 2006","TORONTO",18,NA,NA,1,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","2006","2270","M4G",2,1,"June 30, 2006","TORONTO",6,NA,NA,3,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","2006","2270","M4G",4,3,"June 30, 2006","TORONTO",22,NA,NA,2,11,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","2006","2270","M4K",1,1,"March 31, 2006","TORONTO",7,NA,NA,7,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","2006","2270","M4M",4,2,"June 30, 2006","TORONTO",8,NA,NA,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","2006","2270","M4P",5,3,"June 30, 2006","TORONTO",441,NA,NA,2,220.5,9.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","2006","2270","M4Y",5,2,"December 31, 2006","TORONTO",112,NA,NA,1,112,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
