"","ref_yy","CSDuid","date_pbi","metcode","metro","municipality","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"76","1988","2462240","December 31, 1988","1060",NA,NA,88,34,2.58823529411765,0,4,"3351700.63",0.262553281794741
"77","1988","2462260","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"78","1988","2462280","December 31, 1988","1060",NA,NA,101,55,1.83636363636364,0,4,"3351700.63",0.301339562059873
"79","1988","2462310","December 31, 1988","1060",NA,NA,120,117,1.02564102564103,0,4,"3351700.63",0.358027202447374
"80","1988","2462510","December 31, 1988","1060",NA,NA,114,104,1.09615384615385,0,4,"3351700.63",0.340125842325005
"81","1988","2463110","December 31, 1988","1060",NA,NA,100,56,1.78571428571429,0,4,"3351700.63",0.298356002039478
"82","1988","2463130","December 31, 1988","1060",NA,NA,32,32,1,0,4,"3351700.63",0.095473920652633
"83","1988","2463150","December 31, 1988","1060",NA,NA,152,50,3.04,0,4,"3351700.63",0.453501123100007
"84","1988","2463170","December 31, 1988","1060",NA,NA,41,41,1,0,4,"3351700.63",0.122325960836186
"85","1988","2463190","December 31, 1988","1060",NA,NA,96,67,1.43283582089552,0,4,"3351700.63",0.286421761957899
"86","1988","2463200","December 31, 1988","1060",NA,NA,32,31,1.03225806451613,0,4,"3351700.63",0.095473920652633
"87","1988","2463220","December 31, 1988","1060",NA,NA,214,114,1.87719298245614,0,4,"3351700.63",0.638481844364483
"88","1988","2463250","December 31, 1988","1060",NA,NA,63,31,2.03225806451613,0.129032258064516,4,"3351700.63",0.187964281284871
"89","1988","2464500","December 31, 1988","1060",NA,NA,1457,327,4.45565749235474,0,4,"3351700.63",4.3470469497152
"90","1988","2465160","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"91","1988","2465180","December 31, 1988","1060",NA,NA,303,9,33.6666666666667,0.222222222222222,4,"3351700.63",0.904018686179619
"92","1988","2465200","December 31, 1988","1060",NA,NA,33,8,4.125,0,4,"3351700.63",0.0984574806730278
"93","1988","2465220","December 31, 1988","1060",NA,NA,216,25,8.64,0,4,"3351700.63",0.644448964405273
"94","1988","2465260","December 31, 1988","1060",NA,NA,2943,341,8.63049853372434,0.158357771260997,4,"3351700.63",8.78061714002184
"95","1988","2465280","December 31, 1988","1060",NA,NA,75,4,18.75,0,4,"3351700.63",0.223767001529609
"96","1988","2465300","December 31, 1988","1060",NA,NA,342,3,114,0,4,"3351700.63",1.02037752697502
"97","1988","2465320","December 31, 1988","1060",NA,NA,257,14,18.3571428571429,1.14285714285714,4,"3351700.63",0.766774925241459
"98","1988","2465340","December 31, 1988","1060",NA,NA,29,10,2.9,0.6,4,"3351700.63",0.0865232405914486
"99","1988","2465420","December 31, 1988","1060",NA,NA,75,20,3.75,0,4,"3351700.63",0.223767001529609
"100","1988","2465440","December 31, 1988","1060",NA,NA,423,13,32.5384615384615,0,4,"3351700.63",1.26204588862699
"101","1988","2465480","December 31, 1988","1060",NA,NA,681,12,56.75,1.16666666666667,4,"3351700.63",2.03180437388885
"102","1988","2465500","December 31, 1988","1060",NA,NA,8,7,1.14285714285714,0,4,"3351700.63",0.0238684801631582
"103","1988","2465540","December 31, 1988","1060",NA,NA,205,20,10.25,0,4,"3351700.63",0.61162980418093
"104","1988","2465580","December 31, 1988","1060",NA,NA,238,51,4.66666666666667,0,4,"3351700.63",0.710087284853958
"105","1988","2465600","December 31, 1988","1060",NA,NA,28,21,1.33333333333333,0,4,"3351700.63",0.0835396805710539
"106","1988","2465620","December 31, 1988","1060",NA,NA,18,18,1,0,4,"3351700.63",0.0537040803671061
"107","1988","2465640","December 31, 1988","1060",NA,NA,15,9,1.66666666666667,0,4,"3351700.63",0.0447534003059217
"108","1988","2465700","December 31, 1988","1060",NA,NA,308,48,6.41666666666667,0.270833333333333,4,"3351700.63",0.918936486281593
"109","1988","2465720","December 31, 1988","1060",NA,NA,40,23,1.73913043478261,0,4,"3351700.63",0.119342400815791
"110","1988","2465740","December 31, 1988","1060",NA,NA,10,2,5,0,4,"3351700.63",0.0298356002039478
"111","1988","2466280","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"112","1988","2466300","December 31, 1988","1060",NA,NA,24,24,1,0,4,"3351700.63",0.0716054404894747
"113","1988","2466380","December 31, 1988","1060",NA,NA,500,74,6.75675675675676,0.0675675675675676,4,"3351700.63",1.49178001019739
"114","1988","2466420","December 31, 1988","1060",NA,NA,78,14,5.57142857142857,0,4,"3351700.63",0.232717681590793
"115","1988","2466500","December 31, 1988","1060",NA,NA,158,34,4.64705882352941,0.117647058823529,4,"3351700.63",0.471402483222375
"116","1988","2466600","December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"117","1988","2466700","December 31, 1988","1060",NA,NA,79,69,1.14492753623188,0.0579710144927536,4,"3351700.63",0.235701241611188
"118","1988","2466780","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"119","1988","2469480","December 31, 1988","1060",NA,NA,36,23,1.56521739130435,0.173913043478261,4,"3351700.63",0.107408160734212
"120","1988","2469540","December 31, 1988","1060",NA,NA,10,7,1.42857142857143,0,4,"3351700.63",0.0298356002039478
"121","1988","2469600","December 31, 1988","1060",NA,NA,88,37,2.37837837837838,0.216216216216216,4,"3351700.63",0.262553281794741
"122","1988","2470110","December 31, 1988","1060",NA,NA,10,1,10,0,4,"3351700.63",0.0298356002039478
"123","1988","2470180","December 31, 1988","1060",NA,NA,17,3,5.66666666666667,0,4,"3351700.63",0.0507205203467113
"124","1988","2472150","December 31, 1988","1060",NA,NA,40,21,1.9047619047619,0,4,"3351700.63",0.119342400815791
"125","1988","2472180","December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"126","1988","2472210","December 31, 1988","1060",NA,NA,2,2,1,0,4,"3351700.63",0.00596712004078956
"127","1988","2472230","December 31, 1988","1060",NA,NA,4,4,1,0,4,"3351700.63",0.0119342400815791
"128","1988","2472260","December 31, 1988","1060",NA,NA,60,26,2.30769230769231,0.115384615384615,4,"3351700.63",0.179013601223687
"129","1988","2472300","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"130","1988","2472360","December 31, 1988","1060",NA,NA,17,11,1.54545454545455,0,4,"3351700.63",0.0507205203467113
"131","1988","2472400","December 31, 1988","1060",NA,NA,47,32,1.46875,0,4,"3351700.63",0.140227320958555
"132","1988","2473120","December 31, 1988","1060",NA,NA,156,78,2,0,4,"3351700.63",0.465435363181586
"133","1988","2473180","December 31, 1988","1060",NA,NA,54,35,1.54285714285714,0,4,"3351700.63",0.161112241101318
"134","1988","2473200","December 31, 1988","1060",NA,NA,24,24,1,0,4,"3351700.63",0.0716054404894747
"135","1988","2473240","December 31, 1988","1060",NA,NA,27,27,1,0,4,"3351700.63",0.0805561205506591
"136","1988","2473300","December 31, 1988","1060",NA,NA,62,58,1.06896551724138,0,4,"3351700.63",0.184980721264476
"137","1988","2473380","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"138","1988","2473420","December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"139","1988","2473580","December 31, 1988","1060",NA,NA,2,2,1,0,4,"3351700.63",0.00596712004078956
"140","1988","2473650","December 31, 1988","1060",NA,NA,133,95,1.4,0,4,"3351700.63",0.396813482712506
"141","1988","3503016","December 31, 1988","1265",NA,NA,69,69,1,0,4,"694702.2267506439",0.993231306062401
"142","1988","3503021","December 31, 1988","1265",NA,NA,61,32,1.90625,0.09375,4,"694702.2267506439",0.878074053185601
"143","1988","3506001","December 31, 1988","1265",NA,NA,83,83,1,0,4,"694702.2267506439",1.1947564985968
"144","1988","3506004","December 31, 1988","1265",NA,NA,471,341,1.38123167155425,0.0117302052785924,4,"694702.2267506439",6.7798832631216
"145","1988","3506006","December 31, 1988","1265",NA,NA,453,199,2.27638190954774,0,4,"694702.2267506439",6.5207794441488
"146","1988","3506009","December 31, 1988","1265",NA,NA,11,3,3.66666666666667,0,4,"694702.2267506439",0.1583412227056
"147","1988","3506011","December 31, 1988","1265",NA,NA,4,4,1,0,4,"694702.2267506439",0.0575786264384
"148","1988","3506012","December 31, 1988","1265",NA,NA,945,366,2.58196721311475,0.114754098360656,4,"694702.2267506439",13.602950496072
