"ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr"
"2006","2410","V5B","December 31, 2006","VANCOUVER",122,NA,NA,52,2.34615384615385,0.5,8.05769230769231
"2006","2410","V7H","March 31, 2006","VANCOUVER",14,NA,NA,14,1,0,12.5
"2006","2410","V7K","December 31, 2006","VANCOUVER",32,NA,NA,10,3.2,0,8.6
"2006","1060","H2Y","September 30, 2006","MONTRÉAL",88,NA,NA,3,29.3333333333333,4.33333333333333,16.6666666666667
"2006","2270","M6M","June 30, 2006","TORONTO",8,NA,NA,7,1.14285714285714,0,8.85714285714286
"2006","2410","V5Y","December 31, 2006","VANCOUVER",193,NA,NA,15,12.8666666666667,2.2,14.4
"2006","1060","H2Z","December 31, 2006","MONTRÉAL",200,NA,NA,1,200,0,14
"2006","1060","H3K","June 30, 2006","MONTRÉAL",82,NA,NA,8,10.25,3,8.125
"2006","2270","L9R","March 31, 2006","TORONTO",129,NA,NA,110,1.17272727272727,0,5.07692307692308
"2006","2410","V6V","September 30, 2006","VANCOUVER",44,NA,NA,44,1,0.295454545454545,4.90243902439024
"2006","2680","R2L","June 30, 2006","WINNIPEG",6,NA,NA,6,1,0,4.2
"2006","0140","T2E","March 31, 2006","CALGARY",359,NA,NA,71,5.05633802816901,0.126760563380282,10.8142857142857
"2006","2440","V8P","September 30, 2006","VICTORIA",8,NA,NA,8,1,0,8.375
"2006","2680","R2V","June 30, 2006","WINNIPEG",33,NA,NA,33,1,0,6.11111111111111
"2006","2410","V7P","June 30, 2006","VANCOUVER",13,NA,NA,11,1.18181818181818,0,8.72727272727273
"2006","2680","R2J","September 30, 2006","WINNIPEG",7,NA,NA,7,1,0,6
"2006","0580","B3R","December 31, 2006","HALIFAX",10,NA,NA,7,1.42857142857143,0,4.2
"2006","0610","L9H","September 30, 2006","HAMILTON",17,NA,NA,17,1,0,9.82352941176471
"2006","1060","H2E","September 30, 2006","MONTRÉAL",18,NA,NA,1,18,3,11
"2006","2410","V6A","March 31, 2006","VANCOUVER",330,NA,NA,11,30,4.09090909090909,15.1818181818182
