year,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland,Nova Scotia,Ontario,PEI,Quebec,Saskatchewan
1990,923120.9085370001,1267459.3539230002,10127263.994092,405485.535512,253487.141419,172754.139315,320456.705014,3727360.525453,43439.924669,2615598.485709,367496.42663
1991,926482.1391309999,1277365.273346,10275812.7204,411383.06676200003,260804.750743,178065.37379,329796.187054,3752325.705451,44721.508653000004,2697387.8548600003,368398.985087
1992,944919.191189,1315904.290875,10438928.728678001,413892.37466900004,264172.484031,180814.8344,333904.088108,3815995.454153,45164.588890000006,2723466.4319470003,370091.86509000004
1993,962899.020305,1357184.709779,10604036.040616,417130.311972,266807.267601,183503.323894,337853.816346,3877437.990787,45856.005560000005,2751676.249203,372328.340648
1994,980649.582015,1403013.024415,10769843.597933,420475.862482,269469.069642,184713.022303,341359.124759,3940712.751394,46535.578223000004,2776703.0300410003,374364.896902
1995,998749.2052709999,1447816.744724,10935807.775035,423978.48626700003,272042.673327,185475.119076,344193.78120100003,4005870.248348,47172.860562,2800841.393904,377187.472979
1996,1008090.444479,1483223.279329,11112645.262246,427309.742183,276883.986859,188495.87984900002,351153.261256,4044346.051613,48419.831772,2867927.707942,383739.135239
1997,1033052.09192,1518449.6361470001,11282625.555369,429897.902589,279582.094718,188748.44896100002,354360.644556,4115813.303863,48956.540873,2894971.2096900004,385169.856027
1998,1062562.797072,1540970.996432,11432312.859887,432308.01858000003,281482.029665,188089.494948,356886.389219,4181759.6865310003,49309.298997,2918742.097552,386783.271074
1999,1088196.515057,1561146.703097,11584543.678225001,435528.86942500004,283746.043826,188440.58104800002,360252.61870600004,4248617.753209,49884.052073,2947117.3589890003,387816.618919
2000,1113969.540092,1581375.681111,11752940.510868,438902.656832,285972.877905,189005.947381,362618.17988,4328529.9296430005,50295.054752,2979805.768429,387381.149818
2001,1135198.419271,1598650.3371660002,11933742.328991001,444060.869476,291751.575998,192243.031426,369854.22543500003,4382714.318256,51366.955609000004,3043525.945661,387603.567205
2002,1167648.221226,1618024.77322,12127068.748972,447810.554467,293903.342301,193469.835106,373619.587938,4475550.448033,51875.135431,3077570.231054,388385.96928
2003,1194765.825197,1637394.926429,12301622.563012,452095.084554,296099.622993,195189.00164,376968.989728,4553958.682853,52415.144983000006,3110859.367402,390511.62958700006
2004,1221933.104308,1659135.9529930002,12478776.545285001,457298.59212600003,298007.168331,196743.536392,380253.04430300003,4630301.783044,52974.33631500001,3146098.122052,392920.95316100004
2005,1258857.56495,1684167.878583,12660508.477087,461073.948022,299698.357694,197702.756215,382260.972068,4703547.232207,53556.248104000006,3181092.4536530003,393994.81232
2006,1305309.7166450003,1689388.991927,12787622.228485001,461684.415406,301746.09628500004,198727.85965600002,385715.70128000004,4731036.939419,53909.622587,3222121.214467,395669.83642300003
2007,1346973.9306090001,1716492.309106,12969189.860292,465022.698025,303482.071108,199577.058185,386785.287357,4793147.824228,54242.964504,3260006.468386,400869.40633300005
2008,1384155.456712,1747156.842128,13162445.557809,469148.162871,305723.838333,201637.22387100002,389179.521284,4859241.754137,54964.693367,3300062.055418,407912.98930500005
2009,1422663.8557390003,1778595.279918,13364445.536961,473955.146496,308533.213178,204710.95042100002,392178.24709300004,4923230.2048430005,55668.09525,3345359.346883,416035.68058100005
2010,1449145.8059520002,1807323.923507,13567396.023779001,479461.986522,311357.441186,208011.364368,395811.03737000003,4995290.071772001,56678.201999,3395205.318,423879.896024
2011,1446752.7618250002,1797188.047991,13649317.560236001,474828.614728,315197.32855,212320.869986,400107.57095100003,5030012.135718,57937.405808,3450182.590489,422465.19385000004
2012,1483405.6473160002,1831978.71679,13853176.783986,481987.451667,318202.557941,214212.161103,401973.885085,5101896.755048,58509.337443000004,3485690.531448,430312.18017600005
