"ref_yy","metcode","metro","unitsperstory","unitsperstory1620","unitsperstory1115"
"2011","0140","CALGARY",30.7142857142857,0,30.7142857142857
"2001","2270","TORONTO",22.4872611464968,0,0
"2012","2410","VANCOUVER",9.93840579710145,0,9.93840579710145
"2020","0140","CALGARY",18,18,0
"2008","0140","CALGARY",21.303317535545,0,0
"2009","1265","OTTAWA",NA,NA,NA
"2002","1265","OTTAWA",74.2666666666667,0,0
"2012","0140","CALGARY",35.5316455696203,0,35.5316455696203
"1992","0340","EDMONTON",NA,NA,NA
"1999","1060","MONTRÉAL",63.1,0,0
"2018","1265","OTTAWA",15.65625,15.65625,0
"1999","0140","CALGARY",95.0769230769231,0,0
"1992","2410","VANCOUVER",23.175,0,0
"1990","0340","EDMONTON",141.666666666667,0,0
"1998","1060","MONTRÉAL",NA,NA,NA
"2010","2270","TORONTO",23.3843137254902,0,0
"2001","2410","VANCOUVER",8.85164835164835,0,0
"2009","2410","VANCOUVER",5.82173913043478,0,0
"2002","0140","CALGARY",493.333333333333,0,0
"2013","0140","CALGARY",16.8372093023256,0,16.8372093023256
"1989","1265",NA,NA,NA,NA
"2022","1265","OTTAWA",8.42857142857143,0,0
"2009","1060","MONTRÉAL",1005.66666666667,0,0
"1991","1060",NA,142.333333333333,0,0
"2003","0340","EDMONTON",NA,NA,NA
"2007","0140","CALGARY",NA,NA,NA
"1998","0340","EDMONTON",NA,NA,NA
"1998","2270","TORONTO",48.3720930232558,0,0
"2005","0140","CALGARY",NA,NA,NA
"2015","2270","TORONTO",11.8516649848638,0,11.8516649848638
"2016","2410","VANCOUVER",10.3051801801802,10.3051801801802,0
"1995","0140","CALGARY",NA,NA,NA
"2019","2270","TORONTO",11.9087982832618,11.9087982832618,0
"2005","2410","VANCOUVER",7.24861878453039,0,0
"1999","2410","VANCOUVER",14.6875,0,0
"2006","1060","MONTRÉAL",35.3582089552239,0,0
"1989","2270",NA,51.1923076923077,0,0
"1996","2410","VANCOUVER",11.5678571428571,0,0
"2017","2410","VANCOUVER",10.5913043478261,10.5913043478261,0
"2011","2410","VANCOUVER",11.4972067039106,0,11.4972067039106
"2003","1265","OTTAWA",NA,NA,NA
"2005","2270","TORONTO",20.9756838905775,0,0
"1994","0140","CALGARY",NA,NA,NA
"2001","1060","MONTRÉAL",NA,NA,NA
"2006","0340","EDMONTON",NA,NA,NA
"2005","1265","OTTAWA",NA,NA,NA
"2021","1265","OTTAWA",11.4052287581699,0,0
"2021","2270","TORONTO",11.6491862567812,0,0
"2013","2270","TORONTO",13.7114337568058,0,13.7114337568058
"2001","1265","OTTAWA",51.5,0,0
"1993","0340","EDMONTON",NA,NA,NA
"1993","2410","VANCOUVER",26.4565217391304,0,0
"2001","0340","EDMONTON",158.8,0,0
"2015","2410","VANCOUVER",8.76923076923077,0,8.76923076923077
"2015","0340","EDMONTON",15.418410041841,0,15.418410041841
"1992","1060",NA,32.7647058823529,0,0
"2021","0340","EDMONTON",21.2888888888889,0,0
"1993","1060",NA,94,0,0
"2015","1265","OTTAWA",9.86885245901639,0,9.86885245901639
"2009","0340","EDMONTON",NA,NA,NA
"1994","2270","TORONTO",35.6857142857143,0,0
"1996","1265",NA,NA,NA,NA
"2022","0340","EDMONTON",14.8214285714286,0,0
"1992","0140","CALGARY",NA,NA,NA
"1997","1265",NA,NA,NA,NA
"2002","2270","TORONTO",49.3894736842105,0,0
