"ref_yy","metcode","metro","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"2011","0340","EDMONTON",12,83.333333333333,16.666666666667,0,0,0,0.666666666666667
"2004","1265","OTTAWA",13,92.307692307692,0,7.692307692308,0,0,0.923076923076923
"2006","2410","VANCOUVER",69,11.594202898551,53.623188405797,23.188405797101,5.797101449275,5.797101449275,8.7536231884058
"2019","0140","CALGARY",41,58.536585365854,36.585365853659,2.439024390244,0,2.439024390244,4.75609756097561
"1993","2270","TORONTO",31,80.645161290323,12.903225806452,6.451612903226,0,0,1.64516129032258
"2000","1265",NA,4,100,0,0,0,0,0
"1993","0140","CALGARY",7,100,0,0,0,0,0
"2000","0140","CALGARY",37,100,0,0,0,0,0
"1999","2270","TORONTO",39,71.794871794872,7.692307692308,15.384615384615,2.564102564103,2.564102564103,4.41025641025641
"2014","0340","EDMONTON",35,65.714285714286,31.428571428571,0,0,2.857142857143,2.91428571428571
"2007","1265","OTTAWA",30,96.666666666667,0,3.333333333333,0,0,0.366666666666667
"2009","2270","TORONTO",40,45,20,12.5,2.5,20,11.3
"2010","1265","OTTAWA",27,100,0,0,0,0,0
"2004","0140","CALGARY",33,100,0,0,0,0,0
"2019","1060","MONTRÉAL",310,71.290322580645,16.129032258065,10.322580645161,1.612903225806,0.645161290323,4.31290322580645
"2010","1060","MONTRÉAL",391,95.140664961637,3.324808184143,1.53452685422,0,0,1.53964194373402
"1988","1265",NA,5,100,0,0,0,0,0
"1995","2410","VANCOUVER",96,44.791666666667,38.541666666667,9.375,5.208333333333,2.083333333333,5.30208333333333
"2018","0340","EDMONTON",16,37.5,62.5,0,0,0,3.75
"1994","0340","EDMONTON",10,100,0,0,0,0,0
"2022","2270","TORONTO",86,12.790697674419,34.883720930233,38.372093023256,2.325581395349,11.627906976744,13.0348837209302
"1989","2410","VANCOUVER",112,96.428571428571,0.892857142857,2.678571428571,0,0,0.723214285714286
"2020","1265","OTTAWA",35,74.285714285714,11.428571428571,14.285714285714,0,0,4.31428571428571
"2000","0340","EDMONTON",17,100,0,0,0,0,0
"1996","2270",NA,25,64,32,4,0,0,1.84
"2003","0140","CALGARY",33,100,0,0,0,0,0
"1995","0340","EDMONTON",8,100,0,0,0,0,0
"1990","0140","CALGARY",5,80,0,20,0,0,1.8
"2021","1060","MONTRÉAL",290,64.137931034483,17.931034482759,15.172413793103,0.689655172414,2.068965517241,5.08620689655172
"1988","2270","TORONTO",4,100,0,0,0,0,0
"2012","2270","TORONTO",70,40,8.571428571429,28.571428571429,11.428571428571,11.428571428571,12.1714285714286
"2016","0340","EDMONTON",22,18.181818181818,72.727272727273,9.090909090909,0,0,4.22727272727273
"2000","2410","VANCOUVER",31,12.903225806452,67.741935483871,6.451612903226,9.677419354839,3.225806451613,7.74193548387097
"2008","0340","EDMONTON",26,76.923076923077,23.076923076923,0,0,0,1
"1997","0140","CALGARY",14,100,0,0,0,0,0
"2007","0340","EDMONTON",28,92.857142857143,7.142857142857,0,0,0,0.285714285714286
