"ref_yy","CSDuid","metcode","metro","municipality","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"2020","3521024","2270","TORONTO","CALEDON T",1,0,100,0,0,0,5
"2022","2464015","1060","MONTRÉAL","BLAINVILLE V",5,20,20,60,0,0,6.4
"1990","2465420","1060",NA,NA,8,100,0,0,0,0,0
"1992","2462110","1060",NA,NA,1,100,0,0,0,0,0
"1993","2465700","1060",NA,NA,3,100,0,0,0,0,0
"1993","5911025","2410","VANCOUVER","BURNABY CY",7,100,0,0,0,0,0.285714285714286
"2002","2474005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,0
"2003","2472025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",2,100,0,0,0,0,0
"2008","5915004","2410","VANCOUVER","SURREY CY",15,6.666666666667,80,0,6.666666666667,6.666666666667,7.46666666666667
"2009","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",4,100,0,0,0,0,0
"2009","4806016","0140","CALGARY","CALGARY CY",3,100,0,0,0,0,0
"2013","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",6,100,0,0,0,0,2.5
"2015","2473005","1060","MONTRÉAL","LAVAL V",4,100,0,0,0,0,3
"2017","3524009","2270","TORONTO","MILTON T",1,0,100,0,0,0,6
"1996","5915004","2410","VANCOUVER","SURREY CY",12,75,25,0,0,0,1.5
"2004","2470022","1060","MONTRÉAL","BEAUHARNOIS V",1,100,0,0,0,0,0
"2005","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",2,50,0,50,0,0,6.5
"2008","3502036","1265","OTTAWA","CLARENCE-ROCKLAND C",1,100,0,0,0,0,0
"2008","3524009","2270","TORONTO","MILTON T",1,100,0,0,0,0,0
"2014","2473030","1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,0
"2014","5915022","2410","VANCOUVER","VANCOUVER CY",23,8.695652173913,78.260869565217,8.695652173913,4.347826086957,0,5.8695652173913
"2015","2458037","1060","MONTRÉAL","SAINT-BRUNO-DE-MONTARVILLE V",3,100,0,0,0,0,2.33333333333333
"2015","5915011","2410","VANCOUVER","DELTA DM",2,50,50,0,0,0,4
"2017","2464015","1060","MONTRÉAL","BLAINVILLE V",9,100,0,0,0,0,3
"2018","2475005","1060","MONTRÉAL","LAVAL V",NA,NA,NA,NA,NA,NA,NA
"2019","2455065","1060","MONTRÉAL","NOTRE-DAME-DE-L'ÎLE-PERROT V",1,100,0,0,0,0,3
"2019","2466072","1060","MONTRÉAL","MONT-ROYAL V",1,0,100,0,0,0,6
"2019","5915015","2410","VANCOUVER","RICHMOND CY",16,6.25,12.5,81.25,0,0,11.25
"1989","2463220","1060",NA,NA,14,100,0,0,0,0,0
"1989","3524001","2270","TORONTO","PICKERING CY",2,100,0,0,0,0,0
"1991","2456650","1060",NA,NA,10,100,0,0,0,0,1.6
"1993","2456400","1060",NA,NA,2,100,0,0,0,0,1.5
"1993","2457320","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002","5915004","2410","VANCOUVER","SURREY CY",3,0,100,0,0,0,4
"2011","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",3,100,0,0,0,0,2.33333333333333
"2011","2467035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",10,100,0,0,0,0,2
"2012","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"2015","4811062","0340","EDMONTON","ST. ALBERT CY",NA,NA,NA,NA,NA,NA,NA
"2018","5915055","2410","VANCOUVER","WEST VANCOUVER DM",3,0,33.333333333333,66.666666666667,0,0,9.66666666666667
"2021","2475005","1060","MONTRÉAL","LAVAL V",NA,NA,NA,NA,NA,NA,NA
"1989","2462280","1060",NA,NA,5,100,0,0,0,0,0
"1991","2473180","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000","3519028","2270","TORONTO","VAUGHAN CY",1,0,100,0,0,0,5
"2001","2457015","1060","MONTRÉAL","BLAINVILLE V",1,100,0,0,0,0,0
"2003","2464015","1060","MONTRÉAL","BLAINVILLE V",7,100,0,0,0,0,0
"2007","3519038","2270","TORONTO","RICHMOND HILL T",1,0,0,100,0,0,12
"2008","3502048","1265","OTTAWA","RUSSELL TP",1,100,0,0,0,0,0
"2009","5915022","2410","VANCOUVER","VANCOUVER CY",9,11.111111111111,55.555555555556,0,0,33.333333333333,15.6666666666667
"2011","5915070","2410","VANCOUVER","PITT MEADOWS CY",1,0,100,0,0,0,4
"2015","2458227","1060","MONTRÉAL","LONGUEUIL V",13,84.615384615385,15.384615384615,0,0,0,2.30769230769231
"2018","2465005","1060","MONTRÉAL","LAVAL V",41,78.048780487805,12.19512195122,4.878048780488,4.878048780488,0,4.53658536585366
"2020","2473010","1060","MONTRÉAL","SAINTE-JULIE V",3,66.666666666667,33.333333333333,0,0,0,4
"2021","2465005","1060","MONTRÉAL","LAVAL V",14,28.571428571429,42.857142857143,28.571428571429,0,0,5.64285714285714
"2021","2473005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,2
"2021","5915022","2410","VANCOUVER","VANCOUVER CY",32,25,43.75,18.75,6.25,6.25,8.78125
"1991","2465180","1060",NA,NA,1,100,0,0,0,0,0
"1992","3520001","2270","TORONTO","PICKERING CY",5,80,20,0,0,0,0.8
"1997","3520019","2270",NA,NA,1,0,0,100,0,0,10
"1998","2466040","1060","MONTRÉAL","BELOEIL V",3,100,0,0,0,0,0
"1999","2457005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,0
"1999","3519028","2270","TORONTO","VAUGHAN CY",2,50,50,0,0,0,3
"2002","2470022","1060","MONTRÉAL","BEAUHARNOIS V",1,100,0,0,0,0,0
"2002","5915025","2410","VANCOUVER","BURNABY CY",2,0,0,50,50,0,20
"2004","5915039","2410","VANCOUVER","PORT COQUITLAM CY",2,100,0,0,0,0,3
"2006","2459015","1060","MONTRÉAL","BLAINVILLE V",NA,NA,NA,NA,NA,NA,NA
"2006","2460005","1060","MONTRÉAL","LAVAL V",2,100,0,0,0,0,0
"2010","2471033","1060","MONTRÉAL","LES COTEAUX MÉ",1,100,0,0,0,0,0
"2016","2471083","1060","MONTRÉAL","SAINT-JEAN-SUR-RICHELIEU V",3,100,0,0,0,0,2.66666666666667
"2016","5915007","2410","VANCOUVER","WHITE ROCK CY",1,0,0,100,0,0,12
"2018","3518005","2270","TORONTO","TORONTO C",1,0,0,0,100,0,25
"2019","2457005","1060","MONTRÉAL","LAVAL V",5,100,0,0,0,0,3
"2020","2459020","1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"1991","5915055","2410","VANCOUVER","WEST VANCOUVER DM",2,50,50,0,0,0,3.5
"1995","5915018","2410",NA,NA,1,0,100,0,0,0,4
"2002","3524001","2270","TORONTO","PICKERING CY",2,100,0,0,0,0,0
"2004","5915004","2410","VANCOUVER","SURREY CY",5,0,100,0,0,0,4.4
"2005","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",5,100,0,0,0,0,0
"2007","2473015","1060","MONTRÉAL","BLAINVILLE V",1,100,0,0,0,0,0
"2010","4811016","0340","EDMONTON","LEDUC CY",3,100,0,0,0,0,0
"2012","2471040","1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,0
"2012","3519049","2270","TORONTO","KING TP",1,100,0,0,0,0,0
"2016","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,2
"2016","2466023","1060","MONTRÉAL","MONTRÉAL V",61,70.491803278689,9.83606557377,18.032786885246,0,1.639344262295,5.47540983606557
"2020","3506008","1265","OTTAWA","OTTAWA CV",34,73.529411764706,11.764705882353,14.705882352941,0,0,4.35294117647059
"2020","4806017","0140","CALGARY","CHESTERMERE CY",NA,NA,NA,NA,NA,NA,NA
"2021","2466023","1060","MONTRÉAL","MONTRÉAL V",84,44.047619047619,20.238095238095,26.190476190476,2.380952380952,7.142857142857,8.94047619047619
"1991","5913011","2410","VANCOUVER","DELTA DM",8,100,0,0,0,0,2
"1993","5915022","2410","VANCOUVER","VANCOUVER CY",47,89.36170212766,2.127659574468,2.127659574468,6.382978723404,0,2.4468085106383
"1995","2464005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,2
"2003","5915034","2410","VANCOUVER","COQUITLAM CY",2,0,100,0,0,0,4
"2005","2457020","1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,0
"2008","2467010","1060","MONTRÉAL","SAINTE-JULIE V",2,100,0,0,0,0,0
"2017","2452007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2019","2466007","1060","MONTRÉAL","BROSSARD V",3,100,0,0,0,0,2
"2020","2467020","1060","MONTRÉAL","POINTE-CALUMET MÉ",6,100,0,0,0,0,2.33333333333333
"2020","2473020","1060","MONTRÉAL","POINTE-CALUMET MÉ",1,0,100,0,0,0,4
"2020","4811061","0340","EDMONTON","EDMONTON CY",28,46.428571428571,50,0,3.571428571429,0,4.32142857142857
"2022","5915001","2410","VANCOUVER","LANGLEY DM",6,0,83.333333333333,0,16.666666666667,0,9
"2001","5915034","2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2010","5915062","2410","VANCOUVER","BOWEN ISLAND IM",NA,NA,NA,NA,NA,NA,NA
"2017","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",NA,NA,NA,NA,NA,NA,NA
"2019","5915075","2410","VANCOUVER","MAPLE RIDGE CY",NA,NA,NA,NA,NA,NA,NA
"1989","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",5,80,0,20,0,0,2.4
"1993","2466300","1060",NA,NA,3,100,0,0,0,0,2.66666666666667
"1994","3520001","2270","TORONTO","PICKERING CY",6,100,0,0,0,0,0
"1995","2473005","1060","MONTRÉAL","LAVAL V",2,100,0,0,0,0,0
"1995","2473035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,0
"1996","2472010","1060","MONTRÉAL","SAINTE-JULIE V",NA,NA,NA,NA,NA,NA,NA
"1998","2466015","1060","MONTRÉAL","BLAINVILLE V",11,100,0,0,0,0,0
"1998","3506030","1265",NA,NA,2,100,0,0,0,0,0
"2004","2464015","1060","MONTRÉAL","BLAINVILLE V",5,100,0,0,0,0,0
"2005","5915011","2410","VANCOUVER","DELTA DM",1,100,0,0,0,0,3
"2009","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,0
"2011","2460035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",2,100,0,0,0,0,0
"2017","4811061","0340","EDMONTON","EDMONTON CY",20,20,70,0,0,10,7.9
"2018","3521024","2270","TORONTO","CALEDON T",1,0,0,100,0,0,7
"2019","2473005","1060","MONTRÉAL","LAVAL V",2,50,0,50,0,0,4.5
"2019","3506008","1265","OTTAWA","OTTAWA CV",15,46.666666666667,33.333333333333,13.333333333333,6.666666666667,0,6.26666666666667
"2020","5915034","2410","VANCOUVER","COQUITLAM CY",3,0,100,0,0,0,6
"1989","2462110","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","5915004","2410","VANCOUVER","SURREY CY",9,100,0,0,0,0,0
"2006","5915070","2410","VANCOUVER","PITT MEADOWS CY",2,0,100,0,0,0,5
"2007","4811061","0340","EDMONTON","EDMONTON CY",24,91.666666666667,8.333333333333,0,0,0,0.333333333333333
"2011","5915002","2410","VANCOUVER","LANGLEY CY",2,0,100,0,0,0,4
"2018","2466007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2018","2470022","1060","MONTRÉAL","BEAUHARNOIS V",2,100,0,0,0,0,2
"2018","4811013","0340","EDMONTON","BEAUMONT T",NA,NA,NA,NA,NA,NA,NA
"2022","2456083","1060","MONTRÉAL","SAINT-JEAN-SUR-RICHELIEU V",4,25,75,0,0,0,4.5
"1990","3520001","2270","TORONTO","PICKERING CY",6,83.333333333333,16.666666666667,0,0,0,0.833333333333333
"1991","2473300","1060",NA,NA,2,100,0,0,0,0,0
"1993","4811049","0340","EDMONTON","SPRUCE GROVE CY",1,100,0,0,0,0,0
"1994","5915025","2410","VANCOUVER","BURNABY CY",9,33.333333333333,55.555555555556,0,11.111111111111,0,5.33333333333333
"1995","5915043","2410","VANCOUVER","PORT MOODY CY",1,0,100,0,0,0,4
"1999","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,0
"2000","3521005","2270","TORONTO","TORONTO C",4,0,0,75,25,0,17.75
"2002","4811062","0340","EDMONTON","ST. ALBERT CY",2,100,0,0,0,0,0
"2006","5915039","2410","VANCOUVER","PORT COQUITLAM CY",3,0,100,0,0,0,4
"2013","5915020","2410","VANCOUVER","GREATER VANCOUVER A RDA",4,0,25,75,0,0,11.5
"2014","5915011","2410","VANCOUVER","DELTA DM",NA,NA,NA,NA,NA,NA,NA
"2018","3520005","2270","TORONTO","TORONTO C",40,10,12.5,35,17.5,25,19.275
"2022","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",3,0,100,0,0,0,5.33333333333333
"1989","3521005","2270","TORONTO","TORONTO C",11,45.454545454545,0,36.363636363636,18.181818181818,0,10.4545454545455
"1990","3524001","2270","TORONTO","PICKERING CY",5,80,20,0,0,0,1.2
"1991","4811061","0340","EDMONTON","EDMONTON CY",2,100,0,0,0,0,3
"1995","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",7,100,0,0,0,0,1.28571428571429
"1998","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,0
"2013","5915007","2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2015","2473010","1060","MONTRÉAL","SAINTE-JULIE V",4,25,75,0,0,0,4.25
"2016","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",7,0,85.714285714286,0,14.285714285714,0,7.57142857142857
"2017","2463048","1060","MONTRÉAL","SAINT-LIN-LAURENTIDES V",2,100,0,0,0,0,3
"2017","2473035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",6,100,0,0,0,0,2.33333333333333
"2018","2471040","1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,3
"1990","2466700","1060",NA,NA,9,100,0,0,0,0,1.33333333333333
"1991","2457150","1060",NA,NA,3,100,0,0,0,0,0
"1995","2460010","1060","MONTRÉAL","SAINTE-JULIE V",2,100,0,0,0,0,0
"2000","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",1,0,100,0,0,0,4
"2006","2472043","1060","MONTRÉAL","SAINT-PLACIDE MÉ",NA,NA,NA,NA,NA,NA,NA
"2006","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",1,100,0,0,0,0,0
"2007","5915043","2410","VANCOUVER","PORT MOODY CY",4,0,50,0,50,0,15
"2010","2473030","1060","MONTRÉAL","BOIS-DES-FILION V",4,100,0,0,0,0,0
"2010","5915007","2410","VANCOUVER","WHITE ROCK CY",1,0,100,0,0,0,4
"2013","2465005","1060","MONTRÉAL","LAVAL V",19,73.684210526316,15.789473684211,10.526315789474,0,0,2.26315789473684
"2019","2452007","1060","MONTRÉAL","BROSSARD V",3,100,0,0,0,0,2.33333333333333
"2019","2473015","1060","MONTRÉAL","BLAINVILLE V",6,83.333333333333,16.666666666667,0,0,0,3.16666666666667
"2021","2464015","1060","MONTRÉAL","BLAINVILLE V",18,66.666666666667,0,33.333333333333,0,0,4.27777777777778
"1988","2464500","1060",NA,NA,14,100,0,0,0,0,0
"1992","2456120","1060",NA,NA,12,100,0,0,0,0,2.91666666666667
"1993","3543012","2270","TORONTO","MONO T",1,100,0,0,0,0,0
"1998","2464005","1060","MONTRÉAL","LAVAL V",NA,NA,NA,NA,NA,NA,NA
"1998","5915015","2410","VANCOUVER","RICHMOND CY",3,0,33.333333333333,66.666666666667,0,0,12.3333333333333
"2002","3519028","2270","TORONTO","VAUGHAN CY",1,0,100,0,0,0,4
"2002","5915011","2410","VANCOUVER","DELTA DM",1,0,100,0,0,0,4
"2004","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",4,100,0,0,0,0,0
"2005","3519028","2270","TORONTO","VAUGHAN CY",1,100,0,0,0,0,0
"2008","2466023","1060","MONTRÉAL","MONTRÉAL V",91,100,0,0,0,0,0
"2008","5915062","2410","VANCOUVER","BOWEN ISLAND IM",NA,NA,NA,NA,NA,NA,NA
"2017","2460035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,2
"2018","5915002","2410","VANCOUVER","LANGLEY CY",4,0,100,0,0,0,4.5
"2022","2471040","1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"2022","2472025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",2,100,0,0,0,0,3
"1993","4806016","0140","CALGARY","CALGARY CY",7,100,0,0,0,0,0
"1996","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",4,75,25,0,0,0,2.5
"1998","2472010","1060","MONTRÉAL","SAINTE-JULIE V",2,100,0,0,0,0,0
"2002","3519038","2270","TORONTO","RICHMOND HILL T",2,0,0,100,0,0,13
"2003","2457025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,2
"2005","5915039","2410","VANCOUVER","PORT COQUITLAM CY",1,0,100,0,0,0,4
"2007","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",2,100,0,0,0,0,0
"2018","2455065","1060","MONTRÉAL","NOTRE-DAME-DE-L'ÎLE-PERROT V",1,100,0,0,0,0,2
"2018","2466023","1060","MONTRÉAL","MONTRÉAL V",74,64.864864864865,16.216216216216,16.216216216216,1.351351351351,1.351351351351,5.56756756756757
"2018","2472025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,2
"2019","2473020","1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,3
"2019","3519046","2270","TORONTO","AURORA T",1,0,100,0,0,0,6
"2020","3520005","2270","TORONTO","TORONTO C",43,4.651162790698,30.232558139535,25.581395348837,16.279069767442,23.255813953488,17.7674418604651
"1992","3520014","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",2,0,0,100,0,0,10.5
"1995","2457005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,0
"1995","2465005","1060","MONTRÉAL","LAVAL V",5,100,0,0,0,0,0.6
"1996","2458010","1060","MONTRÉAL","SAINTE-JULIE V",1,100,0,0,0,0,0
"1997","2466075","1060","MONTRÉAL","TERRASSE-VAUDREUIL MÉ",4,100,0,0,0,0,0
"2001","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",3,100,0,0,0,0,0
"2009","2472010","1060","MONTRÉAL","SAINTE-JULIE V",2,100,0,0,0,0,0
"2013","2471033","1060","MONTRÉAL","LES COTEAUX MÉ",5,100,0,0,0,0,2
"2013","5915011","2410","VANCOUVER","DELTA DM",NA,NA,NA,NA,NA,NA,NA
"2014","2470022","1060","MONTRÉAL","BEAUHARNOIS V",4,100,0,0,0,0,2
"2020","3521010","2270","TORONTO","BRAMPTON CY",3,0,0,66.666666666667,33.333333333333,0,17.3333333333333
"2022","3502048","1265","OTTAWA","RUSSELL TP",5,100,0,0,0,0,2.6
"1994","2457020","1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,2
"1997","2467020","1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2007","2459025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,0
"2007","2471083","1060","MONTRÉAL","SAINT-JEAN-SUR-RICHELIEU V",2,100,0,0,0,0,0
"2009","2472005","1060","MONTRÉAL","LAVAL V",4,100,0,0,0,0,0
"2014","5915070","2410","VANCOUVER","PITT MEADOWS CY",1,0,100,0,0,0,4
"2015","2459015","1060","MONTRÉAL","BLAINVILLE V",4,100,0,0,0,0,2.25
"2020","4806016","0140","CALGARY","CALGARY CY",24,37.5,62.5,0,0,0,3.79166666666667
"2021","5915034","2410","VANCOUVER","COQUITLAM CY",7,57.142857142857,28.571428571429,0,0,14.285714285714,10.8571428571429
"1988","2463150","1060",NA,NA,2,100,0,0,0,0,0
"1992","2457280","1060",NA,NA,2,100,0,0,0,0,0
"1992","3506012","1265",NA,NA,4,75,25,0,0,0,1.25
"2000","2457005","1060","MONTRÉAL","LAVAL V",NA,NA,NA,NA,NA,NA,NA
"2001","2471050","1060","MONTRÉAL","CHÂTEAUGUAY V",1,100,0,0,0,0,0
"2001","2475020","1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2002","3521005","2270","TORONTO","TORONTO C",1,0,0,100,0,0,20
"2004","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",3,100,0,0,0,0,0
"2006","2466142","1060","MONTRÉAL","DOLLARD-DES ORMEAUX V",2,100,0,0,0,0,0
"2007","2457020","1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,0
"2013","2458012","1060","MONTRÉAL","SAINT-LAMBERT V",1,0,100,0,0,0,4
"2013","3519028","2270","TORONTO","VAUGHAN CY",4,50,25,25,0,0,7.25
"2020","3519036","2270","TORONTO","MARKHAM CY",7,0,85.714285714286,0,14.285714285714,0,7
"2022","4811016","0340","EDMONTON","LEDUC CY",NA,NA,NA,NA,NA,NA,NA
"1988","2472230","1060",NA,NA,1,100,0,0,0,0,0
"1990","3519038","2270","TORONTO","RICHMOND HILL T",4,100,0,0,0,0,0
"1991","2469600","1060",NA,NA,4,100,0,0,0,0,2.25
"1996","2467025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,0
"1999","5915039","2410","VANCOUVER","PORT COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2002","3520005","2270","TORONTO","TORONTO C",31,93.548387096774,0,6.451612903226,0,0,1.2258064516129
"2002","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",1,0,0,100,0,0,20
"2003","4806019","0140","CALGARY","COCHRANE T",1,100,0,0,0,0,0
"2003","5915022","2410","VANCOUVER","VANCOUVER CY",14,14.285714285714,64.285714285714,14.285714285714,7.142857142857,0,7.57142857142857
"2004","4811016","0340","EDMONTON","LEDUC CY",2,100,0,0,0,0,0
"2008","2460013","1060","MONTRÉAL","REPENTIGNY V",10,100,0,0,0,0,0
"2016","3521010","2270","TORONTO","BRAMPTON CY",1,0,100,0,0,0,5
"2017","3506008","1265","OTTAWA","OTTAWA CV",23,73.913043478261,8.695652173913,13.04347826087,0,4.347826086957,6.82608695652174
"2018","2471033","1060","MONTRÉAL","LES COTEAUX MÉ",1,100,0,0,0,0,2
"2018","3506008","1265","OTTAWA","OTTAWA CV",21,71.428571428571,19.047619047619,9.52380952381,0,0,3.76190476190476
"2019","5915022","2410","VANCOUVER","VANCOUVER CY",44,6.818181818182,56.818181818182,25,6.818181818182,4.545454545455,9.27272727272727
"2022","4811013","0340","EDMONTON","BEAUMONT T",1,100,0,0,0,0,3
"1988","2463220","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","3519028","2270","TORONTO","VAUGHAN CY",1,100,0,0,0,0,0
"1989","2452480","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990","5915039","2410","VANCOUVER","PORT COQUITLAM CY",3,100,0,0,0,0,3
"2000","2466035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",6,100,0,0,0,0,0
"2003","2474005","1060","MONTRÉAL","LAVAL V",NA,NA,NA,NA,NA,NA,NA
