"ref_yy","CSDuid","mkttycd","metcode","metro","municipality","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"2013","2460020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,3
"2013","3520005",2,"2270","TORONTO","AJAX T",NA,NA,NA,NA,NA,NA,NA
"2013","5915004",3,"2410","VANCOUVER","SURREY CY",8,50,50,0,0,0,2.5
"2015","4811056",2,"0340","EDMONTON","FORT SASKATCHEWAN CY",1,0,100,0,0,0,4
"2017","2473035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",5,100,0,0,0,0,2.4
"2020","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,100,0,0,0,0,2
"2020","4806016",2,"0140","CALGARY","CALGARY CY",2,0,100,0,0,0,4.5
"2021","4811061",2,"0340","EDMONTON","EDMONTON CY",26,69.230769230769,30.769230769231,0,0,0,2.07692307692308
"1990","2452550",2,"1060",NA,NA,1,100,0,0,0,0,2
"1990","2465220",2,"1060",NA,NA,2,100,0,0,0,0,0
"1994","2457030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,0
"1998","2467015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,100,0,0,0,0,0
"2000","2473010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"2001","2464005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2003","2467030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",2,100,0,0,0,0,1.5
"2003","5915025",3,"2410","VANCOUVER","BURNABY CY",2,100,0,0,0,0,2
"2005","4811052",3,"0340","EDMONTON","STRATHCONA COUNTY SM",1,100,0,0,0,0,0
"2006","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",37,100,0,0,0,0,0.891891891891892
"2009","2466058",3,"1060","MONTRÉAL","CÔTE-SAINT-LUC V",1,100,0,0,0,0,0
"2011","2467030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",2,100,0,0,0,0,3
"2013","2473030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",4,100,0,0,0,0,2
"2013","2473035",2,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,3
"2016","2471025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,2
"2017","3524001",2,"2270","TORONTO","PICKERING CY",1,0,0,100,0,0,18
"2018","4806019",2,"0140","CALGARY","COCHRANE T",NA,NA,NA,NA,NA,NA,NA
"2019","2458007",3,"1060","MONTRÉAL","LAVALTRIE V",16,68.75,6.25,18.75,6.25,0,5.5
"2020","2467020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",2,100,0,0,0,0,3
"2021","2467040",2,"1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,2
"2021","4811052",3,"0340","EDMONTON","STRATHCONA COUNTY SM",1,100,0,0,0,0,2
"2022","2471033",1,"1060","MONTRÉAL","BOUCHERVILLE V",NA,NA,NA,NA,NA,NA,NA
"2022","2474005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",5,80,0,20,0,0,5.4
"2022","3520005",2,"2270","TORONTO","AJAX T",7,14.285714285714,14.285714285714,57.142857142857,0,14.285714285714,13.2857142857143
"1988","3524001",3,"2270","TORONTO","PICKERING CY",1,100,0,0,0,0,0
"1989","2465260",3,"1060",NA,NA,14,100,0,0,0,0,0
"1989","3520019",2,"2270",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992","3520019",2,"2270",NA,NA,3,66.666666666667,0,33.333333333333,0,0,4.66666666666667
"1994","2458020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"1994","5915063",2,"2410",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996","2466025",3,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",31,100,0,0,0,0,0.161290322580645
"1998","2466085",3,"1060",NA,NA,1,100,0,0,0,0,0
"1998","2472005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,0
"1999","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",4,100,0,0,0,0,0
"1999","5915022",1,"2410","VANCOUVER","VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"1999","5915051",3,"2410","VANCOUVER","NORTH VANCOUVER CY",2,0,50,50,0,0,9.5
"2001","5915039",3,"2410","VANCOUVER","PORT COQUITLAM CY",1,100,0,0,0,0,3
"2008","4806019",3,"0140","CALGARY","COCHRANE T",3,100,0,0,0,0,0
"2010","4811061",2,"0340","EDMONTON","EDMONTON CY",1,100,0,0,0,0,0
"2012","2471060",3,"1060","MONTRÉAL","L'ÎLE-PERROT V",1,100,0,0,0,0,3
"2013","2466023",2,"1060","MONTRÉAL","MONTRÉAL V",6,83.333333333333,16.666666666667,0,0,0,2.66666666666667
"2020","2460005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,2
"2020","5915075",2,"2410","VANCOUVER","MAPLE RIDGE CY",NA,NA,NA,NA,NA,NA,NA
"2021","5915046",3,"2410","VANCOUVER","NORTH VANCOUVER DM",8,87.5,12.5,0,0,0,2.5
"2022","2467040",2,"1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,2
"2022","5915022",3,"2410","VANCOUVER","VANCOUVER CY",30,60,33.333333333333,3.333333333333,0,3.333333333333,4.9
"1990","2465420",3,"1060",NA,NA,6,100,0,0,0,0,0
"1990","2466380",2,"1060",NA,NA,1,100,0,0,0,0,0
"1991","3521005",2,"2270","TORONTO","AJAX T",1,0,0,100,0,0,13
"1994","3520001",4,"2270","TORONTO","PICKERING CY",5,100,0,0,0,0,0
"1996","3506014",1,"1265",NA,NA,2,100,0,0,0,0,0
"1996","3520004",1,"2270",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002","3502048",2,"1265","OTTAWA","RUSSELL TP",NA,NA,NA,NA,NA,NA,NA
"2005","2474005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,2
"2006","5915022",1,"2410","VANCOUVER","VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"2006","5915043",3,"2410","VANCOUVER","PORT MOODY CY",4,0,100,0,0,0,4
"2009","2467050",2,"1060","MONTRÉAL","CHÂTEAUGUAY V",1,100,0,0,0,0,0
"2010","2473020",1,"1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2010","2475005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2011","2471070",3,"1060","MONTRÉAL","PINCOURT V",2,100,0,0,0,0,1.5
"2011","3521005",3,"2270","TORONTO","AJAX T",5,20,0,20,20,40,23.4
"2012","2467035",2,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,2
"2012","3519046",3,"2270","TORONTO","AURORA T",1,100,0,0,0,0,0
"2013","2457040",3,"1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,2
"2013","2460035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2013","4806017",3,"0140","CALGARY","CHESTERMERE CY",5,100,0,0,0,0,1.8
"2017","5915029",3,"2410","VANCOUVER","NEW WESTMINSTER CY",4,0,50,0,25,25,17.25
"1990","2456450",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990","2473120",2,"1060",NA,NA,7,100,0,0,0,0,0
"1992","3506014",2,"1265",NA,NA,22,100,0,0,0,0,0
"1994","2473010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"1994","5915011",3,"2410","VANCOUVER","DELTA DM",1,100,0,0,0,0,3
"2000","2467030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,0
"2000","5915051",2,"2410","VANCOUVER","NORTH VANCOUVER CY",1,0,0,100,0,0,15
"2002","4811061",3,"0340","EDMONTON","EDMONTON CY",17,100,0,0,0,0,0
"2003","5915051",1,"2410","VANCOUVER","NORTH VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"2003","5915055",3,"2410","VANCOUVER","WEST VANCOUVER DM",3,66.666666666667,33.333333333333,0,0,0,3.33333333333333
"2004","2467040",2,"1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,0
"2004","5915004",3,"2410","VANCOUVER","SURREY CY",4,0,100,0,0,0,4
"2005","2457035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",5,100,0,0,0,0,0
"2006","2472005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",6,100,0,0,0,0,1.33333333333333
"2007","2464015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",7,100,0,0,0,0,1
"2008","2467020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",2,100,0,0,0,0,1.5
"2010","2473010",3,"1060","MONTRÉAL","DEUX-MONTAGNES V",2,100,0,0,0,0,0
"2012","2471070",3,"1060","MONTRÉAL","PINCOURT V",6,100,0,0,0,0,0.333333333333333
"2014","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",9,55.555555555556,44.444444444444,0,0,0,2.55555555555556
"2014","4806019",3,"0140","CALGARY","COCHRANE T",1,100,0,0,0,0,0
"2015","5915004",3,"2410","VANCOUVER","SURREY CY",5,0,40,0,0,60,26.6
"2016","2471065",1,"1060","MONTRÉAL","SAINT-MATHIAS-SUR-RICHELIEU MÉ",NA,NA,NA,NA,NA,NA,NA
"2017","5915001",2,"2410","VANCOUVER","LANGLEY DM",2,0,100,0,0,0,5.5
"2020","2473005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,6
"2021","2458227",3,"1060","MONTRÉAL","LONGUEUIL V",7,100,0,0,0,0,2.42857142857143
"2022","2460005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",3,100,0,0,0,0,2.33333333333333
"2022","3519046",3,"2270","TORONTO","AURORA T",1,0,0,100,0,0,7
"1989","2465220",2,"1060",NA,NA,8,100,0,0,0,0,0
"1989","2465320",2,"1060",NA,NA,3,100,0,0,0,0,0
"1989","5915034",3,"2410","VANCOUVER","COQUITLAM CY",3,66.666666666667,0,33.333333333333,0,0,7.66666666666667
"1991","2465340",3,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992","2463220",1,"1060",NA,NA,4,100,0,0,0,0,0.5
"1992","2466380",2,"1060",NA,NA,1,100,0,0,0,0,0
"1992","3521010",2,"2270","TORONTO","BRAMPTON CY",4,100,0,0,0,0,0
"1994","2459010",3,"1060","MONTRÉAL","DEUX-MONTAGNES V",3,100,0,0,0,0,0
"1999","2473010",3,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,100,0,0,0,0,0
"2002","2460020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,0
"2002","3502044",1,"1265",NA,NA,1,100,0,0,0,0,0
"2002","5915001",2,"2410","VANCOUVER","LANGLEY DM",1,0,100,0,0,0,4
"2003","3521005",3,"2270","TORONTO","AJAX T",4,75,0,0,0,25,7.75
"2008","2466142",3,"1060","MONTRÉAL","DOLLARD-DES ORMEAUX V",1,100,0,0,0,0,0
"2008","5915002",3,"2410","VANCOUVER","LANGLEY CY",1,0,100,0,0,0,4
"2009","2458007",2,"1060","MONTRÉAL","LAVALTRIE V",1,100,0,0,0,0,0
"2009","2472005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,0
"2010","2452007",1,"1060","MONTRÉAL","LAVALTRIE V",NA,NA,NA,NA,NA,NA,NA
"2010","2466023",4,"1060","MONTRÉAL","MONTRÉAL V",6,33.333333333333,16.666666666667,50,0,0,5.5
"2010","2470022",3,"1060","MONTRÉAL","BEAUHARNOIS V",1,100,0,0,0,0,2
"2011","2460035",2,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2012","2473035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,0
"2012","3520005",2,"2270","TORONTO","AJAX T",8,25,25,50,0,0,5.375
"2013","2465005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2013","3521010",2,"2270","TORONTO","BRAMPTON CY",2,100,0,0,0,0,0
"2014","2460035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2015","3519044",3,"2270","TORONTO","WHITCHURCH-STOUFFVILLE T",1,100,0,0,0,0,2
"2019","2456083",2,"1060","MONTRÉAL","SAINT-JEAN-SUR-RICHELIEU V",7,71.428571428571,14.285714285714,14.285714285714,0,0,3.57142857142857
"2019","2467015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",4,100,0,0,0,0,2.25
"2019","5915034",3,"2410","VANCOUVER","COQUITLAM CY",4,0,25,0,50,25,24.25
"2021","3502048",3,"1265","OTTAWA","RUSSELL TP",1,100,0,0,0,0,3
"1990","2462280",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990","2462310",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990","2466700",2,"1060",NA,NA,9,100,0,0,0,0,1.33333333333333
"1991","2462240",2,"1060",NA,NA,4,100,0,0,0,0,0
"1992","2473180",2,"1060",NA,NA,1,100,0,0,0,0,0
"1993","2463220",2,"1060",NA,NA,5,100,0,0,0,0,0.4
"1993","3519038",4,"2270","TORONTO","RICHMOND HILL T",4,100,0,0,0,0,0
"1995","5915034",2,"2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"1996","2466035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"1997","2472005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",7,100,0,0,0,0,0.285714285714286
"1998","2464010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,100,0,0,0,0,0
"2001","2473005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2001","4811016",2,"0340","EDMONTON","LEDUC CY",1,100,0,0,0,0,0
"2002","2464008",1,"1060","MONTRÉAL","TERREBONNE V",NA,NA,NA,NA,NA,NA,NA
"2002","2473010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",2,100,0,0,0,0,0
"2006","2457035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",3,100,0,0,0,0,1.33333333333333
"2006","2466007",2,"1060","MONTRÉAL","LAVALTRIE V",2,100,0,0,0,0,0
"2007","2457035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",11,100,0,0,0,0,0
"2011","2452007",1,"1060","MONTRÉAL","LAVALTRIE V",NA,NA,NA,NA,NA,NA,NA
"2011","2475017",3,"1060","MONTRÉAL","SAINT-JÉRÔME V",7,100,0,0,0,0,0
"2011","5915051",3,"2410","VANCOUVER","NORTH VANCOUVER CY",3,0,100,0,0,0,4.33333333333333
"2016","2473010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,100,0,0,0,0,3
"2017","2475017",3,"1060","MONTRÉAL","SAINT-JÉRÔME V",2,100,0,0,0,0,2.5
"2018","2475005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2018","5915004",2,"2410","VANCOUVER","SURREY CY",NA,NA,NA,NA,NA,NA,NA
"2018","5915043",2,"2410","VANCOUVER","PORT MOODY CY",NA,NA,NA,NA,NA,NA,NA
"2019","2472005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,3
"2021","3506008",2,"1265","OTTAWA","OTTAWA CV",11,36.363636363636,54.545454545455,9.090909090909,0,0,5.09090909090909
"2021","5915001",3,"2410","VANCOUVER","LANGLEY DM",6,0,100,0,0,0,5.66666666666667
"2022","3519036",3,"2270","TORONTO","MARKHAM CY",4,0,0,100,0,0,14.25
"2022","3524009",3,"2270","TORONTO","MILTON T",2,0,100,0,0,0,6
"1988","2466700",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","2465260",2,"1060",NA,NA,99,100,0,0,0,0,0
"1991","2462200",2,"1060",NA,NA,3,100,0,0,0,0,0
"1992","2466500",3,"1060",NA,NA,8,100,0,0,0,0,2.625
"1994","2464005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,0
"1994","4811061",3,"0340","EDMONTON","EDMONTON CY",9,100,0,0,0,0,0
"1995","3520004",4,"2270",NA,NA,1,100,0,0,0,0,0
"2009","5915004",1,"2410","VANCOUVER","SURREY CY",NA,NA,NA,NA,NA,NA,NA
"2010","2457040",1,"1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"2011","2460035",1,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2013","4811061",2,"0340","EDMONTON","EDMONTON CY",10,50,50,0,0,0,2
"2014","5915007",3,"2410","VANCOUVER","WHITE ROCK CY",1,100,0,0,0,0,0
"2015","2459020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,0,100,0,0,0,4
"2016","2474005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",3,100,0,0,0,0,3
"2021","2455057",2,"1060","MONTRÉAL","RICHELIEU V",NA,NA,NA,NA,NA,NA,NA
"2021","2464015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",14,64.285714285714,0,35.714285714286,0,0,4.28571428571429
"2021","2472032",2,"1060","MONTRÉAL","WESTMOUNT V",NA,NA,NA,NA,NA,NA,NA
"2022","2458227",3,"1060","MONTRÉAL","LONGUEUIL V",2,50,0,0,50,0,13.5
"2022","2467015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",2,50,50,0,0,0,3
"1989","3524009",2,"2270","TORONTO","MILTON T",1,100,0,0,0,0,3
"1991","2463220",2,"1060",NA,NA,3,100,0,0,0,0,1.33333333333333
"1993","5915025",2,"2410","VANCOUVER","BURNABY CY",2,100,0,0,0,0,0
"1995","3502039",2,"1265",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000","2455055",2,"1060","MONTRÉAL","LÉRY V",1,100,0,0,0,0,0
"2000","2464020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,0
"2003","5915034",1,"2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2006","2467045",2,"1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",1,100,0,0,0,0,0
"2007","2460035",2,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,0
"2008","4806016",2,"0140","CALGARY","CALGARY CY",1,100,0,0,0,0,0
"2011","2452007",3,"1060","MONTRÉAL","LAVALTRIE V",1,100,0,0,0,0,0
"2011","2457035",1,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2011","4811016",2,"0340","EDMONTON","LEDUC CY",2,100,0,0,0,0,0
"2011","5915051",1,"2410","VANCOUVER","NORTH VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"2013","2473015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2014","2471083",2,"1060","MONTRÉAL","SAINT-JEAN-SUR-RICHELIEU V",1,100,0,0,0,0,0
"2018","2467030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,3
"2019","2473010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"2020","2458227",2,"1060","MONTRÉAL","LONGUEUIL V",23,91.304347826087,8.695652173913,0,0,0,2.43478260869565
"2020","2466023",3,"1060","MONTRÉAL","MONTRÉAL V",21,14.285714285714,38.095238095238,33.333333333333,9.52380952381,4.761904761905,11.1428571428571
"2021","2467055",2,"1060","MONTRÉAL","LÉRY V",NA,NA,NA,NA,NA,NA,NA
"1988","2465580",3,"1060",NA,NA,1,100,0,0,0,0,0
"1988","5915025",3,"2410","VANCOUVER","BURNABY CY",1,100,0,0,0,0,0
"1990","4811061",0,"0340","EDMONTON","EDMONTON CY",1,100,0,0,0,0,0
"1990","5915011",2,"2410","VANCOUVER","DELTA DM",2,100,0,0,0,0,0
"1992","4806014",1,"0140","CALGARY","ROCKY VIEW COUNTY MD",1,100,0,0,0,0,0
"1993","3520001",3,"2270","TORONTO","PICKERING CY",1,100,0,0,0,0,0
