"ref_yy","CSDuid","metcode","metro","first_value(muni)","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"2015","2458037","1060","MONTRÉAL","SAINT-BRUNO-DE-MONTARVILLE V",3,33.333333333333,66.666666666667,0,0,0,6.33333333333333
"2015","5915011","2410","VANCOUVER","DELTA DM",2,0,100,0,0,0,16.5
"2017","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",9,33.333333333333,55.555555555556,11.111111111111,0,0,11.3333333333333
"2018","2475005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2019","2455065","1060","MONTRÉAL","SAINT-MATHIAS-SUR-RICHELIEU MÉ",1,0,100,0,0,0,16
"2019","2466072","1060","MONTRÉAL","MONT-ROYAL V",1,0,0,100,0,0,23
"2019","5915015","2410","VANCOUVER","RICHMOND CY",16,0,6.25,12.5,25,56.25,98.125
"1989","2463220","1060",NA,NA,14,57.142857142857,42.857142857143,0,0,0,7.07142857142857
"1989","3524001","2270","TORONTO","PICKERING CY",2,0,100,0,0,0,13
"1991","2456650","1060",NA,NA,10,40,40,20,0,0,11.3
"1993","2456400","1060",NA,NA,2,0,0,100,0,0,33
"1993","2457320","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002","5915004","2410","VANCOUVER","SURREY CY",3,0,0,100,0,0,44.6666666666667
"2011","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",3,33.333333333333,33.333333333333,33.333333333333,0,0,11.3333333333333
"2011","2467035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",10,60,40,0,0,0,7.2
"2012","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"2015","4811062","0340","EDMONTON","ST. ALBERT CY",NA,NA,NA,NA,NA,NA,NA
"2018","5915055","2410","VANCOUVER","WEST VANCOUVER DM",3,0,33.333333333333,33.333333333333,33.333333333333,0,38.6666666666667
"2021","2475005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"1989","2462280","1060",NA,NA,5,20,80,0,0,0,11.6
"1991","2473180","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000","3519028","2270","TORONTO","VAUGHAN CY",1,0,0,0,0,100,248
"2001","2457015","1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,0,100,0,0,29
"2003","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",7,0,100,0,0,0,7.42857142857143
"2007","3519038","2270","TORONTO","RICHMOND HILL T",1,0,0,0,0,100,201
"2008","3502048","1265","OTTAWA","RUSSELL TP",1,0,100,0,0,0,8
"2009","5915022","2410","VANCOUVER","VANCOUVER CY",9,11.111111111111,33.333333333333,22.222222222222,11.111111111111,22.222222222222,53.2222222222222
"2011","5915070","2410","VANCOUVER","PITT MEADOWS CY",1,0,0,0,100,0,71
"2015","2458227","1060","MONTRÉAL","LONGUEUIL V",13,30.769230769231,61.538461538462,0,7.692307692308,0,11.6153846153846
"2018","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",41,14.634146341463,65.853658536585,7.317073170732,2.439024390244,9.756097560976,26.219512195122
"2020","2473010","1060","MONTRÉAL","DEUX-MONTAGNES V",3,0,66.666666666667,0,33.333333333333,0,38.6666666666667
"2021","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",14,0,35.714285714286,28.571428571429,0,35.714285714286,74.7142857142857
"2021","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,0,100,0,0,40
"2021","5915022","2410","VANCOUVER","VANCOUVER CY",32,12.5,31.25,31.25,6.25,18.75,58.71875
"1991","2465180","1060",NA,NA,1,0,0,100,0,0,52
"1992","3520001","2270","TORONTO","PICKERING CY",5,0,20,40,0,40,90
"1997","3520019","2270",NA,NA,1,0,0,0,0,100,104
"1998","2466040","1060","MONTRÉAL","BELOEIL V",3,0,100,0,0,0,6.66666666666667
"1999","2457005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,6
"1999","3519028","2270","TORONTO","VAUGHAN CY",2,0,0,0,50,50,98
"2002","2470022","1060","MONTRÉAL","BEAUHARNOIS V",1,100,0,0,0,0,4
"2002","5915025","2410","VANCOUVER","BURNABY CY",2,0,0,50,0,50,87
"2004","5915039","2410","VANCOUVER","PORT COQUITLAM CY",2,0,100,0,0,0,17.5
"2006","2459015","1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2006","2460005","1060","MONTRÉAL","SAINT-COLOMBAN V",2,0,50,50,0,0,21
"2010","2471033","1060","MONTRÉAL","LES COTEAUX MÉ",1,0,100,0,0,0,14
"2016","2471083","1060","MONTRÉAL","VAUDREUIL-DORION V",3,0,100,0,0,0,14
"2016","5915007","2410","VANCOUVER","WHITE ROCK CY",1,0,0,0,100,0,89
"2018","3518005","2270","TORONTO","AJAX T",1,0,0,0,0,100,308
"2019","2457005","1060","MONTRÉAL","SAINT-COLOMBAN V",5,0,100,0,0,0,6
"2020","2459020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"1991","5915055","2410","VANCOUVER","WEST VANCOUVER DM",2,0,50,0,50,0,49.5
"1995","5915018","2410",NA,NA,1,0,0,0,0,100,133
"2002","3524001","2270","TORONTO","PICKERING CY",2,0,0,100,0,0,56
"2004","5915004","2410","VANCOUVER","SURREY CY",5,0,0,80,0,20,63.6
"2005","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",5,40,60,0,0,0,6.4
"2007","2473015","1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,12
"2010","4811016","0340","EDMONTON","LEDUC CY",3,0,0,66.666666666667,33.333333333333,0,60.3333333333333
"2012","2471040","1060","MONTRÉAL","BELOEIL V",1,0,100,0,0,0,6
"2012","3519049","2270","TORONTO","KING TP",1,0,0,0,0,100,127
"2016","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,0,100,0,0,0,18
"2016","2466023","1060","MONTRÉAL","MONTRÉAL V",61,22.950819672131,44.262295081967,11.475409836066,4.918032786885,16.393442622951,40.672131147541
"2020","3506008","1265","OTTAWA","OTTAWA CV",34,2.941176470588,73.529411764706,2.941176470588,0,20.588235294118,37.9117647058824
"2020","4806017","0140","CALGARY","CHESTERMERE T",NA,NA,NA,NA,NA,NA,NA
"2021","2466023","1060","MONTRÉAL","MONTRÉAL V",84,7.142857142857,33.333333333333,16.666666666667,13.095238095238,29.761904761905,90.3214285714286
"1991","5913011","2410","VANCOUVER","DELTA DM",8,50,50,0,0,0,5.125
"1993","5915022","2410","VANCOUVER","VANCOUVER CY",47,4.255319148936,27.659574468085,40.425531914894,12.765957446809,14.893617021277,47.4468085106383
"1995","2464005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,12
"2003","5915034","2410","VANCOUVER","COQUITLAM CY",2,0,0,50,50,0,64
"2005","2457020","1060","MONTRÉAL","CANDIAC V",1,0,100,0,0,0,6
"2008","2467010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,100,0,0,0,6.5
"2017","2452007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2019","2466007","1060","MONTRÉAL","BROSSARD V",3,33.333333333333,33.333333333333,33.333333333333,0,0,14.6666666666667
"2020","2467020","1060","MONTRÉAL","CANDIAC V",6,66.666666666667,0,33.333333333333,0,0,11.6666666666667
"2020","2473020","1060","MONTRÉAL","CANDIAC V",1,0,100,0,0,0,16
"2020","4811061","0340","EDMONTON","EDMONTON CY",28,32.142857142857,17.857142857143,3.571428571429,32.142857142857,14.285714285714,53.25
"2022","5915001","2410","VANCOUVER","LANGLEY DM",6,0,0,33.333333333333,33.333333333333,33.333333333333,70.5
"2001","5915034","2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2010","5915062","2410","VANCOUVER","BOWEN ISLAND IM",NA,NA,NA,NA,NA,NA,NA
"2017","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",NA,NA,NA,NA,NA,NA,NA
"2019","5915075","2410","VANCOUVER","MAPLE RIDGE CY",NA,NA,NA,NA,NA,NA,NA
"1989","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",5,80,0,0,20,0,22.4
"1993","2466300","1060",NA,NA,3,0,100,0,0,0,10.6666666666667
"1994","3520001","2270","TORONTO","PICKERING CY",6,50,33.333333333333,0,0,16.666666666667,24.1666666666667
"1995","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",2,0,100,0,0,0,12
"1995","2473035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,4
"1996","2472010","1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"1998","2466015","1060","MONTRÉAL","SAINT-AMABLE MÉ",11,0,100,0,0,0,8
"1998","3506030","1265",NA,NA,2,100,0,0,0,0,4
"2004","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",5,0,100,0,0,0,9.2
"2005","5915011","2410","VANCOUVER","DELTA DM",1,0,100,0,0,0,12
"2009","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,0,100,0,0,0,6
"2011","2460035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",2,0,100,0,0,0,6
"2017","4811061","0340","EDMONTON","EDMONTON CY",20,5,25,15,25,30,87.5
"2018","3521024","2270","TORONTO","CALEDON T",1,0,0,0,0,100,140
"2019","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",2,0,50,0,0,50,71.5
"2019","3506008","1265","OTTAWA","OTTAWA CV",15,6.666666666667,46.666666666667,13.333333333333,13.333333333333,20,65.8
"2020","5915034","2410","VANCOUVER","COQUITLAM CY",3,0,0,33.333333333333,33.333333333333,33.333333333333,89
"1989","2462110","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","5915004","2410","VANCOUVER","SURREY CY",9,55.555555555556,11.111111111111,22.222222222222,11.111111111111,0,23.6666666666667
"2006","5915070","2410","VANCOUVER","PITT MEADOWS CY",2,0,0,0,0,100,134
"2007","4811061","0340","EDMONTON","EDMONTON CY",24,0,16.666666666667,33.333333333333,41.666666666667,8.333333333333,57.2083333333333
"2011","5915002","2410","VANCOUVER","LANGLEY CY",2,0,0,50,50,0,59.5
"2018","2466007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2018","2470022","1060","MONTRÉAL","BEAUHARNOIS V",2,0,100,0,0,0,6
"2018","4811013","0340","EDMONTON","BEAUMONT T",NA,NA,NA,NA,NA,NA,NA
"2022","2456083","1060","MONTRÉAL","VAUDREUIL-DORION V",4,0,25,25,25,25,83.75
"1990","3520001","2270","TORONTO","PICKERING CY",6,0,0,0,0,100,207.333333333333
"1991","2473300","1060",NA,NA,2,100,0,0,0,0,4
"1993","4811049","0340","EDMONTON","SPRUCE GROVE CY",1,0,100,0,0,0,16
"1994","5915025","2410","VANCOUVER","BURNABY CY",9,0,22.222222222222,66.666666666667,0,11.111111111111,48.2222222222222
"1995","5915043","2410","VANCOUVER","PORT MOODY CY",1,0,0,100,0,0,46
"1999","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,0,100,0,0,0,6
"2000","3521005","2270","TORONTO","AJAX T",4,0,0,0,0,100,137.75
"2002","4811062","0340","EDMONTON","ST. ALBERT CY",2,0,0,50,0,50,86
"2006","5915039","2410","VANCOUVER","PORT COQUITLAM CY",3,0,0,66.666666666667,33.333333333333,0,43
"2013","5915020","2410","VANCOUVER","GREATER VANCOUVER A RDA",4,0,0,0,25,75,128.25
"2014","5915011","2410","VANCOUVER","DELTA DM",NA,NA,NA,NA,NA,NA,NA
"2018","3520005","2270","TORONTO","AJAX T",40,0,7.5,7.5,7.5,77.5,241.8
"2022","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",3,0,0,0,66.666666666667,33.333333333333,95
"1989","3521005","2270","TORONTO","AJAX T",11,0,0,0,0,100,233.545454545455
"1990","3524001","2270","TORONTO","PICKERING CY",5,0,0,60,20,20,69.2
"1991","4811061","0340","EDMONTON","EDMONTON CY",2,0,50,50,0,0,22
"1995","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",7,0,100,0,0,0,7.14285714285714
"1998","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,5
"2013","5915007","2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2015","2473010","1060","MONTRÉAL","DEUX-MONTAGNES V",4,0,50,50,0,0,28.5
"2016","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",7,0,14.285714285714,57.142857142857,14.285714285714,14.285714285714,68.2857142857143
"2017","2463048","1060","MONTRÉAL","SAINT-LIN--LAURENTIDES V",2,0,50,50,0,0,13.5
"2017","2473035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",6,66.666666666667,33.333333333333,0,0,0,4.66666666666667
"2018","2471040","1060","MONTRÉAL","BELOEIL V",1,0,100,0,0,0,9
"1990","2466700","1060",NA,NA,9,0,100,0,0,0,8.44444444444444
"1991","2457150","1060",NA,NA,3,0,100,0,0,0,6
"1995","2460010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,100,0,0,0,0,4.5
"2000","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",1,0,0,100,0,0,35
"2006","2472043","1060","MONTRÉAL","SAINT-PLACIDE MÉ",NA,NA,NA,NA,NA,NA,NA
"2006","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",1,0,0,0,100,0,78
"2007","5915043","2410","VANCOUVER","PORT MOODY CY",4,0,0,0,50,50,137.25
"2010","2473030","1060","MONTRÉAL","BOIS-DES-FILION V",4,0,100,0,0,0,6
"2010","5915007","2410","VANCOUVER","WHITE ROCK CY",1,0,0,100,0,0,21
"2013","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",19,26.315789473684,47.368421052632,15.789473684211,10.526315789474,0,19.2631578947368
"2019","2452007","1060","MONTRÉAL","BROSSARD V",3,0,100,0,0,0,8
"2019","2473015","1060","MONTRÉAL","SAINT-AMABLE MÉ",6,16.666666666667,66.666666666667,16.666666666667,0,0,16.1666666666667
"2021","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",18,0,61.111111111111,5.555555555556,11.111111111111,22.222222222222,64.3888888888889
"1988","2464500","1060",NA,NA,14,14.285714285714,71.428571428571,14.285714285714,0,0,15.1428571428571
"1992","2456120","1060",NA,NA,12,0,100,0,0,0,6
"1993","3543012","2270","TORONTO","MONO T",1,0,0,100,0,0,46
"1998","2464005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"1998","5915015","2410","VANCOUVER","RICHMOND CY",3,0,0,0,33.333333333333,66.666666666667,118.333333333333
"2002","3519028","2270","TORONTO","VAUGHAN CY",1,0,0,0,100,0,86
"2002","5915011","2410","VANCOUVER","DELTA DM",1,0,100,0,0,0,18
"2004","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",4,0,100,0,0,0,8.25
"2005","3519028","2270","TORONTO","VAUGHAN CY",1,0,0,0,0,100,256
"2008","2466023","1060","MONTRÉAL","MONTRÉAL V",91,18.681318681319,49.450549450549,20.879120879121,4.395604395604,6.593406593407,31.2307692307692
"2008","5915062","2410","VANCOUVER","BOWEN ISLAND IM",NA,NA,NA,NA,NA,NA,NA
"2017","2460035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,0,100,0,0,0,6
"2018","5915002","2410","VANCOUVER","LANGLEY CY",4,0,0,25,75,0,75
"2022","2471040","1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"2022","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",2,0,100,0,0,0,6
"1993","4806016","0140","CALGARY","CALGARY CY",7,14.285714285714,71.428571428571,14.285714285714,0,0,14.4285714285714
"1996","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",4,0,75,25,0,0,19.75
"1998","2472010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,100,0,0,0,6
"2002","3519038","2270","TORONTO","RICHMOND HILL T",2,0,0,0,0,100,204
"2003","2457025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",1,0,100,0,0,0,6
"2005","5915039","2410","VANCOUVER","PORT COQUITLAM CY",1,0,0,100,0,0,59
"2007","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",2,0,0,0,100,0,91
"2018","2455065","1060","MONTRÉAL","SAINT-MATHIAS-SUR-RICHELIEU MÉ",1,100,0,0,0,0,4
"2018","2466023","1060","MONTRÉAL","MONTRÉAL V",74,13.513513513514,41.891891891892,18.918918918919,9.459459459459,16.216216216216,46.527027027027
"2018","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",1,0,100,0,0,0,6
"2019","2473020","1060","MONTRÉAL","CANDIAC V",1,0,100,0,0,0,12
"2019","3519046","2270","TORONTO","AURORA T",1,0,0,0,0,100,110
"2020","3520005","2270","TORONTO","AJAX T",43,0,6.976744186047,23.255813953488,9.302325581395,60.46511627907,219.162790697674
"1992","3520014","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",2,0,0,0,50,50,101.5
"1995","2457005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,6
"1995","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",5,20,80,0,0,0,7.6
"1996","2458010","1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,6
"1997","2466075","1060","MONTRÉAL","TERRASSE-VAUDREUIL MÉ",4,50,50,0,0,0,5.5
"2001","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",3,0,0,33.333333333333,66.666666666667,0,60
"2009","2472010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,100,0,0,0,6
"2013","2471033","1060","MONTRÉAL","LES COTEAUX MÉ",5,60,40,0,0,0,5.6
"2013","5915011","2410","VANCOUVER","DELTA DM",NA,NA,NA,NA,NA,NA,NA
"2014","2470022","1060","MONTRÉAL","BEAUHARNOIS V",4,0,100,0,0,0,6
"2020","3521010","2270","TORONTO","BRAMPTON CY",3,0,0,0,33.333333333333,66.666666666667,147
"2022","3502048","1265","OTTAWA","RUSSELL TP",5,0,100,0,0,0,10.8
"1994","2457020","1060","MONTRÉAL","CANDIAC V",1,0,100,0,0,0,6
"1997","2467020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2007","2459025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",1,0,100,0,0,0,6
"2007","2471083","1060","MONTRÉAL","VAUDREUIL-DORION V",2,0,50,50,0,0,26.5
"2009","2472005","1060","MONTRÉAL","SAINT-COLOMBAN V",4,0,100,0,0,0,12.25
"2014","5915070","2410","VANCOUVER","PITT MEADOWS CY",1,0,0,0,100,0,64
"2015","2459015","1060","MONTRÉAL","SAINT-AMABLE MÉ",4,25,75,0,0,0,5.5
"2020","4806016","0140","CALGARY","CALGARY CY",24,12.5,33.333333333333,12.5,33.333333333333,8.333333333333,47
"2021","5915034","2410","VANCOUVER","COQUITLAM CY",7,0,42.857142857143,14.285714285714,14.285714285714,28.571428571429,107.857142857143
"1988","2463150","1060",NA,NA,2,0,100,0,0,0,6
"1992","2457280","1060",NA,NA,2,100,0,0,0,0,4
"1992","3506012","1265",NA,NA,4,25,50,0,25,0,23.25
"2000","2457005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2001","2471050","1060","MONTRÉAL","CHÂTEAUGUAY V",1,0,100,0,0,0,6
"2001","2475020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2002","3521005","2270","TORONTO","AJAX T",1,0,0,0,0,100,286
"2004","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",3,0,100,0,0,0,6.66666666666667
"2006","2466142","1060","MONTRÉAL","DOLLARD DES ORMEAUX V",2,0,0,100,0,0,41
"2007","2457020","1060","MONTRÉAL","CANDIAC V",1,100,0,0,0,0,4
"2013","2458012","1060","MONTRÉAL","SAINT-LAMBERT V",1,0,100,0,0,0,18
"2013","3519028","2270","TORONTO","VAUGHAN CY",4,0,50,0,0,50,100.5
"2020","3519036","2270","TORONTO","MARKHAM T",7,0,71.428571428571,0,0,28.571428571429,60
"2022","4811016","0340","EDMONTON","LEDUC CY",NA,NA,NA,NA,NA,NA,NA
"1988","2472230","1060",NA,NA,1,0,100,0,0,0,6
"1990","3519038","2270","TORONTO","RICHMOND HILL T",4,0,25,0,25,50,84.5
"1991","2469600","1060",NA,NA,4,0,100,0,0,0,6.5
"1996","2467025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",1,0,100,0,0,0,12
"1999","5915039","2410","VANCOUVER","PORT COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2002","3520005","2270","TORONTO","AJAX T",31,3.225806451613,6.451612903226,35.483870967742,9.677419354839,45.161290322581,119.709677419355
"2002","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",1,0,0,0,100,0,75
"2003","4806019","0140","CALGARY","COCHRANE T",1,0,0,100,0,0,23
"2003","5915022","2410","VANCOUVER","VANCOUVER CY",14,0,21.428571428571,42.857142857143,14.285714285714,21.428571428571,58.4285714285714
"2004","4811016","0340","EDMONTON","LEDUC CY",2,50,0,50,0,0,20.5
"2008","2460013","1060","MONTRÉAL","REPENTIGNY V",10,0,100,0,0,0,6.7
