"ref_yy","CSDuid","mkttycd","metcode","metro","first_value(muni)","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"2007","5915022",1,"2410","VANCOUVER","VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"2010","3521005",3,"2270","TORONTO","AJAX T",4,0,0,100,0,0,45.25
"2010","5915020",3,"2410","VANCOUVER","GREATER VANCOUVER A RDA",1,0,0,0,100,0,62
"2013","2466007",3,"1060","MONTRÉAL","LAVALTRIE V",1,0,100,0,0,0,6
"2014","2467015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2016","4811048",3,"0340","EDMONTON","STONY PLAIN T",NA,NA,NA,NA,NA,NA,NA
"2018","3506008",2,"1265","OTTAWA","OTTAWA CV",6,0,50,0,16.666666666667,33.333333333333,78
"2018","5915025",2,"2410","VANCOUVER","BURNABY CY",1,0,0,100,0,0,21
"2019","2460013",1,"1060","MONTRÉAL","REPENTIGNY V",NA,NA,NA,NA,NA,NA,NA
"2020","2472015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2021","5915002",3,"2410","VANCOUVER","LANGLEY CY",2,0,0,50,50,0,66
"1990","2462260",3,"1060",NA,NA,4,0,100,0,0,0,6
"1990","3519036",3,"2270","TORONTO","MARKHAM CY",1,0,0,0,0,100,341
"1991","3506014",2,"1265",NA,NA,10,0,0,60,40,0,55
"1991","4811061",2,"0340","EDMONTON","EDMONTON CY",1,0,0,100,0,0,24
"1993","3502039",2,"1265",NA,NA,1,0,0,100,0,0,55
"1995","2460015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",3,0,33.333333333333,66.666666666667,0,0,17.3333333333333
"1996","2458030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"1997","5915034",3,"2410","VANCOUVER","COQUITLAM CY",7,0,0,85.714285714286,0,14.285714285714,45.8571428571429
"2002","5915022",2,"2410","VANCOUVER","VANCOUVER CY",3,0,0,66.666666666667,0,33.333333333333,66.3333333333333
"2004","2458227",2,"1060","MONTRÉAL","LONGUEUIL V",8,0,75,0,25,0,33
"2004","4806021",3,"0140","CALGARY","AIRDRIE CY",1,0,0,0,0,100,112
"2007","3519036",2,"2270","TORONTO","MARKHAM CY",NA,NA,NA,NA,NA,NA,NA
"2008","5915046",2,"2410","VANCOUVER","NORTH VANCOUVER DM",1,0,0,100,0,0,32
"2009","5915007",3,"2410","VANCOUVER","WHITE ROCK CY",1,0,0,100,0,0,35
"2010","2466142",3,"1060","MONTRÉAL","DOLLARD DES ORMEAUX V",4,0,75,25,0,0,22.25
"2012","2452007",2,"1060","MONTRÉAL","LAVALTRIE V",2,0,100,0,0,0,6
"2013","3506008",3,"1265","OTTAWA","OTTAWA CV",24,0,66.666666666667,4.166666666667,8.333333333333,20.833333333333,50.4166666666667
"2014","2473030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",1,0,100,0,0,0,6
"2015","2457040",2,"1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"2016","2459010",3,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,9
"2018","2472005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",2,50,50,0,0,0,5.5
"2019","2458227",1,"1060","MONTRÉAL","LONGUEUIL V",NA,NA,NA,NA,NA,NA,NA
"2019","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",8,0,62.5,37.5,0,0,14.25
"2019","2467020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",3,0,0,66.666666666667,0,33.333333333333,79
"2020","2458007",3,"1060","MONTRÉAL","LAVALTRIE V",2,0,50,0,0,50,61
"2020","3518001",2,"2270","TORONTO","PICKERING CY",1,0,0,0,0,100,227
"2021","2466023",2,"1060","MONTRÉAL","MONTRÉAL V",56,8.928571428571,39.285714285714,12.5,10.714285714286,28.571428571429,74.7321428571429
"2022","2472010",4,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,0,100,0,0,47
"1990","2456120",2,"1060",NA,NA,9,0,88.888888888889,11.111111111111,0,0,10
"1990","2464500",2,"1060",NA,NA,28,17.857142857143,78.571428571429,0,0,3.571428571429,12.1071428571429
"1996","2467015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2001","4811049",3,"0340","EDMONTON","SPRUCE GROVE CY",1,100,0,0,0,0,4
"2002","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",46,28.260869565217,69.565217391304,2.173913043478,0,0,6.80434782608696
"2002","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,12
"2002","4811056",2,"0340","EDMONTON","FORT SASKATCHEWAN CY",1,0,0,100,0,0,43
"2006","2457040",3,"1060","MONTRÉAL","BELOEIL V",2,0,100,0,0,0,6
"2007","2466023",1,"1060","MONTRÉAL","MONTRÉAL V",NA,NA,NA,NA,NA,NA,NA
"2007","5915001",2,"2410","VANCOUVER","LANGLEY DM",NA,NA,NA,NA,NA,NA,NA
"2012","4811061",3,"0340","EDMONTON","EDMONTON CY",8,0,25,62.5,12.5,0,48.25
"2012","5915043",3,"2410","VANCOUVER","PORT MOODY CY",2,0,0,0,0,100,145.5
"2013","2466087",3,"1060","MONTRÉAL","DORVAL V",1,0,0,0,100,0,87
"2013","5915025",3,"2410","VANCOUVER","BURNABY CY",5,0,0,20,20,60,195.8
"2017","2458033",3,"1060","MONTRÉAL","BOUCHERVILLE V",1,0,0,100,0,0,29
"2018","2472015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",5,80,20,0,0,0,4.4
"1989","5915046",3,"2410","VANCOUVER","NORTH VANCOUVER DM",5,0,80,20,0,0,18.2
"1990","3506004",2,"1265",NA,NA,1,0,0,0,100,0,64
"1992","2457320",2,"1060",NA,NA,1,100,0,0,0,0,4
"1992","5911025",2,"2410","VANCOUVER","BURNABY CY",1,100,0,0,0,0,5
"1992","5915015",3,"2410","VANCOUVER","RICHMOND CY",2,50,0,0,0,50,67.5
"1998","5915034",3,"2410","VANCOUVER","COQUITLAM CY",1,0,0,100,0,0,46
"2003","2459010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,100,0,0,0,6.5
"2004","2457020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",3,0,33.333333333333,66.666666666667,0,0,21
"2004","5915004",2,"2410","VANCOUVER","SURREY CY",1,0,0,100,0,0,60
"2005","5915039",3,"2410","VANCOUVER","PORT COQUITLAM CY",1,0,0,100,0,0,59
"2008","2464008",1,"1060","MONTRÉAL","TERREBONNE V",NA,NA,NA,NA,NA,NA,NA
"2009","5915034",1,"2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2011","2475005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2011","3502036",2,"1265","OTTAWA","CLARENCE-ROCKLAND CY",1,0,100,0,0,0,6
"2011","5915020",2,"2410","VANCOUVER","GREATER VANCOUVER A RDA",3,0,0,66.666666666667,33.333333333333,0,59.6666666666667
"2013","2458033",3,"1060","MONTRÉAL","BOUCHERVILLE V",6,50,50,0,0,0,7.66666666666667
"2017","2466058",2,"1060","MONTRÉAL","CÔTE SAINT-LUC V",1,0,0,0,0,100,129
"2017","2471025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,0,100,0,0,0,6
"2017","3507065",1,"1265","OTTAWA","NORTH GRENVILLE MU",1,0,100,0,0,0,6
"2019","4811016",2,"0340","EDMONTON","LEDUC CY",NA,NA,NA,NA,NA,NA,NA
"2019","5915039",2,"2410","VANCOUVER","PORT COQUITLAM CY",1,0,0,100,0,0,41
"1993","3524015",2,"2270","TORONTO","HALTON HILLS T",1,0,0,0,0,100,168
"1993","4806016",3,"0140","CALGARY","CALGARY CY",6,16.666666666667,66.666666666667,16.666666666667,0,0,15.8333333333333
"1994","2460015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",3,66.666666666667,33.333333333333,0,0,0,9.33333333333333
"1997","3519044",2,"2270","TORONTO","WHITCHURCH-STOUFFVILLE T",1,0,0,100,0,0,45
"2003","4806019",3,"0140","CALGARY","COCHRANE T",1,0,0,100,0,0,23
"2004","2470022",3,"1060","MONTRÉAL","BEAUHARNOIS V",1,0,0,100,0,0,21
"2006","5915020",3,"2410","VANCOUVER","GREATER VANCOUVER A RDA",3,0,0,66.666666666667,33.333333333333,0,62
"2008","2452007",2,"1060","MONTRÉAL","LAVALTRIE V",2,0,100,0,0,0,6
"2009","2472025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",2,0,100,0,0,0,6
"2011","5915034",1,"2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2012","2460013",2,"1060","MONTRÉAL","REPENTIGNY V",NA,NA,NA,NA,NA,NA,NA
"2012","4806016",2,"0140","CALGARY","CALGARY CY",5,0,0,40,40,20,78.6
"2013","2460005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,5
"2016","2458007",2,"1060","MONTRÉAL","LAVALTRIE V",1,0,0,0,0,100,135
"2016","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",12,58.333333333333,41.666666666667,0,0,0,5.33333333333333
"2016","5915075",2,"2410","VANCOUVER","MAPLE RIDGE CY",NA,NA,NA,NA,NA,NA,NA
"2018","5915022",2,"2410","VANCOUVER","VANCOUVER CY",17,5.882352941176,11.764705882353,47.058823529412,5.882352941176,29.411764705882,80.1764705882353
"2021","5915075",2,"2410","VANCOUVER","MAPLE RIDGE CY",1,0,100,0,0,0,6
"1992","2462510",2,"1060",NA,NA,3,0,100,0,0,0,6
"2004","3520005",2,"2270","TORONTO","AJAX T",3,0,0,0,33.333333333333,66.666666666667,178.333333333333
"2004","5915020",3,"2410","VANCOUVER","GREATER VANCOUVER A RDA",2,0,0,0,100,0,86
"2006","2473030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",10,0,100,0,0,0,6
"2007","2458227",3,"1060","MONTRÉAL","LONGUEUIL V",13,46.153846153846,53.846153846154,0,0,0,7.07692307692308
"2007","2473015",1,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2008","2458007",3,"1060","MONTRÉAL","LAVALTRIE V",42,57.142857142857,42.857142857143,0,0,0,5.90476190476191
"2010","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",16,12.5,68.75,12.5,0,6.25,21
"2011","5915034",3,"2410","VANCOUVER","COQUITLAM CY",3,0,0,33.333333333333,0,66.666666666667,163
"2013","2473015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",4,0,25,75,0,0,36.5
"2013","2474005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",2,100,0,0,0,0,4
"2017","2465005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2017","2471083",2,"1060","MONTRÉAL","VAUDREUIL-DORION V",1,0,100,0,0,0,16
"2017","5915001",3,"2410","VANCOUVER","LANGLEY DM",2,0,0,50,50,0,68.5
"2018","3521005",3,"2270","TORONTO","AJAX T",8,0,12.5,37.5,0,50,173.875
"2020","2464008",3,"1060","MONTRÉAL","TERREBONNE V",1,0,100,0,0,0,16
"1990","3520019",3,"2270",NA,NA,1,0,0,0,0,100,510
"1991","3520001",3,"2270","TORONTO","PICKERING CY",1,0,0,0,0,100,277
"1993","2456400",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994","2458030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,4
"1996","2466040",2,"1060","MONTRÉAL","BELOEIL V",1,0,0,0,100,0,62
"1998","2466075",2,"1060","MONTRÉAL","TERRASSE-VAUDREUIL MÉ",2,0,100,0,0,0,16
"1999","5915034",3,"2410","VANCOUVER","COQUITLAM CY",1,0,0,100,0,0,46
"2000","3521010",3,"2270","TORONTO","BRAMPTON CY",3,0,0,66.666666666667,33.333333333333,0,58.6666666666667
"2001","2472010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"2002","2459020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",4,0,100,0,0,0,6
"2002","2467020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,0,100,0,0,0,8
"2008","2464008",3,"1060","MONTRÉAL","TERREBONNE V",19,10.526315789474,78.947368421053,10.526315789474,0,0,10.3684210526316
"2008","2474005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",3,33.333333333333,33.333333333333,33.333333333333,0,0,20
"2008","5915039",1,"2410","VANCOUVER","PORT COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2011","2458012",3,"1060","MONTRÉAL","SAINT-LAMBERT V",1,0,100,0,0,0,19
"2012","3519036",2,"2270","TORONTO","MARKHAM CY",NA,NA,NA,NA,NA,NA,NA
"2012","4806019",3,"0140","CALGARY","COCHRANE T",1,0,0,0,100,0,80
"2014","2475017",2,"1060","MONTRÉAL","SAINT-JÉRÔME V",3,0,100,0,0,0,6
"2015","2472005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,0,100,0,0,35
"2016","4811061",3,"0340","EDMONTON","EDMONTON CY",10,0,30,10,60,0,51.5
"2017","2466023",3,"1060","MONTRÉAL","MONTRÉAL V",42,7.142857142857,50,23.809523809524,7.142857142857,11.904761904762,47.5714285714286
"2018","2473015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",4,0,75,0,0,25,35
"2019","2458227",3,"1060","MONTRÉAL","LONGUEUIL V",6,0,50,33.333333333333,16.666666666667,0,28.3333333333333
"2020","2458227",3,"1060","MONTRÉAL","LONGUEUIL V",9,33.333333333333,55.555555555556,11.111111111111,0,0,15.2222222222222
"2021","2457005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2022","2457020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,0,100,0,0,0,8
"2022","4806016",3,"0140","CALGARY","CALGARY CY",41,0,48.780487804878,19.512195121951,21.951219512195,9.756097560976,43.7560975609756
"1989","2464500",3,"1060",NA,NA,22,9.090909090909,72.727272727273,18.181818181818,0,0,10.9090909090909
"1990","2465200",2,"1060",NA,NA,6,16.666666666667,83.333333333333,0,0,0,7.5
"1990","2465260",3,"1060",NA,NA,32,3.125,87.5,6.25,3.125,0,12.25
"1994","4806016",3,"0140","CALGARY","CALGARY CY",5,100,0,0,0,0,4
"1996","5915022",3,"2410","VANCOUVER","VANCOUVER CY",19,0,26.315789473684,42.105263157895,21.052631578947,10.526315789474,64.4210526315789
"2003","2460028",3,"1060","MONTRÉAL","L'ASSOMPTION V",1,0,100,0,0,0,6
"2004","5915022",2,"2410","VANCOUVER","VANCOUVER CY",5,20,20,60,0,0,28.6
"2007","2472015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",5,0,100,0,0,0,6
"2008","2458007",2,"1060","MONTRÉAL","LAVALTRIE V",NA,NA,NA,NA,NA,NA,NA
"2013","2459015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,6
"2013","3506008",1,"1265","OTTAWA","OTTAWA CV",1,0,100,0,0,0,8
"2014","2459015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",3,0,100,0,0,0,7.33333333333333
"2017","5915007",2,"2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2018","2465005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",29,3.448275862069,79.310344827586,6.896551724138,0,10.344827586207,25.2068965517241
"2019","2471083",3,"1060","MONTRÉAL","VAUDREUIL-DORION V",4,0,50,50,0,0,20
"2019","3521005",3,"2270","TORONTO","AJAX T",2,0,0,0,0,100,784.5
"2020","2457010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"2020","3519044",2,"2270","TORONTO","WHITCHURCH-STOUFFVILLE T",1,0,0,0,0,100,248
"2022","4811056",2,"0340","EDMONTON","FORT SASKATCHEWAN CY",NA,NA,NA,NA,NA,NA,NA
"1991","4806016",4,"0140","CALGARY","CALGARY CY",1,0,0,100,0,0,41
"1992","5915025",2,"2410","VANCOUVER","BURNABY CY",2,0,0,100,0,0,35
"1993","2466300",3,"1060",NA,NA,3,0,100,0,0,0,10.6666666666667
"1997","2458030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",6,0,100,0,0,0,6
"2004","5915051",3,"2410","VANCOUVER","NORTH VANCOUVER CY",2,0,50,0,0,50,85.5
"2005","4811062",2,"0340","EDMONTON","ST. ALBERT CY",1,0,0,100,0,0,30
"2006","2467020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",3,66.666666666667,33.333333333333,0,0,0,5.33333333333333
"2006","4806021",3,"0140","CALGARY","AIRDRIE CY",2,0,0,50,0,50,80
"2007","2452007",2,"1060","MONTRÉAL","LAVALTRIE V",1,0,100,0,0,0,6
"2007","3524009",3,"2270","TORONTO","MILTON T",2,0,0,100,0,0,48
"2009","2460028",2,"1060","MONTRÉAL","L'ASSOMPTION V",NA,NA,NA,NA,NA,NA,NA
"2010","2458037",3,"1060","MONTRÉAL","SAINT-BRUNO-DE-MONTARVILLE V",5,20,60,20,0,0,14
"2013","2467050",2,"1060","MONTRÉAL","CHÂTEAUGUAY V",1,100,0,0,0,0,5
"2014","2464008",1,"1060","MONTRÉAL","TERREBONNE V",NA,NA,NA,NA,NA,NA,NA
"2014","3524009",3,"2270","TORONTO","MILTON T",1,0,0,0,0,100,148
"2015","2457020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",2,0,100,0,0,0,6
"2017","2459015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",2,0,100,0,0,0,6
"2017","3519036",3,"2270","TORONTO","MARKHAM CY",3,0,66.666666666667,0,0,33.333333333333,46
"2017","5915022",3,"2410","VANCOUVER","VANCOUVER CY",18,16.666666666667,27.777777777778,16.666666666667,33.333333333333,5.555555555556,47.7777777777778
"2018","4811061",2,"0340","EDMONTON","EDMONTON CY",2,0,0,0,100,0,87
"2020","2467035",2,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",6,0,16.666666666667,50,16.666666666667,16.666666666667,58
"2021","2472015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",5,0,100,0,0,0,6
"2022","2475017",3,"1060","MONTRÉAL","SAINT-JÉRÔME V",1,0,0,0,100,0,66
"2022","4811061",2,"0340","EDMONTON","EDMONTON CY",23,52.173913043478,4.347826086957,13.04347826087,17.391304347826,13.04347826087,45.1304347826087
"1989","2472210",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991","2456650",3,"1060",NA,NA,6,50,50,0,0,0,5.16666666666667
"1992","3524001",4,"2270","TORONTO","PICKERING CY",1,0,0,0,100,0,100
"1993","2456400",3,"1060",NA,NA,2,0,0,100,0,0,33
"1993","4806016",2,"0140","CALGARY","CALGARY CY",1,0,100,0,0,0,6
"1994","5915002",3,"2410","VANCOUVER","LANGLEY CY",5,0,0,100,0,0,34.4
"1994","5915025",3,"2410","VANCOUVER","BURNABY CY",6,0,16.666666666667,66.666666666667,0,16.666666666667,59.8333333333333
"1998","2467050",2,"1060","MONTRÉAL","CHÂTEAUGUAY V",3,0,0,100,0,0,28.3333333333333
"2000","3519028",3,"2270","TORONTO","VAUGHAN CY",1,0,0,0,0,100,248
"2004","2475017",1,"1060","MONTRÉAL","SAINT-JÉRÔME V",NA,NA,NA,NA,NA,NA,NA
"2005","2459020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",2,0,100,0,0,0,8
"2005","4806016",3,"0140","CALGARY","CALGARY CY",24,33.333333333333,16.666666666667,25,8.333333333333,16.666666666667,49.5
"2006","2465005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",30,3.333333333333,86.666666666667,0,3.333333333333,6.666666666667,21.2333333333333
"2007","2475017",2,"1060","MONTRÉAL","SAINT-JÉRÔME V",4,50,25,0,0,25,28.75
"2007","5915015",3,"2410","VANCOUVER","RICHMOND CY",9,0,11.111111111111,0,55.555555555556,33.333333333333,91.3333333333333
"2011","2458007",2,"1060","MONTRÉAL","LAVALTRIE V",3,0,100,0,0,0,8
"2011","5915011",1,"2410","VANCOUVER","DELTA DM",NA,NA,NA,NA,NA,NA,NA
"2015","2472025",3,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,0,100,0,0,0,6
"2017","2466097",2,"1060","MONTRÉAL","POINTE-CLAIRE V",1,0,0,100,0,0,32
"2018","4811013",2,"0340","EDMONTON","BEAUMONT CY",NA,NA,NA,NA,NA,NA,NA
"2020","2465005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",15,20,46.666666666667,0,0,33.333333333333,61.2666666666667
"2020","3521024",3,"2270","TORONTO","CALEDON T",1,0,0,0,100,0,72
"2021","2466007",1,"1060","MONTRÉAL","LAVALTRIE V",1,0,100,0,0,0,8
"2022","4811052",3,"0340","EDMONTON","STRATHCONA COUNTY SM",1,0,0,0,100,0,75
"2001","2457015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,0,100,0,0,29
"2003","2460005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",3,0,100,0,0,0,10
"2009","2458037",3,"1060","MONTRÉAL","SAINT-BRUNO-DE-MONTARVILLE V",1,0,100,0,0,0,6
"2009","2474005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2010","2466058",3,"1060","MONTRÉAL","CÔTE SAINT-LUC V",NA,NA,NA,NA,NA,NA,NA
"2014","2458227",3,"1060","MONTRÉAL","LONGUEUIL V",20,50,45,5,0,0,7.7
"2014","2459010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",4,0,100,0,0,0,16
"2014","2472010",3,"1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,100,0,0,0,12
"2019","2464008",2,"1060","MONTRÉAL","TERREBONNE V",6,33.333333333333,50,16.666666666667,0,0,14.6666666666667
"2021","2470022",2,"1060","MONTRÉAL","BEAUHARNOIS V",9,11.111111111111,77.777777777778,11.111111111111,0,0,11.3333333333333
"1991","2462510",2,"1060",NA,NA,1,0,100,0,0,0,6
"1994","2457040",2,"1060","MONTRÉAL","BELOEIL V",1,0,100,0,0,0,6
"1995","3520008",2,"2270",NA,NA,1,0,0,0,0,100,175
"1995","5915043",3,"2410","VANCOUVER","PORT MOODY CY",1,0,0,100,0,0,46
"1998","2472020",1,"1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2000","3506014",2,"1265",NA,NA,1,0,0,0,0,100,312
"2008","2457020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,0,0,100,0,0,27
"2011","2466023",1,"1060","MONTRÉAL","MONTRÉAL V",NA,NA,NA,NA,NA,NA,NA
"2012","2466023",3,"1060","MONTRÉAL","MONTRÉAL V",84,20.238095238095,51.190476190476,14.285714285714,7.142857142857,7.142857142857,29.3571428571429
"2016","5915029",3,"2410","VANCOUVER","NEW WESTMINSTER CY",2,50,0,50,0,0,27.5
"2018","2473030",1,"1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"2019","2467050",2,"1060","MONTRÉAL","CHÂTEAUGUAY V",3,0,33.333333333333,33.333333333333,0,33.333333333333,75
"1989","2465340",3,"1060",NA,NA,2,100,0,0,0,0,5
"1989","3520014",2,"2270","TORONTO","BRADFORD WEST GWILLIMBURY T",NA,NA,NA,NA,NA,NA,NA
"1989","3520019",1,"2270",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990","2456650",3,"1060",NA,NA,3,0,100,0,0,0,9.33333333333333
"1993","2472200",3,"1060",NA,NA,1,0,100,0,0,0,8
"1994","5915039",3,"2410","VANCOUVER","PORT COQUITLAM CY",9,33.333333333333,11.111111111111,55.555555555556,0,0,24.4444444444444
"1995","2457030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"1996","5915025",3,"2410","VANCOUVER","BURNABY CY",3,0,0,100,0,0,29.6666666666667
"2002","2459020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",2,100,0,0,0,0,4
"2004","2466023",1,"1060","MONTRÉAL","MONTRÉAL V",NA,NA,NA,NA,NA,NA,NA
"2004","3506008",3,"1265","OTTAWA","OTTAWA CV",9,11.111111111111,33.333333333333,11.111111111111,33.333333333333,11.111111111111,50
"2005","3520005",3,"2270","TORONTO","AJAX T",47,0,25.531914893617,14.893617021277,21.276595744681,38.297872340426,111.425531914894
"2007","2457025",3,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,0,100,0,0,0,12
"2012","2467050",3,"1060","MONTRÉAL","CHÂTEAUGUAY V",7,100,0,0,0,0,4.14285714285714
"2014","2464008",3,"1060","MONTRÉAL","TERREBONNE V",4,50,50,0,0,0,8.25
"2015","4811052",2,"0340","EDMONTON","STRATHCONA COUNTY SM",1,0,0,100,0,0,29
"2016","3520005",3,"2270","TORONTO","AJAX T",41,0,26.829268292683,9.756097560976,4.878048780488,58.536585365854,223.19512195122
"2017","2466023",2,"1060","MONTRÉAL","MONTRÉAL V",22,18.181818181818,50,13.636363636364,4.545454545455,13.636363636364,33.3181818181818
"2018","2472010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,6
"2019","2471033",2,"1060","MONTRÉAL","BOUCHERVILLE V",1,0,100,0,0,0,6
"2019","2475005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2020","2466097",2,"1060","MONTRÉAL","POINTE-CLAIRE V",1,0,0,0,0,100,150
"2022","3519038",3,"2270","TORONTO","RICHMOND HILL T",4,0,75,0,0,25,45.5
"1991","2466500",3,"1060",NA,NA,7,71.428571428571,28.571428571429,0,0,0,5.14285714285714
"1992","3506012",2,"1265",NA,NA,4,25,50,0,25,0,23.25
"1999","4811061",2,"0340","EDMONTON","EDMONTON CY",1,0,0,0,0,100,101
"2003","2475017",1,"1060","MONTRÉAL","SAINT-JÉRÔME V",NA,NA,NA,NA,NA,NA,NA
"2004","2460013",2,"1060","MONTRÉAL","REPENTIGNY V",1,0,0,0,0,100,200
"2006","2458007",3,"1060","MONTRÉAL","LAVALTRIE V",36,22.222222222222,75,2.777777777778,0,0,7.27777777777778
"2006","5915075",3,"2410","VANCOUVER","MAPLE RIDGE CY",2,0,0,50,0,50,88
"2007","2471055",2,"1060","MONTRÉAL","LÉRY V",1,0,100,0,0,0,6
"2008","3521010",2,"2270","TORONTO","BRAMPTON CY",2,0,0,0,0,100,211
"2009","2459010",3,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,9
"2009","2465005",4,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,0,100,0,0,44
"2010","5915075",3,"2410","VANCOUVER","MAPLE RIDGE CY",1,0,0,100,0,0,21
"2014","5915029",3,"2410","VANCOUVER","NEW WESTMINSTER CY",2,0,0,50,0,50,137.5
"2015","4811061",3,"0340","EDMONTON","EDMONTON CY",39,7.692307692308,25.641025641026,17.948717948718,33.333333333333,15.384615384615,60
"2016","3506008",2,"1265","OTTAWA","OTTAWA CV",6,16.666666666667,33.333333333333,50,0,0,16.3333333333333
