"ref_yy","metcode","metro","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"1994","2410","VANCOUVER",108,5.555555555556,22.222222222222,54.62962962963,9.259259259259,8.333333333333,45.4074074074074
"1993","1265",NA,7,0,71.428571428571,14.285714285714,14.285714285714,0,29.7142857142857
"1988","2410","VANCOUVER",17,0,41.176470588235,35.294117647059,17.647058823529,5.882352941176,42.3529411764706
"2016","0140","CALGARY",35,8.571428571429,42.857142857143,22.857142857143,20,5.714285714286,41.4285714285714
"1995","1060","MONTRÉAL",109,25.688073394495,67.889908256881,4.587155963303,0.917431192661,0.917431192661,10.5596330275229
"1996","1060","MONTRÉAL",106,17.924528301887,80.188679245283,0,1.88679245283,0,8.25471698113208
"2008","1060","MONTRÉAL",366,19.398907103825,68.306010928962,7.650273224044,1.639344262295,3.005464480874,16.792349726776
"2020","1060","MONTRÉAL",223,19.730941704036,48.430493273543,13.90134529148,3.587443946188,14.349775784753,40.3139013452915
"1999","0340","EDMONTON",12,0,8.333333333333,75,0,16.666666666667,51
"2005","1060","MONTRÉAL",374,18.716577540107,67.647058823529,8.55614973262,2.673796791444,2.406417112299,15.5454545454545
"2007","2270","TORONTO",39,0,41.025641025641,15.384615384615,0,43.589743589744,99.9230769230769
"1990","1265",NA,21,4.761904761905,38.095238095238,14.285714285714,33.333333333333,9.52380952381,46.0952380952381
"1998","1265",NA,3,100,0,0,0,0,4.33333333333333
"1995","1265",NA,10,10,70,10,10,0,19
"2007","2410","VANCOUVER",76,1.315789473684,17.105263157895,26.315789473684,31.578947368421,23.684210526316,73.3684210526316
"2017","0340","EDMONTON",22,4.545454545455,22.727272727273,18.181818181818,22.727272727273,31.818181818182,89.3181818181818
"1990","2270","TORONTO",47,2.127659574468,10.63829787234,21.276595744681,12.765957446809,53.191489361702,126.936170212766
"1999","1265",NA,6,0,66.666666666667,16.666666666667,16.666666666667,0,22.1666666666667
"2021","2410","VANCOUVER",112,3.571428571429,26.785714285714,23.214285714286,15.178571428571,31.25,98.9910714285714
"1991","2410","VANCOUVER",66,9.090909090909,39.393939393939,34.848484848485,10.606060606061,6.060606060606,36.2272727272727
"2003","2270","TORONTO",57,1.754385964912,24.561403508772,22.80701754386,7.017543859649,43.859649122807,134.280701754386
"2005","0340","EDMONTON",31,0,29.032258064516,22.58064516129,25.806451612903,22.58064516129,63.9677419354839
"1997","2270",NA,15,0,13.333333333333,20,13.333333333333,53.333333333333,105.933333333333
"1994","1265",NA,3,0,33.333333333333,66.666666666667,0,0,18.6666666666667
"2010","2410","VANCOUVER",35,2.857142857143,5.714285714286,28.571428571429,34.285714285714,28.571428571429,76.9428571428571
"2013","1265","OTTAWA",26,0,65.384615384615,3.846153846154,11.538461538462,19.230769230769,49.6923076923077
"2010","0340","EDMONTON",17,11.764705882353,11.764705882353,29.411764705882,41.176470588235,5.882352941176,57.8235294117647
"2013","1060","MONTRÉAL",281,24.91103202847,57.29537366548,12.455516014235,3.55871886121,1.779359430605,15.5800711743772
"1991","2270",NA,30,0,20,26.666666666667,10,43.333333333333,84.5333333333333
"2007","1060","MONTRÉAL",390,21.025641025641,67.948717948718,7.179487179487,1.794871794872,2.051282051282,13.1948717948718
"2011","1265","OTTAWA",24,0,91.666666666667,0,4.166666666667,4.166666666667,21.5833333333333
"2019","0340","EDMONTON",18,16.666666666667,5.555555555556,22.222222222222,27.777777777778,27.777777777778,79.1666666666667
"2017","0140","CALGARY",30,10,23.333333333333,13.333333333333,33.333333333333,20,71.2
"2017","1060","MONTRÉAL",295,26.101694915254,51.186440677966,13.559322033898,4.067796610169,5.084745762712,23.6576271186441
"1988","0140","CALGARY",2,100,0,0,0,0,4
"2006","1265","OTTAWA",10,0,50,40,10,0,27.8
"1989","0340","EDMONTON",2,0,0,100,0,0,43.5
"1990","2410","VANCOUVER",155,13.548387096774,34.193548387097,36.129032258065,10.967741935484,5.161290322581,34.2
"1998","0140","CALGARY",41,29.268292682927,36.585365853659,29.268292682927,2.439024390244,2.439024390244,20.7073170731707
