reference_period,ref_qq,metro,metcode,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
2007-03-01,1,Calgary,0140,2.0,1.0,834.0,417,2.0,0.0,7.19
2007-03-01,1,Calgary,0140,1.0,1.0,6190.0,6190,1.0,0.0,53.39
2007-03-01,1,Calgary,0140,5.0,3.0,5809.0,103,56.4,2.19,50.1
2007-03-01,1,Calgary,0140,2.0,3.0,154.0,77,2.0,0.0,1.33
2007-03-01,1,Calgary,0140,5.0,2.0,192.0,4,48.0,0.0,1.66
2007-06-01,2,Calgary,0140,4.0,1.0,48.0,7,6.86,0.0,0.41
2007-06-01,2,Calgary,0140,1.0,1.0,5808.0,5808,1.0,0.0,49.75
2007-06-01,2,Calgary,0140,2.0,1.0,882.0,441,2.0,0.0,7.56
2007-06-01,2,Calgary,0140,1.0,3.0,5.0,5,1.0,0.0,0.04
2007-06-01,2,Calgary,0140,5.0,2.0,121.0,4,30.25,0.0,1.04
2007-06-01,2,Calgary,0140,5.0,3.0,6059.0,100,60.59,1.95,51.9
2007-06-01,2,Calgary,0140,4.0,3.0,1367.0,228,6.0,0.0,11.71
2007-06-01,2,Calgary,0140,2.0,3.0,102.0,51,2.0,0.0,0.87
2007-09-01,3,Calgary,0140,2.0,1.0,922.0,461,2.0,0.0,7.84
2007-09-01,3,Calgary,0140,4.0,1.0,63.0,9,7.0,0.0,0.54
2007-09-01,3,Calgary,0140,5.0,2.0,121.0,4,30.25,0.0,1.03
2007-09-01,3,Calgary,0140,1.0,3.0,2.0,2,1.0,0.0,0.02
2007-09-01,3,Calgary,0140,4.0,3.0,1514.0,252,6.01,0.0,12.88
2007-09-01,3,Calgary,0140,1.0,1.0,5786.0,5786,1.0,0.0,49.23
2007-09-01,3,Calgary,0140,5.0,3.0,6574.0,105,62.61,1.73,55.93
2007-09-01,3,Calgary,0140,2.0,3.0,88.0,44,2.0,0.0,0.75
2007-12-01,4,Calgary,0140,5.0,1.0,10.0,2,5.0,1.0,0.08
2007-12-01,4,Calgary,0140,4.0,1.0,55.0,7,7.86,0.0,0.46
2007-12-01,4,Calgary,0140,5.0,3.0,6960.0,103,67.57,1.83,58.82
2007-12-01,4,Calgary,0140,1.0,3.0,1.0,1,1.0,0.0,0.01
2007-12-01,4,Calgary,0140,2.0,3.0,78.0,39,2.0,0.0,0.66
2007-12-01,4,Calgary,0140,5.0,2.0,121.0,4,30.25,0.0,1.02
2007-12-01,4,Calgary,0140,2.0,1.0,898.0,449,2.0,0.0,7.59
2007-12-01,4,Calgary,0140,1.0,1.0,5109.0,5109,1.0,0.0,43.17
2007-12-01,4,Calgary,0140,4.0,3.0,1488.0,245,6.07,0.0,12.57
2008-03-01,1,Calgary,0140,2.0,3.0,50.0,25,2.0,0.0,0.42
2008-03-01,1,Calgary,0140,1.0,1.0,3887.0,3887,1.0,0.0,32.62
2008-03-01,1,Calgary,0140,4.0,3.0,1287.0,209,6.16,0.0,10.8
2008-03-01,1,Calgary,0140,1.0,2.0,1.0,1,1.0,0.0,0.01
2008-03-01,1,Calgary,0140,5.0,3.0,9030.0,109,82.84,2.13,75.79
2008-03-01,1,Calgary,0140,4.0,1.0,12.0,2,6.0,0.0,0.1
2008-03-01,1,Calgary,0140,5.0,2.0,161.0,3,53.67,0.0,1.35
2008-03-01,1,Calgary,0140,2.0,1.0,830.0,415,2.0,0.0,6.97
2008-06-01,2,Calgary,0140,2.0,1.0,810.0,405,2.0,0.0,6.75
2008-06-01,2,Calgary,0140,1.0,2.0,1.0,1,1.0,0.0,0.01
2008-06-01,2,Calgary,0140,2.0,3.0,28.0,14,2.0,0.0,0.23
2008-06-01,2,Calgary,0140,5.0,3.0,9378.0,105,89.31,4.12,78.17
2008-06-01,2,Calgary,0140,4.0,3.0,1147.0,193,5.94,0.0,9.56
2008-06-01,2,Calgary,0140,1.0,1.0,3445.0,3445,1.0,0.0,28.71
2008-06-01,2,Calgary,0140,5.0,2.0,311.0,4,77.75,0.0,2.59
2008-09-01,3,Calgary,0140,2.0,3.0,22.0,11,2.0,0.0,0.18
2008-09-01,3,Calgary,0140,5.0,2.0,120.0,2,60.0,0.0,0.99
2008-09-01,3,Calgary,0140,1.0,2.0,1.0,1,1.0,0.0,0.01
2008-09-01,3,Calgary,0140,1.0,1.0,2932.0,2932,1.0,0.0,24.22
2008-09-01,3,Calgary,0140,2.0,1.0,754.0,377,2.0,0.0,6.23
2008-09-01,3,Calgary,0140,5.0,3.0,8250.0,96,85.94,4.16,68.16
2008-09-01,3,Calgary,0140,4.0,3.0,1031.0,178,5.79,0.04,8.52
2008-12-01,4,Calgary,0140,5.0,2.0,368.0,4,92.0,0.0,3.02
2008-12-01,4,Calgary,0140,1.0,2.0,1.0,1,1.0,0.0,0.01
2008-12-01,4,Calgary,0140,4.0,1.0,12.0,3,4.0,0.0,0.1
2008-12-01,4,Calgary,0140,4.0,3.0,837.0,149,5.62,0.05,6.87
2008-12-01,4,Calgary,0140,2.0,3.0,16.0,8,2.0,0.0,0.13
2008-12-01,4,Calgary,0140,5.0,3.0,6782.0,80,84.78,4.06,55.69
2008-12-01,4,Calgary,0140,1.0,1.0,2588.0,2588,1.0,0.0,21.25
2008-12-01,4,Calgary,0140,2.0,1.0,612.0,306,2.0,0.0,5.03
2009-03-01,1,Calgary,0140,4.0,1.0,12.0,3,4.0,0.0,0.1
2009-03-01,1,Calgary,0140,4.0,3.0,588.0,105,5.6,0.08,4.8
2009-03-01,1,Calgary,0140,2.0,3.0,20.0,10,2.0,0.0,0.16
