reference_period,metro,metcode,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
1997,Calgary,0140,4.0,2.0,5.0,1,5.0,0.0,0.06
1997,Calgary,0140,4.0,1.0,15.0,3,5.0,0.0,0.17
1997,Calgary,0140,5.0,1.0,20.0,4,5.0,0.0,0.22
1997,Calgary,0140,2.0,3.0,148.0,74,2.0,0.0,1.64
1997,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.02
1997,Calgary,0140,1.0,1.0,3041.0,3041,1.0,0.0,33.8
1997,Calgary,0140,5.0,2.0,105.0,1,105.0,0.0,1.17
1998,Calgary,0140,2.0,3.0,202.0,101,2.0,0.0,2.18
1998,Calgary,0140,5.0,3.0,1778.0,78,22.79,1.04,19.21
1998,Calgary,0140,2.0,1.0,156.0,78,2.0,0.0,1.69
1998,Calgary,0140,4.0,1.0,21.0,5,4.2,0.0,0.23
1998,Calgary,0140,1.0,3.0,35.0,35,1.0,0.0,0.38
1998,Calgary,0140,5.0,2.0,44.0,2,22.0,2.5,0.48
1998,Calgary,0140,1.0,1.0,2748.0,2748,1.0,0.0,29.69
1998,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.02
1998,Calgary,0140,4.0,3.0,583.0,123,4.74,0.0,6.3
1998,Calgary,0140,5.0,1.0,20.0,4,5.0,0.0,0.22
1999,Calgary,0140,1.0,1.0,2246.0,2246,1.0,0.0,23.65
1999,Calgary,0140,2.0,3.0,284.0,142,2.0,0.0,2.99
1999,Calgary,0140,2.0,1.0,160.0,80,2.0,0.0,1.68
1999,Calgary,0140,5.0,2.0,12.0,2,6.0,3.0,0.13
1999,Calgary,0140,1.0,3.0,26.0,26,1.0,0.0,0.27
1999,Calgary,0140,5.0,3.0,3169.0,84,37.73,1.18,33.36
1999,Calgary,0140,4.0,1.0,11.0,2,5.5,0.0,0.12
1999,Calgary,0140,5.0,1.0,10.0,2,5.0,0.0,0.11
1999,Calgary,0140,4.0,3.0,625.0,129,4.84,0.0,6.58
2000,Calgary,0140,4.0,3.0,724.0,151,4.79,0.0,7.43
2000,Calgary,0140,5.0,1.0,6.0,1,6.0,0.0,0.06
2000,Calgary,0140,1.0,1.0,2220.0,2220,1.0,0.0,22.78
2000,Calgary,0140,2.0,3.0,284.0,142,2.0,0.0,2.91
2000,Calgary,0140,1.0,3.0,5.0,5,1.0,0.0,0.05
2000,Calgary,0140,2.0,1.0,198.0,99,2.0,0.0,2.03
2000,Calgary,0140,5.0,3.0,3449.0,70,49.27,2.0,35.39
2000,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.02
2001,Calgary,0140,5.0,2.0,450.0,3,150.0,1.0,4.48
2001,Calgary,0140,1.0,3.0,4.0,4,1.0,0.0,0.04
2001,Calgary,0140,2.0,3.0,252.0,126,2.0,0.0,2.51
2001,Calgary,0140,1.0,1.0,2987.0,2987,1.0,0.0,29.73
2001,Calgary,0140,5.0,1.0,6.0,1,6.0,0.0,0.06
2001,Calgary,0140,4.0,1.0,3.0,1,3.0,0.0,0.03
