reference_period,metro,metcode,stcan_cmacode,censustr,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
2010,Calgary,0140,825,0002.08,7.0,7,1.0,0.0,0.06
2010,Calgary,0140,825,0035.02,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0076.13,13.0,13,1.0,0.0,0.1
2010,Calgary,0140,825,0077.15,183.0,125,1.46,0.0,1.45
2010,Calgary,0140,825,0045.00,214.0,1,214.0,28.0,1.7
2010,Calgary,0140,825,0207.00,115.0,63,1.83,0.0,0.91
2010,Calgary,0140,825,0001.26,92.0,6,15.33,0.0,0.73
2010,Calgary,0140,825,0050.03,10.0,10,1.0,0.0,0.08
2010,Calgary,0140,825,0050.04,197.0,148,1.33,0.0,1.56
2010,Calgary,0140,825,0071.00,2.0,2,1.0,0.0,0.02
2010,Calgary,0140,825,0017.01,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0200.03,14.0,14,1.0,0.0,0.11
2010,Calgary,0140,825,0205.02,39.0,8,4.88,0.0,0.31
2010,Calgary,0140,825,9002.00,5.0,5,1.0,0.0,0.04
2010,Calgary,0140,825,0001.26,6.0,6,1.0,0.0,0.05
2010,Calgary,0140,825,0047.00,24.0,16,1.5,0.0,0.19
2010,Calgary,0140,825,0067.00,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0068.00,2.0,2,1.0,0.0,0.02
2010,Calgary,0140,825,0069.00,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,9000.00,4.0,4,1.0,0.0,0.03
2010,Calgary,0140,825,0002.07,20.0,10,2.0,0.0,0.16
2010,Calgary,0140,825,0062.00,40.0,12,3.33,0.0,0.32
2010,Calgary,0140,825,0072.00,43.0,19,2.26,0.0,0.34
2010,Calgary,0140,825,0200.04,36.0,36,1.0,0.0,0.29
2010,Calgary,0140,825,0201.02,2.0,2,1.0,0.0,0.02
2010,Calgary,0140,825,0041.00,11.0,10,1.1,0.0,0.09
2010,Calgary,0140,825,9005.00,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0001.24,166.0,51,3.25,0.27,1.32
2010,Calgary,0140,825,0018.00,42.0,1,42.0,3.0,0.33
2010,Calgary,0140,825,0065.00,18.0,16,1.13,0.0,0.14
2010,Calgary,0140,825,0201.01,13.0,13,1.0,0.0,0.1
2010,Calgary,0140,825,0002.05,9.0,3,3.0,0.0,0.07
