reference_period,stcan_cmacode,metro,metcode,FSA,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
2006,825,Calgary,0140,T2M,59.0,,,40,1.48,0.0,9.05,0.0
2006,825,Calgary,0140,T2A,12.0,,,2,6.0,0.0,11.0,9.0
2006,825,Calgary,0140,T2K,7.0,,,6,1.17,0.0,9.666666666666666,0.0
2006,825,Calgary,0140,T2N,124.0,,,92,1.35,0.0,11.26086956521739,0.0
2007,825,Calgary,0140,T2L,4.0,,,4,1.0,0.0,18.0,2.0
2007,825,Calgary,0140,T4C,86.0,,,85,1.01,0.0,5.6125,0.0
2007,825,Calgary,0140,T1Y,8.0,,,4,2.0,0.0,5.0,0.0
2007,825,Calgary,0140,T2R,7.0,,,1,7.0,0.0,16.0,0.0
2007,825,Calgary,0140,T0M,3.0,,,3,1.0,0.0,7.0,3.0
2007,825,Calgary,0140,T2E,147.0,,,68,2.16,0.07,12.852941176470589,1.0
2007,825,Calgary,0140,T2G,9.0,,,8,1.13,0.0,14.75,0.0
2007,825,Calgary,0140,nan,11047.0,,,8865,1.25,0.0,7.62615437236347,1.0
2007,825,Calgary,0140,T2M,63.0,,,38,1.66,0.0,13.657894736842104,1.0
2007,825,Calgary,0140,T2S,14.0,,,14,1.0,0.0,18.142857142857142,1.0
2007,825,Calgary,0140,T3G,1.0,,,1,1.0,0.0,7.0,0.0
2007,825,Calgary,0140,T3B,10.0,,,8,1.25,0.0,10.25,0.0
2007,825,Calgary,0140,T3E,173.0,,,97,1.78,0.02,10.917525773195877,1.0
2007,825,Calgary,0140,T3H,5.0,,,5,1.0,0.0,25.4,4.0
2007,825,Calgary,0140,T3A,5.0,,,5,1.0,0.0,10.6,0.0
2007,825,Calgary,0140,T2P,77.0,,,2,38.5,11.5,34.5,11.0
2007,825,Calgary,0140,T2Y,54.0,,,48,1.13,0.0,11.0,1.0
2007,825,Calgary,0140,T2X,7.0,,,1,7.0,0.0,19.0,11.0
2007,825,Calgary,0140,T3C,234.0,,,16,14.63,1.38,14.6875,1.0
2007,825,Calgary,0140,T2C,546.0,,,360,1.52,0.0,6.805013927576602,1.0
2007,825,Calgary,0140,T2K,51.0,,,9,5.67,0.33,14.444444444444445,4.0
2007,825,Calgary,0140,T2T,231.0,,,87,2.66,0.0,13.310344827586206,0.0
2007,825,Calgary,0140,T2B,22.0,,,5,4.4,0.0,16.0,9.0
2007,825,Calgary,0140,T2H,9.0,,,5,1.8,0.0,17.8,2.0
2007,825,Calgary,0140,T2J,121.0,,,2,60.5,2.0,17.5,4.0
2007,825,Calgary,0140,T2N,131.0,,,85,1.54,0.0,15.505882352941176,1.0
2007,825,Calgary,0140,T2V,47.0,,,30,1.57,0.0,13.0,1.0
2008,825,Calgary,0140,T0L,2.0,,,2,1.0,0.0,7.5,2.0
2008,825,Calgary,0140,T2N,230.0,,,114,2.02,0.05,15.385964912280702,1.0
2008,825,Calgary,0140,T2B,48.0,,,48,1.0,0.0,8.479166666666666,0.0
2008,825,Calgary,0140,T2K,52.0,,,8,6.5,0.0,15.625,2.0
2008,825,Calgary,0140,T2S,24.0,,,24,1.0,0.0,19.958333333333332,1.0
2008,825,Calgary,0140,T2Y,186.0,,,28,6.64,0.14,14.5,2.0
2008,825,Calgary,0140,T3C,258.0,,,27,9.56,0.11,16.59259259259259,1.0
2008,825,Calgary,0140,nan,9654.0,,,6445,1.5,0.0,7.715950244056054,1.0
2008,825,Calgary,0140,T2T,252.0,,,149,1.69,0.07,15.093959731543624,0.0
2008,825,Calgary,0140,T3E,271.0,,,135,2.01,0.04,11.651851851851852,1.0
2008,825,Calgary,0140,T2A,76.0,,,9,8.44,0.0,13.444444444444445,0.0
2008,825,Calgary,0140,T2X,67.0,,,4,16.75,0.0,16.0,3.0
2008,825,Calgary,0140,T2C,365.0,,,220,1.66,0.02,6.6255707762557075,1.0
2008,825,Calgary,0140,T2H,373.0,,,7,53.29,3.0,18.285714285714285,2.0
2008,825,Calgary,0140,T1Y,60.0,,,1,60.0,0.0,19.0,4.0
2008,825,Calgary,0140,T3J,29.0,,,29,1.0,0.0,5.655172413793103,0.0
2008,825,Calgary,0140,T0M,3.0,,,3,1.0,0.0,6.333333333333333,2.0
2008,825,Calgary,0140,T2L,16.0,,,12,1.33,0.0,17.083333333333332,2.0
2008,825,Calgary,0140,T2E,220.0,,,79,2.78,0.11,15.461538461538462,1.0
2008,825,Calgary,0140,T2J,385.0,,,7,55.0,0.86,21.857142857142858,0.0
2008,825,Calgary,0140,T2M,77.0,,,52,1.48,0.0,12.692307692307692,0.0
2008,825,Calgary,0140,T3B,61.0,,,44,1.39,0.0,9.568181818181818,2.0
2008,825,Calgary,0140,T4C,244.0,,,233,1.05,0.0,6.330396475770925,0.0
2008,825,Calgary,0140,T2R,435.0,,,3,145.0,6.33,24.0,4.0
2008,825,Calgary,0140,T2V,23.0,,,21,1.1,0.0,18.666666666666668,0.0
2008,825,Calgary,0140,T2G,559.0,,,19,29.42,3.68,19.0,2.0
2008,825,Calgary,0140,T2P,225.0,,,2,112.5,14.0,24.0,7.0
2009,825,Calgary,0140,T3H,5.0,,,2,2.5,0.0,20.5,
2009,825,Calgary,0140,T2E,109.0,,,50,2.18,0.0,13.38,1.0
2009,825,Calgary,0140,T3K,20.0,,,1,20.0,0.0,4.0,15.0
2009,825,Calgary,0140,T3G,56.0,,,1,56.0,0.0,13.0,12.0
2009,825,Calgary,0140,T4C,494.0,,,266,1.86,0.0,6.772549019607843,1.0
2009,825,Calgary,0140,T1Y,1.0,,,1,1.0,0.0,7.0,0.0
2009,825,Calgary,0140,T2K,19.0,,,12,1.58,0.0,14.0,1.0
2009,825,Calgary,0140,T3A,1.0,,,1,1.0,0.0,21.0,1.0
2009,825,Calgary,0140,T2J,2.0,,,2,1.0,0.0,16.5,1.0
2009,825,Calgary,0140,T2M,68.0,,,42,1.62,0.0,11.30952380952381,1.0
2009,825,Calgary,0140,T3J,88.0,,,88,1.0,0.0,4.666666666666667,0.0
2009,825,Calgary,0140,T2Y,183.0,,,25,7.32,0.0,7.96,1.0
2009,825,Calgary,0140,T0M,2.0,,,2,1.0,0.0,6.0,0.0
2009,825,Calgary,0140,T2G,543.0,,,16,33.94,0.19,17.272727272727273,5.0
2009,825,Calgary,0140,T2T,198.0,,,78,2.54,0.08,15.871794871794872,1.0
2009,825,Calgary,0140,T2A,94.0,,,2,47.0,2.0,22.5,2.0
2009,825,Calgary,0140,T2N,117.0,,,76,1.54,0.0,15.144736842105264,1.0
2009,825,Calgary,0140,T3C,127.0,,,17,7.47,0.0,15.705882352941176,0.0
2009,825,Calgary,0140,nan,5680.0,,,3970,1.43,0.0,6.853776111408677,1.0
2009,825,Calgary,0140,T2V,33.0,,,22,1.5,0.0,17.681818181818183,1.0
2009,825,Calgary,0140,T2H,5.0,,,3,1.67,0.0,18.333333333333332,0.0
2009,825,Calgary,0140,T2S,13.0,,,12,1.08,0.0,19.75,1.0
2009,825,Calgary,0140,T2W,2.0,,,2,1.0,0.0,12.0,1.0
2009,825,Calgary,0140,T3E,176.0,,,93,1.89,0.0,14.612903225806452,1.0
2009,825,Calgary,0140,T2C,138.0,,,91,1.52,0.0,6.136363636363637,0.0
2009,825,Calgary,0140,T2L,8.0,,,8,1.0,0.0,15.625,1.0
2009,825,Calgary,0140,T0L,1.0,,,1,1.0,0.0,26.0,1.0
2009,825,Calgary,0140,T2B,17.0,,,13,1.31,0.0,10.307692307692308,0.0
2009,825,Calgary,0140,T3B,38.0,,,19,2.0,0.0,12.722222222222221,1.0
2010,825,Calgary,0140,T3A,6.0,,6.0,1,6.0,0.0,26.0,2.0
2010,825,Calgary,0140,T2H,373.0,,373.0,5,74.6,0.0,18.8,4.0
2010,825,Calgary,0140,T2G,858.0,,858.0,13,66.0,4.54,19.384615384615383,4.0
2010,825,Calgary,0140,T3B,89.0,,89.0,21,4.24,0.14,13.380952380952381,1.0
2010,825,Calgary,0140,T3C,168.0,,168.0,11,15.27,2.91,12.727272727272727,1.0
2010,825,Calgary,0140,T0M,9.0,,9.0,9,1.0,0.0,6.142857142857143,0.0
2010,825,Calgary,0140,T2C,294.0,,294.0,235,1.25,0.0,5.431623931623932,1.0
2010,825,Calgary,0140,T4B,6.0,,6.0,6,1.0,0.0,6.4,1.0
2010,825,Calgary,0140,T2E,214.0,,214.0,42,5.1,0.07,11.880952380952381,2.0
2010,825,Calgary,0140,T2P,430.0,,430.0,4,107.5,14.75,29.5,5.0
2010,825,Calgary,0140,T2R,189.0,,189.0,1,189.0,27.0,29.0,14.0
2010,825,Calgary,0140,T2V,33.0,,33.0,29,1.14,0.0,15.724137931034482,1.0
2010,825,Calgary,0140,T0L,10.0,,10.0,10,1.0,0.0,5.5,0.0
2010,825,Calgary,0140,T2Y,85.0,,85.0,16,5.31,0.63,9.5625,1.0
2010,825,Calgary,0140,T2L,1.0,,1.0,1,1.0,0.0,11.0,0.0
2010,825,Calgary,0140,T2M,66.0,,66.0,37,1.78,0.05,11.72972972972973,1.0
2010,825,Calgary,0140,T2T,152.0,,152.0,78,1.95,0.06,13.205128205128204,1.0
2010,825,Calgary,0140,T2W,6.0,,6.0,6,1.0,0.0,9.833333333333334,1.0
2010,825,Calgary,0140,T3J,48.0,,48.0,48,1.0,0.0,4.311111111111111,1.0
2010,825,Calgary,0140,T2A,5.0,,5.0,4,1.25,0.0,13.5,1.0
2010,825,Calgary,0140,T2K,13.0,,13.0,8,1.63,0.0,13.285714285714286,2.0
2010,825,Calgary,0140,T2J,2.0,,2.0,2,1.0,0.0,10.5,2.0
2010,825,Calgary,0140,T2N,81.0,,81.0,58,1.4,0.1,15.862068965517242,1.0
2010,825,Calgary,0140,T3E,69.0,,69.0,49,1.41,0.0,11.326530612244898,4.0
2010,825,Calgary,0140,T2B,160.0,,160.0,19,8.42,0.16,6.947368421052632,1.0
2010,825,Calgary,0140,T2S,13.0,,13.0,13,1.0,0.0,20.307692307692307,1.0
2010,825,Calgary,0140,T4C,580.0,,580.0,412,1.41,0.0,5.678010471204188,1.0
2010,825,Calgary,0140,nan,7031.0,,7031.0,5824,1.21,0.0,5.7784241142252775,1.0
2011,825,Calgary,0140,T2J,2.0,,2.0,2,1.0,0.0,8.5,0.0
2011,825,Calgary,0140,T3B,77.0,,77.0,26,2.96,0.0,10.23076923076923,0.0
2011,825,Calgary,0140,nan,5525.0,,5525.0,4239,1.3,0.0,5.817380660954712,1.0
2011,825,Calgary,0140,T2T,203.0,,203.0,107,1.9,0.09,11.619047619047619,1.0
2011,825,Calgary,0140,T4B,9.0,,9.0,9,1.0,0.0,6.111111111111111,2.0
2011,825,Calgary,0140,T4C,513.0,,513.0,357,1.44,0.0,5.1608187134502925,1.0
2011,825,Calgary,0140,T0L,17.0,,17.0,17,1.0,0.0,5.235294117647059,0.0
2011,825,Calgary,0140,T3R,10.0,,10.0,10,1.0,0.0,5.3,0.0
2011,825,Calgary,0140,T2M,77.0,,77.0,61,1.26,0.0,9.60655737704918,1.0
2011,825,Calgary,0140,T2S,7.0,,7.0,7,1.0,0.0,15.571428571428571,1.0
2011,825,Calgary,0140,T2E,160.0,,160.0,71,2.25,0.03,10.225352112676056,1.0
2011,825,Calgary,0140,T2N,206.0,,206.0,87,2.37,0.03,12.60919540229885,1.0
2011,825,Calgary,0140,T2W,1.0,,1.0,1,1.0,0.0,11.0,0.0
2011,825,Calgary,0140,T2K,11.0,,11.0,7,1.57,0.0,11.142857142857142,1.0
2011,825,Calgary,0140,T2B,9.0,,9.0,9,1.0,0.0,8.555555555555555,0.0
2011,825,Calgary,0140,T2G,17.0,,17.0,15,1.13,0.0,13.8,0.0
2011,825,Calgary,0140,T3E,234.0,,234.0,87,2.69,0.03,9.160919540229886,1.0
2011,825,Calgary,0140,T0M,8.0,,8.0,8,1.0,0.0,5.75,0.0
2011,825,Calgary,0140,T1X,26.0,,26.0,26,1.0,0.0,4.782608695652174,0.0
2011,825,Calgary,0140,T2A,10.0,,10.0,4,2.5,0.0,10.75,1.0
2011,825,Calgary,0140,T3H,2.0,,2.0,2,1.0,0.0,6.0,1.0
2011,825,Calgary,0140,T3J,22.0,,22.0,22,1.0,0.0,4.5,0.0
2011,825,Calgary,0140,T2V,24.0,,24.0,20,1.2,0.0,14.1,0.0
2011,825,Calgary,0140,T3C,50.0,,50.0,25,2.0,0.0,12.84,1.0
2011,825,Calgary,0140,T2C,400.0,,400.0,200,2.0,0.02,5.741116751269035,1.0
2011,825,Calgary,0140,T2H,8.0,,8.0,6,1.33,0.0,12.666666666666666,1.0
2011,825,Calgary,0140,T2Y,20.0,,20.0,20,1.0,0.0,8.1,1.0
2011,825,Calgary,0140,T2L,5.0,,5.0,5,1.0,0.0,12.8,1.0
2011,825,Calgary,0140,T3A,36.0,,36.0,36,1.0,0.0,5.483870967741935,0.0
2012,825,Calgary,0140,T3C,34.0,,34.0,26,1.31,0.0,14.0,1.0
2012,825,Calgary,0140,T1X,110.0,,110.0,99,1.11,0.0,5.247422680412371,0.0
2012,825,Calgary,0140,T2J,76.0,,76.0,46,1.65,0.0,5.869565217391305,1.0
2012,825,Calgary,0140,T2V,51.0,,51.0,40,1.28,0.15,15.9,1.0
2012,825,Calgary,0140,T3N,272.0,,272.0,237,1.15,0.0,4.326732673267327,0.0
2012,825,Calgary,0140,T3Z,21.0,,21.0,21,1.0,0.0,6.0,0.0
2012,825,Calgary,0140,T4C,414.0,,414.0,324,1.28,0.0,5.6050955414012735,1.0
2012,825,Calgary,0140,T3H,352.0,,352.0,311,1.13,0.0,5.748322147651007,0.0
2012,825,Calgary,0140,T2N,211.0,,211.0,96,2.2,0.06,13.604166666666666,0.0
2012,825,Calgary,0140,T0L,20.0,,20.0,20,1.0,0.0,5.65,0.0
2012,825,Calgary,0140,T2T,225.0,,225.0,145,1.55,0.0,13.006896551724138,1.0
2012,825,Calgary,0140,T2W,1.0,,1.0,1,1.0,0.0,13.0,0.0
2012,825,Calgary,0140,T2A,2.0,,2.0,1,2.0,0.0,12.0,2.0
2012,825,Calgary,0140,T2C,364.0,,364.0,177,2.06,0.01,6.734463276836158,0.0
2012,825,Calgary,0140,T3A,36.0,,36.0,36,1.0,0.0,6.428571428571429,0.0
2012,825,Calgary,0140,nan,3955.0,,3955.0,2454,1.61,0.02,6.46881453944651,0.0
2012,825,Calgary,0140,T2B,1.0,,1.0,1,1.0,0.0,7.0,0.0
2012,825,Calgary,0140,T2K,13.0,,13.0,9,1.44,0.0,12.444444444444445,0.0
2012,825,Calgary,0140,T2P,272.0,,272.0,1,272.0,24.0,48.0,
2012,825,Calgary,0140,T2Z,361.0,,361.0,261,1.38,0.0,4.904761904761905,0.0
2012,825,Calgary,0140,T3G,44.0,,44.0,44,1.0,0.0,5.818181818181818,0.0
2012,825,Calgary,0140,T3P,401.0,,401.0,313,1.28,0.0,4.566666666666666,0.0
2012,825,Calgary,0140,T3B,87.0,,87.0,65,1.34,0.0,7.825396825396825,0.0
2012,825,Calgary,0140,T3K,154.0,,154.0,130,1.18,0.0,4.94488188976378,0.0
2012,825,Calgary,0140,T0M,7.0,,7.0,7,1.0,0.0,6.0,0.0
2012,825,Calgary,0140,T3L,2.0,,2.0,2,1.0,0.0,6.0,0.0
2012,825,Calgary,0140,T2X,149.0,,149.0,120,1.24,0.0,4.873949579831932,1.0
2012,825,Calgary,0140,T2G,17.0,,17.0,15,1.13,0.0,17.214285714285715,0.0
2012,825,Calgary,0140,T2M,202.0,,202.0,55,3.67,0.09,11.090909090909092,1.0
2012,825,Calgary,0140,T3J,41.0,,41.0,41,1.0,0.0,4.4375,0.0
2012,825,Calgary,0140,T2H,92.0,,92.0,5,18.4,2.4,12.8,1.0
2012,825,Calgary,0140,T2L,2.0,,2.0,2,1.0,0.0,18.5,2.0
2012,825,Calgary,0140,T2E,142.0,,142.0,71,2.0,0.07,14.085714285714285,0.0
2012,825,Calgary,0140,T2R,214.0,,214.0,1,214.0,28.0,22.0,26.0
2012,825,Calgary,0140,T2Y,129.0,,129.0,41,3.15,0.27,7.341463414634147,2.0
2012,825,Calgary,0140,T3E,156.0,,156.0,92,1.7,0.1,10.423913043478262,0.0
2012,825,Calgary,0140,T3M,607.0,,607.0,509,1.19,0.01,4.903807615230461,0.0
2012,825,Calgary,0140,T3R,316.0,,316.0,261,1.21,0.0,5.090163934426229,0.0
2012,825,Calgary,0140,T2S,18.0,,18.0,18,1.0,0.0,15.944444444444445,1.0
2012,825,Calgary,0140,T4B,22.0,,22.0,22,1.0,0.0,6.238095238095238,2.0
2013,825,Calgary,0140,T2A,166.0,,166.0,35,4.74,0.11,5.37037037037037,0.0
2013,825,Calgary,0140,T3L,4.0,,4.0,2,2.0,0.0,9.5,2.0
2013,825,Calgary,0140,T2H,6.0,,6.0,5,1.2,0.0,19.4,1.0
2013,825,Calgary,0140,T3E,173.0,,173.0,102,1.7,0.06,11.352941176470589,0.0
2013,825,Calgary,0140,T4A,74.0,,74.0,1,74.0,4.0,12.0,0.0
2013,825,Calgary,0140,T2G,17.0,,17.0,8,2.13,0.38,13.75,1.0
2013,825,Calgary,0140,T2T,215.0,,215.0,114,1.89,0.04,14.026315789473685,0.0
2013,825,Calgary,0140,T2C,111.0,,111.0,17,6.53,0.47,9.705882352941176,1.0
2013,825,Calgary,0140,T3J,161.0,,161.0,27,5.96,0.15,6.111111111111111,0.0
2013,825,Calgary,0140,T3R,517.0,,517.0,479,1.08,0.0,5.280590717299578,0.0
2013,825,Calgary,0140,T3N,984.0,,984.0,544,1.81,0.04,5.144268774703558,0.0
2013,825,Calgary,0140,T2S,10.0,,10.0,10,1.0,0.0,18.3,0.0
2013,825,Calgary,0140,T3Z,44.0,,44.0,44,1.0,0.0,6.7272727272727275,0.0
2013,825,Calgary,0140,T3P,576.0,,576.0,498,1.16,0.0,4.958246346555324,0.0
2013,825,Calgary,0140,T4B,364.0,,364.0,22,16.55,1.05,7.545454545454546,1.0
2013,825,Calgary,0140,T2X,320.0,,320.0,261,1.23,0.0,5.794573643410852,0.0
2013,825,Calgary,0140,T3H,595.0,,595.0,499,1.19,0.0,7.0728744939271255,0.0
2013,825,Calgary,0140,T2B,1.0,,1.0,1,1.0,0.0,13.0,0.0
2013,825,Calgary,0140,T3G,97.0,,97.0,57,1.7,0.0,7.2105263157894735,2.0
2013,825,Calgary,0140,nan,1755.0,,1755.0,952,1.84,0.04,6.717672413793103,1.0
2013,825,Calgary,0140,T2R,250.0,,250.0,1,250.0,29.0,15.0,
2013,825,Calgary,0140,T3A,43.0,,43.0,43,1.0,0.0,6.790697674418604,0.0
2013,825,Calgary,0140,T3M,1538.0,,1538.0,1208,1.27,0.02,5.787878787878788,0.0
2013,825,Calgary,0140,T0M,13.0,,13.0,13,1.0,0.0,6.384615384615385,1.0
2013,825,Calgary,0140,T2K,28.0,,28.0,18,1.56,0.0,11.38888888888889,0.0
2013,825,Calgary,0140,T2M,105.0,,105.0,61,1.72,0.0,10.459016393442623,0.0
2013,825,Calgary,0140,T2V,39.0,,39.0,31,1.26,0.06,14.0,0.0
2013,825,Calgary,0140,T2Y,69.0,,69.0,58,1.19,0.0,7.5344827586206895,3.0
2013,825,Calgary,0140,T2J,140.0,,140.0,79,1.77,0.0,7.6835443037974684,0.0
2013,825,Calgary,0140,T3B,152.0,,152.0,101,1.5,0.04,8.38,0.0
2013,825,Calgary,0140,T2E,535.0,,535.0,101,5.3,0.18,11.396039603960396,1.0
2013,825,Calgary,0140,T2L,9.0,,9.0,9,1.0,0.0,13.222222222222221,0.0
2013,825,Calgary,0140,T2Z,1170.0,,1170.0,530,2.21,0.04,6.097328244274809,0.0
2013,825,Calgary,0140,T0L,56.0,,56.0,56,1.0,0.0,7.425925925925926,0.0
2013,825,Calgary,0140,T3K,341.0,,341.0,202,1.69,0.02,5.701030927835052,1.0
2013,825,Calgary,0140,T4C,658.0,,658.0,420,1.57,0.02,6.465686274509804,1.0
2013,825,Calgary,0140,T1X,539.0,,539.0,324,1.66,0.08,6.317460317460317,0.0
2013,825,Calgary,0140,T2N,146.0,,146.0,104,1.4,0.08,13.173076923076923,0.0
2013,825,Calgary,0140,T3C,35.0,,35.0,26,1.35,0.0,13.26923076923077,0.0
2014,825,Calgary,0140,T3H,508.0,,508.0,342,1.49,0.04,7.5120481927710845,1.0
2014,825,Calgary,0140,T2Y,38.0,,38.0,38,1.0,0.0,8.31578947368421,2.0
2014,825,Calgary,0140,nan,1368.0,,1368.0,864,1.58,0.02,6.568421052631579,0.0
2014,825,Calgary,0140,T3N,921.0,,921.0,521,1.77,0.03,5.313229571984436,0.0
2014,825,Calgary,0140,T3Z,25.0,,25.0,25,1.0,0.0,7.578947368421052,0.0
2014,825,Calgary,0140,T3R,953.0,,953.0,637,1.5,0.01,5.7,0.0
2014,825,Calgary,0140,T4B,218.0,,218.0,15,14.53,0.8,6.666666666666667,1.0
2014,825,Calgary,0140,T1Y,1.0,,1.0,1,1.0,0.0,11.0,0.0
2014,825,Calgary,0140,T2C,159.0,,159.0,37,4.3,0.27,8.72972972972973,0.0
2014,825,Calgary,0140,T2K,13.0,,13.0,9,1.44,0.0,11.555555555555555,1.0
2014,825,Calgary,0140,T2T,340.0,,340.0,162,2.1,0.12,12.627329192546584,1.0
2014,825,Calgary,0140,T3A,79.0,,79.0,38,2.08,0.0,6.7894736842105265,0.0
2014,825,Calgary,0140,T0M,27.0,,27.0,26,1.04,0.0,5.44,1.0
2014,825,Calgary,0140,T2V,44.0,,44.0,37,1.19,0.03,15.702702702702704,0.0
2014,825,Calgary,0140,T3C,143.0,,143.0,29,4.93,0.21,12.448275862068966,0.0
2014,825,Calgary,0140,T3J,62.0,,62.0,37,1.68,0.0,6.297297297297297,0.0
2014,825,Calgary,0140,T3L,9.0,,9.0,5,1.8,0.0,15.8,7.0
2014,825,Calgary,0140,T2E,366.0,,366.0,131,2.79,0.14,11.259541984732824,1.0
2014,825,Calgary,0140,T3K,313.0,,313.0,157,1.99,0.03,6.237179487179487,1.0
2014,825,Calgary,0140,T4C,766.0,,766.0,562,1.36,0.0,5.953874538745388,0.0
2014,825,Calgary,0140,T2A,36.0,,36.0,27,1.33,0.07,7.153846153846154,1.0
2014,825,Calgary,0140,T2L,435.0,,435.0,5,87.0,6.6,14.2,1.0
2014,825,Calgary,0140,T2W,1.0,,1.0,1,1.0,0.0,10.0,0.0
2014,825,Calgary,0140,T1X,448.0,,448.0,393,1.14,0.0,6.904392764857882,0.0
2014,825,Calgary,0140,T3E,192.0,,192.0,112,1.71,0.05,11.196428571428571,1.0
2014,825,Calgary,0140,T3S,1.0,,1.0,1,1.0,0.0,16.0,0.0
2014,825,Calgary,0140,T2M,153.0,,153.0,91,1.68,0.02,10.483516483516484,0.0
2014,825,Calgary,0140,T2Z,841.0,,841.0,399,2.11,0.05,6.072681704260652,1.0
2014,825,Calgary,0140,T0L,37.0,,37.0,37,1.0,0.0,8.25,0.0
2014,825,Calgary,0140,T2B,140.0,,140.0,2,70.0,2.0,22.0,3.0
2014,825,Calgary,0140,T2R,301.0,,301.0,3,100.33,14.0,15.0,-12.0
2014,825,Calgary,0140,T3M,1805.0,,1805.0,1345,1.34,0.01,5.69035153328347,0.0
2014,825,Calgary,0140,T3P,630.0,,630.0,505,1.25,0.01,5.152304609218437,0.0
2014,825,Calgary,0140,T2P,392.0,,392.0,2,196.0,12.0,23.0,14.0
2014,825,Calgary,0140,T2N,357.0,,357.0,122,2.93,0.17,13.80327868852459,1.0
2014,825,Calgary,0140,T2X,664.0,,664.0,514,1.29,0.01,6.746588693957115,1.0
2014,825,Calgary,0140,T3B,174.0,,174.0,91,1.91,0.05,10.131868131868131,1.0
