reference_period,metro,metcode,stcan_cmacode,censustr,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
2001,Calgary,0140,825,0027.00,6.0,,,1,6.0,3.0,8.0,3.0
2001,Calgary,0140,825,0001.15,40.0,,,1,40.0,3.0,11.0,7.0
2001,Calgary,0140,825,0038.07,58.0,,,1,58.0,4.0,15.0,3.0
2001,Calgary,0140,825,0026.00,8.0,,,2,4.0,0.0,8.0,2.0
2002,Calgary,0140,825,0001.06,70.0,,,1,70.0,0.0,18.0,9.0
2002,Calgary,0140,825,0017.02,63.0,,,5,12.6,0.0,12.0,1.0
2002,Calgary,0140,825,0041.00,7.0,,,2,3.5,1.0,10.5,8.0
2002,Calgary,0140,825,0072.00,6.0,,,1,6.0,3.0,5.0,0.0
2002,Calgary,0140,825,0038.19,69.0,,,16,4.31,0.0,6.866666666666666,12.0
2002,Calgary,0140,825,0045.00,97.0,,,2,48.5,4.0,17.5,2.0
2002,Calgary,0140,825,0060.00,20.0,,,7,2.86,0.0,12.0,4.0
2002,Calgary,0140,825,0206.00,298.0,,,19,15.68,0.42,6.888888888888889,2.0
2002,Calgary,0140,825,0021.00,10.0,,,2,5.0,1.5,10.0,4.0
2002,Calgary,0140,825,0027.00,74.0,,,2,37.0,3.5,12.5,5.0
2002,Calgary,0140,825,0077.09,587.0,,,63,9.32,0.19,6.857142857142857,0.0
2002,Calgary,0140,825,0201.00,8.0,,,2,4.0,0.0,6.0,1.0
2002,Calgary,0140,825,0062.00,13.0,,,3,4.33,1.67,6.333333333333333,1.0
2002,Calgary,0140,825,0204.00,38.0,,,11,3.45,0.0,,3.0
2002,Calgary,0140,825,0001.16,83.0,,,19,4.37,0.0,8.473684210526315,0.0
2002,Calgary,0140,825,0057.00,93.0,,,2,46.5,5.0,14.5,2.0
2002,Calgary,0140,825,0002.01,60.0,,,10,6.0,0.0,10.4,2.0
2002,Calgary,0140,825,0001.12,13.0,,,3,4.33,0.0,10.333333333333334,0.0
2002,Calgary,0140,825,0000.00,9053.0,,,8737,1.04,0.0,4.775258251448728,0.0
2002,Calgary,0140,825,0038.12,120.0,,,1,120.0,3.0,14.0,0.0
2002,Calgary,0140,825,0076.07,92.0,,,11,8.36,0.36,10.0,4.0
2002,Calgary,0140,825,0205.00,18.0,,,5,3.6,0.0,8.8,2.0
2002,Calgary,0140,825,0049.03,6.0,,,1,6.0,0.0,17.0,12.0
2002,Calgary,0140,825,0059.00,89.0,,,5,17.8,2.4,17.0,1.0
2002,Calgary,0140,825,0001.02,60.0,,,1,60.0,3.0,15.0,2.0
2002,Calgary,0140,825,0037.00,6.0,,,1,6.0,0.0,6.0,20.0
2002,Calgary,0140,825,0024.00,185.0,,,6,30.83,1.0,12.5,3.0
2002,Calgary,0140,825,0001.11,50.0,,,1,50.0,3.0,4.0,0.0
2002,Calgary,0140,825,0002.03,62.0,,,9,6.89,0.0,7.555555555555555,6.0
2002,Calgary,0140,825,0038.09,18.0,,,3,6.0,0.0,13.333333333333334,1.0
2002,Calgary,0140,825,0051.00,15.0,,,2,7.5,1.5,6.0,1.0
2002,Calgary,0140,825,0025.00,4.0,,,1,4.0,0.0,9.0,0.0
2002,Calgary,0140,825,0020.00,22.0,,,5,4.4,0.0,11.8,0.0
2002,Calgary,0140,825,0048.00,65.0,,,2,32.5,4.0,17.5,1.0
2002,Calgary,0140,825,0043.00,184.0,,,4,46.0,6.0,16.0,2.0
2002,Calgary,0140,825,0026.00,60.0,,,1,60.0,0.0,14.0,0.0
2002,Calgary,0140,825,0022.00,231.0,,,2,115.5,2.0,10.5,1.0
2002,Calgary,0140,825,0058.00,26.0,,,1,26.0,4.0,13.0,2.0
2002,Calgary,0140,825,0034.00,110.0,,,22,5.0,0.0,8.409090909090908,0.0
2002,Calgary,0140,825,0077.08,12.0,,,3,4.0,0.0,15.666666666666666,0.0
2002,Calgary,0140,825,0039.00,6.0,,,1,6.0,0.0,13.0,11.0
2002,Calgary,0140,825,0076.05,7.0,,,2,3.5,0.0,10.5,0.0
2002,Calgary,0140,825,0052.05,73.0,,,9,8.11,0.0,6.888888888888889,1.0
2002,Calgary,0140,825,0001.08,28.0,,,1,28.0,3.0,6.0,0.0
2002,Calgary,0140,825,0046.01,324.0,,,3,108.0,12.67,21.333333333333332,6.0
2002,Calgary,0140,825,0046.02,36.0,,,1,36.0,4.0,19.0,2.0
2002,Calgary,0140,825,0050.02,59.0,,,17,3.47,0.0,7.6875,1.0
2003,Calgary,0140,825,0024.00,65.0,,,8,8.13,0.63,8.375,2.0
2003,Calgary,0140,825,0077.12,142.0,,,8,17.75,0.38,7.75,2.0
2003,Calgary,0140,825,0001.24,71.0,,,18,3.94,0.0,9.555555555555555,3.0
2003,Calgary,0140,825,0027.00,4.0,,,1,4.0,3.0,11.0,2.0
2003,Calgary,0140,825,0046.02,41.0,,,3,13.67,2.33,11.333333333333334,7.0
2003,Calgary,0140,825,0206.01,245.0,,,30,8.17,0.0,6.7,1.0
2003,Calgary,0140,825,0037.00,6.0,,,1,6.0,0.0,30.0,0.0
2003,Calgary,0140,825,0025.00,12.0,,,1,12.0,0.0,21.0,4.0
2003,Calgary,0140,825,0072.00,18.0,,,3,6.0,0.0,7.0,4.0
2003,Calgary,0140,825,0053.00,145.0,,,1,145.0,0.0,18.0,0.0
2003,Calgary,0140,825,0030.00,72.0,,,4,18.0,1.0,29.75,8.0
2003,Calgary,0140,825,0038.23,157.0,,,4,39.25,3.0,11.5,3.0
2003,Calgary,0140,825,0052.08,123.0,,,6,20.5,1.0,7.5,3.0
2003,Calgary,0140,825,0048.00,33.0,,,1,33.0,4.0,14.0,2.0
2003,Calgary,0140,825,0077.10,78.0,,,16,4.88,0.0,6.5625,2.0
2003,Calgary,0140,825,0021.00,13.0,,,3,4.33,1.0,6.666666666666667,2.0
2003,Calgary,0140,825,0077.11,232.0,,,26,8.92,0.0,6.384615384615385,2.0
2003,Calgary,0140,825,0058.00,8.0,,,2,4.0,0.0,11.0,3.0
2003,Calgary,0140,825,0001.27,39.0,,,1,39.0,4.0,11.0,2.0
2003,Calgary,0140,825,0038.02,6.0,,,1,6.0,0.0,8.0,2.0
2003,Calgary,0140,825,0050.02,238.0,,,36,6.61,0.0,7.305555555555555,4.0
2003,Calgary,0140,825,0062.00,18.0,,,2,9.0,1.5,7.5,4.0
2003,Calgary,0140,825,0205.00,34.0,,,8,4.25,0.0,5.75,3.0
2003,Calgary,0140,825,0002.04,274.0,,,5,54.8,2.4,8.4,7.0
2003,Calgary,0140,825,0051.00,4.0,,,1,4.0,0.0,5.0,0.0
2003,Calgary,0140,825,0077.08,4.0,,,1,4.0,0.0,15.0,1.0
2003,Calgary,0140,825,0002.13,79.0,,,11,7.18,0.0,9.818181818181818,2.0
2003,Calgary,0140,825,0014.00,4.0,,,1,4.0,0.0,6.0,3.0
2003,Calgary,0140,825,0038.17,36.0,,,1,36.0,3.0,8.0,3.0
2003,Calgary,0140,825,0042.00,170.0,,,2,85.0,5.5,12.0,5.0
2003,Calgary,0140,825,0059.00,39.0,,,3,13.0,2.33,8.0,3.0
2003,Calgary,0140,825,0076.13,30.0,,,6,5.0,0.0,7.0,2.0
2003,Calgary,0140,825,0077.01,5.0,,,1,5.0,0.0,9.0,0.0
2003,Calgary,0140,825,0077.09,4.0,,,1,4.0,0.0,6.0,1.0
2003,Calgary,0140,825,0000.00,9752.0,,,9362,1.04,0.0,5.152614968440036,0.0
2003,Calgary,0140,825,0001.02,83.0,,,1,83.0,4.0,10.0,2.0
2003,Calgary,0140,825,0076.11,267.0,,,20,13.35,0.4,7.75,1.0
2003,Calgary,0140,825,0038.27,7.0,,,2,3.5,0.0,9.0,1.0
2003,Calgary,0140,825,0077.15,16.0,,,4,4.0,0.0,14.75,2.0
2003,Calgary,0140,825,0022.00,433.0,,,12,36.08,0.83,14.666666666666666,2.0
2003,Calgary,0140,825,0031.00,190.0,,,3,63.33,5.0,11.666666666666666,3.0
2003,Calgary,0140,825,0056.00,20.0,,,3,6.67,1.0,11.333333333333334,0.0
2003,Calgary,0140,825,0017.06,47.0,,,2,23.5,2.5,8.5,16.0
2003,Calgary,0140,825,0038.22,18.0,,,3,6.0,0.0,11.666666666666666,2.0
2003,Calgary,0140,825,0045.00,36.0,,,1,36.0,0.0,15.0,5.0
2003,Calgary,0140,825,0206.03,53.0,,,9,5.89,0.0,5.0,1.0
2003,Calgary,0140,825,0034.00,149.0,,,2,74.5,2.0,13.0,1.0
2003,Calgary,0140,825,0001.06,4.0,,,1,4.0,0.0,15.0,2.0
2003,Calgary,0140,825,0001.08,46.0,,,1,46.0,4.0,9.0,4.0
2003,Calgary,0140,825,0049.03,74.0,,,1,74.0,2.0,11.0,8.0
2003,Calgary,0140,825,0001.29,27.0,,,7,3.86,0.0,13.142857142857142,0.0
2003,Calgary,0140,825,0060.00,4.0,,,1,4.0,0.0,14.0,1.0
2003,Calgary,0140,825,0032.00,4.0,,,1,4.0,0.0,11.0,3.0
2003,Calgary,0140,825,0038.26,49.0,,,9,5.44,0.0,5.222222222222222,3.0
2003,Calgary,0140,825,0046.01,348.0,,,2,174.0,0.0,17.5,2.0
2003,Calgary,0140,825,0076.10,164.0,,,3,54.67,2.0,7.666666666666667,1.0
2003,Calgary,0140,825,0020.00,4.0,,,1,4.0,0.0,30.0,-17.0
2003,Calgary,0140,825,0202.00,19.0,,,5,3.8,0.0,8.0,1.0
2003,Calgary,0140,825,0204.00,24.0,,,6,4.0,0.0,6.25,6.0
2004,Calgary,0140,825,0205.00,57.0,,,2,28.5,0.0,11.0,2.0
2004,Calgary,0140,825,0001.02,90.0,,,2,45.0,0.0,19.0,2.0
2004,Calgary,0140,825,0002.04,55.0,,,3,18.33,0.0,15.0,1.0
2004,Calgary,0140,825,0044.00,162.0,,,1,162.0,0.0,21.0,3.0
2004,Calgary,0140,825,0031.00,70.0,,,1,70.0,0.0,14.0,2.0
2004,Calgary,0140,825,0062.00,7.0,,,2,3.5,0.0,22.0,1.0
2004,Calgary,0140,825,0058.00,20.0,,,2,10.0,0.0,17.5,20.0
2004,Calgary,0140,825,0050.02,124.0,,,12,10.33,0.0,8.909090909090908,5.0
2004,Calgary,0140,825,0046.01,105.0,,,1,105.0,0.0,23.0,5.0
2004,Calgary,0140,825,0203.00,8.0,,,2,4.0,0.0,8.5,1.0
2004,Calgary,0140,825,0001.24,497.0,,,44,11.3,0.0,7.7727272727272725,4.0
2004,Calgary,0140,825,0076.10,278.0,,,6,46.33,0.0,8.166666666666666,3.0
2004,Calgary,0140,825,0206.03,90.0,,,7,12.86,0.0,8.0,1.0
2004,Calgary,0140,825,0023.00,12.0,,,2,6.0,0.0,10.0,0.0
2004,Calgary,0140,825,0038.26,48.0,,,10,4.8,0.0,8.0,7.0
2004,Calgary,0140,825,0207.00,4.0,,,1,4.0,0.0,4.0,0.0
2004,Calgary,0140,825,0027.00,60.0,,,4,15.0,0.0,15.25,5.0
2004,Calgary,0140,825,0077.10,307.0,,,56,5.48,0.0,6.37037037037037,3.0
2004,Calgary,0140,825,0052.08,127.0,,,16,7.94,0.0,7.25,5.0
2004,Calgary,0140,825,0206.00,6.0,,,1,6.0,0.0,9.0,4.0
2004,Calgary,0140,825,0029.00,33.0,,,8,4.13,0.0,11.25,2.0
2004,Calgary,0140,825,0030.00,28.0,,,1,28.0,0.0,14.0,0.0
2004,Calgary,0140,825,0024.00,90.0,,,8,11.25,0.0,13.125,1.0
2004,Calgary,0140,825,0025.00,4.0,,,1,4.0,0.0,10.0,0.0
2004,Calgary,0140,825,0048.00,99.0,,,3,33.0,0.0,14.333333333333334,6.0
2004,Calgary,0140,825,0020.00,4.0,,,1,4.0,0.0,4.0,1.0
2004,Calgary,0140,825,0002.13,164.0,,,24,6.83,0.0,8.541666666666666,5.0
2004,Calgary,0140,825,0000.00,9123.0,,,8707,1.05,0.0,5.338941118258288,0.0
2004,Calgary,0140,825,0046.02,4.0,,,1,4.0,0.0,18.0,2.0
2004,Calgary,0140,825,0038.21,186.0,,,1,186.0,0.0,15.0,4.0
2004,Calgary,0140,825,0001.27,143.0,,,1,143.0,0.0,23.0,0.0
2004,Calgary,0140,825,0007.04,38.0,,,1,38.0,0.0,25.0,0.0
2004,Calgary,0140,825,0038.20,439.0,,,13,33.77,0.0,15.0,1.0
2004,Calgary,0140,825,0077.11,29.0,,,6,4.83,0.0,9.5,3.0
2004,Calgary,0140,825,0054.00,12.0,,,3,4.0,0.0,11.666666666666666,2.0
2004,Calgary,0140,825,0057.00,82.0,,,1,82.0,0.0,22.0,5.0
2004,Calgary,0140,825,0043.00,47.0,,,1,47.0,0.0,13.0,11.0
2004,Calgary,0140,825,0202.00,8.0,,,2,4.0,0.0,7.0,2.0
2004,Calgary,0140,825,0001.29,32.0,,,8,4.0,0.0,14.875,1.0
2004,Calgary,0140,825,0077.12,41.0,,,1,41.0,0.0,10.0,0.0
2004,Calgary,0140,825,0022.00,46.0,,,6,7.67,0.0,17.333333333333332,1.0
2004,Calgary,0140,825,0206.01,77.0,,,13,5.92,0.0,7.0,2.0
2004,Calgary,0140,825,0059.00,4.0,,,1,4.0,0.0,9.0,2.0
2004,Calgary,0140,825,0021.00,8.0,,,2,4.0,0.0,11.0,2.0
2004,Calgary,0140,825,0056.00,7.0,,,2,3.5,0.0,13.5,2.0
2004,Calgary,0140,825,0077.09,139.0,,,1,139.0,0.0,11.0,6.0
2005,Calgary,0140,825,0001.10,1.0,,,1,1.0,0.0,7.0,0.0
2005,Calgary,0140,825,0025.00,39.0,,,16,2.44,0.0,13.6875,1.0
2005,Calgary,0140,825,0055.00,10.0,,,10,1.0,0.0,9.7,1.0
2005,Calgary,0140,825,0077.11,3.0,,,3,1.0,0.0,5.0,0.0
2005,Calgary,0140,825,0048.00,27.0,,,3,9.0,0.0,15.666666666666666,2.0
2005,Calgary,0140,825,0207.00,48.0,,,45,1.07,0.0,4.625,0.0
