reference_period,ref_qq,stcan_cmacode,metro,metcode,FSA,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
2002-08-01,3,825,Calgary,0140,nan,3427.0,,,2579,1.33,0.01,4.9121535181236675,0.0
2002-10-01,4,825,Calgary,0140,nan,3200.0,,,2411,1.33,0.01,5.108828671328672,0.0
2003-01-01,1,825,Calgary,0140,nan,3484.0,,,2167,1.61,0.02,5.322842155460181,1.0
2003-04-01,2,825,Calgary,0140,nan,3267.0,,,2415,1.35,0.01,5.015064244572441,0.0
2003-05-01,2,825,Calgary,0140,,1.0,,,1,1.0,0.0,8.0,25.0
2003-08-01,3,825,Calgary,0140,nan,4030.0,,,2636,1.53,0.02,5.162226640159045,0.0
2003-10-01,4,825,Calgary,0140,nan,3505.0,,,2460,1.42,0.01,5.621493310315063,0.0
2004-01-01,1,825,Calgary,0140,nan,3012.0,,,1904,1.58,0.0,5.431842966194111,0.0
2004-06-01,2,825,Calgary,0140,nan,2949.0,,,2148,1.37,0.0,5.46109958506224,0.0
2004-07-01,3,825,Calgary,0140,nan,3365.0,,,2562,1.31,0.0,5.560280759702725,0.0
2004-11-01,4,825,Calgary,0140,nan,3688.0,,,2378,1.55,0.0,5.46333638863428,0.0
2005-02-01,1,825,Calgary,0140,nan,2402.0,,,1649,1.46,0.0,5.892045454545454,0.0
2005-04-01,2,825,Calgary,0140,nan,3588.0,,,2527,1.42,0.0,5.044795221843003,0.0
2005-09-01,3,825,Calgary,0140,nan,3910.0,,,2343,1.67,0.0,5.290654205607477,0.0
2005-12-01,4,825,Calgary,0140,nan,2914.0,,,2142,1.36,0.0,5.58637236084453,0.0
2006-01-01,1,825,Calgary,0140,T2B,4.0,,,1,4.0,0.0,16.0,4.0
2006-01-01,1,825,Calgary,0140,T2E,139.0,,,21,6.62,0.0,10.3,1.0
2006-01-01,1,825,Calgary,0140,T2S,6.0,,,6,1.0,0.0,17.0,1.0
2006-01-01,1,825,Calgary,0140,T2V,9.0,,,5,1.8,0.0,8.2,1.0
2006-01-01,1,825,Calgary,0140,T2K,3.0,,,2,1.5,0.0,9.0,0.0
2006-02-01,1,825,Calgary,0140,T2T,52.0,,,28,1.86,0.0,9.642857142857142,0.0
2006-02-01,1,825,Calgary,0140,T2L,1.0,,,1,1.0,0.0,15.0,2.0
2006-02-01,1,825,Calgary,0140,T2C,153.0,,,30,5.1,0.0,6.1,1.0
2006-02-01,1,825,Calgary,0140,T2N,32.0,,,23,1.39,0.0,11.304347826086957,0.0
2006-02-01,1,825,Calgary,0140,T3C,4.0,,,3,1.33,0.0,8.0,1.0
2006-02-01,1,825,Calgary,0140,T2G,6.0,,,6,1.0,0.0,9.0,0.0
2006-03-01,1,825,Calgary,0140,T3E,30.0,,,20,1.5,0.0,8.35,0.0
2006-03-01,1,825,Calgary,0140,T2Y,43.0,,,33,1.3,0.0,8.272727272727273,3.0
2006-03-01,1,825,Calgary,0140,T2H,55.0,,,1,55.0,0.0,12.0,3.0
2006-03-01,1,825,Calgary,0140,T2A,10.0,,,1,10.0,0.0,6.0,17.0
2006-03-01,1,825,Calgary,0140,T2M,18.0,,,14,1.29,0.0,6.5,0.0
2006-03-01,1,825,Calgary,0140,T2W,6.0,,,1,6.0,0.0,14.0,6.0
2006-03-01,1,825,Calgary,0140,nan,1983.0,,,1772,1.12,0.0,5.457440648523451,0.0
2006-04-01,2,825,Calgary,0140,T2C,249.0,,,26,9.58,0.0,6.4,1.0
2006-04-01,2,825,Calgary,0140,T2T,33.0,,,22,1.5,0.0,10.772727272727273,0.0
2006-04-01,2,825,Calgary,0140,T2Y,18.0,,,15,1.2,0.0,7.466666666666667,0.0
2006-04-01,2,825,Calgary,0140,T2E,23.0,,,12,1.92,0.0,9.0,1.0
2006-04-01,2,825,Calgary,0140,T2H,4.0,,,4,1.0,0.0,14.5,1.0
2006-05-01,2,825,Calgary,0140,T2P,124.0,,,1,124.0,0.0,20.0,8.0
2006-05-01,2,825,Calgary,0140,T2M,8.0,,,6,1.33,0.0,10.5,2.0
2006-05-01,2,825,Calgary,0140,T3B,3.0,,,2,1.5,0.0,16.5,5.0
2006-05-01,2,825,Calgary,0140,nan,2487.0,,,1980,1.26,0.0,5.347258485639687,1.0
2006-05-01,2,825,Calgary,0140,T2W,12.0,,,2,6.0,0.0,10.0,14.0
2006-06-01,2,825,Calgary,0140,T3C,3.0,,,2,1.5,0.0,8.5,1.0
2006-06-01,2,825,Calgary,0140,T3E,89.0,,,21,4.24,0.19,8.857142857142858,1.0
2006-06-01,2,825,Calgary,0140,T2V,7.0,,,6,1.17,0.0,10.5,0.0
2006-06-01,2,825,Calgary,0140,T2N,18.0,,,13,1.38,0.0,8.76923076923077,0.0
2006-06-01,2,825,Calgary,0140,T2S,3.0,,,3,1.0,0.0,14.333333333333334,0.0
2006-07-01,3,825,Calgary,0140,T2B,12.0,,,3,4.0,0.0,16.333333333333332,5.0
2006-07-01,3,825,Calgary,0140,T2G,3.0,,,3,1.0,0.0,15.0,1.0
2006-07-01,3,825,Calgary,0140,T2M,13.0,,,8,1.63,0.0,10.875,0.0
2006-07-01,3,825,Calgary,0140,T3H,1.0,,,1,1.0,0.0,19.0,0.0
2006-07-01,3,825,Calgary,0140,T2S,2.0,,,2,1.0,0.0,12.5,0.0
2006-07-01,3,825,Calgary,0140,T1Y,1.0,,,1,1.0,0.0,,0.0
2006-07-01,3,825,Calgary,0140,T2A,2.0,,,1,2.0,0.0,16.0,0.0
2006-07-01,3,825,Calgary,0140,T2C,65.0,,,52,1.25,0.0,6.461538461538462,1.0
2006-08-01,3,825,Calgary,0140,T3C,8.0,,,7,1.14,0.0,11.0,0.0
2006-08-01,3,825,Calgary,0140,T3E,294.0,,,25,11.76,0.0,11.04,0.0
2006-08-01,3,825,Calgary,0140,T3A,2.0,,,2,1.0,0.0,12.5,0.0
2006-08-01,3,825,Calgary,0140,T2H,1.0,,,1,1.0,0.0,9.0,0.0
2006-09-01,3,825,Calgary,0140,T2T,86.0,,,36,2.39,0.28,12.485714285714286,1.0
2006-09-01,3,825,Calgary,0140,nan,2552.0,,,2241,1.14,0.0,5.844748858447488,1.0
2006-09-01,3,825,Calgary,0140,T2Y,16.0,,,15,1.07,0.0,7.466666666666667,0.0
2006-09-01,3,825,Calgary,0140,T2L,1.0,,,1,1.0,0.0,11.0,0.0
2006-09-01,3,825,Calgary,0140,T2K,1.0,,,1,1.0,0.0,14.0,2.0
2006-09-01,3,825,Calgary,0140,T3B,7.0,,,4,1.75,0.0,9.75,2.0
2006-09-01,3,825,Calgary,0140,T2E,77.0,,,28,2.75,0.11,11.821428571428571,1.0
2006-09-01,3,825,Calgary,0140,T2N,33.0,,,28,1.18,0.0,12.107142857142858,0.0
2006-09-01,3,825,Calgary,0140,T2V,6.0,,,5,1.2,0.0,17.8,0.0
2006-10-01,4,825,Calgary,0140,T2Y,14.0,,,12,1.17,0.0,10.416666666666666,1.0
2006-10-01,4,825,Calgary,0140,T3E,47.0,,,28,1.68,0.0,9.571428571428571,1.0
2006-10-01,4,825,Calgary,0140,T2J,1.0,,,1,1.0,0.0,9.0,0.0
2006-10-01,4,825,Calgary,0140,T2V,7.0,,,6,1.17,0.0,14.5,1.0
2006-10-01,4,825,Calgary,0140,T2M,20.0,,,12,1.67,0.0,10.083333333333334,0.0
2006-10-01,4,825,Calgary,0140,T2N,41.0,,,28,1.46,0.0,11.535714285714286,0.0
2006-10-01,4,825,Calgary,0140,T3C,3.0,,,2,1.5,0.0,17.5,1.0
2006-11-01,4,825,Calgary,0140,T2K,3.0,,,3,1.0,0.0,8.666666666666666,0.0
2006-11-01,4,825,Calgary,0140,T2C,82.0,,,77,1.06,0.0,6.7105263157894735,1.0
2006-11-01,4,825,Calgary,0140,T2T,33.0,,,22,1.5,0.18,11.272727272727273,1.0
2006-11-01,4,825,Calgary,0140,T3B,6.0,,,5,1.2,0.0,12.0,3.0
2006-11-01,4,825,Calgary,0140,T2E,120.0,,,10,12.0,0.6,11.2,2.0
2006-11-01,4,825,Calgary,0140,nan,2607.0,,,2070,1.26,0.0,6.645600388915897,1.0
2006-12-01,4,825,Calgary,0140,T2H,4.0,,,3,1.33,0.0,11.0,0.0
2006-12-01,4,825,Calgary,0140,T2G,366.0,,,3,122.0,14.67,21.0,4.0
2006-12-01,4,825,Calgary,0140,T2S,5.0,,,5,1.0,0.0,13.2,0.0
2006-12-01,4,825,Calgary,0140,T2R,512.0,,,2,256.0,23.5,25.5,3.0
2006-12-01,4,825,Calgary,0140,T2L,1.0,,,1,1.0,0.0,9.0,0.0
2007-01-01,1,825,Calgary,0140,T2R,7.0,,,1,7.0,0.0,16.0,0.0
2007-01-01,1,825,Calgary,0140,T2C,84.0,,,84,1.0,0.0,7.107142857142857,1.0
2007-01-01,1,825,Calgary,0140,T2B,12.0,,,3,4.0,0.0,17.666666666666668,10.0
2007-01-01,1,825,Calgary,0140,T2J,121.0,,,2,60.5,2.0,17.5,4.0
2007-01-01,1,825,Calgary,0140,T3E,13.0,,,10,1.3,0.0,11.1,0.0
2007-02-01,1,825,Calgary,0140,T2L,1.0,,,1,1.0,0.0,15.0,4.0
2007-02-01,1,825,Calgary,0140,T3C,3.0,,,3,1.0,0.0,12.0,1.0
2007-02-01,1,825,Calgary,0140,T2Y,13.0,,,12,1.08,0.0,9.75,1.0
2007-02-01,1,825,Calgary,0140,T2E,13.0,,,9,1.44,0.0,11.777777777777779,0.0
2007-02-01,1,825,Calgary,0140,nan,2365.0,,,1972,1.2,0.0,7.565823438306659,1.0
2007-02-01,1,825,Calgary,0140,T2M,16.0,,,12,1.33,0.0,9.75,1.0
2007-02-01,1,825,Calgary,0140,T2N,33.0,,,24,1.38,0.0,17.541666666666668,0.0
2007-02-01,1,825,Calgary,0140,T2V,10.0,,,9,1.11,0.0,12.777777777777779,0.0
2007-02-01,1,825,Calgary,0140,T2H,5.0,,,3,1.67,0.0,18.0,0.0
2007-03-01,1,825,Calgary,0140,T2S,2.0,,,2,1.0,0.0,20.0,0.0
