reference_period,stcan_cmacode,metro,metcode,FSA,dweltype,mkttycd,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price
1998,825,Calgary,0140,nan,4.0,1.0,11.0,,,3,3.67,0.0,7.0,2.0,,,,,,,,,,,
1998,825,Calgary,0140,nan,1.0,1.0,9458.0,,,9458,1.0,0.0,4.2835209825997955,0.0,,,,,,,,,,,
1998,825,Calgary,0140,nan,2.0,1.0,230.0,,,115,2.0,0.0,6.357142857142857,1.0,,,,,,,,,,,
1998,825,Calgary,0140,nan,5.0,2.0,121.0,,,4,30.25,1.5,6.75,1.0,,,,,,,,,,,
1998,825,Calgary,0140,nan,1.0,3.0,27.0,,,27,1.0,0.0,7.296296296296297,1.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,2.0,3.0,258.0,,,129,2.0,0.0,8.401639344262295,1.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,4.0,2.0,7.0,,,2,3.5,0.0,5.0,1.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,5.0,3.0,1172.0,,,63,18.6,1.49,12.548387096774194,2.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,4.0,1.0,30.0,,,9,3.33,0.0,6.111111111111111,1.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,5.0,1.0,6.0,,,1,6.0,0.0,23.0,2.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,5.0,2.0,260.0,,,3,86.67,3.33,8.0,4.0,,,,,,,,,,,
1999,825,Calgary,0140,,1.0,1.0,7.0,,,7,1.0,0.0,7.833333333333333,1.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,2.0,1.0,252.0,,,126,2.0,0.0,6.587719298245614,1.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,1.0,1.0,7067.0,,,7067,1.0,0.0,4.287358421629522,0.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,1.0,3.0,41.0,,,41,1.0,0.0,8.166666666666666,2.0,,,,,,,,,,,
1999,825,Calgary,0140,nan,4.0,3.0,555.0,,,123,4.51,0.02,9.132231404958677,2.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,5.0,3.0,2600.0,,,77,33.77,2.53,13.428571428571429,2.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,4.0,1.0,11.0,,,2,5.5,0.0,17.5,4.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,5.0,2.0,75.0,,,5,15.0,1.4,6.8,1.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,1.0,3.0,34.0,,,34,1.0,0.0,11.727272727272727,1.0,,,,,,,,,,,
2000,825,Calgary,0140,,2.0,3.0,2.0,,,1,2.0,0.0,6.0,0.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,2.0,3.0,328.0,,,164,2.0,0.0,10.93167701863354,2.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,4.0,3.0,639.0,,,134,4.77,0.0,12.393939393939394,2.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,5.0,1.0,10.0,,,2,5.0,0.0,26.5,1.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,2.0,1.0,274.0,,,137,2.0,0.0,7.53781512605042,1.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,1.0,2.0,4.0,,,4,1.0,0.0,,4.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,2.0,2.0,2.0,,,1,2.0,0.0,11.0,0.0,,,,,,,,,,,
2000,825,Calgary,0140,,1.0,1.0,8.0,,,8,1.0,0.0,7.0,2.0,,,,,,,,,,,
2000,825,Calgary,0140,nan,1.0,1.0,6742.0,,,6742,1.0,0.0,4.419859265050821,0.0,,,,,,,,,,,
2001,825,Calgary,0140,nan,1.0,3.0,11.0,,,11,1.0,0.0,11.636363636363637,0.0,,,,,,,,,,,
2001,825,Calgary,0140,nan,5.0,2.0,18.0,,,3,6.0,1.0,9.333333333333334,6.0,,,,,,,,,,,
2001,825,Calgary,0140,nan,1.0,2.0,13.0,,,13,1.0,0.0,3.076923076923077,3.0,,,,,,,,,,,
2001,825,Calgary,0140,nan,2.0,3.0,348.0,,,174,2.0,0.0,10.057803468208093,2.0,,,,,,,,,,,
2001,825,Calgary,0140,nan,5.0,3.0,2664.0,,,55,48.44,3.02,11.8,2.0,,,,,,,,,,,
2001,825,Calgary,0140,nan,2.0,1.0,356.0,,,178,2.0,0.0,5.817073170731708,1.0,,,,,,,,,,,
2001,825,Calgary,0140,nan,1.0,1.0,6766.0,,,6766,1.0,0.0,4.3984743915728295,0.0,,,,,,,,,,,
2001,825,Calgary,0140,nan,4.0,3.0,899.0,,,190,4.73,0.0,8.356382978723405,1.0,,,,,,,,,,,
2001,825,Calgary,0140,nan,4.0,2.0,5.0,,,1,5.0,0.0,6.0,0.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,1.0,3.0,19.0,,,19,1.0,0.0,5.473684210526316,0.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,2.0,3.0,330.0,,,165,2.0,0.0,9.166666666666666,3.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,5.0,2.0,142.0,,,9,15.78,1.0,8.222222222222221,2.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,1.0,1.0,8399.0,,,8399,1.0,0.0,4.644780039395929,0.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,5.0,3.0,2379.0,,,51,46.65,3.2,13.2,3.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,2.0,2.0,2.0,,,1,2.0,0.0,7.0,0.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,4.0,1.0,15.0,,,5,3.0,0.0,6.25,1.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,5.0,1.0,3.0,,,1,3.0,3.0,10.0,7.0,,,,,,,,,,,
2002,825,Calgary,0140,,1.0,1.0,3.0,,,3,1.0,0.0,12.666666666666666,8.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,2.0,1.0,300.0,,,150,2.0,0.0,6.645833333333333,0.0,,,,,,,,,,,
2002,825,Calgary,0140,nan,4.0,3.0,1038.0,,,225,4.61,0.01,8.196172248803828,2.0,,,,,,,,,,,
2003,825,Calgary,0140,nan,4.0,2.0,8.0,,,2,4.0,0.0,20.0,-9.0,,,,,,,,,,,
2003,825,Calgary,0140,nan,1.0,3.0,23.0,,,23,1.0,0.0,7.636363636363637,1.0,,,,,,,,,,,
2003,825,Calgary,0140,nan,5.0,2.0,638.0,,,7,91.14,2.43,12.571428571428571,1.0,,,,,,,,,,,
2003,825,Calgary,0140,nan,2.0,2.0,4.0,,,2,2.0,0.0,8.0,1.0,,,,,,,,,,,
2003,825,Calgary,0140,nan,4.0,3.0,1212.0,,,232,5.22,0.0,8.3,2.0,,,,,,,,,,,
