reference_period,ref_qq,metcode,metro,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,population,comp_per_10kpop
2016-07-01,3,0140,Calgary,12684.0,,12684.0,4376,2.9,0.12,7.976787372330548,0.47,1455343.75,87.15
2016-06-01,2,0140,Calgary,15840.0,,15840.0,5680,2.79,0.13,8.082025677603424,0.43,1455343.75,108.84
2016-12-01,4,0140,Calgary,14064.0,,14064.0,4756,2.96,0.14,7.799490229396771,0.8,1455343.75,96.64
2016-01-01,1,0140,Calgary,10368.0,,10368.0,3472,2.99,0.17,8.50291715285881,0.45,1455343.75,71.24
2017-06-01,2,0140,Calgary,9016.0,,9016.0,4436,2.03,0.08,6.927140255009108,1.03,1479844.06,60.93
2017-02-01,1,0140,Calgary,12268.0,,12268.0,4116,2.98,0.17,7.254960317460317,1.05,1479844.06,82.9
2017-07-01,3,0140,Calgary,9320.0,,9320.0,5356,1.74,0.04,6.722306525037936,0.97,1479844.06,62.98
2017-10-01,4,0140,Calgary,13452.0,,13452.0,5696,2.36,0.09,6.965223562810504,1.09,1479844.06,90.9
2018-03-01,1,0140,Calgary,8628.0,,8628.0,4976,1.73,0.04,6.635696821515892,1.02,1510785.75,57.11
2018-04-01,2,0140,Calgary,9036.0,8.0,9028.0,5436,1.66,0.03,6.06083650190114,0.73,1510785.75,59.81
2018-07-01,3,0140,Calgary,9936.0,40.0,9896.0,5176,1.92,0.07,6.926944226237235,0.77,1510785.75,65.77
2018-10-01,4,0140,Calgary,11328.0,56.0,11272.0,5388,2.1,0.07,7.045830202854996,0.98,1510785.75,74.98
2019-12-01,4,0140,Calgary,11312.0,100.0,11212.0,4352,2.6,0.11,7.175803402646503,0.95,1540598.94,73.43
2019-03-01,1,0140,Calgary,9980.0,88.0,9892.0,4224,2.36,0.11,7.295938104448743,0.98,1540598.94,64.78
2019-08-01,3,0140,Calgary,12488.0,140.0,12348.0,4888,2.55,0.11,7.272804054054054,1.13,1540598.94,81.06
2019-06-01,2,0140,Calgary,10756.0,68.0,10688.0,4988,2.16,0.07,7.220563847429519,1.03,1540598.94,69.82
2020-03-01,1,0140,Calgary,9896.0,204.0,9692.0,4628,2.14,0.09,6.9037102473498235,1.06,1553935.06,63.68
2020-09-01,3,0140,Calgary,12744.0,144.0,12600.0,5244,2.43,0.1,6.98,1.17,1553935.06,82.01
2020-11-01,4,0140,Calgary,10844.0,132.0,10712.0,4624,2.35,0.11,7.4973776223776225,1.21,1553935.06,69.78
2020-06-01,2,0140,Calgary,9336.0,160.0,9176.0,5120,1.82,0.05,6.3774940143655225,0.85,1553935.06,60.08
2021-07-01,3,0140,Calgary,10920.0,116.0,10804.0,5816,1.88,0.07,6.187055476529161,1.2,1598936.31,68.3
2021-01-01,1,0140,Calgary,6876.0,208.0,6668.0,4052,1.7,0.05,6.047904191616767,1.22,1598936.31,43.0
