reference_period,metro,metcode,dweltype,mkttycd,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price,population,comp_per_10kpop
1997,Calgary,0140,2.0,1.0,202.0,,,101,2.0,0.0,6.612244897959184,0.26,,,,,,,,,,,,899742.31,2.25
1997,Calgary,0140,2.0,3.0,218.0,,,109,2.0,0.0,9.39622641509434,2.71,,,,,,,,,,,,899742.31,2.42
1997,Calgary,0140,1.0,1.0,7563.0,,,7563,1.0,0.0,4.302155771905424,0.26,,,,,,,,,,,,899742.31,84.06
1997,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,9.0,0.0,,,,,,,,,,,,899742.31,0.02
1997,Calgary,0140,5.0,3.0,496.0,,,19,26.11,0.0,13.263157894736842,2.05,,,,,,,,,,,,899742.31,5.51
1997,Calgary,0140,4.0,1.0,20.0,,,4,5.0,0.0,14.75,0.25,,,,,,,,,,,,899742.31,0.22
1997,Calgary,0140,5.0,1.0,6.0,,,2,3.0,0.0,14.0,0.0,,,,,,,,,,,,899742.31,0.07
1997,Calgary,0140,5.0,2.0,18.0,,,3,6.0,0.0,5.333333333333333,1.33,,,,,,,,,,,,899742.31,0.2
1997,Calgary,0140,4.0,2.0,8.0,,,2,4.0,0.0,8.0,2.0,,,,,,,,,,,,899742.31,0.09
1998,Calgary,0140,1.0,1.0,9458.0,,,9458,1.0,0.0,4.2835209825997955,0.21,,,,,,,,,,,,925463.09,102.2
1998,Calgary,0140,5.0,2.0,121.0,,,4,30.25,1.5,6.75,1.0,,,,,,,,,,,,925463.09,1.31
1998,Calgary,0140,1.0,3.0,27.0,,,27,1.0,0.0,7.296296296296297,1.41,,,,,,,,,,,,925463.09,0.29
1998,Calgary,0140,4.0,2.0,9.0,,,2,4.5,0.0,5.0,3.5,,,,,,,,,,,,925463.09,0.1
1998,Calgary,0140,2.0,3.0,240.0,,,120,2.0,0.0,7.758928571428571,2.25,,,,,,,,,,,,925463.09,2.59
1998,Calgary,0140,2.0,1.0,230.0,,,115,2.0,0.0,6.357142857142857,0.51,,,,,,,,,,,,925463.09,2.49
1998,Calgary,0140,4.0,1.0,11.0,,,3,3.67,0.0,7.0,1.67,,,,,,,,,,,,925463.09,0.12
1998,Calgary,0140,4.0,3.0,894.0,,,202,4.43,0.0,7.8606965174129355,1.63,,,,,,,,,,,,925463.09,9.66
1998,Calgary,0140,5.0,1.0,7.0,,,2,3.5,0.0,3.5,3.0,,,,,,,,,,,,925463.09,0.08
1998,Calgary,0140,5.0,3.0,1114.0,,,39,28.56,0.54,9.512820512820513,1.82,,,,,,,,,,,,925463.09,12.04
1999,Calgary,0140,1.0,1.0,7074.0,,,7074,1.0,0.0,4.2912408759124085,0.21,,,,,,,,,,,,949842.56,74.48
1999,Calgary,0140,2.0,3.0,258.0,,,129,2.0,0.0,8.401639344262295,1.22,,,,,,,,,,,,949842.56,2.72
1999,Calgary,0140,5.0,2.0,260.0,,,3,86.67,3.33,8.0,4.0,,,,,,,,,,,,949842.56,2.74
1999,Calgary,0140,4.0,3.0,555.0,,,123,4.51,0.02,9.132231404958677,1.64,,,,,,,,,,,,949842.56,5.84
1999,Calgary,0140,4.0,2.0,7.0,,,2,3.5,0.0,5.0,1.0,,,,,,,,,,,,949842.56,0.07
1999,Calgary,0140,5.0,1.0,6.0,,,1,6.0,0.0,23.0,2.0,,,,,,,,,,,,949842.56,0.06
1999,Calgary,0140,4.0,1.0,30.0,,,9,3.33,0.0,6.111111111111111,0.78,,,,,,,,,,,,949842.56,0.32
1999,Calgary,0140,2.0,1.0,252.0,,,126,2.0,0.0,6.587719298245614,0.62,,,,,,,,,,,,949842.56,2.65
1999,Calgary,0140,1.0,3.0,41.0,,,41,1.0,0.0,8.166666666666666,1.59,,,,,,,,,,,,949842.56,0.43
1999,Calgary,0140,5.0,3.0,1172.0,,,63,18.6,1.49,12.548387096774194,2.35,,,,,,,,,,,,949842.56,12.34
2000,Calgary,0140,2.0,1.0,274.0,,,137,2.0,0.0,7.53781512605042,0.55,,,,,,,,,,,,974556.1,2.81
2000,Calgary,0140,4.0,1.0,11.0,,,2,5.5,0.0,17.5,3.5,,,,,,,,,,,,974556.1,0.11
2000,Calgary,0140,5.0,3.0,2600.0,,,77,33.77,2.53,13.428571428571429,1.95,,,,,,,,,,,,974556.1,26.68
2000,Calgary,0140,1.0,3.0,34.0,,,34,1.0,0.0,11.727272727272727,1.44,,,,,,,,,,,,974556.1,0.35
2000,Calgary,0140,5.0,2.0,75.0,,,5,15.0,1.4,6.8,1.0,,,,,,,,,,,,974556.1,0.77
2000,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,11.0,0.0,,,,,,,,,,,,974556.1,0.02
2000,Calgary,0140,5.0,1.0,10.0,,,2,5.0,0.0,26.5,1.0,,,,,,,,,,,,974556.1,0.1
2000,Calgary,0140,1.0,1.0,6750.0,,,6750,1.0,0.0,4.423887587822014,0.19,,,,,,,,,,,,974556.1,69.26
2000,Calgary,0140,2.0,3.0,330.0,,,165,2.0,0.0,10.901234567901234,1.59,,,,,,,,,,,,974556.1,3.39
2000,Calgary,0140,4.0,3.0,639.0,,,134,4.77,0.0,12.393939393939394,2.4,,,,,,,,,,,,974556.1,6.56
2000,Calgary,0140,1.0,2.0,4.0,,,4,1.0,0.0,,4.0,,,,,,,,,,,,974556.1,0.04
2001,Calgary,0140,2.0,1.0,356.0,,,178,2.0,0.0,5.817073170731708,0.57,,,,,,,,,,,,1004815.47,3.54
2001,Calgary,0140,4.0,2.0,5.0,,,1,5.0,0.0,6.0,0.0,,,,,,,,,,,,1004815.47,0.05
2001,Calgary,0140,5.0,3.0,2664.0,,,55,48.44,3.02,11.8,1.82,,,,,,,,,,,,1004815.47,26.51
2001,Calgary,0140,1.0,3.0,11.0,,,11,1.0,0.0,11.636363636363637,0.18,,,,,,,,,,,,1004815.47,0.11
2001,Calgary,0140,2.0,3.0,348.0,,,174,2.0,0.0,10.057803468208093,1.77,,,,,,,,,,,,1004815.47,3.46
2001,Calgary,0140,4.0,3.0,899.0,,,190,4.73,0.0,8.356382978723405,1.09,,,,,,,,,,,,1004815.47,8.95
2001,Calgary,0140,5.0,2.0,18.0,,,3,6.0,1.0,9.333333333333334,6.33,,,,,,,,,,,,1004815.47,0.18
2001,Calgary,0140,1.0,2.0,13.0,,,13,1.0,0.0,3.076923076923077,2.77,,,,,,,,,,,,1004815.47,0.13
2001,Calgary,0140,1.0,1.0,6766.0,,,6766,1.0,0.0,4.3984743915728295,0.19,,,,,,,,,,,,1004815.47,67.34
2002,Calgary,0140,4.0,1.0,15.0,,,5,3.0,0.0,6.25,1.4,,,,,,,,,,,,1026949.07,0.15
2002,Calgary,0140,1.0,1.0,8402.0,,,8402,1.0,0.0,4.647939091625099,0.23,,,,,,,,,,,,1026949.07,81.82
2002,Calgary,0140,1.0,3.0,19.0,,,19,1.0,0.0,5.473684210526316,0.16,,,,,,,,,,,,1026949.07,0.19
2002,Calgary,0140,5.0,2.0,142.0,,,9,15.78,1.0,8.222222222222221,1.67,,,,,,,,,,,,1026949.07,1.38
2002,Calgary,0140,2.0,3.0,330.0,,,165,2.0,0.0,9.166666666666666,2.54,,,,,,,,,,,,1026949.07,3.21
2002,Calgary,0140,5.0,1.0,3.0,,,1,3.0,3.0,10.0,7.0,,,,,,,,,,,,1026949.07,0.03
2002,Calgary,0140,5.0,3.0,2379.0,,,51,46.65,3.2,13.2,2.76,,,,,,,,,,,,1026949.07,23.17
2002,Calgary,0140,2.0,1.0,300.0,,,150,2.0,0.0,6.645833333333333,0.43,,,,,,,,,,,,1026949.07,2.92
2002,Calgary,0140,4.0,3.0,1038.0,,,225,4.61,0.01,8.196172248803828,2.04,,,,,,,,,,,,1026949.07,10.11
2002,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,7.0,0.0,,,,,,,,,,,,1026949.07,0.02
2003,Calgary,0140,1.0,1.0,8949.0,,,8949,1.0,0.0,5.019834710743802,0.31,,,,,,,,,,,,1049550.64,85.27
2003,Calgary,0140,1.0,3.0,23.0,,,23,1.0,0.0,7.636363636363637,1.26,,,,,,,,,,,,1049550.64,0.22
2003,Calgary,0140,4.0,3.0,1212.0,,,232,5.22,0.0,8.3,2.4,,,,,,,,,,,,1049550.64,11.55
2003,Calgary,0140,5.0,2.0,638.0,,,7,91.14,2.43,12.571428571428571,1.29,,,,,,,,,,,,1049550.64,6.08
2003,Calgary,0140,4.0,2.0,8.0,,,2,4.0,0.0,20.0,-8.5,,,,,,,,,,,,1049550.64,0.08
2003,Calgary,0140,5.0,3.0,2616.0,,,59,44.34,2.22,11.084745762711865,3.37,,,,,,,,,,,,1049550.64,24.92
2003,Calgary,0140,2.0,2.0,4.0,,,2,2.0,0.0,8.0,1.0,,,,,,,,,,,,1049550.64,0.04
2003,Calgary,0140,4.0,1.0,61.0,,,17,3.59,0.0,5.411764705882353,1.0,,,,,,,,,,,,1049550.64,0.58
2003,Calgary,0140,2.0,1.0,454.0,,,227,2.0,0.0,7.678733031674208,0.52,,,,,,,,,,,,1049550.64,4.33
2003,Calgary,0140,2.0,3.0,322.0,,,161,2.0,0.0,8.375796178343949,3.68,,,,,,,,,,,,1049550.64,3.07
2004,Calgary,0140,5.0,2.0,240.0,,,3,80.0,0.0,11.333333333333334,1.67,,,,,,,,,,,,1083762.24,2.21
2004,Calgary,0140,2.0,3.0,244.0,,,122,2.0,0.0,9.264462809917354,2.49,,,,,,,,,,,,1083762.24,2.25
2004,Calgary,0140,5.0,3.0,2461.0,,,56,43.95,0.0,12.892857142857142,4.02,,,,,,,,,,,,1083762.24,22.71
2004,Calgary,0140,4.0,3.0,1150.0,,,214,5.37,0.0,8.85781990521327,3.16,,,,,,,,,,,,1083762.24,10.61
2004,Calgary,0140,2.0,1.0,576.0,,,288,2.0,0.0,7.113553113553113,0.54,,,,,,,,,,,,1083762.24,5.31
2004,Calgary,0140,2.0,2.0,12.0,,,6,2.0,0.0,4.333333333333333,1.17,,,,,,,,,,,,1083762.24,0.11
2004,Calgary,0140,5.0,1.0,1.0,,,1,1.0,0.0,13.0,4.0,,,,,,,,,,,,1083762.24,0.01
2004,Calgary,0140,1.0,1.0,8286.0,,,8286,1.0,0.0,5.214741502799844,0.26,,,,,,,,,,,,1083762.24,76.46
2004,Calgary,0140,4.0,2.0,4.0,,,1,4.0,0.0,14.0,2.0,,,,,,,,,,,,1083762.24,0.04
2004,Calgary,0140,1.0,3.0,5.0,,,5,1.0,0.0,5.4,4.0,,,,,,,,,,,,1083762.24,0.05
2004,Calgary,0140,4.0,1.0,35.0,,,10,3.5,0.0,6.7,1.6,,,,,,,,,,,,1083762.24,0.32
2005,Calgary,0140,4.0,1.0,17.0,,,5,3.4,0.0,8.2,0.4,,,,,,,,,,,,1120692.72,0.15
2005,Calgary,0140,4.0,3.0,797.0,,,148,5.39,0.0,7.575342465753424,3.78,,,,,,,,,,,,1120692.72,7.11
2005,Calgary,0140,5.0,3.0,2606.0,,,59,44.17,0.07,12.271186440677965,2.63,,,,,,,,,,,,1120692.72,23.25
2005,Calgary,0140,5.0,2.0,471.0,,,6,78.5,0.0,12.833333333333334,2.33,,,,,,,,,,,,1120692.72,4.2
2005,Calgary,0140,2.0,1.0,738.0,,,369,2.0,0.0,7.319327731092437,0.58,,,,,,,,,,,,1120692.72,6.59
2005,Calgary,0140,2.0,3.0,178.0,,,89,2.0,0.0,10.193181818181818,1.9,,,,,,,,,,,,1120692.72,1.59
2005,Calgary,0140,1.0,1.0,7969.0,,,7969,1.0,0.0,5.145284280936455,0.26,,,,,,,,,,,,1120692.72,71.11
2005,Calgary,0140,1.0,3.0,8.0,,,8,1.0,0.0,8.625,0.13,,,,,,,,,,,,1120692.72,0.07
2005,Calgary,0140,4.0,2.0,22.0,,,4,5.5,0.0,27.75,6.0,,,,,,,,,,,,1120692.72,0.2
2005,Calgary,0140,2.0,2.0,8.0,,,4,2.0,0.0,5.75,1.25,,,,,,,,,,,,1120692.72,0.07
2006,Calgary,0140,2.0,3.0,206.0,,,103,2.0,0.0,10.194174757281553,3.01,,,,,,,,,,,,1151604.22,1.79
2006,Calgary,0140,4.0,1.0,22.0,,,7,3.14,0.0,13.428571428571429,2.29,,,,,,,,,,,,1151604.22,0.19
2006,Calgary,0140,4.0,3.0,753.0,,,136,5.54,0.01,10.104477611940299,5.54,,,,,,,,,,,,1151604.22,6.54
2006,Calgary,0140,5.0,2.0,23.0,,,2,11.5,0.0,7.5,1.0,,,,,,,,,,,,1151604.22,0.2
2006,Calgary,0140,5.0,3.0,2790.0,,,51,54.71,2.33,13.98,4.39,,,,,,,,,,,,1151604.22,24.23
2006,Calgary,0140,2.0,1.0,712.0,,,356,2.0,0.0,8.011267605633803,0.99,,,,,,,,,,,,1151604.22,6.18
