"ref_yy","metcode","metro","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"1995","1060","MONTRÉAL",259,50.579150579151,45.559845559846,2.316602316602,1.158301158301,0.3861003861,7.68725868725869
"1995","1265",NA,20,10,65,10,10,5,24.5
"1995","2270",NA,64,3.125,20.3125,32.8125,15.625,28.125,81.53125
"1995","2410","VANCOUVER",184,7.608695652174,29.347826086957,39.673913043478,12.5,10.869565217391,44.4565217391304
"1996","0140","CALGARY",20,25,30,35,10,0,25.75
"1996","0340","EDMONTON",5,20,0,60,0,20,48.2
"1996","1060","MONTRÉAL",323,50.15479876161,47.368421052632,1.857585139319,0.61919504644,0,6.29411764705882
"1996","1265",NA,17,23.529411764706,70.588235294118,5.882352941176,0,0,11.5294117647059
"1996","2270","TORONTO",46,13.04347826087,17.391304347826,26.086956521739,8.695652173913,34.782608695652,68.9565217391304
"1996","2410","VANCOUVER",160,6.875,23.125,44.375,14.375,11.25,49.4375
"1997","0140","CALGARY",41,34.146341463415,29.268292682927,14.634146341463,17.073170731707,4.878048780488,27.219512195122
"1997","0340","EDMONTON",16,6.25,18.75,62.5,0,12.5,44.625
"1997","1060","MONTRÉAL",438,49.771689497717,46.118721461187,3.424657534247,0.456621004566,0.228310502283,6.79908675799087
"1997","1265",NA,10,10,90,0,0,0,12.3
"1997","2270",NA,51,3.921568627451,41.176470588235,19.607843137255,9.803921568627,25.490196078431,62.2549019607843
"1997","2410","VANCOUVER",166,5.421686746988,21.084337349398,45.78313253012,15.060240963855,12.650602409639,52.0903614457831
"1998","0140","CALGARY",89,25.842696629213,38.202247191011,31.460674157303,2.247191011236,2.247191011236,22
"1998","0340","EDMONTON",16,0,0,43.75,18.75,37.5,84.25
"1998","1060","MONTRÉAL",397,43.073047858942,52.64483627204,4.030226700252,0.251889168766,0,7.08564231738035
"1998","1265","OTTAWA",8,75,12.5,0,12.5,0,14.5
"1998","2270","TORONTO",48,6.25,20.833333333333,25,2.083333333333,45.833333333333,96.2708333333333
"1998","2410","VANCOUVER",114,3.508771929825,25.438596491228,42.105263157895,13.157894736842,15.789473684211,57.2280701754386
"1999","0140","CALGARY",72,11.111111111111,26.388888888889,47.222222222222,9.722222222222,5.555555555556,38.7638888888889
"1999","0340","EDMONTON",30,6.666666666667,6.666666666667,53.333333333333,10,23.333333333333,62.2
"1999","1060","MONTRÉAL",433,51.732101616628,40.646651270208,4.618937644342,1.61662817552,1.385681293303,9.68822170900693
"1999","1265",NA,12,25,58.333333333333,8.333333333333,8.333333333333,0,14.0833333333333
"1999","2270","TORONTO",85,3.529411764706,15.294117647059,25.882352941176,15.294117647059,40,101.894117647059
"1999","2410","VANCOUVER",70,10,21.428571428571,34.285714285714,22.857142857143,11.428571428571,52.6571428571429
"2000","0140","CALGARY",70,18.571428571429,20,34.285714285714,15.714285714286,11.428571428571,42.5714285714286
"2000","0340","EDMONTON",37,8.108108108108,24.324324324324,43.243243243243,16.216216216216,8.108108108108,41.8648648648649
"2000","1060","MONTRÉAL",407,44.226044226044,48.894348894349,3.685503685504,1.474201474201,1.719901719902,11.1474201474201
"2000","1265",NA,13,23.076923076923,61.538461538462,0,0,15.384615384615,44
"2000","2270","TORONTO",104,2.884615384615,20.192307692308,25,13.461538461538,38.461538461538,97.2403846153846
"2000","2410","VANCOUVER",60,8.333333333333,21.666666666667,35,18.333333333333,16.666666666667,54.7833333333333
"2001","0140","CALGARY",41,7.317073170732,26.829268292683,36.585365853659,14.634146341463,14.634146341463,53.0487804878049
"2001","0340","EDMONTON",57,17.543859649123,21.052631578947,38.59649122807,15.789473684211,7.017543859649,38.5438596491228
"2001","1060","MONTRÉAL",448,41.517857142857,50,4.910714285714,2.901785714286,0.669642857143,10.6361607142857
"2001","1265","OTTAWA",25,0,64,28,4,4,27
"2001","2270","TORONTO",112,10.714285714286,13.392857142857,23.214285714286,9.821428571429,42.857142857143,120.482142857143
"2001","2410","VANCOUVER",73,5.479452054795,8.219178082192,36.986301369863,26.027397260274,23.287671232877,73.5068493150685
"2002","0140","CALGARY",65,16.923076923077,15.384615384615,38.461538461538,16.923076923077,12.307692307692,46.6307692307692
"2002","0340","EDMONTON",67,1.492537313433,16.417910447761,44.776119402985,20.89552238806,16.417910447761,61.5820895522388
"2002","1060","MONTRÉAL",895,45.698324022346,47.932960893855,3.798882681564,1.899441340782,0.670391061453,9.17430167597765
"2002","1265","OTTAWA",30,13.333333333333,40,10,0,36.666666666667,56.6
"2002","2270","TORONTO",82,12.19512195122,10.975609756098,23.170731707317,7.317073170732,46.341463414634,125.378048780488
"2002","2410","VANCOUVER",92,8.695652173913,21.739130434783,30.434782608696,20.652173913043,18.478260869565,59.5652173913044
"2003","0140","CALGARY",63,17.460317460317,11.111111111111,47.619047619048,11.111111111111,12.698412698413,48
"2003","0340","EDMONTON",74,4.054054054054,17.567567567568,37.837837837838,22.972972972973,17.567567567568,57.8378378378378
"2003","1060","MONTRÉAL",1048,42.843511450382,48.37786259542,5.534351145038,1.812977099237,1.431297709924,11.550572519084
"2003","1265","OTTAWA",15,20,40,6.666666666667,13.333333333333,20,48.5333333333333
"2003","2270","TORONTO",123,2.439024390244,22.764227642276,25.20325203252,8.130081300813,41.463414634146,124.471544715447
"2003","2410","VANCOUVER",102,0,23.529411764706,34.313725490196,16.666666666667,25.490196078431,67.7058823529412
"2004","0140","CALGARY",67,19.402985074627,19.402985074627,26.865671641791,13.432835820896,20.89552238806,58.4179104477612
"2004","0340","EDMONTON",65,6.153846153846,21.538461538462,41.538461538462,23.076923076923,7.692307692308,49.7230769230769
"2004","1060","MONTRÉAL",1234,39.546191247974,50.405186385737,5.753646677472,2.512155591572,1.782820097245,12.7820097244733
"2004","1265","OTTAWA",30,13.333333333333,20,46.666666666667,13.333333333333,6.666666666667,39.8
"2004","2270","TORONTO",100,5,22,16,9,48,136.25
"2004","2410","VANCOUVER",135,5.185185185185,17.037037037037,44.444444444444,13.333333333333,20,68.237037037037
"2005","0140","CALGARY",64,32.8125,21.875,20.3125,10.9375,14.0625,43.765625
"2005","0340","EDMONTON",70,5.714285714286,28.571428571429,28.571428571429,20,17.142857142857,53.7428571428571
"2005","1060","MONTRÉAL",1103,35.902085222121,53.581142339075,6.34632819583,1.359927470535,2.810516772439,13.283771532185
"2005","1265","OTTAWA",20,5,65,10,5,15,37.7
"2005","2270","TORONTO",134,1.492537313433,23.880597014925,23.880597014925,10.44776119403,40.298507462687,118.679104477612
"2005","2410","VANCOUVER",142,3.521126760563,19.718309859155,36.619718309859,18.30985915493,21.830985915493,69.0422535211268
"2006","0140","CALGARY",76,21.052631578947,19.736842105263,28.947368421053,10.526315789474,19.736842105263,58.0263157894737
"2006","0340","EDMONTON",63,3.174603174603,28.571428571429,19.047619047619,31.746031746032,17.460317460317,58.8888888888889
"2006","1060","MONTRÉAL",1108,41.335740072202,51.624548736462,3.70036101083,1.4440433213,1.895306859206,11.8330324909747
"2006","1265","OTTAWA",42,2.380952380952,69.047619047619,16.666666666667,4.761904761905,7.142857142857,28.952380952381
"2006","2270","TORONTO",159,2.51572327044,37.106918238994,25.157232704403,5.660377358491,29.559748427673,93.5471698113208
"2006","2410","VANCOUVER",126,3.968253968254,8.730158730159,39.68253968254,24.603174603175,23.015873015873,73.2142857142857
"2007","0140","CALGARY",66,12.121212121212,33.333333333333,22.727272727273,18.181818181818,13.636363636364,51
"2007","0340","EDMONTON",79,8.860759493671,17.721518987342,29.113924050633,35.443037974684,8.860759493671,53.3037974683544
"2007","1060","MONTRÉAL",1047,40.210124164279,51.480420248329,5.062082139446,1.050620821394,2.196752626552,12.1222540592168
"2007","1265","OTTAWA",63,11.111111111111,73.015873015873,7.936507936508,1.587301587302,6.349206349206,20.3015873015873
"2007","2270","TORONTO",100,19,23,14,4,40,103.42
"2007","2410","VANCOUVER",153,0.653594771242,12.418300653595,27.450980392157,32.679738562092,26.797385620915,83.3790849673203
"2008","0140","CALGARY",63,17.460317460317,12.698412698413,15.873015873016,19.047619047619,34.920634920635,90.5238095238095
"2008","0340","EDMONTON",43,2.325581395349,20.93023255814,27.906976744186,27.906976744186,20.93023255814,60.0232558139535
"2008","1060","MONTRÉAL",1120,42.857142857143,49.553571428571,5,1.071428571429,1.517857142857,11.3232142857143
"2008","1265","OTTAWA",64,3.125,81.25,7.8125,1.5625,6.25,26.1875
"2008","2270","TORONTO",120,0,6.666666666667,16.666666666667,5.833333333333,70.833333333333,198.908333333333
"2008","2410","VANCOUVER",149,1.342281879195,10.06711409396,34.228187919463,30.201342281879,24.161073825503,80.5906040268456
"2009","0140","CALGARY",15,46.666666666667,6.666666666667,33.333333333333,13.333333333333,0,25.8666666666667
