"ref_yy","metcode","metro","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"2009","2410","VANCOUVER",40,30,47.5,7.5,5,10,8.65
"2010","0140","CALGARY",34,91.176470588235,2.941176470588,2.941176470588,2.941176470588,0,1.5
"2010","0340","EDMONTON",36,83.333333333333,16.666666666667,0,0,0,1.11111111111111
"2010","1060","MONTRÉAL",1218,96.88013136289,2.134646962233,0.903119868637,0,0.08210180624,1.17651888341544
"2010","1265","OTTAWA",64,93.75,3.125,3.125,0,0,0.609375
"2010","2270","TORONTO",97,67.010309278351,5.154639175258,18.556701030928,4.123711340206,5.154639175258,6.22680412371134
"2010","2410","VANCOUVER",87,26.436781609195,51.724137931034,14.942528735632,6.896551724138,0,6.22988505747126
"2011","0140","CALGARY",47,91.489361702128,8.510638297872,0,0,0,0.531914893617021
"2011","0340","EDMONTON",33,72.727272727273,27.272727272727,0,0,0,1.24242424242424
"2011","1060","MONTRÉAL",1085,94.746543778802,4.055299539171,1.198156682028,0,0,1.26175115207373
"2011","1265","OTTAWA",69,94.202898550725,2.898550724638,2.898550724638,0,0,0.739130434782609
"2011","2270","TORONTO",112,36.607142857143,9.821428571429,27.678571428571,12.5,13.392857142857,12.5714285714286
"2011","2410","VANCOUVER",123,30.081300813008,47.154471544715,17.073170731707,2.439024390244,3.252032520325,6.11382113821138
"2012","0140","CALGARY",73,73.972602739726,21.917808219178,2.739726027397,1.369863013699,0,2.08219178082192
"2012","0340","EDMONTON",54,57.407407407407,33.333333333333,9.259259259259,0,0,2.38888888888889
"2012","1060","MONTRÉAL",971,90.422245108136,6.282183316169,2.986611740474,0.205973223481,0.10298661174,1.93202883625129
"2012","1265","OTTAWA",67,79.10447761194,8.955223880597,10.44776119403,1.492537313433,0,2.98507462686567
"2012","2270","TORONTO",146,40.41095890411,10.27397260274,27.397260273973,8.904109589041,13.013698630137,11.8972602739726
"2012","2410","VANCOUVER",153,30.065359477124,44.444444444444,16.993464052288,4.575163398693,3.921568627451,7.52287581699346
"2013","0140","CALGARY",105,83.809523809524,11.428571428571,3.809523809524,0,0.952380952381,1.52380952380952
"2013","0340","EDMONTON",87,52.873563218391,43.67816091954,0,3.448275862069,0,3.13793103448276
"2013","1060","MONTRÉAL",808,90.470297029703,6.311881188119,3.217821782178,0,0,2.18069306930693
"2013","1265","OTTAWA",80,82.5,5,11.25,1.25,0,3.375
"2013","2270","TORONTO",128,45.3125,17.96875,19.53125,5.46875,11.71875,9.9921875
"2013","2410","VANCOUVER",132,25,45.454545454545,18.939393939394,3.787878787879,6.818181818182,8.40151515151515
"2014","0140","CALGARY",127,69.291338582677,23.622047244094,3.937007874016,1.574803149606,1.574803149606,2.54330708661417
"2014","0340","EDMONTON",65,52.307692307692,44.615384615385,0,1.538461538462,1.538461538462,3.38461538461538
"2014","1060","MONTRÉAL",859,89.522700814901,6.286379511059,3.60884749709,0,0.58207217695,2.67171129220023
"2014","1265","OTTAWA",74,78.378378378378,13.513513513514,6.756756756757,1.351351351351,0,3.95945945945946
"2014","2270","TORONTO",118,55.084745762712,11.864406779661,23.728813559322,2.542372881356,6.779661016949,7.29661016949153
"2014","2410","VANCOUVER",136,16.911764705882,59.558823529412,19.117647058824,2.205882352941,2.205882352941,7.125
"2015","0140","CALGARY",111,43.243243243243,51.351351351351,2.702702702703,1.801801801802,0.900900900901,4.01801801801802
"2015","0340","EDMONTON",120,31.666666666667,61.666666666667,5,0.833333333333,0.833333333333,4.39166666666667
"2015","1060","MONTRÉAL",761,83.574244415243,11.300919842313,4.467805519054,0.131406044678,0.525624178712,3.22864651773982
"2015","1265","OTTAWA",59,81.35593220339,8.474576271186,6.779661016949,3.389830508475,0,4.38983050847458
"2015","2270","TORONTO",209,35.406698564593,29.186602870813,18.66028708134,7.655502392344,9.090909090909,10.822966507177
"2015","2410","VANCOUVER",117,9.401709401709,54.700854700855,19.65811965812,6.837606837607,9.401709401709,10.5982905982906
"2016","0140","CALGARY",77,46.753246753247,40.25974025974,9.090909090909,1.298701298701,2.597402597403,5.06493506493506
"2016","0340","EDMONTON",51,31.372549019608,62.745098039216,5.882352941176,0,0,3.88235294117647
"2016","1060","MONTRÉAL",755,83.973509933775,10.066225165563,5.165562913907,0.529801324503,0.264900662252,3.29271523178808
"2016","1265","OTTAWA",60,71.666666666667,21.666666666667,5,1.666666666667,0,3.8
