"","reference_period_qq","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","underconstr_per_10kpop"
"75","1994-2","1265","June 30, 1994","OTTAWA",1810,716,2.52793296089385,0.0349162011173184,1994,2,"772850.0502212549",23.4198082730515
"76","1994-3","0140","September 30, 1994","CALGARY",2588,1701,1.52145796590241,0,1994,3,"816043.918",31.7139793939375
"77","1994-3","0610","September 30, 1994","HAMILTON",1482,674,2.19881305637982,0,1994,3,"634523.022",23.3561265488646
"78","1994-3","1265","September 30, 1994","OTTAWA",1312,513,2.55750487329435,0.00779727095516569,1994,3,"774420.5909683689",16.9416982877408
"79","1994-4","0140","December 31, 1994","CALGARY",2838,1609,1.76382846488502,0,1994,4,"820531.899",34.5873207788598
"80","1994-4","0610","December 31, 1994","HAMILTON",1049,527,1.99051233396584,0,1994,4,"636110.572",16.4908436704932
"81","1994-4","1265","December 31, 1994","OTTAWA",784,330,2.37575757575758,0.0333333333333333,1994,4,"775980.530943761",10.1033462662586
"82","1995-1","0140","March 31, 1995","CALGARY",2703,1594,1.69573400250941,0,1995,1,"825193.981",32.7559345103851
"83","1995-1","0610","March 31, 1995","HAMILTON",1096,489,2.24130879345603,0,1995,1,"637696.87",17.1868492940854
"84","1995-1","1265","March 31, 1995","OTTAWA",503,198,2.54040404040404,0.0555555555555556,1995,1,"777685.0470553581",6.4679139955766
"85","1995-2","0140","June 30, 1995","CALGARY",2825,1744,1.61983944954128,0,1995,2,"830030.162",34.0349077579665
"86","1995-2","0610","June 30, 1995","HAMILTON",1147,504,2.27579365079365,0,1995,2,"639281.915",17.9420060709836
"87","1995-2","1265","June 30, 1995","OTTAWA",819,314,2.60828025477707,0.0477707006369427,1995,2,"779432.798262362",10.5076409643762
"88","1995-3","0140","September 30, 1995","CALGARY",3033,1676,1.80966587112172,0,1995,3,"834192.731",36.3585043034857
"89","1995-3","0610","September 30, 1995","HAMILTON",1239,536,2.3115671641791,0,1995,3,"640562.764",19.3423668941206
"90","1995-3","1265","September 30, 1995","OTTAWA",820,275,2.98181818181818,0.0763636363636364,1995,3,"781058.3140367931",10.4985759099336
"91","1995-4","0140","December 31, 1995","CALGARY",2855,1731,1.64933564413634,0,1995,4,"839716.198",33.9995823207879
"92","1995-4","0610","December 31, 1995","HAMILTON",1104,439,2.51480637813212,0,1995,4,"642266.482",17.1891268023543
"93","1995-4","1265","December 31, 1995","OTTAWA",658,260,2.53076923076923,0.0423076923076923,1995,4,"782396.123850674",8.41006211484739
"94","1996-1","0140","March 31, 1996","CALGARY",2918,1642,1.77710109622412,0,1996,1,"845752.85",34.5018051077215
"95","1996-1","0610","March 31, 1996","HAMILTON",986,430,2.29302325581395,0,1996,1,"644090.124",15.3084166836255
"96","1996-1","1265","March 31, 1996","OTTAWA",710,291,2.43986254295533,0.0412371134020619,1996,1,"783343.424535385",9.06371302498791
"97","1996-2","0140","June 30, 1996","CALGARY",3318,2190,1.51506849315069,0,1996,2,"852302.687",38.9298315094952
"98","1996-2","0610","June 30, 1996","HAMILTON",1292,687,1.8806404657933,0,1996,2,"646033.691",19.9989569893809
"99","1996-2","1265","June 30, 1996","OTTAWA",1084,564,1.92198581560284,0.0354609929078014,1996,2,"784048.082359752",13.8256826894785
"100","1996-3","0140","September 30, 1996","CALGARY",3280,2229,1.47151188873935,0,1996,3,"860081.986",38.1358992908846
"101","1996-3","0610","September 30, 1996","HAMILTON",1402,711,1.971870604782,0,1996,3,"648520.583",21.6184348924512
"102","1996-3","1265","September 30, 1996","OTTAWA",1265,630,2.00793650793651,0.026984126984127,1996,3,"784720.630951958",16.1203866714375
"103","1996-4","0140","December 31, 1996","CALGARY",3181,2222,1.43159315931593,0,1996,4,"867371.684",36.6740125217184
"104","1996-4","0610","December 31, 1996","HAMILTON",1333,600,2.22166666666667,0,1996,4,"650534.64",20.4908381204727
"105","1996-4","1265","December 31, 1996","OTTAWA",1079,571,1.88966725043783,0.00525394045534151,1996,4,"785571.60394019",13.7352215200761
"106","1997-1","0140","March 31, 1997","CALGARY",4071,2916,1.39609053497942,0,1997,1,"874888.056",46.5316673611098
"107","1997-1","0610","March 31, 1997","HAMILTON",1372,713,1.92426367461431,0,1997,1,"652499.261",21.026843737682
"108","1997-1","1265","March 31, 1997","OTTAWA",892,498,1.79116465863454,0,1997,1,"786767.024759669",11.3375366776776
"109","1997-2","0140","June 30, 1997","CALGARY",4808,3416,1.40749414519906,0,1997,2,"882631.1020000001",54.4734939558022
"110","1997-2","0610","June 30, 1997","HAMILTON",1717,992,1.73084677419355,0,1997,2,"654414.447",26.237195830122
"111","1997-2","1265","June 30, 1997","OTTAWA",1214,791,1.53476611883692,0,1997,2,"788294.876073767",15.4003284411352
"112","1997-3","0140","September 30, 1997","CALGARY",4690,3157,1.48558758314856,0,1997,3,"892175.981",52.5681042740378
"113","1997-3","0610","September 30, 1997","HAMILTON",1663,901,1.8457269700333,0,1997,3,"656157.0850000001",25.3445407817245
"114","1997-3","1265","September 30, 1997",NA,1195,778,1.53598971722365,0.0089974293059126,1997,3,"790098.63035289",15.1246939823989
"115","1997-4","0140","December 31, 1997","CALGARY",5212,3406,1.5302407516148,0,1997,4,"899742.314",57.9276968405423
"116","1997-4","0610","December 31, 1997","HAMILTON",1613,866,1.86258660508083,0,1997,4,"658022.6460000001",24.5128341677165
"117","1997-4","1265","December 31, 1997",NA,1050,703,1.49359886201991,0.00995732574679943,1997,4,"792121.760067447",13.255537884865
