"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"606","2006-2","1700","S7L","June 30, 2006","SASKATOON",3,14,0.214285714285714,0
"607","2006-2","1700","S7N","June 30, 2006","SASKATOON",0,2,0,0
"608","2006-2","1700","S7T","June 30, 2006","SASKATOON",2,3,0.666666666666667,0
"609","2006-2","1700","nan","June 30, 2006","SASKATOON",86,89,0.966292134831461,0
"610","2006-2","2270","L0E","June 30, 2006","TORONTO",1,1,1,0
"611","2006-2","2270","L0G","June 30, 2006","TORONTO",2,2,1,0
"612","2006-2","2270","L0P","June 30, 2006","TORONTO",3,3,1,0
"613","2006-2","2270","L1V","June 30, 2006","TORONTO",0,3,0,0
"614","2006-2","2270","L1Z","June 30, 2006","TORONTO",0,2,0,0
"615","2006-2","2270","L3Z","June 30, 2006","TORONTO",0,1,0,0
"616","2006-2","2270","L4A","June 30, 2006","TORONTO",0,14,0,0
"617","2006-2","2270","L4B","June 30, 2006","TORONTO",0,1,0,0
"618","2006-2","2270","L4C","June 30, 2006","TORONTO",0,9,0,0
"619","2006-2","2270","L4J","June 30, 2006","TORONTO",0,3,0,0
"620","2006-2","2270","L4L","June 30, 2006","TORONTO",0,7,0,0
"621","2006-2","2270","L4P","June 30, 2006","TORONTO",1,27,0.037037037037037,0
"622","2006-2","2270","L4W","June 30, 2006","TORONTO",0,1,0,0
"623","2006-2","2270","L4Z","June 30, 2006","TORONTO",0,2,0,0
"624","2006-2","2270","L5A","June 30, 2006","TORONTO",0,1,0,0
"625","2006-2","2270","L5B","June 30, 2006","TORONTO",0,1,0,0
"626","2006-2","2270","L5E","June 30, 2006","TORONTO",0,3,0,0
"627","2006-2","2270","L5G","June 30, 2006","TORONTO",0,2,0,0
"628","2006-2","2270","L5H","June 30, 2006","TORONTO",0,1,0,0
"629","2006-2","2270","L5J","June 30, 2006","TORONTO",0,2,0,0
"630","2006-2","2270","L5L","June 30, 2006","TORONTO",1,1,1,0
"631","2006-2","2270","L5M","June 30, 2006","TORONTO",1,7,0.142857142857143,0
"632","2006-2","2270","L6H","June 30, 2006","TORONTO",5,24,0.208333333333333,0
"633","2006-2","2270","L6J","June 30, 2006","TORONTO",0,3,0,0
"634","2006-2","2270","L6K","June 30, 2006","TORONTO",1,8,0.125,0
"635","2006-2","2270","L6L","June 30, 2006","TORONTO",26,14,1.85714285714286,0
"636","2006-2","2270","L6M","June 30, 2006","TORONTO",0,1,0,0
"637","2006-2","2270","L6X","June 30, 2006","TORONTO",0,1,0,0
"638","2006-2","2270","L7E","June 30, 2006","TORONTO",0,2,0,0
"639","2006-2","2270","L7G","June 30, 2006","TORONTO",1,2,0.5,0
"640","2006-2","2270","L7J","June 30, 2006","TORONTO",4,5,0.8,0
"641","2006-2","2270","L7K","June 30, 2006","TORONTO",1,2,0.5,0
"642","2006-2","2270","L9P","June 30, 2006","TORONTO",0,10,0,0
