"ref_yy","metcode","metro","avglengthofconstr_sfd","avglengthofconstr_semi","avglengthofconstr_row","avglengthofconstr_apt"
"1994","1265",NA,5.34096692111959,8.7843137254902,0.741319444444444,0.245920745920746
"1994","2270","TORONTO",6.26286449399657,2.45532319391635,1.15275744265495,0.174989329918907
"1994","2410","VANCOUVER",5.63878260869565,3.09156626506024,1.24305555555556,0.242948842637619
"1995","0140","CALGARY",4.77734067663257,3.96666666666667,2.23214285714286,0.297385620915033
"1995","0340","EDMONTON",4.88768115942029,3.25581395348837,1.27322404371585,0.178268251273345
"1995","1060","MONTRÃAL",4.6892523364486,3.1468253968254,1.57021276595745,0.743013365735115
"1995","1265",NA,5.75,1.95238095238095,0.955823293172691,0.220055710306407
"1995","2270","TORONTO",6.80035626198959,3.36987951807229,1.17177200465297,0.20638881956576
"1995","2410","VANCOUVER",5.82097611630322,3.23795180722892,1.48227294803303,0.203237879711028
"1996","0140","CALGARY",4.52633127390409,5.84444444444444,3.01324503311258,0.321361058601134
"1996","0340","EDMONTON",4.51177072671443,4.35915492957746,2.82439024390244,0.295652173913043
"1996","1060",NA,5.06091370558376,3.46899224806202,1.77604166666667,0.828957836117741
"1996","1265",NA,4.97260273972603,2,0.779264214046823,0.259842519685039
"1996","2270","TORONTO",6.81974132062628,3.24514991181658,1.11545623836127,0.208866806802981
"1996","2410","VANCOUVER",5.96056701030928,3.408,1.41945288753799,0.231537219204228
"1997","0140","CALGARY",4.30729256885501,4.03170731707317,2.11384615384615,0.543352601156069
"1997","0340","EDMONTON",4.16440049443758,4.77822580645161,2.79699248120301,0.443076923076923
"1997","1060","MONTRÃAL",4.3597298956415,2.31603773584906,1.57761732851986,0.727674624226348
"1997","1265",NA,4.09805825242718,1.84057971014493,0.840909090909091,0.403225806451613
"1997","2270","TORONTO",5.95880361173815,2.93482688391039,1.06730171878236,0.143888740304894
"1997","2410","VANCOUVER",5.70546318289786,3.16606498194946,1.35710211066743,0.18997668997669
"1998","0140","CALGARY",4.29389264312125,3.52901785714286,1.77032967032967,0.326086956521739
"1998","0340","EDMONTON",4.4732055862293,3.49652777777778,1.95435684647303,0.306648575305292
"1998","1060","MONTRÃAL",4.2299635701275,2.66576086956522,1.42211838006231,0.779549718574109
"1998","1265",NA,4.1255230125523,2.22549019607843,0.805256869772999,0.875
"1998","2270","TORONTO",6.39319627546787,3.03352219074599,0.972762645914397,0.173652694610778
"1998","2410","VANCOUVER",5.93304930006086,2.86089238845144,1.49572086899276,0.191642267766835
"1999","0140","CALGARY",4.31653372008702,3.76271186440678,2.00686106346484,0.574912891986063
"1999","0340","EDMONTON",4.18479372655984,3.1328125,2.23243243243243,0.196279069767442
"1999","1060","MONTRÃAL",4.78849940921623,2.80331753554502,1.50992366412214,0.811976047904192
"1999","1265",NA,3.82943525385054,1.91346153846154,0.915433403805497,0.338308457711443
