"ref_yy","metcode","metro","three_or_fewer_stories","four_to_six_stories","seven_to_twenty_stories","twentyone_to_thirty_stories","greater_than_thirty_stories","avglengthofconstr"
"1989","1060",NA,5.5064850843061,8.04545454545454,12.5625,27,3,5.97042093287827
"1990","1060",NA,6.02343594836147,10.6666666666667,15,4,NA,6.71477663230241
"1991","1060",NA,5.56909212283044,6.22222222222222,15.2,9.33333333333333,NA,5.81481481481481
"1992","1060",NA,5.34116192830655,9.5,15,NA,22,5.75696594427245
"1993","1060",NA,5.15666178623719,6.22222222222222,9.75,NA,NA,6.13957597173145
"1994","1060","MONTRÃAL",5.21673819742489,7.4,20.25,NA,NA,6.78782608695652
"1995","1060","MONTRÃAL",5.12354988399072,8,9.66666666666667,NA,NA,6.6026936026936
"1996","1060","MONTRÃAL",5.51180599872368,11.5,13,NA,NA,7.09465020576132
"1997","1060","MONTRÃAL",4.6897458369851,6.66666666666667,26,NA,NA,6.05769230769231
"1998","1060","MONTRÃAL",4.58010657193606,6.41666666666667,8.5,NA,NA,6.08571428571429
"1999","1060","MONTRÃAL",5.11570502931194,6.2,9.33333333333333,NA,NA,6.52915766738661
"2000","1060","MONTRÃAL",4.97503900156006,10,14,NA,NA,6.72488038277512
"2001","1060","MONTRÃAL",5.11211340206186,4.2,19,NA,NA,6.90759753593429
"2002","1060","MONTRÃAL",4.61627906976744,7.27586206896552,8.33333333333333,NA,NA,5.9129746835443
"2003","1060","MONTRÃAL",5.01657263751763,7.44186046511628,14.5,NA,NA,6.44029075804777
"2004","1060","MONTRÃAL",5.38080626388742,8.92307692307692,11.375,19,NA,7.33998265394623
"2005","1060","MONTRÃAL",5.5469228955435,9.96296296296296,12.5,18,NA,7.04006677796327
"2006","1060","MONTRÃAL",5.52695721287588,12,15.6666666666667,22,NA,7.53884711779449
"2007","1060","MONTRÃAL",5.26253772093692,12.1212121212121,14.875,16,NA,7.36593886462882
"2008","1060","MONTRÃAL",5.63759334930252,10.6111111111111,12.1,21,NA,7.28055077452668
"2009","1060","MONTRÃAL",5.50785046728972,13.2,14.9,NA,NA,7.1093044263776
"2010","1060","MONTRÃAL",5.41678150359822,13.25,11,NA,NA,7.1731843575419
"2011","1060","MONTRÃAL",5.87910941033223,12.2413793103448,14.5,28.5,NA,7.50471698113208
"2012","1060","MONTRÃAL",6.18671940049958,10.9466666666667,14.3636363636364,NA,NA,8.10036496350365
"2013","1060","MONTRÃAL",7.06713018460801,13.1428571428571,18.2727272727273,25,36,9.32128099173554
"2014","1060","MONTRÃAL",6.54059462550029,13.0705882352941,17.9302325581395,23,25,9.31027466937945
"2015","1060","MONTRÃAL",6.49581519919652,12.6923076923077,19.1304347826087,NA,18,8.82505643340858
"2016","1060","MONTRÃAL",6.22771917060749,12.9651162790698,17.25,NA,29,9.01351351351351
"2017","1060","MONTRÃAL",5.64775128282523,11.6666666666667,16.0952380952381,17.5,29.75,8.05769230769231
"2018","1060","MONTRÃAL",5.73984663447884,10.5050505050505,15.4594594594595,16.3333333333333,29,7.63567202028741
"2019","1060","MONTRÃAL",6.15065312046444,11.2268041237113,16.188679245283,19.5,28,7.98013816925734
"2020","1060","MONTRÃAL",6.06579330422125,12.6090909090909,17.9166666666667,23.75,28.5,8.65599268069533
"2021","1060","MONTRÃAL",5.90826403326403,12.8494623655914,17.74,20.6666666666667,33.5,8.43203883495146
"2022","1060","MONTRÃAL",6.97356426618049,13.4659090909091,18.2166666666667,30,30,9.81305309734513
"2023","1060","MONTRÃAL",8.32333502796136,14.8351648351648,20.3666666666667,26,37,11.6666666666667
"1988","0340","EDMONTON",4.53504823151125,NA,NA,NA,NA,4.27272727272727
"1988","2410","VANCOUVER",5.00423728813559,8.71428571428571,12.3846153846154,12,5.5,7.0835734870317
"1989","0340","EDMONTON",4.5568345323741,6,9,NA,NA,5.17391304347826
"1989","2410","VANCOUVER",5.32531224934112,7.63333333333333,9.53846153846154,18,10,6.85133239831697
"1990","0340","EDMONTON",4.79079406631763,11,12,NA,NA,7.17204301075269
"1990","2410",NA,5.83768701021135,8.30769230769231,15.875,13,NA,7.22114216281896
"1991","0340","EDMONTON",5.29915514592934,11,14,NA,NA,6.18181818181818
"1991","2410","VANCOUVER",5.9590051457976,8.03703703703704,13.9545454545455,19.1111111111111,NA,8.48175182481752
