"ref_yy","metcode","metro","nine_or_fewer_months","share_nine_to_eighteen_months","share_eighteen_to_thirty_months","share_thirty_to_sixty_months","total"
"2012","0140","CALGARY",0,0,50,50,100
"2012","1265","OTTAWA",0,100,0,0,100
"2013","0140","CALGARY",0,42.857142857143,42.857142857143,14.285714285714,100
"2013","1265","OTTAWA",0,66.666666666667,33.333333333333,0,100
"2014","0140","CALGARY",0,25,62.5,12.5,100
"2014","1265","OTTAWA",0,11.111111111111,88.888888888889,0,100
"2015","0140","CALGARY",12.5,37.5,25,25,100
"2015","1265","OTTAWA",0,30,70,0,100
"2016","0140","CALGARY",0,35.294117647059,64.705882352941,0,100
"2016","1265","OTTAWA",0,25,75,0,100
"2017","0140","CALGARY",0,53.846153846154,30.769230769231,15.384615384615,100
"2017","1265","OTTAWA",0,0,75,25,100
"2018","0140","CALGARY",0,50,33.333333333333,16.666666666667,100
"2018","1265","OTTAWA",20,40,0,40,100
"2019","0140","CALGARY",0,30.769230769231,61.538461538462,7.692307692308,100
"2019","1265","OTTAWA",0,0,100,0,100
"2020","0140","CALGARY",0,28.571428571429,71.428571428571,0,100
"2020","1265","OTTAWA",0,10,90,0,100
"2021","0140","CALGARY",15.384615384615,38.461538461538,38.461538461538,7.692307692308,100
"2021","1265","OTTAWA",0,0,55.555555555556,44.444444444444,100
"2022","0140","CALGARY",7.142857142857,14.285714285714,35.714285714286,42.857142857143,100
"2022","1265","OTTAWA",9.090909090909,9.090909090909,54.545454545455,27.272727272727,100
"2023","0140","CALGARY",8.333333333333,41.666666666667,41.666666666667,8.333333333333,100
"2023","1265","OTTAWA",0,0,90,10,100
"1988","1060",NA,37.5,56.25,6.25,0,100
"1988","2410","VANCOUVER",20,80,0,0,100
"1989","1060",NA,42.857142857143,38.095238095238,19.047619047619,0,100
"1989","2410","VANCOUVER",33.333333333333,33.333333333333,33.333333333333,0,100
"1990","1060",NA,30,60,10,0,100
"1990","2410",NA,12.5,75,12.5,0,100
"1991","1060",NA,33.333333333333,50,16.666666666667,0,100
"1991","2410","VANCOUVER",0,72.727272727273,27.272727272727,0,100
"1992","1060",NA,25,75,0,0,100
"1992","2410","VANCOUVER",0,50,50,0,100
"1993","1060",NA,0,100,0,0,100
"1993","2410","VANCOUVER",12.5,50,37.5,0,100
"1994","1060","MONTRÃAL",0,0,0,100,100
"1994","2410","VANCOUVER",0,81.25,18.75,0,100
"1995","1060","MONTRÃAL",0,100,0,0,100
"1995","2410","VANCOUVER",23.333333333333,63.333333333333,13.333333333333,0,100
"1996","1060","MONTRÃAL",NA,NA,NA,NA,NA
"1996","2410","VANCOUVER",8.333333333333,83.333333333333,8.333333333333,0,100
"1997","1060","MONTRÃAL",0,0,100,0,100
"1997","2410","VANCOUVER",14.285714285714,71.428571428571,14.285714285714,0,100
"1998","1060","MONTRÃAL",100,0,0,0,100
"1998","2410","VANCOUVER",12.5,68.75,18.75,0,100
"1999","1060","MONTRÃAL",NA,NA,NA,NA,NA
"1999","2410","VANCOUVER",0,68.421052631579,31.578947368421,0,100
"2000","1060","MONTRÃAL",60,40,0,0,100
"2000","2410","VANCOUVER",0,61.538461538462,38.461538461538,0,100
"2001","1060","MONTRÃAL",44.444444444444,44.444444444444,11.111111111111,0,100
"2001","2410","VANCOUVER",16.666666666667,83.333333333333,0,0,100
"2002","1060","MONTRÃAL",100,0,0,0,100
"2002","2410","VANCOUVER",5.263157894737,68.421052631579,21.052631578947,5.263157894737,100
"2003","1060","MONTRÃAL",50,50,0,0,100
"2003","2410","VANCOUVER",0,78.571428571429,21.428571428571,0,100
"2004","1060","MONTRÃAL",30.769230769231,61.538461538462,7.692307692308,0,100
"2004","2410","VANCOUVER",0,57.142857142857,38.095238095238,4.761904761905,100
"2005","1060","MONTRÃAL",28.571428571429,61.904761904762,9.52380952381,0,100
"2005","2410","VANCOUVER",0,52.631578947368,47.368421052632,0,100
"2006","1060","MONTRÃAL",4.761904761905,85.714285714286,4.761904761905,4.761904761905,100
"2006","2410","VANCOUVER",7.142857142857,32.142857142857,57.142857142857,3.571428571429,100
"2007","1060","MONTRÃAL",20.689655172414,65.51724137931,13.793103448276,0,100
"2007","2410","VANCOUVER",3.448275862069,34.48275862069,55.172413793103,6.896551724138,100
"2008","1060","MONTRÃAL",16.666666666667,79.166666666667,4.166666666667,0,100
"2008","2410","VANCOUVER",0,42.105263157895,50,7.894736842105,100
"2009","1060","MONTRÃAL",21.052631578947,63.157894736842,15.789473684211,0,100
"2009","2410","VANCOUVER",0,42.424242424242,48.484848484848,9.090909090909,100
"2010","1060","MONTRÃAL",40,50,10,0,100
"2010","2410","VANCOUVER",6.451612903226,25.806451612903,58.064516129032,9.677419354839,100
"2011","1060","MONTRÃAL",0,68.75,25,6.25,100
"2011","2410","VANCOUVER",0,55.555555555556,11.111111111111,33.333333333333,100
"2012","1060","MONTRÃAL",7.142857142857,78.571428571429,14.285714285714,0,100
"2012","2410","VANCOUVER",0,52,44,4,100
"2013","1060","MONTRÃAL",0,47.619047619048,42.857142857143,9.52380952381,100
"2013","2410","VANCOUVER",8.108108108108,51.351351351351,32.432432432432,8.108108108108,100
"2014","1060","MONTRÃAL",7.142857142857,39.285714285714,50,3.571428571429,100
"2014","2410","VANCOUVER",3.333333333333,36.666666666667,50,10,100
"2015","1060","MONTRÃAL",0,70.588235294118,17.647058823529,11.764705882353,100
"2015","2410","VANCOUVER",0,42.857142857143,50,7.142857142857,100
"2016","1060","MONTRÃAL",3.030303030303,75.757575757576,18.181818181818,3.030303030303,100
"2016","2410","VANCOUVER",0,33.333333333333,48.484848484848,18.181818181818,100
"2017","1060","MONTRÃAL",20,34.285714285714,37.142857142857,8.571428571429,100
"2017","2410","VANCOUVER",0,29.72972972973,64.864864864865,5.405405405405,100
"2018","1060","MONTRÃAL",13.157894736842,60.526315789474,21.052631578947,5.263157894737,100
"2018","2410","VANCOUVER",0,18,68,14,100
"2019","1060","MONTRÃAL",8.695652173913,56.521739130435,32.608695652174,2.173913043478,100
"2019","2410","VANCOUVER",0,5.263157894737,71.052631578947,23.684210526316,100
"2020","1060","MONTRÃAL",3.571428571429,48.214285714286,42.857142857143,5.357142857143,100
"2020","2410","VANCOUVER",2.040816326531,10.204081632653,57.142857142857,30.612244897959,100
"2021","1060","MONTRÃAL",1.851851851852,55.555555555556,37.037037037037,5.555555555556,100
"2021","2410","VANCOUVER",1.587301587302,9.52380952381,69.84126984127,19.047619047619,100
"2022","1060","MONTRÃAL",0,53.521126760563,38.028169014085,8.450704225352,100
"2022","2410","VANCOUVER",5.555555555556,18.518518518519,57.407407407407,18.518518518519,100
"2023","1060","MONTRÃAL",1.724137931034,37.931034482759,46.551724137931,13.793103448276,100
"2023","2410","VANCOUVER",0,13.513513513514,40.540540540541,45.945945945946,100
"1988","0340","EDMONTON",NA,NA,NA,NA,NA
"1988","2270","TORONTO",0,84.615384615385,15.384615384615,0,100
"1989","0340","EDMONTON",100,0,0,0,100
"1989","2270","TORONTO",6.329113924051,51.898734177215,40.506329113924,1.26582278481,100
"1990","0340","EDMONTON",NA,NA,NA,NA,NA
"1990","2270","TORONTO",0,57.142857142857,41.071428571429,1.785714285714,100
"1991","0340","EDMONTON",NA,NA,NA,NA,NA
"1991","2270","TORONTO",1.754385964912,73.684210526316,24.561403508772,0,100
"1992","0340","EDMONTON",NA,NA,NA,NA,NA
"1992","2270","TORONTO",19.444444444444,63.888888888889,11.111111111111,5.555555555556,100
"1993","0340","EDMONTON",NA,NA,NA,NA,NA
"1993","2270",NA,5.128205128205,89.74358974359,2.564102564103,2.564102564103,100
"1994","0340","EDMONTON",50,50,0,0,100
"1994","2270",NA,17.391304347826,65.217391304348,13.04347826087,4.347826086957,100
"1995","0340","EDMONTON",NA,NA,NA,NA,NA
"1995","2270","TORONTO",12.5,68.75,0,18.75,100
"1996","0340","EDMONTON",NA,NA,NA,NA,NA
"1996","2270","TORONTO",0,88.235294117647,11.764705882353,0,100
"1997","0340","EDMONTON",0,100,0,0,100
"1997","2270","TORONTO",11.111111111111,83.333333333333,5.555555555556,0,100
"1998","0340","EDMONTON",0,100,0,0,100
"1998","2270","TORONTO",11.111111111111,88.888888888889,0,0,100
"1999","0340","EDMONTON",0,100,0,0,100
"1999","2270","TORONTO",10,70,20,0,100
"2000","0340","EDMONTON",16.666666666667,50,33.333333333333,0,100
"2000","2270","TORONTO",6.896551724138,75.862068965517,17.241379310345,0,100
"2001","0340","EDMONTON",40,20,40,0,100
"2001","2270","TORONTO",0,47.058823529412,52.941176470588,0,100
"2002","0340","EDMONTON",50,25,25,0,100
"2002","2270","TORONTO",4.081632653061,40.816326530612,53.061224489796,2.040816326531,100
"2003","0340","EDMONTON",0,100,0,0,100
"2003","2270","TORONTO",7.142857142857,45.238095238095,45.238095238095,2.380952380952,100
"2004","0340","EDMONTON",9.090909090909,81.818181818182,9.090909090909,0,100
"2004","2270","TORONTO",7.894736842105,42.105263157895,44.736842105263,5.263157894737,100
"2005","0340","EDMONTON",0,55.555555555556,33.333333333333,11.111111111111,100
"2005","2270","TORONTO",4.761904761905,33.333333333333,54.761904761905,7.142857142857,100
"2006","0340","EDMONTON",0,62.5,12.5,25,100
"2006","2270","TORONTO",0,51.162790697674,46.511627906977,2.325581395349,100
"2007","0340","EDMONTON",0,37.5,37.5,25,100
"2007","2270","TORONTO",4.166666666667,37.5,54.166666666667,4.166666666667,100
"2008","0340","EDMONTON",0,40,60,0,100
"2008","2270","TORONTO",3.448275862069,17.241379310345,46.551724137931,32.758620689655,100
"2009","0340","EDMONTON",0,23.076923076923,38.461538461538,38.461538461538,100
"2009","2270","TORONTO",4.545454545455,9.090909090909,65.909090909091,20.454545454545,100
"2010","0340","EDMONTON",0,0,100,0,100
"2010","2270","TORONTO",0,12.280701754386,75.438596491228,12.280701754386,100
"2011","0340","EDMONTON",0,0,0,100,100
"2011","2270","TORONTO",5,10,51.666666666667,33.333333333333,100
"2012","0340","EDMONTON",0,100,0,0,100
"2012","2270","TORONTO",1.960784313725,17.647058823529,58.823529411765,21.56862745098,100
"2013","0340","EDMONTON",25,25,50,0,100
"2013","2270","TORONTO",8.333333333333,16.666666666667,65,10,100
"2014","0340","EDMONTON",20,20,60,0,100
"2014","2270","TORONTO",4.761904761905,11.904761904762,59.52380952381,23.809523809524,100
"2015","0340","EDMONTON",0,11.111111111111,44.444444444444,44.444444444444,100
"2015","2270","TORONTO",1.010101010101,8.080808080808,44.444444444444,46.464646464646,100
"2016","0340","EDMONTON",17.647058823529,52.941176470588,17.647058823529,11.764705882353,100
"2016","2270","TORONTO",3.703703703704,12.962962962963,42.592592592593,40.740740740741,100
"2017","0340","EDMONTON",16.666666666667,16.666666666667,33.333333333333,33.333333333333,100
"2017","2270","TORONTO",0,13.207547169811,62.264150943396,24.528301886792,100
"2018","0340","EDMONTON",0,20,40,40,100
"2018","2270","TORONTO",3.508771929825,12.280701754386,52.631578947368,31.578947368421,100
"2019","0340","EDMONTON",0,0,42.857142857143,57.142857142857,100
"2019","2270","TORONTO",0,20.833333333333,37.5,41.666666666667,100
"2020","0340","EDMONTON",0,66.666666666667,6.666666666667,26.666666666667,100
"2020","2270","TORONTO",0,5.084745762712,55.932203389831,38.983050847458,100
"2021","0340","EDMONTON",20,40,10,30,100
"2021","2270","TORONTO",4.054054054054,12.162162162162,31.081081081081,52.702702702703,100
"2022","0340","EDMONTON",8.333333333333,58.333333333333,25,8.333333333333,100
"2022","2270","TORONTO",6.666666666667,8.333333333333,36.666666666667,48.333333333333,100
"2023","0340","EDMONTON",6.666666666667,66.666666666667,26.666666666667,0,100
"2023","2270","TORONTO",10.112359550562,8.988764044944,37.078651685393,43.820224719101,100
