"ref_yy","metcode","metro","three_to_five_units","six_to_twenty_units","twentyone_to_sixty_units","sixtyone_to_onehundred_units","greater_than_onehundred_units","avglengthofconstr"
"2021","1265","OTTAWA",9.83969465648855,11.2821782178218,19.25,22.5,28.8888888888889,10.7016393442623
"2022","0140","CALGARY",9.63068181818182,11.5384615384615,12.0909090909091,13.05,26.5,11.2997347480106
"2022","1265","OTTAWA",10.8075801749271,12.1361502347418,23.125,24.75,25.8181818181818,11.8480138169257
"2023","0140","CALGARY",9.94983277591973,12.4890829694323,17.5714285714286,15.25,19.4166666666667,11.5052631578947
"2023","1265","OTTAWA",12.7506297229219,13.7032967032967,15.7857142857143,26.4,25.5,13.4276315789474
"1988","1060",NA,6,6.71868131868132,8.05882352941176,10.375,11.3125,6.56496631376323
"1988","2410","VANCOUVER",6.58579881656805,7.16260162601626,7.69047619047619,9.75,12.6,7.0835734870317
"1989","1060",NA,5.2198275862069,6.05471124620061,7.85106382978723,11.3888888888889,12.3809523809524,5.97042093287827
"1989","2410","VANCOUVER",6.41648106904232,6.8780487804878,8.34666666666667,9.27272727272727,15.3333333333333,6.85133239831697
"1990","1060",NA,5.66365688487585,7.44565217391304,8.18421052631579,12.8571428571429,12.2,6.71477663230241
"1990","2410","VANCOUVER",6.55441478439425,7.015,8.90425531914894,11.5294117647059,14.875,7.22114216281896
"1991","1060",NA,5.64437689969605,5.27149321266968,8.7,11.75,12.8333333333333,5.81481481481481
"1991","2410","VANCOUVER",7.93478260869565,7.84375,9.73134328358209,13.05,16,8.48175182481752
"1992","1060",NA,5.18156424581006,6.25793650793651,6.89655172413793,15.6666666666667,10,5.75696594427245
"1992","2410","VANCOUVER",6.59024390243902,7.93478260869565,10.4255319148936,12.8181818181818,18,7.65809379727685
"1993","1060",NA,5.8036253776435,6.52857142857143,6.89473684210526,8.2,11,6.13957597173145
"1993","2410","VANCOUVER",6.33905579399142,8.65868263473054,8.82692307692308,10.2413793103448,18.0625,7.54987212276215
"1994","1060","MONTRÉAL",6.11275964391691,7.42,7.12903225806452,14.3333333333333,52,6.78782608695652
"1994","2410","VANCOUVER",6.12472647702407,7.04918032786885,9.01515151515152,10.5142857142857,15.75,7.16767922235723
"1995","1060","MONTRÉAL",6.30459770114942,6.91588785046729,7.30769230769231,9,11,6.6026936026936
"1995","2410","VANCOUVER",6.72944297082228,7.82394366197183,9.21311475409836,9.72727272727273,13.3666666666667,7.77344877344877
"1996","1060","MONTRÉAL",6.28472222222222,7.94505494505495,10.5,13.5,NA,7.09465020576132
"1996","2410","VANCOUVER",6.63235294117647,7.3609022556391,9.27631578947368,12.0952380952381,14.1666666666667,7.61089494163424
"1997","1060","MONTRÉAL",6.17226890756303,5.76829268292683,5.27272727272727,10.5,26,6.05769230769231
"1997","2410","VANCOUVER",6.62857142857143,7.3015873015873,8.20547945205479,11.6785714285714,14.6190476190476,7.59280303030303
"1998","1060","MONTRÉAL",5.93360995850622,6.27272727272727,6,8.5,8,6.08571428571429
"1998","2410","VANCOUVER",6.63013698630137,8.13414634146342,9.32258064516129,11.6538461538462,14.25,7.76569037656904
"1999","1060","MONTRÉAL",6.48582995951417,6.57070707070707,6.85714285714286,6,NA,6.52915766738661
"1999","2410","VANCOUVER",7.40837696335079,8.87931034482759,11,10.25,16.3157894736842,8.73101265822785
"2000","1060","MONTRÉAL",6.07203389830508,7.37106918238994,9,8.33333333333333,9.2,6.72488038277512
"2000","2410","VANCOUVER",7.4390243902439,8.76923076923077,12,12.0833333333333,15.3076923076923,8.73408239700374
"2001","1060","MONTRÉAL",6.30472103004292,7.02283105022831,8.94736842105263,13,10.6666666666667,6.90759753593429
"2001","2410","VANCOUVER",6.76344086021505,9.58823529411765,10.6896551724138,11.0909090909091,11.1666666666667,8.03
"2002","1060","MONTRÉAL",5.4375,6.14336917562724,8.68421052631579,8.5,8,5.9129746835443
"2002","2410","VANCOUVER",6.64940239043825,7.94642857142857,10.48,13.2941176470588,17,7.94836956521739
"2003","1060","MONTRÉAL",5.94444444444444,6.39867841409692,9.72222222222222,12.4705882352941,10,6.44029075804777
"2003","2410","VANCOUVER",7.09469696969697,7.65131578947368,9.53333333333333,13.8,16.9285714285714,7.98958333333333
"2004","1060","MONTRÉAL",6.76540755467197,7.33393501805054,9.95238095238095,10.95,11.6153846153846,7.33998265394623
"2004","2410","VANCOUVER",7.10703363914373,8.31746031746032,12.7333333333333,12.5,18,8.31497418244406
"2005","1060","MONTRÉAL",5.91187739463602,7.37870855148342,9.74137931034483,12.2083333333333,12.4761904761905,7.04006677796327
"2005","2410","VANCOUVER",7.67638483965015,8.27049180327869,12.1764705882353,13.5625,17.7894736842105,8.65824665676077
"2006","1060","MONTRÉAL",6.59710743801653,7.3957654723127,11.5932203389831,16.4736842105263,13.952380952381,7.53884711779449
"2006","2410","VANCOUVER",9.398753894081,9.58677685950413,13.5686274509804,13.9166666666667,19.4285714285714,10.3708708708709
"2007","1060","MONTRÉAL",6.19755600814664,7.52951699463327,12.2692307692308,10.6428571428571,13.6206896551724,7.36593886462882
"2007","2410","VANCOUVER",9.58805031446541,10.7222222222222,15.3888888888889,15.2692307692308,21.3103448275862,11.2146189735614
"2008","1060","MONTRÉAL",6.47809523809524,7.27881040892193,10.953125,12.2727272727273,12.7916666666667,7.28055077452668
"2008","2410","VANCOUVER",10.5652173913043,11.5266666666667,17.0238095238095,16.2745098039216,20.5,12.4344827586207
"2009","1060","MONTRÉAL",6.3855421686747,7.19165085388994,10.063829787234,10.5,13.6315789473684,7.1093044263776
"2009","2410","VANCOUVER",10.9110169491525,11.5323741007194,17.1428571428571,15.8108108108108,20.6363636363636,12.7206477732794
