,BVINTMURR
2020-06-01,201.0
2020-07-01,182.0
2020-08-01,248.0
2020-09-01,252.0
2020-10-01,231.0
2020-11-01,226.0
2020-12-01,172.0
2021-01-01,149.0
2021-02-01,126.0
2021-03-01,125.0
2021-04-01,117.0
2021-05-01,140.0
2021-06-01,126.0
2021-07-01,115.0
2021-08-01,111.0
2021-09-01,106.0
2021-10-01,99.0
2021-11-01,89.0
2021-12-01,71.0
2022-01-01,54.0
2022-02-01,51.0
2022-03-01,37.0
2022-04-01,29.0
2022-05-01,30.0
2022-06-01,34.0
2022-07-01,48.0
2022-08-01,50.0
2022-09-01,62.0
2022-10-01,64.0
2022-11-01,67.0
2022-12-01,85.0
2023-01-01,91.0
2023-02-01,128.0
2023-03-01,133.0
2023-04-01,145.0
2023-05-01,121.0
2023-06-01,111.0
2023-07-01,107.0
2023-08-01,250.0
2023-09-01,231.0
2023-10-01,250.0
2023-11-01,266.0
2023-12-01,196.0
2024-01-01,230.0
2024-02-01,215.0
2024-03-01,208.0
2024-04-01,209.0
2024-05-01,212.0
2024-06-01,345.0
2024-07-01,319.0
2024-08-01,343.0
2024-09-01,405.0
2024-10-01,454.0
