,AZZSRUURR
2020-09-01,255.0
2020-10-01,246.0
2020-11-01,255.0
2020-12-01,243.0
2021-01-01,243.0
2021-02-01,263.0
2021-03-01,317.0
2021-04-01,347.0
2021-05-01,325.0
2021-06-01,326.0
2021-07-01,375.0
2021-08-01,247.0
2021-09-01,338.0
2021-10-01,407.0
2021-11-01,367.0
2021-12-01,278.0
2022-01-01,240.0
2022-02-01,331.0
2022-03-01,225.0
2022-04-01,406.0
2022-05-01,554.0
2022-06-01,362.0
2022-07-01,360.0
2022-08-01,350.0
2022-09-01,502.0
2022-10-01,506.0
2022-11-01,286.0
2022-12-01,402.0
