reference_period,ref_qq,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
2006-03-01,1,0140,Calgary,T2N,2.0,8,0.25,0.0
2006-03-01,1,0140,Calgary,T3C,0.0,1,0.0,0.0
2006-06-01,2,0140,Calgary,T2C,0.0,5,0.0,0.0
2006-06-01,2,0140,Calgary,T3E,3.0,12,0.25,0.0
2006-06-01,2,0140,Calgary,T2T,6.0,16,0.38,0.0
2006-06-01,2,0140,Calgary,T2V,0.0,4,0.0,0.0
2006-06-01,2,0140,Calgary,T2S,0.0,2,0.0,0.0
2006-06-01,2,0140,Calgary,T2Y,2.0,7,0.29,0.0
2006-06-01,2,0140,Calgary,T2M,3.0,3,1.0,0.0
2006-06-01,2,0140,Calgary,T2E,3.0,4,0.75,0.0
2006-06-01,2,0140,Calgary,T3C,0.0,2,0.0,0.0
2006-06-01,2,0140,Calgary,nan,537.0,1291,0.42,0.0
2006-06-01,2,0140,Calgary,T2N,3.0,7,0.43,0.0
2006-09-01,3,0140,Calgary,T2L,0.0,1,0.0,0.0
2006-09-01,3,0140,Calgary,T2K,0.0,1,0.0,0.0
2006-09-01,3,0140,Calgary,T2E,8.0,15,0.53,0.2
2006-09-01,3,0140,Calgary,T2G,0.0,1,0.0,0.0
2006-09-01,3,0140,Calgary,T2T,1.0,17,0.06,0.0
2006-09-01,3,0140,Calgary,nan,549.0,1118,0.49,0.0
2006-09-01,3,0140,Calgary,T2M,1.0,3,0.33,0.0
2006-09-01,3,0140,Calgary,T2Y,1.0,6,0.17,0.0
2006-09-01,3,0140,Calgary,T2V,0.0,1,0.0,0.0
2006-09-01,3,0140,Calgary,T3C,0.0,2,0.0,0.0
2006-09-01,3,0140,Calgary,T2S,0.0,1,0.0,0.0
2006-09-01,3,0140,Calgary,T3B,0.0,2,0.0,0.0
2006-09-01,3,0140,Calgary,T3E,3.0,10,0.3,0.0
2006-09-01,3,0140,Calgary,T2N,1.0,13,0.08,0.0
2006-09-01,3,0140,Calgary,T2C,0.0,11,0.0,0.0
2006-12-01,4,0140,Calgary,T2E,9.0,4,2.25,0.75
2006-12-01,4,0140,Calgary,T2C,0.0,32,0.0,0.0
2006-12-01,4,0140,Calgary,T2M,1.0,2,0.5,0.0
2006-12-01,4,0140,Calgary,T3E,2.0,4,0.5,0.0
2006-12-01,4,0140,Calgary,T2L,0.0,1,0.0,0.0
2006-12-01,4,0140,Calgary,T2S,0.0,5,0.0,0.0
2006-12-01,4,0140,Calgary,T2T,1.0,9,0.11,0.0
2006-12-01,4,0140,Calgary,T3B,0.0,1,0.0,0.0
2006-12-01,4,0140,Calgary,T2N,1.0,14,0.07,0.0
2006-12-01,4,0140,Calgary,T2V,1.0,2,0.5,0.0
2006-12-01,4,0140,Calgary,T2Y,3.0,6,0.5,0.0
