reference_period,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
2014,0340,Edmonton,T5V,12.0,11,1.09,0.0
2014,0340,Edmonton,T5W,10.0,5,2.0,0.0
2014,0340,Edmonton,T6V,25.0,21,1.19,0.0
2014,0340,Edmonton,T7X,77.0,34,2.26,0.24
2014,0340,Edmonton,T7Z,44.0,32,1.38,0.0
2014,0340,Edmonton,T8L,58.0,54,1.07,0.0
2014,0340,Edmonton,T8N,8.0,8,1.0,0.0
2014,0340,Edmonton,T8R,1.0,1,1.0,0.0
2015,0340,Edmonton,T5E,13.0,12,1.08,0.0
2015,0340,Edmonton,T5X,93.0,66,1.41,0.24
2015,0340,Edmonton,T5Z,108.0,51,2.12,0.31
2015,0340,Edmonton,T6T,4.0,2,2.0,0.0
2015,0340,Edmonton,T8R,8.0,8,1.0,0.0
2015,0340,Edmonton,T5R,2.0,1,2.0,0.0
2015,0340,Edmonton,T5B,14.0,10,1.4,0.0
2015,0340,Edmonton,T5N,13.0,2,6.5,1.5
2015,0340,Edmonton,T5Y,121.0,103,1.17,0.08
2015,0340,Edmonton,T6C,6.0,5,1.2,0.0
2015,0340,Edmonton,T8H,90.0,43,2.09,0.09
2015,0340,Edmonton,T8T,3.0,3,1.0,0.0
2015,0340,Edmonton,T9E,63.0,58,1.09,0.0
2015,0340,Edmonton,T0C,4.0,4,1.0,0.0
2015,0340,Edmonton,T5V,24.0,20,1.2,0.0
2015,0340,Edmonton,T5W,9.0,5,1.8,0.0
2015,0340,Edmonton,T6E,11.0,8,1.38,0.38
2015,0340,Edmonton,T6M,7.0,5,1.4,0.0
2015,0340,Edmonton,T7X,76.0,42,1.81,0.19
2015,0340,Edmonton,T8B,4.0,4,1.0,0.0
2015,0340,Edmonton,T5M,5.0,3,1.67,0.0
2015,0340,Edmonton,T6V,44.0,39,1.13,0.1
2015,0340,Edmonton,T7Z,50.0,41,1.22,0.0
2015,0340,Edmonton,T5L,13.0,4,3.25,0.5
2015,0340,Edmonton,T6W,3.0,3,1.0,0.0
2015,0340,Edmonton,T8A,10.0,5,2.0,0.8
2015,0340,Edmonton,nan,601.0,401,1.5,0.13
2015,0340,Edmonton,T5C,3.0,2,1.5,0.0
2015,0340,Edmonton,T6A,5.0,3,1.67,0.0
2015,0340,Edmonton,T6H,2.0,1,2.0,0.0
2015,0340,Edmonton,T8L,126.0,103,1.22,0.0
2015,0340,Edmonton,T0B,3.0,3,1.0,0.0
2015,0340,Edmonton,T4X,29.0,23,1.26,0.0
2015,0340,Edmonton,T5A,6.0,4,1.5,1.0
2015,0340,Edmonton,T5G,11.0,9,1.22,0.0
2015,0340,Edmonton,T5T,23.0,20,1.15,0.0
2015,0340,Edmonton,T6G,3.0,2,1.5,0.0
2015,0340,Edmonton,T8C,3.0,3,1.0,0.0
2015,0340,Edmonton,T8E,1.0,1,1.0,0.0
2015,0340,Edmonton,T8N,7.0,6,1.17,0.0
2015,0340,Edmonton,T9G,1.0,1,1.0,0.0
2016,0340,Edmonton,T6G,11.0,2,5.5,2.0
2016,0340,Edmonton,T8B,3.0,3,1.0,0.0
2016,0340,Edmonton,T4X,36.0,28,1.29,0.07
2016,0340,Edmonton,T5A,13.0,10,1.3,0.4
2016,0340,Edmonton,T5G,13.0,9,1.44,0.0
2016,0340,Edmonton,T5Z,90.0,42,2.14,0.48
2016,0340,Edmonton,T6C,2.0,2,1.0,0.0
2016,0340,Edmonton,T8E,3.0,3,1.0,0.0
2016,0340,Edmonton,T8L,67.0,52,1.29,0.0
2016,0340,Edmonton,T0A,1.0,1,1.0,0.0
2016,0340,Edmonton,T5P,3.0,3,1.0,0.0
2016,0340,Edmonton,T7X,75.0,47,1.6,0.17
2016,0340,Edmonton,T8G,4.0,2,2.0,0.0
2016,0340,Edmonton,T8N,27.0,21,1.29,0.0
2016,0340,Edmonton,T8T,5.0,5,1.0,0.0
2016,0340,Edmonton,nan,859.0,400,2.15,0.29
2016,0340,Edmonton,T5C,1.0,1,1.0,0.0
2016,0340,Edmonton,T5E,52.0,16,3.25,0.63
2016,0340,Edmonton,T5N,12.0,6,2.0,0.67
2016,0340,Edmonton,T5T,39.0,25,1.56,0.16
2016,0340,Edmonton,T5W,7.0,6,1.17,0.0
2016,0340,Edmonton,T6T,21.0,4,5.25,1.0
2016,0340,Edmonton,T8A,1.0,1,1.0,4.0
2016,0340,Edmonton,T9E,44.0,32,1.38,0.0
2016,0340,Edmonton,T5Y,159.0,91,1.75,0.04
2016,0340,Edmonton,T6H,4.0,2,2.0,0.0
2016,0340,Edmonton,T6J,6.0,2,3.0,7.5
2016,0340,Edmonton,T6V,106.0,24,4.42,0.5
2016,0340,Edmonton,T5B,13.0,8,1.63,0.0
2016,0340,Edmonton,T5M,3.0,2,1.5,0.0
2016,0340,Edmonton,T6E,24.0,4,6.0,1.0
2016,0340,Edmonton,T7Z,44.0,37,1.19,0.0
2016,0340,Edmonton,T8R,14.0,14,1.0,0.0
2016,0340,Edmonton,T0B,2.0,2,1.0,0.0
2016,0340,Edmonton,T0G,2.0,1,2.0,0.0
2016,0340,Edmonton,T5X,59.0,36,1.64,0.44
2016,0340,Edmonton,T8H,61.0,26,2.35,0.15
2016,0340,Edmonton,T0C,3.0,3,1.0,0.0
2016,0340,Edmonton,T5J,4.0,1,4.0,33.0
2016,0340,Edmonton,T5L,8.0,4,2.0,0.0
2016,0340,Edmonton,T5V,26.0,23,1.13,0.0
2016,0340,Edmonton,T6M,19.0,16,1.19,0.0
2016,0340,Edmonton,T6W,18.0,12,1.5,0.0
2016,0340,Edmonton,T9G,3.0,3,1.0,0.0
2017,0340,Edmonton,T5G,16.0,9,1.78,0.0
2017,0340,Edmonton,T6V,62.0,13,4.77,0.62
2017,0340,Edmonton,T5A,14.0,12,1.17,0.0
2017,0340,Edmonton,T5B,8.0,6,1.33,0.0
2017,0340,Edmonton,T5M,9.0,5,1.8,0.0
2017,0340,Edmonton,T5T,90.0,33,2.73,0.24
2017,0340,Edmonton,T6E,24.0,3,8.0,2.67
2017,0340,Edmonton,T6H,3.0,2,1.5,0.0
2017,0340,Edmonton,T5N,6.0,3,2.0,0.67
2017,0340,Edmonton,T5Y,116.0,77,1.51,0.05
2017,0340,Edmonton,T6J,5.0,1,5.0,15.0
2017,0340,Edmonton,T6W,117.0,79,1.48,0.09
2017,0340,Edmonton,T8N,167.0,27,6.19,0.37
2017,0340,Edmonton,T0B,3.0,3,1.0,0.0
2017,0340,Edmonton,T5C,2.0,2,1.0,0.0
2017,0340,Edmonton,T5H,32.0,2,16.0,2.5
2017,0340,Edmonton,T5W,8.0,6,1.33,0.0
2017,0340,Edmonton,T6K,5.0,3,1.67,0.0
2017,0340,Edmonton,T6M,25.0,21,1.19,0.0
2017,0340,Edmonton,T8E,5.0,5,1.0,0.0
2017,0340,Edmonton,T8H,100.0,61,1.64,0.13
2017,0340,Edmonton,T8R,11.0,11,1.0,0.0
2017,0340,Edmonton,T8T,1.0,1,1.0,0.0
2017,0340,Edmonton,T0A,2.0,2,1.0,0.0
2017,0340,Edmonton,T0C,5.0,4,1.25,0.0
2017,0340,Edmonton,T8G,2.0,2,1.0,0.0
2017,0340,Edmonton,T9G,4.0,4,1.0,0.0
2017,0340,Edmonton,T4X,28.0,26,1.08,0.08
2017,0340,Edmonton,T5Z,54.0,41,1.32,0.2
2017,0340,Edmonton,T6A,8.0,4,2.0,0.0
2017,0340,Edmonton,T6C,15.0,11,1.36,0.0
2017,0340,Edmonton,T8L,70.0,57,1.23,0.0
2017,0340,Edmonton,T5L,12.0,6,2.0,0.0
2017,0340,Edmonton,T5V,24.0,21,1.14,0.0
2017,0340,Edmonton,T5X,51.0,27,1.89,0.3
2017,0340,Edmonton,T7X,70.0,56,1.25,0.14
2017,0340,Edmonton,T7Z,32.0,29,1.1,0.0
2017,0340,Edmonton,T5E,41.0,19,2.16,0.74
2017,0340,Edmonton,T5P,9.0,3,3.0,0.0
2017,0340,Edmonton,T5R,5.0,1,5.0,0.0
2017,0340,Edmonton,T6B,72.0,2,36.0,2.0
2017,0340,Edmonton,T6G,6.0,2,3.0,2.0
2017,0340,Edmonton,T6T,83.0,75,1.11,0.19
2017,0340,Edmonton,T6X,61.0,58,1.05,0.0
2017,0340,Edmonton,T8B,21.0,16,1.31,0.0
2017,0340,Edmonton,T9E,67.0,55,1.22,0.0
2017,0340,Edmonton,nan,542.0,231,2.35,0.41
2018,0340,Edmonton,T0A,4.0,4,1.0,0.0
2018,0340,Edmonton,T5G,21.0,14,1.5,0.0
2018,0340,Edmonton,T5M,23.0,21,1.1,0.0
2018,0340,Edmonton,T6C,58.0,38,1.53,0.13
2018,0340,Edmonton,T5Z,58.0,42,1.38,0.07
2018,0340,Edmonton,T6L,1.0,1,1.0,0.0
2018,0340,Edmonton,T0C,9.0,4,2.25,0.0
2018,0340,Edmonton,T5E,18.0,14,1.29,0.57
2018,0340,Edmonton,T5H,39.0,6,6.5,1.5
2018,0340,Edmonton,T5P,21.0,17,1.24,0.0
2018,0340,Edmonton,T6R,1.0,1,1.0,0.0
2018,0340,Edmonton,T6T,110.0,88,1.25,0.09
2018,0340,Edmonton,T8E,18.0,17,1.06,0.0
2018,0340,Edmonton,T5R,13.0,13,1.0,0.0
2018,0340,Edmonton,T6A,9.0,8,1.13,0.0
2018,0340,Edmonton,T6H,9.0,7,1.29,0.0
2018,0340,Edmonton,T6W,443.0,383,1.16,0.05
2018,0340,Edmonton,T8G,1.0,1,1.0,0.0
2018,0340,Edmonton,T8R,13.0,11,1.18,0.0
2018,0340,Edmonton,T0E,2.0,2,1.0,0.0
2018,0340,Edmonton,T5N,24.0,15,1.6,0.13
2018,0340,Edmonton,T5V,86.0,63,1.37,0.0
2018,0340,Edmonton,T5W,10.0,7,1.43,0.0
2018,0340,Edmonton,T6E,41.0,29,1.41,0.14
2018,0340,Edmonton,T6G,37.0,28,1.32,0.14
2018,0340,Edmonton,T8T,1.0,1,1.0,0.0
2018,0340,Edmonton,T9G,20.0,6,3.33,0.67
