reference_period,metcode,metro,FSA,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt
2012,0140,Calgary,T2Z,2.0,1.0,2.0,1,2.0,0.0
2012,0140,Calgary,nan,4.0,3.0,20.0,11,1.82,0.0
2012,0140,Calgary,T2E,1.0,1.0,1.0,1,1.0,0.0
2012,0140,Calgary,T2X,2.0,1.0,4.0,2,2.0,0.0
2012,0140,Calgary,T3P,1.0,1.0,18.0,18,1.0,0.0
2012,0140,Calgary,T3R,2.0,1.0,2.0,1,2.0,0.0
2012,0140,Calgary,T4C,1.0,1.0,23.0,23,1.0,0.0
2012,0140,Calgary,T2E,5.0,3.0,11.0,1,11.0,3.0
2012,0140,Calgary,T3E,5.0,3.0,4.0,1,4.0,2.0
2012,0140,Calgary,T3N,1.0,1.0,28.0,28,1.0,0.0
2012,0140,Calgary,T3N,2.0,1.0,9.0,6,1.5,0.0
2012,0140,Calgary,nan,2.0,1.0,26.0,14,1.86,0.0
2012,0140,Calgary,nan,5.0,3.0,29.0,7,4.14,3.71
2012,0140,Calgary,T1X,4.0,3.0,2.0,1,2.0,0.0
2012,0140,Calgary,T2C,1.0,1.0,10.0,10,1.0,0.0
2012,0140,Calgary,T2E,4.0,3.0,3.0,1,3.0,0.0
2012,0140,Calgary,T2J,1.0,1.0,3.0,3,1.0,0.0
2012,0140,Calgary,T2M,1.0,1.0,1.0,1,1.0,0.0
2012,0140,Calgary,T2N,2.0,1.0,6.0,3,2.0,0.0
2012,0140,Calgary,T3C,1.0,1.0,1.0,1,1.0,0.0
2012,0140,Calgary,T3K,4.0,3.0,2.0,1,2.0,0.0
2012,0140,Calgary,T1X,1.0,1.0,2.0,2,1.0,0.0
2012,0140,Calgary,T2N,4.0,1.0,2.0,1,2.0,0.0
2012,0140,Calgary,T2P,5.0,3.0,78.0,1,78.0,24.0
2012,0140,Calgary,T2Z,1.0,1.0,21.0,21,1.0,0.0
2012,0140,Calgary,T2Z,4.0,3.0,16.0,6,2.67,0.0
2012,0140,Calgary,T3B,1.0,1.0,3.0,3,1.0,0.0
2012,0140,Calgary,T3K,1.0,1.0,6.0,6,1.0,0.0
2012,0140,Calgary,T3M,5.0,3.0,10.0,1,10.0,4.0
2012,0140,Calgary,T3R,5.0,3.0,27.0,1,27.0,4.0
2012,0140,Calgary,T2G,5.0,3.0,22.0,1,22.0,26.0
2012,0140,Calgary,T2X,4.0,3.0,6.0,1,6.0,0.0
2012,0140,Calgary,T3H,1.0,1.0,14.0,14,1.0,0.0
2012,0140,Calgary,T0L,1.0,1.0,2.0,2,1.0,0.0
2012,0140,Calgary,T2C,4.0,3.0,6.0,3,2.0,0.0
2012,0140,Calgary,T2V,1.0,1.0,1.0,1,1.0,0.0
2012,0140,Calgary,T2X,1.0,1.0,2.0,2,1.0,0.0
2012,0140,Calgary,T3B,2.0,1.0,2.0,1,2.0,0.0
2012,0140,Calgary,T3E,1.0,1.0,7.0,7,1.0,0.0
2012,0140,Calgary,T3E,2.0,1.0,8.0,5,1.6,0.0
2012,0140,Calgary,T3G,1.0,1.0,6.0,6,1.0,0.0
2012,0140,Calgary,T4C,5.0,3.0,16.0,1,16.0,1.0
2012,0140,Calgary,T2N,1.0,1.0,3.0,3,1.0,0.0
