reference_period,metcode,metro,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt,inventory_per_10kpop
1992,0340,Edmonton,4.0,1.0,25.0,14,1.79,0.0,0.29
1992,0340,Edmonton,4.0,3.0,74.0,33,2.24,0.09,0.85
1992,0340,Edmonton,5.0,3.0,86.0,9,9.56,0.0,0.98
1992,0340,Edmonton,1.0,1.0,492.0,939,0.52,0.0,5.62
1993,0340,Edmonton,1.0,3.0,1.0,2,0.5,0.0,0.01
1993,0340,Edmonton,4.0,1.0,47.0,26,1.81,0.0,0.54
1993,0340,Edmonton,2.0,1.0,96.0,80,1.2,0.0,1.09
1993,0340,Edmonton,4.0,3.0,212.0,83,2.55,0.27,2.42
1993,0340,Edmonton,1.0,1.0,717.0,1147,0.63,0.0,8.17
1993,0340,Edmonton,5.0,1.0,1.0,1,1.0,0.0,0.01
1993,0340,Edmonton,5.0,3.0,134.0,15,8.93,0.0,1.53
1993,0340,Edmonton,2.0,3.0,59.0,44,1.34,0.0,0.67
1994,0340,Edmonton,4.0,1.0,32.0,19,1.68,0.0,0.36
1994,0340,Edmonton,5.0,3.0,495.0,34,14.56,0.0,5.63
1994,0340,Edmonton,2.0,3.0,72.0,58,1.24,0.0,0.82
1994,0340,Edmonton,5.0,1.0,1.0,1,1.0,0.0,0.01
1994,0340,Edmonton,1.0,3.0,3.0,3,1.0,0.0,0.03
1994,0340,Edmonton,2.0,1.0,76.0,71,1.07,0.0,0.86
1994,0340,Edmonton,4.0,3.0,205.0,103,1.99,0.21,2.33
1994,0340,Edmonton,1.0,1.0,709.0,1027,0.69,0.0,8.07
1995,0340,Edmonton,2.0,1.0,82.0,66,1.24,0.0,0.93
1995,0340,Edmonton,2.0,3.0,60.0,46,1.3,0.0,0.68
1995,0340,Edmonton,4.0,3.0,196.0,89,2.2,0.25,2.22
1995,0340,Edmonton,4.0,1.0,32.0,17,1.88,0.0,0.36
1995,0340,Edmonton,5.0,3.0,601.0,36,16.69,0.0,6.8
1995,0340,Edmonton,1.0,1.0,500.0,766,0.65,0.0,5.65
1995,0340,Edmonton,5.0,1.0,1.0,1,1.0,0.0,0.01
1996,0340,Edmonton,5.0,3.0,413.0,29,14.24,0.0,4.61
1996,0340,Edmonton,4.0,1.0,21.0,14,1.5,0.0,0.23
1996,0340,Edmonton,4.0,3.0,138.0,69,2.0,0.0,1.54
1996,0340,Edmonton,5.0,1.0,1.0,1,1.0,0.0,0.01
1996,0340,Edmonton,2.0,1.0,63.0,53,1.19,0.0,0.7
1996,0340,Edmonton,2.0,3.0,60.0,56,1.07,0.0,0.67
1996,0340,Edmonton,1.0,1.0,347.0,681,0.51,0.0,3.87
1996,0340,Edmonton,1.0,3.0,3.0,3,1.0,0.0,0.03
1997,0340,Edmonton,4.0,3.0,53.0,28,1.89,0.0,0.58
1997,0340,Edmonton,2.0,1.0,46.0,39,1.18,0.0,0.5
1997,0340,Edmonton,4.0,1.0,11.0,5,2.2,0.0,0.12
1997,0340,Edmonton,1.0,1.0,347.0,741,0.47,0.0,3.79
1997,0340,Edmonton,1.0,3.0,3.0,3,1.0,0.0,0.03
1997,0340,Edmonton,2.0,3.0,53.0,39,1.36,0.0,0.58
1997,0340,Edmonton,5.0,1.0,3.0,2,1.5,0.0,0.03
1997,0340,Edmonton,5.0,3.0,142.0,16,8.88,0.19,1.55
1998,0340,Edmonton,1.0,3.0,2.0,3,0.67,0.0,0.02
1998,0340,Edmonton,2.0,3.0,37.0,47,0.79,0.0,0.4
1998,0340,Edmonton,4.0,1.0,19.0,13,1.46,0.0,0.2
1998,0340,Edmonton,2.0,1.0,55.0,49,1.12,0.0,0.59
1998,0340,Edmonton,4.0,3.0,49.0,25,1.96,0.0,0.53
