"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","underconstr","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","underconstr_per_10kpop"
"1988","2466780","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2469480","December 31, 1988","1060",NA,NA,36,23,1.56521739130435,0.173913043478261,709,4,"Montreal",3351700.63,462,0.107408160734212
"1988","2469540","December 31, 1988","1060",NA,NA,10,7,1.42857142857143,0,709,4,"Montreal",3351700.63,462,0.0298356002039478
"1988","2469600","December 31, 1988","1060",NA,NA,88,37,2.37837837837838,0.216216216216216,709,4,"Montreal",3351700.63,462,0.262553281794741
"1988","2470110","December 31, 1988","1060",NA,NA,10,1,10,0,709,4,"Montreal",3351700.63,462,0.0298356002039478
"1988","2470180","December 31, 1988","1060",NA,NA,17,3,5.66666666666667,0,709,4,"Montreal",3351700.63,462,0.0507205203467113
"1988","2472150","December 31, 1988","1060",NA,NA,40,21,1.9047619047619,0,709,4,"Montreal",3351700.63,462,0.119342400815791
"1988","2472180","December 31, 1988","1060",NA,NA,3,3,1,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2472210","December 31, 1988","1060",NA,NA,2,2,1,0,709,4,"Montreal",3351700.63,462,0.00596712004078956
"1988","2472230","December 31, 1988","1060",NA,NA,4,4,1,0,709,4,"Montreal",3351700.63,462,0.0119342400815791
"1988","2472260","December 31, 1988","1060",NA,NA,60,26,2.30769230769231,0.115384615384615,709,4,"Montreal",3351700.63,462,0.179013601223687
"1988","2472300","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2472360","December 31, 1988","1060",NA,NA,17,11,1.54545454545455,0,709,4,"Montreal",3351700.63,462,0.0507205203467113
"1988","2472400","December 31, 1988","1060",NA,NA,47,32,1.46875,0,709,4,"Montreal",3351700.63,462,0.140227320958555
"1988","2473120","December 31, 1988","1060",NA,NA,156,78,2,0,709,4,"Montreal",3351700.63,462,0.465435363181586
"1988","2473180","December 31, 1988","1060",NA,NA,54,35,1.54285714285714,0,709,4,"Montreal",3351700.63,462,0.161112241101318
"1988","2473200","December 31, 1988","1060",NA,NA,24,24,1,0,709,4,"Montreal",3351700.63,462,0.0716054404894747
"1988","2473240","December 31, 1988","1060",NA,NA,27,27,1,0,709,4,"Montreal",3351700.63,462,0.0805561205506591
"1988","2473300","December 31, 1988","1060",NA,NA,62,58,1.06896551724138,0,709,4,"Montreal",3351700.63,462,0.184980721264476
"1988","2473380","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2473420","December 31, 1988","1060",NA,NA,3,3,1,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2473580","December 31, 1988","1060",NA,NA,2,2,1,0,709,4,"Montreal",3351700.63,462,0.00596712004078956
"1988","2473650","December 31, 1988","1060",NA,NA,133,95,1.4,0,709,4,"Montreal",3351700.63,462,0.396813482712506
"1988","3503016","December 31, 1988","1265",NA,NA,69,69,1,0,883,4,"Ottawa",934282.964,505,0.738534284137926
"1988","3503021","December 31, 1988","1265",NA,NA,61,32,1.90625,0.09375,883,4,"Ottawa",934282.964,505,0.652907120759616
"1988","3506001","December 31, 1988","1265",NA,NA,83,83,1,0,883,4,"Ottawa",934282.964,505,0.888381820049969
"1988","3506004","December 31, 1988","1265",NA,NA,471,341,1.38123167155425,0.0117302052785924,883,4,"Ottawa",934282.964,505,5.04129924389802
