id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,Ward,longitude,latitude,location
1957,377B SADDLELAKE DR NE,377 SADDLELAKE DR NE,SADDLE RIDGE,2019/11/28,2019/11/28,BP2019-14585,2206,3,-113.93466570022524,51.13075429583185,"(51.13075429583185, -113.93466570022524)"
2348,48B VENTURA PL NE,48 VENTURA PL NE,VISTA HEIGHTS,2019/10/28,2019/10/23,BP2019-08409,2076,3,-114.01003683345768,51.072926761384075,"(51.072926761384075, -114.01003683345768)"
1064,2022 42 ST SE,2022 42 ST SE,FOREST LAWN,2013/12/06,2013/11/07,BP2013-07035,282,9,-113.97255305692694,51.03543930667225,"(51.03543930667225, -113.97255305692694)"
2499,5439R CENTRE A ST NE,5439 CENTRE A ST NE,THORNCLIFFE,2019/10/03,2019/10/03,BP2019-12262,1991,4,-114.0612387999249,51.09858647020116,"(51.09858647020116, -114.0612387999249)"
3214,92B BRIDLECREST ST SW,92 BRIDLECREST ST SW,BRIDLEWOOD,2019/07/10,2019/05/17,BP2018-13314,1679,13,-114.1220509842071,50.90291125690233,"(50.90291125690233, -114.1220509842071)"
451,131 CORNERSTONE AV NE,131 CORNERSTONE AV NE,CORNERSTONE,2018/01/30,2018/01/30,BP2017-11187,921,3,-113.94336736358856,51.16072078120646,"(51.16072078120646, -113.94336736358856)"
681,1523B 44 ST SE,1523 44 ST SE,FOREST LAWN,2020/02/04,2020/02/04,BP2019-10666,2431,9,-113.97039333130256,51.03955722418006,"(51.03955722418006, -113.97039333130256)"
3153,89B SADDLECREEK TC NE,89 SADDLECREEK TC NE,SADDLE RIDGE,2019/12/05,2019/12/05,BP2019-13510,2229,3,-113.95218855960114,51.12547214669566,"(51.12547214669566, -113.95218855960114)"
2429,51B MARTHA'S HAVEN PL NE,51 MARTHA'S HAVEN PL NE,MARTINDALE,2019/07/05,2019/07/04,BP2019-05910,1665,3,-113.96669233319643,51.11956931986123,"(51.11956931986123, -113.96669233319643)"
316,120 EVANSBROOKE LD NW,120 EVANSBROOKE LD NW,EVANSTON,2016/04/07,2016/04/07,BP2016-00154,507,2,-114.12359956481006,51.16384362217553,"(51.16384362217553, -114.12359956481006)"
