reference_period,ref_qq,metro,metcode,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,population,starts_per_10kpop
2002-04-01,2,Regina,1490,744.0,,,620,1.2,0.0,-0.01,198866.75,37.41
2002-09-01,3,Regina,1490,764.0,,,680,1.12,0.0,0.12,198866.75,38.42
2002-12-01,4,Regina,1490,688.0,,,492,1.4,0.0,0.11,198866.75,34.6
2003-02-01,1,Regina,1490,944.0,,,384,2.46,0.0,0.3,200026.83,47.19
2003-06-01,2,Regina,1490,780.0,,,564,1.38,0.0,0.16,200026.83,38.99
2003-08-01,3,Regina,1490,816.0,,,648,1.26,0.0,0.14,200026.83,40.79
2003-10-01,4,Regina,1490,1016.0,,,700,1.45,0.0,0.37,200026.83,50.79
2004-01-01,1,Regina,1490,720.0,,,380,1.89,0.0,0.45,200321.98,35.95
2004-04-01,2,Regina,1490,1208.0,,,728,1.66,0.0,0.13,200321.98,60.31
2004-09-01,3,Regina,1490,1828.0,,,1000,1.83,0.0,0.34,200321.98,91.26
2004-10-01,4,Regina,1490,1212.0,,,780,1.55,0.0,0.21,200321.98,60.51
2005-01-01,1,Regina,1490,336.0,,,336,1.0,0.0,0.15,200878.49,16.73
2005-04-01,2,Regina,1490,1048.0,,,768,1.36,0.0,0.37,200878.49,52.17
2005-07-01,3,Regina,1490,1244.0,,,788,1.58,0.0,0.09,200878.49,61.93
2005-11-01,4,Regina,1490,924.0,,,660,1.4,0.0,0.06,200878.49,46.0
2006-02-01,1,Regina,1490,660.0,,,632,1.04,0.0,0.18,202804.94,32.54
2006-06-01,2,Regina,1490,1116.0,,,824,1.35,0.0,0.28,202804.94,55.03
2006-08-01,3,Regina,1490,1088.0,,,868,1.25,0.0,0.2,202804.94,53.65
2006-10-01,4,Regina,1490,1080.0,,,932,1.16,0.0,0.13,202804.94,53.25
2007-01-01,1,Regina,1490,1032.0,,,664,1.55,0.0,0.46,205574.06,50.2
2007-06-01,2,Regina,1490,1572.0,,,1008,1.56,0.01,0.25,205574.06,76.47
2007-07-01,3,Regina,1490,1704.0,,,1068,1.6,0.0,0.25,205574.06,82.89
